00-00	Àllgemeini Erklärùng vùn de Menscherachte
23-02	E jeder Mensch, wie schàfft, het s Racht, e gerachter ùn ordentlicher Lohn ze bekùmme, wie ìhm ùn sinere Fàmìli e menschewìrdiches Lawe sìchert, ùn wànn’s nìt làngt, muess es dùrich egàl welli Soziàlleischtùnge verbessert ware.
23-03	E jeder Mensch het s Racht, mìt àndere Litt Syndikàte ze grìnde ùn sich ìn Syndikàte ànschlìeße, fer sini Ìntrasse ze verteidiche.
24-00	Àrtikel 24
24-01	E jeder Mensch het s Racht ùff Ruehj ùn Fréizitt, ùn bsùndersch ùff e vernìnftich begranzti Àrweitszitt sowie regelmaßichi bezàhlti Ferie.
25-00	Àrtikel 25
25-00	E jeder Mensch het s Racht ùff e Lawesstàndàrd, wie làngt, fer ìhm ùn sinere Fàmìli ìhri Gsùndheit ùn Wohl ze sìchere, bsùndersch wàs s Asse, d’Kleider, d’Wohnùng, d’Medizinpflaj ùn d’notwandiche Soziàlleischtùnge ànbelàngt; Er het Racht ùff Sìcherheit, wànn er je àrweitslos, krànk, ìnvàlid, Wìttfräu odder Wìttmànn odder àlt wùrd, odder noch ìn àlle àndere Fall, wo er d’Mìttel fer siner Lawesùnterhàlt ùff e Àrt verlìere tat, wo er nix defìr kànn.
25-01	Mueter ùn Kìnd hàn s Racht ùff bsùnderi Hìlf ùn Bistànd. Àlli Kìnder, eb se ìn de Eh gebore sìnn odder nìt, genìeße de salwe soziàle Schùtz.
26-00	Àrtikel 26
26-00	E jeder Mensch het s Racht ùff Bìldùng. D’Bìldùng muess gràtis sìnn, wennigschtens fer d’Elemantàr- ùn d’Grùndschuel. De Elemantàrùnterrìcht ìsch obligàtorisch. De Fàch-ùn Beruefsùnterrìcht muess àllgemein zügangli sìnn. Àlli mìen de salwe offene Zügàng zuem Hochschuelùnterrìcht hàn, jedesmol jedem sine Fahichkeite nooch.
26-01	D’Bìldùng het àls Zìel d’Entfàltùng vùn de menschliche Parsenlichkeit ùn e stärikerer Reschpekt vor de Menscherachte ùn vor de Grùndfréiheite. D’Bìldùng muess s Verstandnis, d’Tolerànz ùn d’Frìndschàft ùnterstìtze, zwìsche àlle Nàtione ùn àlle Ràsse- ùn Religionsgrùppe, sowie äu d’Entwìcklùng vùn wàs d’Vereinte Nàtione màche, fer de Frìdde ze bewàhre.
26-02	D’Eltere hàn vorràngich s Racht, d’Àrt vùn de Bìldùng ze schwàsìere, wie ìn ìhre Kìnder zükùmme sell.
27-00	Àrtikel 27
27-00	E jeder Mensch het s Racht, àm kültürelle Lawe vùn de Gemeinschàft fréi mìtzemàche, d’Kùnscht ze genìeße ùn àm wìsseschàftliche Fùrtschrìtt teilzenamme ùn vùn àllem ze profìtìere, wàs er Guets brìngt.
27-01	E jeder Mensch het s Racht, àss sini moràlische ùn màterielle Ìntrasse àls Äutor gschìtzt ware, wie mìt sine wìsseschàftliche, literàrische odder kìnschtlerische Warike verbùnde sìnn.
28-00	Àrtikel 28
28-01	E jeder Mensch het s Racht, àss eso-n-e soziàli ùn ìnternàtionàli Ordnùng herrscht, wo d’Rachte ùn d’Fréiheite, wie ìn dëre Erklärùng ùffgezehlt wùrre sìnn, vollstandi kénne wìrike.
29-00	Àrtikel 29
29-00	E jeder Mensch het Pflìchte de Gemeinschàft gejjenìwwer. Nùmme do kànn sich sini Parsenlichkeit fréi ùn gànz entfàlte.
29-01	Bim Brüche vùn sine Rachte ùn bim Genìeße vùn sine Fréiheite, ìsch e jeder Mensch nùmme ìn de Granze ùnterworfe, wie ìm Gsetz stehn. Dìe Granze sìnn üssschlìeßli vorgsahn, fer àss d’Rachte ùn d’Fréiheite vùn de àndere Litt ànerkannt ùn reschpektìert ware ùn fer ìn de gerachte Ànsprìch vùn de Moràl, vùn de éffentliche Ordnùng ùn vùm Gemeinwohl ìnere demokràtische Gsellschàft noochzekùmme.
29-02	Dìe Rachte ùn Fréiheite derf mr ùff keine Fàll ìm Wìddersprùch mìt de Zìele ùn mìt de Prìnzipie vùn de Vereinte Nàtione üssìewe.
30-00	Àrtikel 30
30-01	Gàr ke Bstìmmùng vùn dëre Erklärùng derf eso üssgelëjt ware, wie wànn’s ìme Stààt, ìnere Grùppe odder ìnere Parson egàl wells Racht tat gann, ebbs ze triwe odder Tàte ze begehn, wovùn s Zìel ìsch, d’Rachte ùn d’Fréiheite, wie do genannt sìnn, ze vernìchte.
