00-00	L-ISTQARRIJA UNIVERSALI DWAR IL-JEDDIJIET TAL-BNIEDEM
02-00	L-Artiklu 2.
02-01	Kulħadd hu intitolat għal dawn il-jeddijiet u l-libertajiet imxandra f’din l-Istqarrija, bla ebda għażla, bħal ta’ razza, lewn, sess, ilsien, reliġjon, opinjoni politika jew kull opinjoni oħra, oriġini nazzjonali jew soċjali, proprjetà, twelid jew kull qagħda oħra.
02-02	Mhux biss, iżda l-ebda għażla m’għandha ssir fuq bażi tal-qagħda politika, ġuridika jew internazzjonali tal-pajjiż jew territorju li minnu tiġi l-persuna, kemm jekk tkun indipendenti, kemm jekk tkun fdata lil xi pajjiż ieħor, kemm jekk ma jkollhiex gvern tagħha kif ukoll jekk ikollha xi limiti oħra fis-sovranità tagħha.
03-00	L-Artiklu 3.
03-01	Kull bniedem għandu l-jedd għall-ħajja, għall-ħelsien u għas-sigurtà tal-persuna tiegħu.
04-00	L-Artiklu 4.
04-01	Ħadd m’għandu jinżamm ilsir jew fi stat li jixbah lil dak ta’ lsir. L-iskjavitù u n-negozju tal-ilsiera fl-għamliet kollha tagħhom m’għandhomx jitħallew isiru.
05-00	L-Artiklu 5.
05-01	Ħadd m’għandu jingħata tortura jew kastig jew trattament aħrax, li ma jixraqx lill-bniedem jew li jbaxxih.
06-00	L-Artiklu 6.
06-01	Kulħadd għandu l-jedd li jintgħaraf kullimkien bħala persuna quddiem il-liġi.
07-00	L-Artiklu 7.
07-01	Kulħadd huwa ndaqs quddiem il-liġi u għandu l-jedd, bla ebda għażla, għal protezzjoni ugwali mil-liġi. Kulħadd għandu l-jedd għal protezzjoni ndaqs kontra kull għażla li tikser din l-Istqarrija u kontra kull provokazzjoni għal għażla bħal din.
08-00	L-Artiklu 8.
08-01	Kulħadd għandu l-jedd quddiem it-tribunali nazzjonali kompetenti għal rimedji effettivi kontra l-ksur tal-jeddijiet fondamentali li lilu huma magħrufa mill-kostituzzjoni jew mil-liġi.
09-00	L-Artiklu 9.
09-01	Ħadd m’għandu jitħalla jkun imħarrek, miżmum il-ħabs jew itturufnat għalxejn b’xejn.
10-00	L-Artiklu 10.
10-01	Kulħadd għandu l-jedd b’ugwaljanza sħiħa li jkun mismugħ bil-ħaqq u fil-pubbliku minn tribunal indipendenti u imparzjali, li jiddeċiedi l-jeddijiet u d-dmirijiet tiegħu jew xi akkuża kriminali kontrieh.
11-00	L-Artiklu 11.
11-01	Kull min hu mixli bi ħtija li jistħoqqilha kastig għandu l-jedd li jkun meqjus bla ħtija sakemm il-ħtija tiegħu tkun pprovata skont il-liġi fi proċess pubbliku li fih ikollu l-garanziji kollha meħtieġa biex jiddefendi ruħu.
11-02	Ħadd m’għandu jkun ikkundannat minħabba għemil jew tħollija ta’ għemil, li fiż-żmien meta twettqu ma kinux ħtijiet li jistħoqqilhom kastig skont il-liġi nazzjonali jew internazzjonali. Lanqas m’għandu jingħata kastig ikbar minn dak li kien jingħata meta twettqet il-ħtija.
12-00	L-Artiklu 12.
12-01	Ħadd m’għandu jkollu għalxejn b’xejn indħil fil-ħajja privata tiegħu, fil-familja tiegħu, f’daru jew fl-ittri tiegħu, u lanqas m’għandu jbati minn attakki fuq l-unur u l-fama tiegħu. Kulħadd għandu l-jedd għall-protezzjoni mil-liġi kontra kull indħil jew attakki bħal dawn.
13-00	L-Artiklu 13.
13-01	Kulħadd għandu l-jedd li jmur bil-libertà minn imkien għal ieħor u li jagħżel fejn joqgħod ’il ġewwa mill-fruntieri ta’ kull Stat.
13-02	Kulħadd għandu l-jedd li jħalli pajjiż, ukoll dak tiegħu, u li jerġa’ lura fih.
14-00	L-Artiklu 14.
14-01	Kulħadd għandu l-jedd li jfittex u jgawdi f’pajjiżi oħra l-kenn mill-persekuzzjoni.
14-02	Dan il-jedd ma jistax jintuża fil-każ ta’ persekuzzjonijiet fondati tassew fuq ħtija kontra l-liġi komuni jew fuq għemejjel kontra l-għanijiet u l-prinċipji tal-Ġnus Magħquda.
15-00	L-Artiklu 15.
15-01	Kulħadd għandu l-jedd għan-nazzjonalità.
15-02	Ħadd m’għandu jkun imċaħħad għalxejn b’xejn min-nazzjonalità tiegħu, lanqas mid-dritt li jbiddilha.
16-00	L-Artiklu 16.
16-01	L-irġiel u n-nisa li għandom l-età tagħhom taż-żwieġ, għandhom il-jedd jiżżewġu u jwaqqfu familja mingħajr xkiel minħabba r-razza, in-nazzjonalità jew ir-reliġjon tagħhom. Huma għandhom jeddijiet indaqs għaż-żwieġ, matul iż-żwieġ u meta dan jinħall.
16-02	Iż-żwieġ m’għandux isir mingħajr il-ftehim ħieles u sħiħ taż-żewġ għarajjes.
16-03	Il-familja hi l-element naturali u fondamentali tas-soċjetà u għandha l-jedd għall-protezzjoni mis-soċjetà u mill-Istat.
17-00	L-Artiklu 17.
17-01	Kulħadd għandu l-jedd għall-proprjetà, kemm tiegħu waħdu kif ukoll bi sħab m’oħrajn.
17-02	Ħadd m’għandu għalxejn b’xejn ikun imċaħħad minn ġidu.
18-00	L-Artiklu 18.
18-01	Kulħadd għandu l-jedd għal-libertà tal-ħsieb, tal-kuxjenza u tar-reliġjon; dan il-jedd iħaddan il-libertà li wieħed ibiddel ir-reliġjon jew il-konvinzjoni tiegħu u li jkun ħieles, kemm waħdu jew m’oħrajn, fil-beraħ jew fil-privat, jistqarr ir-reliġjon jew il-konvinzjoni tiegħu fit-tagħlim, fl-għemejjel, fil-qima u fil-ħarsien tiegħu.
19-00	L-Artiklu 19.
19-01	Kulħadd għandu l-jedd għal-libertà li jżomm l-opinjoni tiegħu u li jfissirha; dan iħaddan il-jedd li wieħed iżomm opinjonijiet mingħajr indħil u li jkun jista’ jfittex jirċievi u jgħaddi tagħrif u ideat bil-mezzi li jidhirlu, irrispettivament mill-fruntieri.
20-00	L-Artiklu 20.
20-01	Kulħadd għandu l-jedd għal-libertà li jiltaqa’ u jissieħeb ma’ oħrajn fil-paċi.
20-02	Ħadd m’għandu jkun imġiegħel li jissieħeb f’xi għaqda.
21-00	L-Artiklu 21.
21-01	Kulħadd għandu l-jedd li jieħu sehem fil-gvern ta’ pajjiżu, direttament jew permezz ta’ rappreżentanti magħżula bil-libertà.
21-02	Kulħadd għandu l-jedd ugwali li jidħol għas-servizzi pubbliċi ta’ pajjiżu.
21-03	Ir-rieda tal-poplu għandha tkun is-sies tal-awtorità tal-gvern; din ir-rieda għandha tintwera f’elezzjonijiet ġenwini li għandhom isiru minn żmien għal żmien li fihom jivvota kulħadd b’vot indaqs u sigriet jew inkella skont proċeduri bħalhom li jiżguraw il-libertà tal-vot.
22-00	L-Artiklu 22.
22-01	Kulħadd, bħala membru tas-soċjetà, għandu l-jedd għas-sigurtà soċjali u għandu l-jedd li jissodisfa, permezz tal-isforz nazzjonali u l-koperazzjoni internazzjonali u skont l-organizzazzjoni u r-riżorsi ta’ kull Stat, il-jeddijiet ekonomiċi, soċjali u kulturali li mingħajrhom ma jistax iżomm id-dinjità tiegħu u jiżviluppa bil-libertà l-personalità tiegħu.
23-00	L-Artiklu 23.
23-01	Kulħadd għandu l-jedd għax-xoghol, għall-għażla ħielsa tal-impjieg, għal kondizzjonijiet ta’ xogħol ġusti u favorevoli u għall-protezzjoni mill-qgħad.
23-02	Kulħadd, bla ebda għażla, għandu l-jedd għal ħlas indaqs għal xoghol indaqs.
23-03	Kull min jaħdem għandu l-jedd għal ħlas ġust u favorevoli li jiżgura lilu u lill-familja tiegħu għajxien li jixraq lid-dinjità umana, u li jkun miżjud, jekk jeħtieġ, minn kull mezz ieħor ta’ protezzjoni soċjali.
23-04	Kulħadd għandu l-jedd jifforma trade unions u jissieħeb fihom għall-protezzjoni tal-interessi tiegħu.
24-00	L-Artiklu 24.
24-01	Kulħadd għandu l-jedd għall-mistrieħ u għall-btajjel, kif ukoll għal limitazzjoni ta’ ħin raġjonevoli ta’ xogħol u għal vaganzi perjodiċi mħallsin.
25-00	L-Artiklu 25.
25-01	Kulħadd għandu l-jedd għal livell ta’ ħajja suffiċjenti biex jiżguralu saħħtu, għajxien tajjeb għalih u għall-familja tiegħu, speċjalment f’dak li hu ikel, ilbies, dar, kura medika kif ukoll servizzi soċjali meħtieġa; għandu wkoll il-jedd għas-sigurtà f’każ ta’ qgħad, mard, mankament, irmulija, xjuħija u fil-każi l-oħra meta minħabba ċirkostanzi li ma jkollux kontroll fuqhom jitlef il-mezzi tal-għajxien.
25-02	L-ommijiet u t-tfal għandhom il-jedd għall-kura u għal għajnuna speċjali. It-tfal kollha, kemm jekk twieldu fiż-żwieġ u kemm barra minnu, għandhom igawdu l-istess protezzjoni speċjali.
26-00	L-Artiklu 26.
26-01	Kulħadd għandu l-jedd għall-edukazzjoni. L-edukazzjoni għandha tkun b’xejn, għall-inqas fil-gradi elementari u fondamentali tagħha. L-edukazzjoni elementari għandha tkun obbligatorja. L-edukazzjoni teknika u professjonali għandu jkun jista’ jagħmel użu minnha kulħadd; l-edukazzjoni universitarja għandha tkun miftuħa b’mod ugwali għal dawk kollha li jistħoqqilhom.
26-02	L-edukazzjoni għandu jkollha bħala għan l-iżvilupp sħiħ tal-personalità umana u li ssaħħaħ ir-rispett għall-jeddijiet u għal-libertajiet fondamentali tal-bniedem. Għandha tħeġġeġ il-ftehim, it-tolleranza u l-ħbiberija fost in-nazzjonijiet, ir-razez jew il-gruppi reliġjużi kolha u għandha tmexxi ’l quddiem il-ħidmiet tal-Ġnus Magħquda għaż-żamma tal-paċi.
26-03	Il-ġenituri għandhom l-ewwel jedd li jagħżlu l-għamla ta’ edukazzjoni li tingħata ’l uliedhom.
27-00	L-Artiklu 27.
27-01	Kulħadd għandu l-jedd li jieħu sehem bil-libertà fil-ħajja kulturali tal-komunità, li jgawdi l-arti u li jaqsam fil-progress xjentifiku u fil-ġid li jġib miegħu dan il-jedd.
27-02	Kulħadd għandu l-jedd li jkollu l-protezzjoni għall-interessi morali u materjali tiegħu meta jkun l-awtur ta’ produzzjoni xjentifika, letterarja jew artistika.
28-00	L-Artiklu 28.
28-01	Kulħadd hu intitolat għal ordni soċjali u internazzjonali li fih il-jeddijiet u l-libertajiet imxandra f’din l-Istqarrija jkunu jistgħu jitwettqu tassew.
29-00	L-Artiklu 29.
29-01	Kulħadd għandu dmirijiet lejn il-komunità li fiha biss jista’ jwettaq l-iżvilupp ħieles u sħiħ tal-personalità tiegħu.
29-02	Fit-tħaddim tal-jeddijiet u tal-libertajiet tiegħu, kull wieħed għandu jkollu biss dawk il-limitazzjonijiet li jiġu mil-liġi, li għandha biss bħala għan li tiżgura l-għarfien u r-rispett għall-jeddijiet u l-libertajiet tal-oħrajn u li tissodisfa dak li ġustament jitolbu l-morali, l-ordni pubbliku u l-ġid komuni f’soċjetà demokratika.
29-03	Dawn il-jeddijiet u l-libertajiet ma jistgħu fl-ebda każ jitħaddmu kontra l-għanijiet u l-prinċipji tal-Ġnus Magħquda.
30-00	L-Artiklu 30.
30-01	Xejn f’din l-Istqarrija ma jista’ jkun mifhum li jagħti lil xi Stat, għaqda jew persuna l-jedd li tagħmel xi ħidma jew li twettaq xi għemil bil-għan li teqred xi jeddijiet jew libertajiet li huma mxandra hawnhekk.
