00-00	EWIADEAMRA NOLOBƆLƐ MƆƆ FALE SONLA NWO ADENLENYIANLƐ NE MƆ LA ANWO
16-02	Kunli nee yelɛ nee bɛ mra a le ekpunli mɔɔ bɔ sua ɛkyekyelɛ bo anzɛɛ ekpunli mɔɔ tɛlɛ yɛ menli dɔɔnwo a, yemɔti ɔwɔ kɛ menli ekpunli ne nee maanle ne mɔɔ bɛwɔ nu la sinza bɛ.
17-00	Edwɛkɛkpɔkɛ 17
17-00	Sonla biala lɛ adenle kɛ ɔnyia ɔ ti anwo agyapadeɛ, eza noko ɔlɛ adenle kɛ ɔ nee awie mɔ bɔ nu nyia agyapadeɛ.
17-01	Ɔnle kɛ awie biala hwele ye agyapadeɛ wɔ mekɛ mɔɔ mɛla ɛmmaa adenle la.
18-00	Edwɛkɛkpɔkɛ 18
18-01	Sonla biala lɛ adenle kɛ ɔdwenle adwenle biala na ɔsonle debie biala mɔɔ ɔkulo la, eza ɔlɛ adenle ɔkakyi ye Nyamenlezonlenlɛ ne anzɛɛ ye diedi ne nee fanwodi, yɛɛ akee noko ɔlɛ ɔ nwo adenle kɛ ɔ ngome anzɛɛ ɔ nee menli wɔ bagua anzɛɛ fealera nu ɔkile yɛ asɔne anzɛɛ ye diedi ne wɔ ngilehilelɛ, nyɛleɛ, ɛzonlenlɛ nee boɛnleanlɛ nu.
19-00	Edwɛkɛkpɔkɛ 19
19-01	Sonla biala lɛ adenle kɛ ɔdwenle na ɔka edwɛkɛ mɔɔ ɔkulo la; eza ɔlɛ ɔ nwo adenle kɛ ɔfa adwenle biala mɔɔ ngyegyelɛ biala ɛnle nwo na ɔdua nolobɔlɛ ndenle ne mɔ biala anu ɔkpondɛ, ɔtie na ɔka edwɛkɛ ɔkile menli na ɔmaa bɛ adwenle mɔɔ ngyegyelɛ biala ɛnle nwo a.
20-00	Edwɛkɛkpɔkɛ 20
20-00	Sonla biala lɛ adenle kɔ ayia anzɛɛ eku mɔɔ anzondwolɛ wɔ nu la bie.
20-01	Ɔnle kɛ bɛhyɛ sonla bɛmaa ɔkɔ eku nu.
21-00	Edwɛkɛkpɔkɛ 21
21-00	Sonla biala lɛ adenle boa wɔ ye maanle ne ɛbulɛ nu, ɔlɛ adenle ɔtu ɔ nwo ɔsie ɛkɛ ɔmaa bɛtu yɛ ɔkɔ Mɛlalilɛ Ayia ne bie anzɛɛ ɔboa ɔmaa bɛtu menli bɛkɔ Mɛlalilɛ Ayia ne.
21-01	Sonla biala lɛ adenle nyia maanle gyimayɛlɛ nwo nvasoɛ wɔ ye maanle ne anu.
21-02	Ezuavolɛ ne ɛhulolɛdeɛ ne a le Arane tumi ne a, bɛkile bɛ ɛhulolɛdeɛ ɛhye wɔ mekɛ biala nee nɔhalɛ ɛmadolɛ mɔɔ awie biala nyia adenle to ye deɛ wɔ feabo nu anzɛɛ wɔ ndenle biala anu mɔɔ ngyegyelɛ biala ɛnle nu la.
22-00	Edwɛkɛkpɔkɛ 22
22-01	Awie biala mɔɔ wɔ menli ekpunli avinli la ɔwɔ kɛ maanle ne sinza ye eza ɔwɔ kɛ maanle ne dua ye mɔdenlebɔ nee maanle maanle moalɛ zo, nee kɛ maanle ko biala ye maamulɛ, agyapadeɛ, ezukoa, menli nee maandeɛ gyinlabelɛ ne si de la azo maa sonla ko biala nyia ninyɛne mɔɔ hyia ye anyunlunyia nee ye boɛyɛlɛ nwo la.
23-00	Edwɛkɛkpɔkɛ 23
23-00	Sonla biala lɛ adenle yɛ gyima mɔɔ okulo la, Akee noko ɔlɛ adenle kɛ ɔnyia gyima ne anwo ahunlundwolɛ. Eza noko ɔwɔ kɛ maanle ne boa maa awie biala nyia gyima mɔɔ gyima ne ɛnvi ɔ sa a.
23-01	Sonla biala lɛ adenle kɛ gyima mɔɔ ɔkɛyɛ la ɔnyia nwolɛ ahatualɛ kɛ mɔɔ saa awie gyɛne a yɛle gyima zɔhane a anrɛɛ ɔkɛnyia ye la.
23-02	Sonla biala mɔɔ yɛ gyima la ɔwɔ kɛ nyia nwolɛ ahatualɛ kpalɛ mɔɔ ɔkola ɔfa ɔnea ɔ ye nee ɔ mra amaa bɛ tɛnlabelɛ nu ayɛ kpalɛ a. Eza noko ɔwɔ kɛ ɔnyia ɛzinzalɛ ne mɔɔ maanle ne fa sinza menli la bie.
23-03	Sonla biala lɛ adenle boa gyimayɛlɛ Eku nu wɔ ye ɛhulolɛndeɛ ɛzinzalɛ ti.
24-00	Edwɛkɛkpɔkɛ 24
24-01	Sonla biala lɛ adenle kɛ ɔdie ye ɛnwomenle bie na ɔdielie ɔ nye, na ɔnyia mekɛ ezinra mɔɔ ɔfa ɔyɛ gyima na eza noko ɔnyia mekɛ mɔɔ saa ɔyɛ gyima dedee a ɔfa ɔdie ye ɛnwomenle bie na bɛtua ye nwolɛ kakɛ la a.
25-00	Edwɛkɛkpɔkɛ 25
25-00	Sonla biala lɛ adenle kɛ ɔ nee ɔ ye nee ɔ mra nyia tɛnlabelɛ kpalɛ mɔɔ fale bɛ ngoane, aleɛ, ɛdanlɛ, dabelɛ nee ayileyɛlɛ nee ninyɛne mɔɔ hyia maa bɛ la anwo. Ɔwɔ kɛ bɛnyia moalɛ wɔ mekɛ mɔɔ bɛnyɛ gyima, anwonyane kɛbɔ bɛ, bɛngola gyima yɛ, kunli anzɛɛ yelɛ kɛwu, bɛkɛyɛ mgbanyinli anzɛɛ ɔlua ndenle bie azo bɛngola bɛnnea bɛ nwo la.
25-01	Ɔwɔ kɛ mrɛladane nee ngakula nyia moalɛ nee ɛnleanlɛ kpalɛ. Kakula biala, saa bɛgyale ɔ nli anzɛɛ bɛangya ɔ nli na bɛawo na bɛawo ye o, ɔwɔ kɛ bɛnea ye anzɛɛ bɛsinza ye kɛ mɔɔ ɔfɛta la.
26-00	Edwɛkɛkpɔkɛ 26
26-00	Sonla biala lɛ adenle sukoa nwoma. Ɔnle kɛ bɛtua nwomazukoalɛ nwo kakɛ biala, bɔbɔ wɔ mɔlebɛbo nwomazukoalɛ deɛ ne anwo. Ɔwɔ kɛ mɔlebɛbo nwomazukoalɛ ne yɛ nhyɛ maa kakula biala. Ɔwɔ kɛ menli nyia adenle sukoa mbulalɛ nee milahyinli nee gyima nwo nwoma. Eza noko awie biala mɔɔ bɔ mɔdenle la kola sukoa nwoma kpole.
26-01	Ɔwɔ kɛ nwomazukoalɛ maa awie biala tɛnlabelɛ nu yɛ kpalɛ na ɔmaa sonla nwo adenlenyianlɛ nee ye atianwolilɛ ne mɔ enililɛ gyinla kpundii. Ɔwɔ kɛ nwomazukoalɛ maa ndelebɛbo, bɛ kunlu ɛlilɛ nee agɔnwolɛyɛlɛ ba maanle maanle avinli, menli anzɛɛ asɔne asɔne avinli na ɔboa ɔmaa Maamgbole Koyɛlɛ gyima ne mɔɔ ɔlɛdi mɔɔ ɔfale anzondwolɛ nwo la di munli.
26-02	Awovolɛma lɛ adenle kɛ bɛmaa bɛ mra sukoa nwoma mɔɔ bɛkulo kɛ bɛ mra ne mɔ sukoa la.
27-00	Edwɛkɛkpɔkɛ 27
27-00	Sonla biala lɛ adenle kɛ ɔdaye ɔyɛ maandeɛ nyɛleɛ biala mɔɔ bɛyɛ wɔ maanle anzɛɛ sua ne azo la bie, na eza ɔnyia ninyɛne ɛdolɔlɛ nee abɔdeɛ nwo nrɛlɛbɛ nwo anyuhɔlɛ nvasoɛ ne mɔ bie.
27-01	Sonla biala lɛ adenle kɛ ɔnyia debie mɔɔ ɔkɛhɛlɛ mɔɔ fale abɔdeɛ nwo nrɛlɛbɛ, nwoma anzɛɛ debie mɔɔ ɔkɛdolɔ la anwo banebɔlɛ.
28-00	Edwɛkɛkpɔkɛ 28
28-01	Sonla biala lɛ adenle kɛ ɔ nee menli nee maanle maanle nu amra di ngitanwo amaa yeanyia adenlenyianlɛ nee atianwolilɛ ne mɔ mɔɔ wɔ Sonla Nwo Adenlenyianlɛ Nwo Nolobɔlɛ ɛhye anu la nwo nvasoɛ kpalɛ.
29-00	Edwɛkɛkpɔkɛ 29
29-00	Sonla biala lɛ gyima yɛ fa maa ye menli mɔɔ ɔwɔ bɛ avinli la amaa ɔlua zo yeahola yeanyia anyuhɔlɛ anzɛɛ yeali munli.
29-01	Saa sonla biala fa ye adenlenyianlɛ nee atianwolilɛ ne mɔ ayɛ gyima a, ɛnee ɔngile kɛ ɔlɛ adenle ɔbulu mɛla zo; ɔwɔ kɛ ɔdi ɔ gɔnwo mɔ adenlenyianlɛ nee atianwolilɛ ne mɔ eni na ɔbɔ ye ɛbɛla kɛ mɔɔ maanle ne mɔɔ ɔwɔ nu la mɛla ne mɔ mɔɔ fale bɛnwonililɛ, anzondwolɛ nee ye boɛyɛlɛ ne se la.
29-02	Ɔnle kɛ bɛdua adenlenyianlɛ nee atianwolilɛ ɛhye mɔ azo bɛyɛ ninyɛne mɔɔ ɔtietia anzɛɛ ɔbulu bodane nee ndenle ne mɔ mɔɔ Maamgbole Koyɛlɛ ne ɛhyehyɛ ɛdo ɛkɛ la azo.
30-00	Edwɛkɛkpɔkɛ 30
30-01	Debie biala mɔɔ wɔ Sonla Nwo Adenlenyianlɛ Nwo Nolobɔlɛ ɛhye anu la ɛngyi ɛkɛ ne ɛmmaa maanle ko, anzɛɛ menli ekpunli ko anzɛɛ sonla ko angome mɔɔ ɔmaa ye adenle ɔyɛ debie ɔsɛkye adenlenyianlɛ nee atianwolilɛ ne mɔ mɔɔ bɛhyehyɛ bɛdo ɛkɛ ne la a.
