00-00	Adamuridagunt to Tagumairagüdaru Garada to Ayanuhabaun luagu le yubat haun gürigia ubauwagu
14-02	Siñabai giñe ladaünrün amuñadahauti luagu furumieguarügü duru anhain üa lubai lúyeri duru ligia tidan gárada to agumairubaun túmagien Ubau Uaratu.
15-00	Saminaü 15
15-01	Ka gürigia yuti lun gagaira lan.
15-02	Siñati beréderuni gürigia luai gagaria lan, siñá beréderuni anhain busien lubai lasansiruni lagaira.
16-00	Saminaü 16
16-01	Sun wügüriña hama würiña dan busienguaña lan haungua, yuti haun hadügüni habágari le auti helédaguai, katai yebe hanásiñun, hagaira labu hafiñe; wiwan hamai mesun le líchigunbai sibili, lagánagua hamágualu hamán, labu larigien hígiragun.
16-02	Anhain hínsiñegua habai gadara-duntiñu haungua, gawarabai hasibilirún anhaña busien.
16-03	Umari habu isanigu hagia lagüchabaña ibágari lidan furumieguarügü adámuri, ani yuti giñe lun adámuri labu uruwai láunigiruniña.
17-00	Saminaü 17
17-01	Yuti lun ka gürigia larihin lau le lánibai luma le hánibai sungua luagu.
17-02	Siñatiberéderuni gürigia luai le lánibai kaisi luai le yubai lun.
18-00	Saminaü 18
18-01	Sun gürigia yuti haun hasáminarun le autí habúsienra, lun hadügüni le líchigun haritagun haun, subudigüda hamai me hafiñe lun ubau; gawarati giñe hasansiruni kaisi hagumairagüduni, ánhaña busien.
19-00	Saminaü 19
19-01	Yuti lun ka gürigia laríñeguni lubáliti lidan adamuridaguni bidaudu lamanichagüdüniwa, gawara ligia ladügün akútihani, libihin, ariñahaní, subudigüdalai tidangien furumieguarügü gasibu, umálali tuma garüdia.
20-00	Saminaü 20
20-01	Sun gürigia yuti haun hadamuridagun hama ha úmati habúsienra kaisi haundaruh tidaun furumieguarügü adámuri súñeitu.
20-02	Siñati bafósurun gürigia lun lebélurun tidaun aban adámuri.
21-00	Saminaü 21
21-01	Yuti lun ka gürigia habúduhan lílana lagaira luagu haucha ligia me luaugua lun lebélurun lidaun gumadi.
21-02	Sun gürigia yuti haun, lidan úarani, habíhin wadágimanu luma le arruwaihabai hagaira.
21-03	Le ligundan ubau ligia lagüchabai ubafu lani gumadi; igundani le, arihúati dan ñei lan asuesihani le ligíaguti, kaisi dan ñei lan abúduhani lidan larúman.
22-00	Saminaü 22
22-01	Ka gürigia kai lílana fulasu, yuti lun libihin sun lúyeri idemuai-seinsu, ibágari, aníchigudandu hámagien lílana lagaira kaisi lasúrunigien, lun lubá gia lasandiragun lungua kai aban gürigia seríwiti.
23-00	Saminaü 23
23-01	Ka gürigia yuti lun lidan úarani, libihin aban wadágimanu, lun laríahan wadagimanu lehínsiñeti lun, kai gubairügü libihin idemuai dan mayábun lan.
23-02	Yuti lun ka gürigia, lidan úarani, libihin aban meme fayei luagu aban meme lúyeri wadágimanu.
23-03	Yuti lun ka gürigia awadigimariduti, libihin fayei lun gawarabai lan lawíwandun habu lánigu, ibiha ligia me, anhain emégeira, amu idemuai lumagien uruwai.
23-04	Yuti sun gürigia hadügün aban adámuri lenébese wadágimanu, belú hagia me tidaun, lun lubá gia haunigiruní le yubai haun.
24-00	Saminaü 24
24-01	Sun gürigia yuti haun, heméragun larigien somu dan wadágimanu, lun hasáriñahan dan mawadigimaridun hamán, kaisi tafayeirún hasáriñahan haun.
25-00	Saminaü 25
25-01	Ka gürigia yuti lun lamnúgün aban lúyeri ibágari richati, lun lubá gia gawara lan ladairun atuadini, araini, aigini, daüguaü, muna, lafaáyeirun surúsia luma furumieguarügü megeiguaü haun lánigu. Yuti giñe lun, libihin idemuai dan mayábun lan, dan lasándirun, dan lasiñaragún lungua, dan hilaru, lúmari, dan lawaiyadun, kai gubairügü furumieguarügü idemuai dan mama lan ligia íchiga üma lun leferidiruní lébuna libágari.
25-02	Yuti haun dagainatiñu habu iráhüñü lun letenirún haun, lau duári. Sun iráhüñü ha nasíruatiñu lidan odi bárugudi luai sinbili, yuti haun hauniguirún lidan aban.
26-00	Saminaü 26
26-01	Sun güurigia yuti haun habihin furendei. Anhaña atúriaha tidan luban furumieti furendei, mafayeirúbaña ni aban gáwanü. Yuti lun uruwai laturiagüdüniña gürigia tidabn luban furumieti furuendei. Aturiahaní tidan luban segandi furendei aban memebai lila haun sun mutu. Liabin ti ebéluruni tidaun luban furundei iñuti, hafu lauchun gürigia luaugua.
26-02	Sun furendei mosu taríahan tahímeidun lusan gürigia, ru ligia inébehabu luagu sun le yubai haun lílana fulasu; luyéri furendei le lunbai libihini gürigia gatu giñe líchigun saminaü lun ñeibai lan gufúrandaü, awandahani labu umádaguaü hadan sun mutu, itararügübai gawara lan lawándahani labu umádaguaü hadan sun mutu, itararügübai gawara lan lawánserun tuádigimari Ubau Uaratu, lun lubá gia ñei meme lan darangilaü ubauwagu.
26-03	Yuti haun agüburigu hasuesihaní luyéri furendei le lunbai habihini hasanigu.
27-00	Saminaü 27
27-01	Yuti lun ka gürigia láundarun lidaun lechun lagaira, le auti labúsienra, lun layúsurun lídangien hadíñeburi, ideha ligia me lun lawanserun lagaira.
27-02	Ka gürigia yuti lun taunigirún lidíñeburikai hamuga: garúdia, akútihani, féindiraeréreha tugia me lúrudu laugien.
28-00	Saminaü 28
28-01	Ka gürigia yuti lun lauchun, lun ñeibai lan aban ürudúni lun giarabai lan lagúmairun sun saminaü le tídanbai Gárada to.
29-00	Saminaü 29
29-01	Sun gürigia anihain lunti ladügüni luagu lagaira, mamai ñei lagüriahauwa, ñei tahímeida lusan.
29-02	Sun gürigia mosu inébebaun tan lúrudu lun, ladüga tugiarügüñaun lan ariha lau le yubai haun amu, tugia aunigirubalin ibagari fulásrugu, ru tugia buídumei lun bawíwandun tidan aban adámuri úaratu.
29-03	Mauwebudunbai sun saminaü le tídanbaun Gárada to, anhawa magúnfulirun lau tubáliti Ubau Uaratu.
30-00	Saminaü 30
30-01	Uati ni aban saminaü tidan gárada to lun hamuga líchigun ubafu lun furumieguarügü (kai hamúga gürigia, adámuri, uruwai) lun gawarabai lan ladügün somu katai barúnati luagun tubáliti gáarada to.
