00-00	ИНСОН ҲУҚУҚЛАРИ УМУМЖАҲОН ДЕКЛАРАЦИЯСИ
10-01	Ҳар бир инсон, унинг ҳуқуқлари ва бурчларини белгилаш ва унга қўйилган жиноий айбнинг нечоғлиги асосланганлигини аниқлаш учун, батамом тенглик асосида, ўз иши ошкора, адолатнинг барча талабларига риоя этилиб, мустақил ва холис суд томонидан кўриб чиқилиши ҳуқуқига эгадир.
11-00	11‐модда
11-00	Жиноят содир этишда айбланаётган ҳар бир инсонга ҳимоя учун барча имкониятлар яратиб берилиб, суд мажлисида ошкора тартибда қонуний йўл билан унинг айбдорлиги аниқланмагунча, беайб деб ҳисобланиш ҳуқуқига эгадир.
11-01	Ҳеч ким, бирор бир хатти‐ҳаракат ёки фаолиятсизлик содир этилган вақтда, булар миллий қонунлар ёки халқаро ҳуқуққа кўра ўша пайтда жиноят деб топилмаган бўлса, шу жиноятни содир этганликлари асосида ҳукм қилинишлари мумкин эмас. Шунингдек, жиноят содир этилган вақтда қўлланиши мумкин бўлган жазога нисбатан оғирроқ бир жазо қўлланиши ҳам мумкин эмас.
12-00	12‐модда
12-01	Ҳеч ким инсоннинг шахсий ёки оилавий ҳаётига ўзбошимчалик билан аралашиши, инсоннинг уй‐жойи дахлсизлигига, унинг хатларидаги сирларга ёки ор‐номуси ва шаънига ўзбошимчалик билан тажовуз қилиши мумкин эмас. Ҳар бир инсон ана шундай аралашиш ёки ана шундай тажовуздан қонун йўли билан ҳимоя ҳуқуқига эгадир.
13-00	13‐модда
13-00	Ҳар бир инсон ҳар бир давлат ҳудудида эркин юриш ва ўзига истиқомат жойи танлаш ҳуқуқига эгадир.
13-01	Ҳар бир инсон ҳар қандай мамлакатдан, шу жумладан ўз мамлакатидан чиқиб кетиш ва ўз мамлакатига қайтиб келиш ҳуқуқига эгадир.
14-00	14‐модда
14-00	Ҳар бир инсон таъқибдан бошқа мамлакатларда бошпана излаш ва бу бошпанадан фойдаланиш ҳуқуқига эгадир.
14-01	Мабодо, аслида сиёсатга дахлдор бўлмаган жиноят ёки Бирлашган Миллатлар Ташкилоти мақсадлари ва принципларига зид бўлган хатти‐ҳаракат содир этилиши асосида жиноят юзага келса бу ҳуқуқдан фойдаланиш мумкин эмас.
15-00	15‐модда
15-00	Ҳар бир инсоннинг фуқаролик ҳуқуқи бор.
15-01	Ҳеч ким ўзбошимчалик билан ўз фуқаролигини ўзгартириш ҳуқуқидан маҳрум этилиши мумкин эмас.
16-00	16‐модда
16-00	Балоғатга етган эркаклар ва аёллар, ирқи, миллати ёки динига қараб бирор бир чеклашсиз никоҳдан ўтиш ва оила қуриш ҳуқуқига эгадирлар. Улар никоҳдан ўтаётганида ҳам, никоҳда бўлган вақтида ҳам ва никоҳ бекор қилинаётганида ҳам бир ҳуқуқлардан фойдаланадилар.
16-01	Никоҳ, никоҳдан ўтаётган иккала томоннинг хоҳиши ва батамом розилиги билангина тузилиши мумкин.
16-02	Оила жамиятнинг табиий ва асосий ҳужайрасидир ва у жамият, давлат томонидан муҳофаза этилиши ҳуқуқига эгадир.
17-00	17‐модда
17-00	Ҳар бир инсон якка ўзи ёки бошқалар билан биргаликда мулкка эгалик қилиш ҳуқуқи соҳибидир.
17-01	Ҳеч ким ўзбошимчалик билан ўз мулкидан маҳрум қилиниши мумкин эмас.
18-00	18‐модда
18-01	Ҳар бир инсон фикр, виждон ва дин эркинлиги ҳуқуқига эгадир; бу ҳуқуқ ўз дини ёки маслагини ўзгартириш эркини, ўз дини ёки маслагига якка тартибда ёки бошқалар билан биргаликда, таълимот, тоат‐ибодатда ҳамда диний расм‐русумлар ва бошқа шунга ўхшаш маросимларни адо этишда халойиқ билан биргаликда ёки хусусий тарзда эътиқод эркинлигини қамраб олади.
19-00	19‐модда
19-01	Ҳар бир инсон маслак эркинлигига ва буларни эркин ифодалаш ҳуқуқига эгадир; ушбу ҳуқуқ ҳеч бир халалсиз ўз маслакларига риоя этиш эркинлигини ва ахборот ва ғояларни ҳар қандай воситалар билан ҳамда давлат чегараларидан мустақил тарзда қидириш, олиш ва тарқатиш эркини қамраб олади.
20-00	20‐модда
20-00	Ҳар бир инсон осойишта йиғилишлар ва уюшмалар ўтказиш (тузиш) ҳуқуқига эгадир.
20-01	Ҳеч ким бирор бир уюшмага мажбуран киритилиш мумкин эмас.
21-00	21‐модда
21-00	Ҳар бир инсон бевосита ёки эркинлик билан сайланган вакиллари воситада ўз мамлакатини бошқаришда иштирок этиш ҳуқуқига эгадир.
21-01	Ҳар бир инсон ўз мамлакатида давлат хизматига киришда тенг ҳуқуқига эгадир.
21-02	Халқ иродаси ҳукумат ҳокимиятининг негизи бўлмоғи лозим; бу ирода вақти‐вақти билан бўладиган ва сохталаштирилмаган сайловда ўз аксини топиши, ушбу сайлов ялпи ва тенг сайлов ҳуқуқига кўра, яширин овоз бериш йўли билан ёки овоз бериш эркинлиги таъминлайдиган бошқа тенгма‐тенг шакллар воситасида ўтказилиш керак.
22-00	22‐модда
22-01	Жамият аъзоси сифатида ҳар бир инсон миллий куч‐ғайратлар сарфлаш ва халқаро ҳамкорлик воситасида ҳамда ҳар бир давлатнинг тузими ва ресурсларига биноан ижтимоий таъминот ҳуқуқига, унинг қадр‐қимматини сақлаб туриш ва шахсини эркин камолга етказиш ҳуқуқига эгадир.
23-00	23‐модда
23-00	Ҳар бир инсон меҳнат қилиш, ишни ўз эрки билан танлаб олиш, меҳнатнинг адолатли ва қулай шароитлари бўлиши ва ишсизликдан муҳофаза этилиш ҳуқуқига эгадир.
23-01	Ҳар бир инсон, бирор бир камситишсиз тенг меҳнатга тенг ҳақ олиш ҳуқуқига эгадир.
23-02	Ҳар бир ишлаётган одам, унинг ўзи ва оиласи учун муносиб яшашни таъминлайдиган адолатли ва қониқарли даромад олиш, зарур бўлган ҳолларда ижтимоий таъминотнинг бошқа воситалари билан тўлдириладиган даромад олиш ҳуқуқига эгадир.
23-03	Ҳар бир инсон, касб иттифоқлари тузиш ва ўз манфаатларини ҳимоя қилиш учун касб иттифоқларига кириш ҳуқуқига эгадир.
24-00	24‐модда
24-01	Ҳар бир инсон дам олиш ва бўш вақт ҳуқуқига, жумладан иш вақтини оқилона қисқартириш ҳамда ҳақ тўланадиган даврий таътил олиш ҳуқуқига эгадир.
25-00	25‐модда
25-00	Ҳар бир инсон ўзи ва оиласининг сиҳат‐саломатлигини ва фаровонлигини асраш учун зарур бўлган турмуш даражасига, шу жумладан озиқ‐овқат, либос, уй‐жой, тиббий қаров ва зарур ижтимоий хизмат ҳуқуқига ҳамда ишсиз қолганида, бетоблигида, ногиронлигида, бева бўлиб қолганида, қариганида ёки ўзига боғлик бўлмаган ҳолатларга кўра тирикчилик учун маблағи бўлмай қолганида таъминланиш ҳуқуқига эгадир.
25-01	Оналик ва болалик алоҳида васийлик ва ёрдам ҳуқуқини беради. Никоҳда туриб туғилган ва никоҳсиз туғилган барча болалар бир хил ижтимоий муҳофазадан баҳраманд бўлишлари керак.
26-00	26‐модда
26-00	Ҳар бир инсон билим олиш ҳуқуқига эгадир. Таълим кам деганда бошланғич ва умумий таълим текин бўлиши керак. Бошланғич таълим мажбурий бўлиши лозим. Техникавий ва ҳунар таълими барчага муҳайё этилиши, олий таълим эса ҳар бир одамнинг қобилияти асосида барча учун бир хил муҳайё этилиши керак.
26-01	Таълим инсон шахсининг баркамоллигига ҳамда инсон ҳуқуқлари ва асосий эркинликларига ҳурматнинг ортиб бораверишига қаратилиши лозим. Таълим барча халқлар, ирқий ва диний гуруҳлар ўртасидаги ҳамжиҳатликка, сабр‐бардошга ва дўстликка кўмаклашиши ҳамда Бирлашган Миллатлар Ташкилотнинг тинчликни сақлаш борасидаги фаолиятига ёрдамлашиши керак.
26-02	Ота‐оналар ёш болалари учун таълим турини танлаб олишда нуфузли ҳуқуққа эгадирлар.
27-00	27‐модда
27-00	Ҳар бир инсон жамиятнинг маданий ҳаётида эркин иштирок этиш, санъатдан баҳраманд бўлиш, илмий тараққиётда қатнашиш ва унинг неъматларидан баҳраманд бўлиш ҳуқуқига эгадир.
27-01	Ҳар бир инсон ўзи муаллифи бўлган илмий, адабий ёки бадиий асарлар юзасидан маънавий ва моддий манфаатлари ҳимоя қилиниши ҳуқуқига эгадир.
28-00	28‐модда
28-01	Ҳар бир инсон Мазкур Декларацияда баён этилган ҳуқуқлар ва эркинликлар тўла‐тўкис рўёбга чиқадиган ижтимоий ва халқаро тартиб бўлиши ҳуқуқига эгадир.
29-00	29‐модда
29-00	Ҳар бир инсон жамият олдида мажбурият олган, фақат шу тахлитдагина инсон шахси эркин ва тўла‐тўкис камол топиши мумкин.
29-01	Ҳар бир инсон ўз ҳуқуқ ва эркинликларининг рўёбга чиқишда шундай чеклашларга мубтало бўлиши мумкинки, булар қонун томонидан белгилаб қўйилиши ҳамда бундан муддао – бошқаларнинг ҳуқуқлари ва эркинликлари зарур даражада тан олиниш ва ҳурмат қилиниши ҳамда ахлоқ‐одобнинг адолатли талаблари ижтимоий тартиб ҳамда демократик жамиятдаги бугунги фаровонликнинг адолатли талаблари қондирилган бўлсин.
29-02	Ана шу ҳуқуқ ва эркинликларнинг амалга оширилиши Бирлашган Миллатлар Ташкилоти мақсадлари ва принципларига сира зид бўлмаслиги керак.
30-00	30‐модда
30-01	Ушбу Декларациясининг бутун руҳи бирор бир давлатга, шахслар гуруҳига ёки алоҳида шахсларга мазкур Декларацияда баён этилган ҳуқуқлар ва эркинликларнинг йўқ қилинишига қаратилган бирор бир фаолият билан шуғулланиш ёки хатти‐ҳаракатлар содир этишга йўл қўйиб беради, деб талқин этилиши мумкин эмас.
