00-00	ITANGAZO RYAMAMAZA HOSE AGACIRO K'UMUNTU
16-00	Umuhungu n'umukobwa bageze mu kigero cyo kwubaka, bashobora gusezerana uko bashaka. Nta nkomyi ituruka ku bwoko, ku nkomoko cyanga se idini. Mubyerekeye kurongora umugabo n'umugore bahwanije agaciro, mbere yo gusezerana, igihe bali kumwe ndetse n'iyo batandukanye.
16-01	Ntabagomba gushyingirwa batabyiyemereye ubwabo.
16-02	Ishingiro ryambere ry'umubano mu bantu ni murugo, amategeko ya leta agomba kururengera.
17-00	Article 17.
17-00	Umuntu wese afite ububasha bwo kugira icyo yitungira, ukwe kwa yenyine cyanga se afatanije n'abandi.
17-01	Ntawe ushobora kunyagwa ikintu yitungiye ku karengane.
18-00	Article 18.
18-01	Mu bitekerezo by'umuntu, mu bimutunganiye idini, buli muntu agomba gushyira akizana. Nukuvuga ko ashobora guhindura ibitekezo bye n'idini, kubigaragaza mu ruhame cyanga ahiherereye, kubyigisha na kubikulikiza, ku mutima no mu mihango ibigaragaza.
19-00	Article 19.
19-01	Buli muntu akwiye gutekerza no kuvuga akamuli ku mutima. Nukuvuga ko adakwiye kuzira ibitekerezo bye, ko ashobora gushaka, guhabwa no kwamamaza hose uko ashaka ibihuje n'icyo atekereza.
20-00	Article 20.
20-00	Abantu bashobora guterana na kwiremamo amashyaka mu mahoro.
20-01	Nta muntu ukwiye guhatirwa kwinjira mw'ishyaka atabishaka.
21-00	Article 21.
21-00	Buli muntu afite uburenganzira bwo guhagurukira ibyerekeye ubutegetsi bw'igihugu cye kavukire, ali ukubyigiramo ubwe, cyanga se kubishinga intumwa zatowe bitalimo agahato.
21-01	Mu byo gukorera leta y'igihugu cyabo, abaturage bose bagomba gucishwa mu kigero kimwe.
21-02	Ubutegetsi mu gihugu bukomoka ku bushake bw'abaturage. Ubwo bushake bugaragara uko igihe cy'itora kigarutse. Mw'itora abaturage bose bakuze bahwanije ijwe, kandi bitorera uwo bashatse nta gahato.
22-00	Article 22.
22-01	Umuntu wese mu gihugu niko agizwe n'abandi. Ishyaka ry'abaturage n'ubugobokane bw'igihugu bigomba gukiza buli muntu, bikamugeza ku mibereho imukwiye kandi imufasha kujyambere.
23-00	Article 23.
23-00	Umuntu wese akwiye kubona umulimo yihitiyemo nta gahato. Akawukora mu neza, bitalimo amananiza kandi atikanga kubura amulimo.
23-01	Abakora umulimo umwe bose bagomba guhembwa kimwe, nta kubera,
23-02	Umukozi wese agomba guhabwa umushahara umutunze we n'abe, kandi akanarengerwa n'amategeko alinda abakozi akarengane,
23-03	Umuntu wese ashobora gufatanya n'abandi gushinga syndicats zimurengera.
24-00	Article 24.
24-01	Buli muntu ukora agomba kurangiza akazi mu masaha akwiye no guhabwa ibiruhuko, kandi iminsi ahawe y'ibiruhuko agomba nayo kuyihemberwa.
25-00	Article 25.
25-00	Umuntu wese akwiye ikimubeshaho neza , we n'abo mu rugo, cyane cyane mu byerekeye imyambaro ibyo kurya, aho atuye n'ibyo kwivuza, mbese ibya ngombwa byose ngo umuntu ashobore kubaho. Iyo umuntu yabuze akazi, igihe c'indwara cyanga ubumuga, mu bupfakazi no mu zabukuru, mbese iyo umuntu atakigira ikimubeshaho bidaturutse ku bwende bwe, agombwa gutungwa n'integanyo leta yageneye iminsi mibi.
25-01	Ababyeyi n'abana bakwiye cyane gufashwa. Kandi abana bose ndetse n'ibinyandaro, bagomba kurengerwa kimwe.
26-00	Article 26.
26-00	Umuntu wese agomba kurerwa na guhabwa ku busa inyigisho zose z'amashuli yambere. Amashuli y'abanyamyuga agomba gukwira hose. Kandi ababishoboye bose bagomba gufashwa kimwe kujya mu mashuli makuru.
26-01	Imilerere n'yo igomba kugeza abantu ku bugabo buhamye kubongeramo icyubahiro cy'agaciro ka buli muntu n'ibyo afitiye uburenganzira byose. Imilerere niyo izatera imbaga z'amoko anyuranye, nako ibihugu byose, kwumvikana no kubana bitanduranya nibwo buryo bwo gufatanya na l'ONU gukwiza amahoro hose.
26-02	Ababyeyi bafite uburenganzira bwo gutoraniliza abana babo imilerere ibakwiye.
27-00	Article 27.
27-00	Umuntu wese akwiye uko ashaka mu gitaramo cyogeza ubutore n'umuco w'igihugu, akwiye kwizihiza ibinezereje byose no guharanira amajyambere n'ibyiza byose ubuhanga butuma dushyikira.
27-01	Abahanga bahimbye ikintu gishya cyanga se abanditsi b'ibitabo, bishobora kubaviramo inyungu y'ikiguzi cya byo cyanga se y'agaciro bibahesha, nabyo bikarengerwa n'amategeko y'igihugu.
28-00	Article 28.
28-01	Ibyemejwe byose muli ili Tangazo bigomba amahoro mu baturage, ndetse no mu mibanire y'igihugu, kugira ngo bishobore kugilira umuntu wese akamaro kahageze.
29-00	Article 29.
29-00	Umuntu nawe agomba kumenya agaciro k'urugaga rw'abo atuyemo,kuko narwo rumufasha kwigeza ku bugabo buhamye.
29-01	Mu burenganzira bwe bwose n'agaciro afite buli muntu agomba kugarukira ku rubibi yashingiwe n'amategeko y'igihugu, kugira ngo n'abandi bagere ku gaciro kabo n'uburenganzira bwabo, mu neza n'ituze vy'ingaga y'abadasumbana.
29-02	Ibyo byose byahamijwe ntawe ushobora kubyigarulira ku buryo buciye ukubili n'amaherzo l'ONU yimilije imbere.
30-00	Article 30.
30-01	Mu magambo yose y'ili Tangazo, nta Leta, nta ngaga, nta n'umuntu ushobora kwibwira ko hali ilimuga ububasha bwatuma atambuka ku byemejweho uburenganzira muli ili Tangazo.
