00-00	FAJUUMENUMI SIDRUWAAS SATI ANAU
26-01	Anoosan nababaj druwa kakaraŋ an awarut acaam kakaraŋ. Añiil nawawar akaraŋ bacaamut waafowaaf kakaraŋ kati siteginikas di kati burok kuwawar kúkambuli di bukanak búrom. Silekoolas sáamakas poop bajut káfajul.
26-02	Nafaay yati kakaraŋak yoo eenom majakaam mati anau di faŋaaf foola. Kakaraŋ kujunjuum fujuum fati epooy sidruwaas sati anau; yoo yákoney ebenenbenen bapaalaab di mof majuupoe di tutooraay yati mof majuupoe di sisiiw sajuupoe di bukan kanaamut di uŋar di wanoosan wakaanimi man kayeraay elako di dúniaay.
26-03	Kubajaak kati kuñiilak koo koote kanoken kuñooliil di kakaranŋ kan koo kumanŋumi.
27-00	Fujuum 27
27-01	Anoosan nababaj druwa ekaan mukaanaam mati bukanool, nañes mammujaw fàcul mammunafaool.
27-02	Anoosan ajoonene waaf mba naciik waaf, luwaay ewawar eppooyuwo.
28-00	Fujuum 28
28-01	Anoosan nababaj druwa man majoone mulako di mofool di dúniaay maje'e bee ekaan man siluwaas sammi di kaytak uke siŋoolen sirok jak.
29-00	Fujuum 29
29-01	Anoosan nawawar anafa kan kukinoorumi, bukoo keb kuŋoolene kurampenool man moola mujaw fácul.
29-02	Man kakinoorak kúsuum, babaj luwa yajuumeni mati mati manemat sidruwaas soola di mukaanaam mati bukanak an anoosani sidruwaas soola di majakaam moola murelore tan maamu mati aamu mutooŋumi.
29-03	Sidruwaas di siluwaas san ujukulaaña siwarut sípur di wan sísukas sati “Nations Unies” sisofumi.
30-00	Fujuum 30
30-01	Waaf úleero di kayitak uke wan umanje an mba bukan mba mof muŋooleŋoolen mújowum to mammukajen sidruwaas di siluwaas sándomi kayitak asambule seneraal yati óni éyinenyinenuko eban di épurenuko di burokab booliyo n° 217 (III) bati fuleeŋafu fati desambuur nan fubajumi kunak uñen di emitey 1948.
