00-00	TEKOVE YVYPORA KUERA MAYMAYVA DERECHO KUAAUKAHA
10-01	Mayma yvypóra oguereko derecho, peteĩchapánte, ohendúvo ichupe idespáchope ha justicia ojerure haichaite, peteĩ tribunal oguatáva ojeheguiete ha oporolado apoʼyva, oñemyesakãta java iderecho ha obligación huéra, ha avei ojehesaʼyjóratõ oñembojáva hese tembiapo vaiʼéi cóntrape ohóva.
11-00	Art. 11
11-01	Oñembojáro peteĩ tapicháre hembiapo vai hague, oguereko derecho oñepensávo hese ndaʼupeichaiha, nahesakãi aja haʼeha culpable; pe ñemyesakã oido vaʼerã tribunalpe, ha oguereko vaʼerã upépe mayma garantía oikotevẽva oñedefende hagua.
11-02	Avavépe noñecondeva vaʼerãi ojapo térã ndojapói haguére peteĩ mbaʼendahaʼéiva delito upe java, tetãpypegua léi térã tetãnguéra léipe guarã. Noñemeʼẽ vaʼerãi avei castigo pohyve léipe oĩvagui oiko jave delito.
12-00	Art. 12
12-01	Ndaikatúj oimeháicha reínte ojeikévo peteĩ tapicha rekovépe, hóga, hogapy térã icarta kuérpade. Naikatúi avei ojepokóntevo héra térã herakuã porãre. Mayma yvypóra oguereko derecho léi oñangarekóvo hese koʼãmbaʼépe.
13-00	Art. 13
13-01	Mayma yvypóra oguereko derecho ou ha oheovo tetãpyre ha oiporavóvo moõoikóta peteĩ tetã ryepype.
13-02	Mayma yvypóra oguereko derecho osẽvo oimeraẽva tetãgui, taha e jepe hetãtee, ha upéi ou jevyo hetãme.
14-00	Art. 14
14-01	Ojepersegui jave ichupe, mayma tekove ikatu oho oñemoʼã hagua oimeraẽva tetãme.
14-02	Ko derecho ndaikatúi ojeporu persecución oúrõ justiciagui tembiapo vaikuére, térã ojeho rupi Naciones Unidas remiandu ha rembipota cóntrape.
15-00	Art. 15
15-01	Mayma yvypóra oguereko derecho hetãvo.
15-02	Avavégui ndaikatúi ojepeʼa oimeháicha reínte hetã derecho oguerekóvagui okambiávo upe hetã.
16-00	Art. 16
16-01	Kuimbaʼe ha kuña maymáva, omendakuaaha tiémpo guive, oguereko derecho omdávo ha omoñepyrũvo petel ogapy. Koʼávara ndaikatúi of problema oúva raza, tetã, terã religióngui. Petelcha vaʼera 1 derecho kuéra menda reheguáva, oiko aja kupukue hikuái menda ryepype, ha evei sapyánte oñembyairõ upe imenda kuéra.
16-02	Menda ikatu oiko umi omendátava otrõ añoite petel ñeʼẽme upeverã, ojeheguiete, avave ojopyʼyre ichupekuéra.
16-03	Familia haʼe sociedad apyra ha ñepyrũete, ha oguereko derecho oñangarekóvo hese sociedad ha Estado.
17-00	Art. 17
17-01	Mayma yvypóra iderecho oguerekóvo imbaèteéva, ha haʼeño háicha, ha avei ambuerkuéra ndive.
17-02	Avavégui ndojepeʼa vaʼerãi oimeháicha reinte imbáe teéva.
18-00	Art. 18
18-01	Mayma yvypóra oguereko derecho oñemonguévo ojeheguiete, iñaka, inconciencia ha ireligión heʼi háicha ichupe. Ko deréchope oike ikatuha okambia ireligión ha ijerovia, avei ohechaukávo koʼãva haʼeño háicha térã ambuekuéra ndive,opavave renondépe térã haʼeñohápe, tekomboʼe, térã jeiko upéva heʼi háicha rupive.
19-00	Art. 19
19-01	Maypa tapicha iderecho oguerekóvo ijidea ha iñeñandu tee, ha upéva oikuaaukávo ojejuru mbotyʼyre ichupe; ko deréchope oike avavépe nonnemolestáivo marandu ha opinión kuéra, ha avei oñemosarambivo koʼãva opaite hendárupi, mayma tembiporu upevarã oiva rupive.
20-00	Art. 20
20-01	Mayma yvypóra oguereko derecho ijatyvo oñondive ha ojapóvo joaju hapicha kuéra ñorairõʼyre.
20-02	Avavépe ndaikatúi ojejopy oike hagua petel asociaciónpe.
21-00	Art. 21
21-01	Mayma yvipóra oguereko derechoijávo hetã resambyhype, haʼete voi, yro katu hemimoĩngue, hʼae oiporavo vaʼekue rupive.
21-02	Mayma tapicha oguereko derecho petelĩchapante, ohupityvo cargo público kuéra hetãme.
21-03	Mburuvicha kuéra omanda ha oisambyhy hagua teta, tetãygua kuéra omeʼeẽ ichupekuéra upe puʼaka. Ha ko tetãygua kuéra rembipota ojechauka vaʼerã elección ipotiva rupive,cada cierto tiempo oiko vaʼerãva, maymavaite ijahápem ha peteicha ivoto kuéra ovalehápe; avei avave oikuaaʼyre mávarepa revota, ikatu haguaicha avave nandejopyiupe jeporavo apópe.
22-00	Art. 22
22-01	Mayma yvypóra, haʼerupi sociedad pegua, oguereko derecho pe sociedad oñangarekóvo hese. Upevaã pe hetã oñehʼã mbaite vaʼerã, ha tetãnguéra oñopytyvõ vaʼerã, recurso ha organización tetã oguerekóva rupive, maymavaite ohupity hagua hemikotevẽ económico social ha cultural, oiko hagua ichugui persona añetete.
23-00	Art. 23
23-01	Mayma yvypóra oguereko derecho ombaʼapóvo ojeheguiete hembiaporã, pe imbaʼapópe oñemonguʼévo iporãve haguáicha, ha oñeñangarekóvo hese ani opyta trabajoʼyre.
23-02	Mayma yvypóra oguereko derecho, mbaʼeveichagua jeporavoʼyre, pretelchante ojepagávo ichupe, petelchaterõ hembiapo.
23-03	Mayma ombaʼapóva oguereko derecho oganávo hekópe porã, oikokuaa haguáicha, haʼe ha hogaygua, idignidad humana ojerure háicha. Ndohupitypáirõ ichupe oimeraẽva medio pytyvõrã sociedad oguerekóvagui.
23-04	Mayma tapicha oguereko derecho ojapóvo sindicato ha ojoajúvo hapicha mbaʼapohára ndive, iñinterése kuéra odefende hagua.
24-00	Art. 24
24-01	Mayma yvypóra oguereko derecho opytuʼúvo, hoʼureimivo nombaápoi jave; avei ombaʼapóvo ombaʼapo hagua haʼóra pevénte, ha ivacaciónvo oguahẽ vove jepi tiempo, ha upe aja ojepagávo ichupe.
25-00	Art. 25
25-01	Mayma yvypóra oguereko derecho oikove olgadomivo, ani hagua ichupe voi, ha hogayguápe avei, ofalta hoʼuvaʼerã, ipohã repyrã, iñemonderã, óga oiko hagua, ha ambue mbaʼe oikotevẽva oikove hagua. Iderecho avei oguereko seguro oñemongui ramo guarã imba apohágui, terã katu hasy, ndovalevéi, iména mano, itujaiterei, térã ambue mbaʼe rupi indojevale kuaavéi ramo guarã ojehe.
25-02	Sy ha mitãre oñeñangareko vaʼerã iporave haguáicha. Mayma mitã, omendáva oguereko derecho sociedad oñangarekóvo hesekuéra.
26-00	Art. 26
26-01	Mayma yvypóra oguereko derecho ojehekomboʼeukávo. Pejehekomboʼe reínte vaʼerã, pe iñepyrũetépeguánte jepe. Pe tekomboʼe jehai ha jeleénte jepe hagua, haʼe vaʼerã obligatorio. Profesión kuéra ha técnica ñeaprende, olvaʼerã enteroitépe ohupity haguaicha. Umi universidad rupi ojeike hagua, katupyry rehente odepende vaʼerã, ha mayma interesádope oñemeʼẽvaʼerã juruja.
26-02	Pe educación rembiaporã haʼevaʼerã: tojapo tekove mayágui persona añetete, okakuaáva opáichavo. Omombarete vaʼerã derecho ha libertad ñemombaʼe guasu. Oipytyvõ vaʼerã olhagua jekopyty, ñoaguanta kuaa, joayhu, mayma tetã ha raza terã religión oñondive. Omboguata vaʼerã avei umi tembiapoukapy Naciones Unidas omolva ol hagua tapiaite pyʼaguapy.
26-03	Sy ha tuvakuéra oguereko derecho itendondévo oiporavo hagua mbaʼéichagua educaciónpa oñemeʼẽta imitãnguérape.
27-00	Art. 27
27-01	Mayma yvypóra oguereko derecho oparticipávo, avave ojopy terã ojokoʼyre ichupe, incomunidad rekotee ñeñandukápe; ombovyávo ichupe umi tembiapokue porã hechapyrã; avei oparticipávo umi arandu pyahu oikévape, ha umi jeiko porãve koʼãgarupi oúvape.
27-02	Mayma yvypóra oguereko derecho oñeñangarekóvo ichupe interese moral ha material oguerekóva rehe, haʼérupimbaʼepyahu terã ñeʼẽ yvoty, kuatia arandu térã tembiapo hecharamomby apohare.
28-00	Art. 28
28-01	Mayma yvypóra oguereko derecho ojejapóvo ichupe hetãsme ha hetãnguéra apytépe, petef jeikoha oñemoʼañatehape derecho ha libertd kuéra onnemolva ko Declaraciónpe.
29-00	Art. 29
29-01	Mayma yvypóra oguereko tembiaporã comunidad ndive guarã, upépe mante ikatúgui okakuaa ha hiʼaju persona haicha.
29-02	Léi mante ikatu omol linde ikatuʼyva jahasa jaiporukuévo ñande libertad kuéra, ani hagua ñapyru ñande rapicha derecho ha libertad rehe; avei jaiko hagua moral ojerure háicha, orden público oipota háicha, ha petel sociedad democrática reko pyʼaguapy oikotevẽ Háicha.
29-03	Koʼã derecho ha libertad juéra mbaʼeveichvérõ ndaikatúi ojeporu Naciones Unidas oipota ha opensáva cóntrape.
30-00	Art. 30
30-01	Mbaʼevepunto ko Declaraciónpe olva noñentende vaʼerãi omeʼẽ Estádope, petel aty térã petel tapichápe, omoñepirũ ha omboguata hagua algún tembiapo ikatúva omboyke petelva jepe umi derecho ha libertad kuéra oñemboysyva ko Declaraciónpe.
