00-00	Mehen oiktuziden ühthine deklaracii
07-01	Kaik mehed oma ühtenarvoižed zakonan edes i heil om oiktuz’ eroita zakonan kaičendaha. Kaikil mehil om oiktuz’ ühtejiččehe kaičendaha miččen taht diskriminacijaspäi, kudamb keskustab necile Deklaracijale, miččen taht rehkandaspäi diskriminacijaha.
08-00	8. kirjutez
08-01	Jogahižel mehel om oiktuz’ effektivižehe hüvästamižehe händast oiktuziš kompetentižiden rahvahaližiden sudiden pätusel siloi, konz hänen konstitucijal vai zakonal anttud päoiktuded om keskustadud.
09-00	9. kirjutez
09-01	Nikeda ei sa melenvaldal türmata, pidätada vai küksta, ajada manpagoho.
10-00	10. kirjutez
10-01	Jogahižel mehel, miše märita ičeze oiktuzid i velguzid i sada todištust ezitadud hänele kriminaližes värituses, om oiktuz’ hänen azjan tarkištelendaha täuden ühtenarvokahuden pohjal ripmatomal objektivižel sudal avoin, pidädes oiktuden küzuid.
11-00	11. kirjutez
11-00	Pahas tegos väritud mehel om oiktuz’ lugetas värutomaks sihesai, kuni hänen vär ei linne tedištadud zakonan jäl’gendusel avoin sudan tarkištelusel, konz hänel oma kaik voimused kaičendan täht.
11-01	Nikeda ei sa sudida pahas tegos, tehtud vai tehmatomudes, kudamb ei olend pahan tegon rahvahaližiden zakonoiden mödhe vai rahvazkeskeižen oiktuden mödhe. Mugažo ei voi olda ustavzoitand kovemb, mi se, kudamb voiži olda sen aigan, konz oli tehtud paha tego.
12-00	12. kirjutez
12-01	Ei sa melenvaldal ličtas nikenen personaližehe eloho i kanzan eloho, hänen kodi, počtoigendused i hänen arvostuz oma koskmatomad. Jogahižel om oiktuz’ zakonan kaičendaha mugoižes ličendaspäi i kosketandaspäi.
13-00	13. kirjutez
13-00	Jogahižel mehel om oiktuz’ sirdeltas joudajas i valita ičeleze eländsija kaikuččen valdkundan südäimes.
13-01	Jogahižel om oiktuz’ lähtta maspäi, mugažo ičeze maspäi, i pörttas ičeze maha.
14-00	14. kirjutez
14-00	Jogahižel mehel om oiktuz’ ectä kaičuzsija mokičijoišpäi toižiš maiš i olda sigä.
14-01	Necil oiktudel ei voi olda väged, konz küzünd om todeks ei politižes pahas tegos vai Ühthižrahvazkundan pätegendoid i principoid vastkaroičijas tegos.
15-00	15. kirjutez
15-00	Jogahižel mehel om oiktuz’ rahvahudehe, olda valdkundan rahvahanikan.
15-01	Nikenel ei sa melenvaldal anastada rahvahut vai oiktut vajehtada rahvahut.
16-00	16. kirjutez
16-00	Täuz’igäižil mužikoil i naižil om oiktuz’ naida, mända mehele i tehta kanz kacmata rassan, rahvahuden vai uskondan eroihe. Heil oma ühtejiččed oiktuded naindaha i mehele mänendaha, olendaha i erigandusen jäl’ghe.
16-01	Naida i mända mehele voib vaiše molembiden poliden täudenke i joudajanke tahtonke.
16-02	Kanz om ühthižkundan londuseline augonpanii jouk i sil om oiktuz’ ühthižkundan i valdkundan kaičendaha.
17-00	17. kirjutez
17-00	Jogahižel mehel om oiktuz’ pidäda elomišton üks’näze vai toižidenke.
17-01	Nikenel ei sa melenvaldal anastada hänen elomištod.
18-00	18. kirjutez
18-01	Jogahižel mehel om meletusen, mel’tundon i uskondan vald, neche oiktudehe mülüb vald uskondan vai kacmusiden vajehtamižehe, mugažo vald uskondan vai kacmusiden pidämaha üks’näze i mugažo ühtes toižidenke, kaikiden nähtes vai üks’näze opendamal, uskondradol, uskondan i ritualižiš tegoiš.
19-00	19. kirjutez
19-01	Jogahižel mehel om oiktuz’ kacmusiden valdha i niiden ezitamižehe, neche mülüb oiktuz’ telustamata pidäda ičeze mel’pidod, mugažo oiktuz’ ripumata valdkundan röunoišpäi ectä, sada i levitada tedoid i meletusid kaikiden maneroiden abul.
20-00	20. kirjutez
20-00	Jogahižel om oiktuz’ kožmuseližiden suimiden i ühtenzoitusiden kogomuzvaldaha.
20-01	Nikeda ei sa käskta ühtneda miččehe-ni ühtenzoitusehe.
21-00	21. kirjutez
21-00	Jogahižel mehel om oiktuz’ ühtneda ičeze man ohjandamižehe kohtha vai valitud ezitajiden kal’t.
21-01	Jogahižel om oiktuz’ päzuda ičeze man valdkundaližele radole.
21-02	Rahvahan taht om valdkundmehišton alandusen; nece taht tarbiž ezitada aigkeskustoin tehtud oiktoiš, ei värenzoitusiš valičusiš, kudambiš kaikil om ühthine i ühtejitte änenoiktuz’ peitänestamižen abul vai toižiden änestamižvaldan pidijoiden maneroiden abul.
22-00	22. kirjutez
22-01	Jogahižel mehel, kut ühthižkundan ühtnikal, om oiktuz’ socialižehe holištoho, mugažo oiktuz’ rahvahaližen tegoiden i keskrahvahaližen ühthižradon kal’t, ottes homaitusehe kaikuččen valdkundan järgenduz i varad, antta hänen mez’arvokahudele i personan joudajale kehitoitusele tarbhaižid ekonomižid, socialižid i kul’turižid oiktuzid.
23-00	23. kirjutez
23-00	Jogahižel om oiktuz’ radoho, radsijan joudajaha valičusehe, oiktoihe melevuzihe radon oloihe, mugažo kaičendaha radotomudespäi.
23-01	Jogahižel mehel om oiktuz’ miččeta-ni alenzoituseta sada ühtejiččen paukan ühtejiččes rados.
23-02	Jogahižel radajal mehel om oiktuz’ oiktaha i täudubaha paukaha, kudamb andab hänele i hänen kanzale mehen arvoižen olendan i kudamban, ku tarbiž, täutaba toižed socialižen holišton manerad.
23-03	Jogahižel mehel om oiktuz’ tehta eloradoližid ühtištusid i mülüda niihe ičeze azjoid polestamha.
24-00	24. kirjutez
24-01	Jogahižel mehel om oiktuz’ lebuhu i joudajaha aigaha, radpäivän melevaha röunatusehe i makstud märaigaližehe lebupästusehe.
25-00	25. kirjutez
25-00	Jogahižel mehel om oiktuz’ elon korktusehe, kudambaha mülüb sönd, sobad, kodi, tervhuz’holitand i pidab socialine holituz, mitte tariž hänen i hänen kanzan tervhuden i hüvinvoindan täht. Jogahižel om oiktuz’ holištoho mugomas azjas kut radotomuz’, läžund, invalidan olend, lesken olend, vanhuden tulend vai toižiš hänen tahtospäi ripumatomiš radvoindan, elovaroiden kadotusen azjoiš.
25-01	Mamoil i lapsil om oiktuz’ erasehe holištoho i abuhu. Kaikil lapsil, oma-ik hö sündnuded naidud kanzas vai ei, oma ühtejiččed socialižed holituzoiktuded.
26-00	26. kirjutez
26-00	Jogahižel mehel om oiktuz’ sada opendust. Opendusele, kaikense augotižopendusele i keskopendusele tarbiž olda maksutoman. Augotižopendusele tarbiž olda tarbhaižen. Tehnižele i tedomahtoižele opendusele tarbiž olda kaikile kožujan, üläopendusele tarbiž olda ühtejiččin avoin kaikile heiden mahtoiden mödhe.
26-01	Opendusele tarbiž olda oigetud mehen personaližuden kehitoitamižehe, mugažo mehen oiktuziden i pävaldoiden arvostandan vahvištamižehe. Opendusele tarbiž abutada kesknäižele el’gendusele, tirpandamižele i sebrastusele kaikiden rahvahiden, rass- i uskondgruppiden keskes, mugažo abutada Ühthižrahvazkundan kožmusen pidändan tegoiš.
26-02	Vanhembil om ezmäisijaine oiktuz’ valita ičeze lapsile opendusen ladud.
27-00	27. kirjutez
27-00	Jogahižel mehel om oiktuz’ joudajas ühtneda ühthižkundan kul’turižehe eloho, sada ihastust taidehes, mugažo ühtneda tedoprogressaha i kävutada sen satusid.
27-01	Jogahižel mehel om oiktuz’ hänen moraližiden azjoiden i materialižiden satusiden kaičendaha, kudambad oma hänen tedo-, literatur- vai taidehtöiden satusen i hän om niiden tegii.
28-00	28. kirjutez
28-01	Jogahižel mehel om oiktuz’ mugoižehe socialižehe i rahvazkeskeižehe järgendusehe, konz neciš deklaracijas ezitadud oiktuded i valdad voiba täudes todenzoittas.
29-00	29. kirjutez
29-00	Jogahižel mehel om velguzid ühthižkundan edes, vaiše siš voib olda hänen personan joudai i täuz’ kehitoituz.
29-01	Kävutades ičeze oiktuzid i valdoid jogahižel mehel voiba olda vaiše mugomad röunatused, kudambad oma vahvištadud zakonan mödhe, miše tundustada i arvostada toižiden oiktuded i valdad, mugažo moralin, kundaližen järgendusen i üleižen hüvinvoindan demokratižes ühthižkundas.
29-02	Nenid oiktuzid i valdoid nikonz ei sa kävutada Ühthižrahvazkundan pätegendoiden i principoiden vastkaroites.
30-00	30. kirjutez
30-01	Nimidä neciš deklaracijas ei sa el’geta muga, miše mitte-ni valdkund, mehiden grupp vai üks’ mez’ voib oiktuziden pohjal tehta mugomid tegoid, kudambad om oigetud heitmaha ezitadud neciš deklaracijas oiktuzid i valdoid.
