00-00	HAADAMA RENMUM TAQUN DORONDEN DANTAQIYE DUNA NOXO (1948)
16-00	Yugo do yaxare ga na yexu baga, i raawa yexini me ya, na ka sigindi. I ga nta xabiila, jamaane ma diina baane ra nta ken kabana. Yugo ke do yaxare ke yan baana taqu yexu ke noxon ŋa ma ga na bogu.
16-01	Yexun ñaana yugon do yaxaren ñaamariyen kanma.
16-02	Kan ya ni jamaaren soron gondoman ŋa fankan nan siri a tangana.
17-00	Tonte 17
17-00	Sere raawa naabure kitta, a ga ña kafon ŋa ma duran naabure.
17-01	I ra nta sere naabure buusunu a yi xafu kanma.
18-00	Tonte 18
18-01	Sere su raawa sinmene moxo be gan liŋo an dan ŋa, na ro diina. Ken taqe yan sigi, a ga raawa gilli ke diina katta baane tana. A raawa i diina bagandi sellan ŋa, a baane ma a do soro tanani, ma a kan noxo, a raawa a xaraŋundini, nan bati.
19-00	Tonte 19
19-01	Sere su raawa xibaare walla moxo be gan liŋo a dan ŋa, na kun wariyu bagandi sellan ŋa. Ken wure ni ya sere su raawa wariyu kitta, na a muuru, ma na a sanqi noqu su, moxo su, i ga nta an tanpindini.
20-00	Tonte 20
20-00	Sere su raawa soro kappa me man na fedde taaxundi.
20-01	I ra nta sere su rondini fedde ya a ga nta a liŋun ŋa.
21-00	Tonte 21
21-00	Sere su yinme raawa kappa jamaanen xibaarun ga ku beenu maxa, ma a faari taaxa be a ga a suga.
21-01	Jamaanen saare renmun su nan baana taqu kuudo nan golli fankan da.
21-02	Jamaanen soron ga ke be mulla ya ni fankan gondoman ŋ. I ga ke be mulla, I nan siri a bangandini ti sugandindi laabante.
22-00	Tonte 22
22-01	Sere su ga kappa jamaanen soro, a nan siri daxa kitta. A gan siri foonu beenu kitta katta kuureye, kuudo fo nan maxa bono a saraaxun ŋa, ti jamaane ma jaman falle deemande kun kappa a taqun ya.
23-00	Tonte 23
23-00	Na golle kita, na angollen suga, na a dabari xanne liŋe, na an tanga gollinbalaaxu kun su wa kappa sere su taqu.
23-01	Soro ga na ñi golli baane dabarini, I nta fuŋoono me ya tugaadi.
23-02	Sere su ga golliñaŋaana, a nan siri tugaadi kitta ya a do i koren ga katta bireene ti a yi sutura noxo.
23-03	Sere su do soro tanani raawa kafiini na golliñan fedde sigindi, ma nan ro golliñan fedde kuudo na i taqun tanga.
24-00	Tonte 24
24-01	Nan tuuma, na an feten bogu me wa kappa seren taqu, na xenpa kita golliñan do tuuma waxitinu a ga nta kaara su toorono.
25-00	Tonte 25
25-00	Na feere kita kuudo an do an kore na bire moxo sire kita, yonki saha, yigande, feetu fatande, hire noqu, jaare noqu a do koroosindu beenu kan gan siri i kitta. Na a deema selli a ga nta gollini, kaagumen ga na-bono ma selli a ga ra ntaxa du birandi a sago ga fe.
25-01	Saareye do lemiñaaxu nan siri koroosindi daritante kitta lemine su a ga saare kacce ma a ga ma saare kacce, i sun siri tangene moxo baane ya.
26-00	Tonte 26
26-00	Sere su nan siri xaranŋa, xaranŋunde ke jonko nta a yi xarankonpo lenmu ki. Haadama renme su nan fatanta xarankonpo lenmu ku. .I nan gollen tuwaaxun xaranŋen ntalan wuñini katta haadaman ŋa. Sere su tuwaaxun ya na an rondini meyisi xooro ku.
26-01	Xaranŋunde ke nan siri seraaxun ya wundunu na haadama renmen taqun do i doronden tuwindi. A nan siri me-faamunde, yanpanden menjanŋaaxun ya roono jamaanun naxa do saran xabiilanu, diinan kafonu. A nan siri Duna feddi xooren gollu katta jamu kuurandini.
26-02	Saaraanon fina yan sugandini lemunun dan ŋa xaranŋen kille.
27-00	Tonte 27
27-00	Sere su taawa kappa taaxen laadan xibaarun kuurande, nan taawe i bogu dinma su nan kafi i kuurandi munnafa.
27-01	Sere su raawa i gollen munnafan tangana, a ga ña safande, laadan xibaare ma fo tana.
28-00	Tonte 28
28-01	Sere su wa wulla jamu nan ña i jaman noxo do jaman falee kuudo taqun do du-kiteyu beenu ga koŋi ke dantanqirji kayiti noxo nan sabati.
29-00	Tonte 29
29-00	Waajibinun wa seren da katta jaman ŋa, ken noxon ŋa, a du-kiteyen do a seraaxun kuureyen baane yan katta ñaana.
29-01	Sariyan da xenpa ña kuudo sere su nan maxa dangi i taqun do i du-kiteyu.
29-02	Ku taqu do ku du-kiteyu fa nta ñaana selli i do Dun Feddi xooren anniyun ga nta telle doome.
30-00	Tonte 30
30-01	Ke dantaqiyi kayiti tonto ku ra nta ñaana jamaane, kafo ma sere su dan ŋa kille kuudo na seron taqun do I du-kiteyun bonondi.
