00-00	MINMURUS WANTAAWARUSPA
03-01	Wuantaruz intipituokaz m+jatpa nitmtjatpai tuammakpaz liberta purai sekuritakaz m+jatpamakpaz awaruzpa
04-00	Artikulu ampara
04-01	m+nkaz puran napt+t esckapitukaz serpitumprekaz
05-00	Artikulu shish
05-01	Wantaruspa Kara napt+t turturane m+nkas chi wantm+jan inhumanurus
06-00	Artikulu wat
06-01	Wantuz uspa humanukaz m+jmai nitm+jan wantuspa kai rekunucimiento up persona litai juritika
07-00	Artikulu ita
07-01	Wanturus kawarain mai annamin ley m+jmai sunka nitm+jan m+jan kawarain prutekitpa ley m+jan wantuspa m+jmai nit +n kawuara m+jan pruteccionm+jan kuntram+jan paitarusa
08-00	Artikulu tuil
08-01	Wantuspa awa m+jan nit +tpa m+jmakpaz an recursukaz efectipu an na m+jatpa tripunalkaz nacionalkaz rumpet+ntekaz suna ampara kitpa kuntramakpaz an aktuskza piolakiman an nit +tpamakpas funtamentaleskaz piankar+t an kunstitucionne an leykaz ishtawamakpas.
09-00	Artikulu pikam
09-01	m+nkaz p+r+chi arpitrariamentene m+nakazpizmuchi wuasana pisht+t.
10-00	Artikulu maza chalkuil
10-01	Wantarusa awane m+jmai nit +m+zna m+ji an kunticioneskaz kawarain m-t-Jatpai kashaptawai wantarusa kashtawai sun justiciane sunta tripunalta intipentientera imparcialkaz kara terminaciunkaz kitpa sun nit +tpai uplikaciun m+ji an examenta chiwasha kÇlshaptawai kontramakpaz uzparusa.
11-00	Artikulu maza maza
11-00	Wanturuzpa awakaz akLJsakitpa ,ah telitukaz m+jatpa nit +npa wantarusa kaishkuintakitpa an leyne juiciukitpa pupliku wat samat m+jatpai karntiakaz wan samatm+jatpai tefensakaz sarawai chiwashakaz.
11-01	Paz .m+nkaz kuntenakitpa sun kumisiunkaz nit +n naciunalkaz internaciunalkaz chiwashakaz p+na t+ntakal kumicionkaz kuailkir+t tawa septawai kara ishtawai paitaruza kuintakitpa wantuskasa.
12-00	Artikulukaz maza paz
12-01	M+nkaz kara ubjetipukaz injerenciane arpitrariakaz an pitakaz pripatakaz an kualkaz up tumicilione sun konrrespontientene atakekaz up hunrane up reputacionkaz .wantuzpa awaruspa m+jmai dereçhom+ji proteccionne leyta kontra m+jmai injerenciakaz wualmaltamai
13-00	Artikulumaza kutña
13-00	Wantus awarusne m+jmai nit +n sirkularkaz lipremente mai elijelitpa resistensiakas an su territuriumai sun estaduras
13-01	Paz. Wantuspa awaruspakai m+jmai watmilna nitm+lna chiwacha sun pamikawa an kailninna sun paista,
14-00	Artikulu maza ampara
14-00	Maza kainam wan awaruza t+nta sunkanan saim watpuran m+ntat wan sura
14-01	Paz, An nitnezazachi
15-00	Articulu maza shish
15-00	Maza. Wantuz awaruz m+jmai nitm+jmatpaz maza p+puchin
15-01	Paz. m+nkas waitkischazachi ut p+p+rurane chinkas maizmizhizh kizchasaçi sunkana nitm+ne ut suranePaz. m+nkas waitkischazachi ut p+p+rurane chinkas maizmizhizh kizchasaçi sunkana nitm+ne ut surane
16-00	Articulu maza wak
16-00	Maza ampuruzne ashampakaz mucitupar+ne sunkanan nit m+J kawarain izht+t kual mam+z p+pHuraz kualne mam+z izt+t, karane sunkanan m+tmu achanparane kualtusane chatpamai kawara nit m+jatpamai mishuran kasalakitpa annamin kasalakitpa kara watm+ltawai an kasalakitpa.
16-01	Paz. Masain annamin masainchan m+nkasakazshi kashkuintakitpa mamaztusa wat minna ashampakaz nit +n wat m+lna kalakin.
16-02	Maza au kualtuz anna pit, puramtus fundamentalne susietakaz m+jmai nit+n m+jan prutejikitpamakpas au sucietakaz an paistane.
17-00	Artikulu maza ita
17-00	Mata pwantus awarusne m+jmai nit+n+npa auruspa kai pakashpâ kulectipamai
17-01	Maza m+nkas wuacha auruspamai an nit m+jan aruspa au pamikamakpas minkas nakamchi au kaltus katmishna suain purammakpas.
18-00	Artikulu maza tuil
18-01	Au tuampakpaz masainpa purammakpaz kolectipamentekaz pupliku puram nit m+jmakpaz nit +tpamakpaz an kamtamtus kara wuat +n+n an kalne.
19-00	Artikulu maza pikam
19-01	Wantuz paittarus nit+n+n p+na wat nit chatpamakpas upiuonkas m+jatpai wat nit +n kachapnachiwal m+nakas m+marawai chiwacha infurmaciunkaz kitpa frunteraras chiwacha m+mana.
20-00	Artikulu Paz chalkuil
20-00	Maza. Wantuspa awaruspa nit +npa lipertakaz wanmaktawai asociacionkas pasiflkakaz.
20-01	Paz .m+nkaspuerichi karakas nit +tpa +nintawai asuciacionta.
20-02	Kutna. p+p+lukasa wat +tpamai kaksaruska5a t+ntaruskasa puplikukas kaiwintayva paitarùsa kuintakianashi maintasne aza +n munnaautentikas sanais wanmaktawai azachatpa wantuskasa kawarain puinain kiantawai pailtarus m+latpa kiantawai wantuspakai.
21-00	Artikulu paz maza
21-00	Wantuspa awaruspa nit +tpai wuuanmaktawuai kaksamiwuakasa AP paistas uskasa kuintakin aptas kakuras kasa wanmakmuruskasa masamasain sairawamakpas.
22-00	Artikulu Paz Paz
22-01	Wantus awaruskasa nit m+jan an kalne uspain saanapa sun kal konticionkas wat kalkitpa ekitatipa ishmukas m+jatpa karakas esfuesu m+jatpa wat wanmaktawa izan pialkas t+ntaruskasa paranitpai pais kas nit +n pialkasa auruspa tGamtuspa m+nkas kasaptachiwa punfan tuan anna +n paittaruskasa.
23-00	Artikulu paz kutfia
23-00	Maza. Wantus wawaruskasa nit m+jan karakas wat kalkin wanturuskasa an kaltus wat puran chikas kitchiwa watsalmin kalkitpa anna +n sun kaltus watmin +m+shna.
23-01	Paz. Wantus awarusmin nit +tpamai an kaltus watkimain mamas kawarain kalkitpa kawuarain m+ltawamakpaz
23-02	Maza. Wantusmin awarusne nit +tpa an kalne nit chatpa masa kaltus renumeracionkitpa p+na watmin kara nitchatpai wan kualtuskasa masa wat puran chikas kitchiwal humanakas katmizna wal puran.
23-03	Paz. Wantus awain nit +n au chiwasha kaltus wat kuintakitpa an kalne wanmaktawai pailtaruskasa kara t+ntaruzkasa wat nit +tpamak'paz,
24-00	Artikulu paz ampara
24-01	Wantuz awarus nit +tpamai karakaz kuaishkultawai mamaz sairawai mamaz kal akuan payu chatpa ishtawai mamaz kal akuan kalkitpa pakacionkaz periutikaz p+ntit
25-00	Artikulu paz shish
25-00	Maza . wantLJZPé:l ëlwaruz nit m+jatpa auruzpakai au tuamtuspa an tuan watpuran kupairuzkasa karakaz kualtuskaz imtukitchin puran pienestarkas wasalmin kumira pin wat tuan wasan istukika paitta serpiciukas social kas pachimtumakpaz wan nit +npa karakaz wan nit m+jatpa paitakalkaz ishmukaz piotakaz +Iapakaz mamazkaz kar+tkaz SUr] kar+kaz kuailkir+ka chi.wacha m+janne chiwacha pialm+jatpa.
25-01	Maza .sun maternitakaz sun nit +tpamai kuirakitpa un Chat ashpa wan . paishparusa chiktaruz kasakitpa uspane wan nit +tpamai sun kaltus.
26-00	Artikulu paz wak
26-00	Maza. Wan awarusne nit chatpamai an p+nk+h kamnu yalta karakaz muinchi kainm+lkamtui an p+nk+h kammuruzne pialchi kain kar:ntumai masantuzne
26-01	Paz. p+nk+h kammu sarawa t+kaza sunkana kamchan awaruzkasa wanmakkit anFia +mizna chikazkiztachiwa nitsar+tne awarusa watpuran minpa ainjtaz kaiwaintawamakpaz wàn m+tchatpa kupairu m+jatpa mamaz suraz wantuz wanmakchatpa mamaz kualkasakaz chachikitpa anna m+lmizna sunkal sukazakaz kuirakitpamakpaz watpuran.
26-02	Karakaz wat p+nk+h kammu yal m+jatpamakpaz au nit +m+shna wantaruskaza Wantus nit m+jmakpaz karane chiktamakpaz au nit +m+shna au sura wantusa wanmakt+t puratpamakpaz au mi wat nit +m+zhna
27-00	Artikulu paz ita
27-00	Kutna. Karakaz paishtuzkaz m+jashinamai nit puran sairawa mamaz tuntu p+nk+h kammu washinai m+lashina up painkultusa
27-01	Wantus awarus nit chatpa an kuintakintpa m+nakaz kaishaptachiwain m+nkaz uzpain masain chanapa p+p+lusane apkultura awane kapumakpaz wanmakt+tpuramakpaz aune +tpamakpaz wanmakna usparuskasa an kaltus produccionkaz cientifikukaz chiwachakaz sunkalne m+jatpa.
28-00	Artikulu paz tuil. wantuzka
28-01	M+jmakpaz nit+m+shna sunkal katmishna wat kalkinpa makpaz karakaz wat nitm+jan anne intenacionalkaz uspakaz nit m+jmaim+nminkaz kashamuchi atchan nit sana suazne sarawai nitpara wattan.
29-00	Artikulo paz pikam
29-00	Maza. Wan awaruz wattchatpamakpas p+p+rura uzpain kêiikishinamai wankal piankamchan
29-01	Paz.pakamchamizna an nit m+ntatchan m+nkazkachatmuchi wan awaruz uzparuzpain satkitt+p+nk+h samsatm+lmizna p+nk+h t+nta sunkana satm+ltawamakpaz wail piankamchan chikaz kaizchatchiwa sunkana nitsar+t m+jne watpuran mamazkazaruzkaz aishtaiz kizna pichipmin wayaiz nukulmizna wait minmisnane kuitkizmiznane wantuz purakin pana tuntu minkit satm+lmizna.
29-02	Maza wantuz nitsar+tne m+nkachapmuchi p+r+chimai maintazne sar+tt+ uzt+t+ masain kazchan mamaz su.raz kaizta.
30-00	Artikulo kutfia chalkuil
30-01	Ankara sar+tne nitpuzpuztutne sashina kaizkuintakitpa sunkanawasha mintu maztus' sùraz maza kual wanmakt+t maza awara suna putnainmizna wankammizna kalkittaizpa chine samizna wankal wan nitpuzna chiwashza nitpuzt+ttne watchan nitpuzt+kane puzt+m.
