00-00	Адам хукукларының әхлиумумы Декларациясы
18-01	Хич бир адам пикир, выҗдан ве дин азатлыгына хаклыдыр, бу хак өз диниңи я‐да гарайшыңы эркин үйтгедип билмеклиги, эркинликде өз диниңе я‐да гарайышларыңа өзбашдак я‐да көпчүликлейин уюп билмеклиги, көпчүликлейин я‐да еке‐тәк ягдайда өвренмеклиги, худая гуллук этмеклиги хем‐де ритуал дәплери ерине етирмеклиги өз ичине аляр.
19-00	19‐нҗы МАДДА
19-01	Хер бир адам эркин дүнйәгарайыша ве оны эркин аян этмәге хаклыдыр. Бу хак хич бир пәсгелчиликсиз өз дүнйәгарайшыңың тарапыны тутмак эркинлигини ве информацияны ве идеялары дөвлет арачәклеринден баглы дәл ягдайда дүрли серишделер аркалы гөзлемек, алмак ве яйратмак эркинлигини өз ичине аляр.
20-00	20‐нҗи МАДДА
20-01	Хер бир адам парахатчылыклы йыгнанышыклар ве ассоциациялар эркинлигине хаклыдыр.
20-02	Хич бир адам хайсыдыр бир ассоциация меҗбуры ягдайда гиризилип билинмез.
21-00	21‐нҗи МАДДА
21-01	Хер бир адам гөс‐гөни я‐да эркин сайланан векиллериң үсти билен өз юрдуны доландырмага гатнашмага хаклыдыр.
21-02	Хер бир адам өз юрдунда дөвлет гуллугына дең ыгтыярлы гирмәге хаклыдыр.
21-03	Халкың эрк‐ислеги хөкүметиң хөкмүрованлыгының эсасыны дүзмелидир. Бу эрк‐ислег вагтал‐вагтал ве галп дәл ягдайда гечирилйән, сес азатлыгыны үпҗүн эдйән, гизлин ягдайда я‐да оңа дең дереҗедәки башга гөрнүшде гечирилйән, әхлиумумы дең сайламак хукугы боюнча гечирилйән сайлавларда йүзе чыкмалыдыр.
22-00	22‐нҗи МАДДА
22-01	Хер бир адам, җемгыетиң агзасы хөкмүнде, социал үпҗүнчилиге, ве хер бир дөвлетиң дүзүмине ве мүмкинчиликлерине лайыклыкда милли тагаллаларың ве халкара хызматдашлыгың үсти билен өз мертебесини ве ыкдысадыетдәки, социал ве медени угурлардакы хукугыны өз шахсыетини эркин өсдүрмәге уланмага хаклыдыр.
23-00	23‐нҗи МАДДА
23-01	Хер бир адам зәхмете, иши эркин сайламага, адалатлы ве оңайлы иш шертлерине ве ишсизликден горалмага хаклыдыр.
23-02	Хер бир адам, хич хили хукугы кемсидилмезден, дең зәхмете дең хак алмага хаклыдыр.
23-03	Хер бир ишлейән адам, өзүни ве машгаласыны яшамага долы үпҗүн эдйән, герек болса башга социал үпҗүнчиликлер билен үсти етирилйән, адалатлы ве канагатланарлы төлеге хаклыдыр.
23-04	Хер бир адам өз бәхбидини горамак үчин професионал союзларыдөретмәге ве профессионал союзлара гирмәге хаклыдыр.
24-00	24‐нҗи МАДДА
24-01	Хер бир адам етерликли чәклендирилен иш гүнүни ве вагтал‐вагтал берилйән төлегли зәхмет ругсатлары өз ичине алян дынч алыша ве бош вагта хаклыдыр.
25-00	25‐нҗи МАДДА
25-01	Хер бир адам, иймити, гейими, яшайыш җайыны, онуң өзүниң ве машгаласының абаданчылыгыны ве саглыгыны сакламак үчин зерур болан социал гуллугы ве герек болан медицина хызматыны шейле хем ишсиз галан ягдайдакы, нәсаг боландакы, инвалид боландакы, дул галандакы, гарран вагтындакы я‐да онуң өзүне баглы дәл ягдайда эмеле гелен яшайыш серишделеринден кесилендәки үпҗүн  эдилмәге болан хукуклары өз ичине алян дурмуш дереҗесине хаклыдыр.
25-02	Энелик ве чагалык айратын хоссарлыга ве көмеге хукук берйәр. Хемме чага, никалы я‐да никасыз догланлыгына серетмезден, бирмеңзеш социал горагдан пейдаланмалыдыр.
26-00	26‐нҗы МАДДА
26-01	Хер бир адам билим алмага хаклыдыр. Билим, иң болманда башлангыч веумумы билим, мугт болмалы. Башлангыч билим хөкманы болмалы. Техники ве профессионал билим хеммә элъетерли болмалы ве ёкары билим хеммелер үчин, хер кимиң башарныгына гөрә, дең дереҗеде элъетерли болмалы.
26-02	Билим адамзат шахсыетиниң долы өсмегини ве адам хукукларына ве эсасы азатлыклара болан хорматы өсдүрмәге гөнүкдирилен болмалы. Билим әхли халклар арасындакы, җынсы ве дини топарлар арасындакы өзара дүшүнишмеклиге, чыдамлылыга ве достлуга көмек этмели ве Бирлешен Миллетлер Гурамасының парахатчылыгы голдамак боюнча эдйән ишине ярдам этмели.
26-03	Ата‐энелериң өз кичи чагалары үчин билимиң гөрнүшлерини сайламакда артыкмач хукуклары бардыр.
27-00	27‐нҗи МАДДА
27-01	Хер бир адам җемгыетиң медени дурмушына эркин гатнашмага, сунгатдан леззет алмага, ылмы прогрессе гатнашмага ве онуң мивелеринден пейдаланмага хаклыдыр.
27-02	Хер бир адамың ылмы, эдеби ве чеперчилик зәхмети эсасында дөредилен ахлак ве мадды бәхбитлери горалмалыдыр.
28-00	28‐нҗи МАДДА
28-01	Хер бир адам шу Декларацияда беян эдилен хукуклар ве азатлыклар долы амала ашырып билер ялы социал хем‐де халкара тертип‐дүзгүне хаклыдыр.
29-00	29‐нҗы МАДДА
29-01	Хер бир адамың шахсыетиниң эркин ве долы өсмеги мүмкин болар ялы җемгыетиң өңүнде борчлары бардыр.
29-02	Хер бир адам өз хукукларыны ве азатлыкларыны амала ашырян махалында диңе башгаларың хукукларыны ве азатлыкларыны долы ыкрар этмеклиги, ахлагың адалатлы талапларыны канагатландырмагы, җемгыетчилик тертип дүзгүни ве демократик җемгыетде умумы абаданчылыгы үпҗүн этмек максады билен канун тарапындан кесгитленен чәклендирилмелере сезевар эдилип билинер.
29-03	Шу хукуклары ве азатлыклары амала ашырмак Бирлешен Миллетлер Гурамасының максатларына хем‐де принциплерине хич хили ягдайда гапма‐гаршы гелмели дәлдир.
30-00	30‐нҗы МАДДА
30-01	Шу Декларациядакы хич бир зат хайсыдыр бир дөвлете, адамларың топарына я‐да айры‐айры шахсыетлере шу Декларациядакы беян эдилен хукуклары ве азатлыклары ёк этмәге гөнүкдирилен хайсыдыр бир иш билен мешгул болмага я‐да херекет этмәге берилен хукук хөкмүнде дүшүнилмели дәлдир.
