00-00	ადამიანთა უფლებების საყოველთაო დეკლარაცია
14-02	ეს უფლება არ შეიძლება გამოყენებულ იქნეს ისეთი დევნის შემთხვევაში, რომლის საფუძველს ნამდვილად წარმოადგენს არაპოლიტიკური დანაშაულის ან ისეთი ქმედების ჩადენა, რომელიც ეწინააღმდეგება გაერთიანებული ერების ორგანიზაციის მიზნებსა და პრინციპებს.
15-00	მუხლი 15.
15-01	ყოველ ადამიანს აქვს მოქალაქეობის უფლება.
15-02	არავის არ შეიძლება თვითნებურად ჩამოერთვას მოქალაქეობა ან თავისი მოქალაქეობის შეცვლის უფლება.
16-00	მუხლი 16.
16-01	სრულწლოვან კაცებსა და ქალებს უფლება აქვთ რასის, ეროვნების ან რელიგიის ნიშნით რაიმე შეზღუდვის გარეშე, დაქორწინდნენ და შექმნან ოჯახი. ისინი სარგებლობენ ერთნაირი უფლებებით დაქორწინებისას, ქორწინებაში ყოფნის პერიოდში და განქორწინებისას.
16-02	დაქორწინება შესაძლებელია მხოლოდ ორივე მეუღლის თავისუფალი და სრული თანხმობის საფუძველზე.
16-03	ოჯახი არის საზოგადოების ბუნებრივი და ძირითადი უჯრედი და მას უფლება აქვს დაცული იყოს საზოგადოებისა და სახელმწიფოს მხრიდან.
17-00	მუხლი 17.
17-01	ყველა ადამიანს აქვს უფლება ფლობდეს ქონებას, როგორც ერთპიროვნულად, ასევე სხვებთან ერთად.
17-02	არავის უნდა ჩამოერთვას მისი ქონება თვითნებურად.
18-00	მუხლი 18.
18-01	ყველა ადამიანს აქვს უფლება აზრის, სინდისისა და რელიგიის თავისუფლებისა; ეს უფლება მოიცავს საკუთარი რელიგიის ან რწმენის შეცვლის, საკუთარი რელიგიის ან აღმსარებლობის, როგორც ინდივიდუალურად, ასევე სხვებთან ერთად, საჯაროდ ან კერძოდ, მოძღვრების, ღვთისმსახურების და რელიგიურ ან რიტუალურ წეს-ჩვეულებათა შესრულების თავისუფლებას.
19-00	მუხლი 19.
19-01	ყოველ ადამიანს აქვს უფლება აზრისა და გამოხატვის თავისუფლებისა. ეს უფლება მოიცავს ადამიანის თავისუფლებას დაუბრკოლებლად გამოთქვას საკუთარი აზრი და ყველანაირი საშუალებებით მოიძიოს, მიიღოს და გაავრცელოს ინფორმაცია და მოსაზრებები სახელმწიფო საზღვრებისაგან დამოუკიდებლად.
20-00	მუხლი 20.
20-01	ყოველ ადამიანს აქვს უფლება მშვიდობიანი შეკრებისა და გაერთიანების თავისუფლებისა.
20-02	არავინ შეიძლება აიძულონ შევიდეს რაიმე გაერთიანებაში.
21-00	მუხლი 21.
21-01	ყოველ ადამიანს აქვს უფლება მონაწილეობდეს თავისი ქვეყნის მართვა-გამგეობაში უშუალოდ ან მის მიერ თავისუფლად არჩეულ წარმომადგენელთა მეშვეობით.
21-02	ყოველ ადამიანს აქვს უფლება თანაბარ საფუძველზე შევიდეს თავისი ქვეყნის სახელმწიფო სამსახურში.
21-03	სახელმწიფო ხელისუფლების წყარო ხალხის ნებაა; ეს ნება უნდა გამოიხატებოდეს პერიოდულ და გაუყალბებელ არჩევნებში, რომლებიც უნდა ტარდებოდეს საყოველთაო და თანასწორი საარჩევნო უფლების პირობებში, ფარული კენჭისყრით, ან სხვა თანაბარ მნიშვნელოვანი ფორმების მეშვეობით, რომლებიც უზრუნველყოფენ ხმის მიცემის თავისუფლებას.
22-00	მუხლი 22.
22-01	ყველა ადამიანს, როგორც საზოგადოების წევრს, აქვს სოციალური უზრუნველყოფის უფლება და უფლება მოახდინოს თავისი ღირსების შენარჩუნება და პიროვნული თავისუფლების განვითარება ეკონომიკურ, სოციალურ და კულტურულ უფლებათა განხორციელებით ეროვნული ძალისხმევისა და საერთაშორისო თანამშრომლობის მეშვეობით და თითოეული  სახელმწიფოს სტრუქტურისა და რესურსების შესაბამისად.
23-00	მუხლი 23.
23-01	ყველა ადამიანს აქვს შრომის, სამუშაოს თავისუფალი არჩევის, სამართლიანი და ხელსაყრელი სამუშაო პირობებისა და უმუშევრობისაგან დაცვის უფლება.
23-02	ყველა ადამიანს აქვს უფლება შესაბამისის ანაზღაურებისა ყოველგვარი დისკრიმინაციის გარეშე.
23-03	ყველა დასაქმებულს აქვს უფლება იღებდეს სამართლიანსა და დამაკმაყოფილებელ გასამრჯელოს, რაც უზრუნველყოფს ღირსეულ ადამიანურ არსებობას, როგორც მისთვის, ასევე მისი ოჯახისათვის და რომელსაც, აუცილებლობის შემთხვევაში უნდა დაემატოს სოციალური უზრუნველყოფის სხვა სახსრები.
23-04	ყველა ადამიანს აქვს უფლება შექმნას პროფესიული კავშირები და შევიდეს პროფესიულ კავშირებში თავისი ინტერესების დასაცავად.
24-00	მუხლი 24.
24-01	ყოველ ადამიანს აქვს დასვენებისა და თავისუფალი დროის გამოყენების უფლება სამუშაო საათების გონივრული შეზღუდვისა და ანაზღაურებადი პერიოდული შვებულების უფლების ჩათვლით.
25-00	მუხლი 25.
25-01	ყოველ ადამიანს აქვს უფლება ჰქონდეს ცხოვრების ისეთი დონე, საკვების, ტანსაცმლის, საცხოვრებლის , სამედიცინო მოვლისა და საჭირო სოციალური მომსახურეობის ჩათვლით, რომელიც აუცილებელია თვითონ მისი და მისი ოჯახის ჯანმრთელობისა და კეთილდღეობის შესანარჩუნებლად, და უფლება უზრუნველყოფილი იყოს უმუშევრობის, ავადმყოფობის, ინვალიდობის, ქვრივობის, მოხუცებულობის ან მისგან დამოუკიდებელ გარემოებათა გამო არსებობის საშუალებათა დაკარგვის სხვა შემთხვევაში.
25-02	დედობა და ჩვილი ყრმის ასაკი იძლევა განსაკუთრებული მზრუნველობითა და დახმარებით სარგებლობის უფლებას. ყველა ბავშვი, დაბადებული ქორწინებაში თუ ქორწინების გარეშე, უნდა სარგებლობდეს ერთნაირი სოციალური დაცვით.
26-00	მუხლი 26.
26-01	ყოველ ადამიანს აქვს განათლების უფლება. განათლება დაწყებითი და ზოგადი მაინც, უფასო უნდა იყოს. დაწყებითი განათლება უნდა იყოს სავალდებულო. ტექნიკური და პროფესიული განათლება უნდა იყოს საყოველთაოდ ხელმისაწვდომი, უმაღლესი განათლება კი - ერთნაირად მისაწვდომი ყველასათვის თითოეულის უნარის შესაბამისად.
26-02	განათლება მიმართული უნდა იყოს ადამიანის პიროვნების სრული განვითარებისა და ადამიანის უფლებათა და ძირითად თავისუფლებათა პატივისცემის განმტკიცებისაკენ. განათლებამ ხელი უნდა შეუწყოს ყველა ხალხის, რასობრივი თუ რელიგიური ჯგუფების ურთიერთგაგებას, შემწყნარებლობასა და მეგობრობას და ხელი უნდა შეუწყოს გაერთიანებული ერების ორგანიზაციის მოღვაწეობას მშვიდობის შესანარჩუნებლად.
26-03	მშობლებს აქვთ უპირატესი უფლება აირჩიონ, თუ რა სახის განათლება სურთ თავიანთი შვილებისათვის.
27-00	მუხლი 27.
27-01	ყველა ადამიანს აქვს უფლება თავისუფლად მონაწილეობდეს საზოგადოების კულტურულ ცხოვრებაში, ტკბებოდეს ხელოვნებით, მონაწილეობდეს მეცნიერულ პროგრესში და სარგებლობდეს მისი სიკეთით.
27-02	ყველა ადამიანს აქვს უფლება დაცული იყოს მისი მორალური და მატერიალური ინტერესები, როგორც შედეგი იმ მეცნიერული, ლიტერატურული და მხატვრული ნაშრომებისა, რომელთა ავტორსაც იგი წარმოადგენს.
28-00	მუხლი 28.
28-01	ყოველ ადამიანს აქვს უფლება ისეთ სოციალურ და საერთაშორისო წესრიგზე, რომლის პირობებშიც შესაძლებელია ამ დეკლარაციაში ჩამოთვლილი უფლებათა და თავისუფლებათა მთლიანად განხორციელება.
29-00	მუხლი 29.
29-01	ყველა ადამიანს აქვს მოვალეობანი საზოგადოების წინაშე, რადგან მხოლოდ საზოგადოებაშია შესაძლებელი მისი პიროვნების თავისუფალი და სრული განვითარება.
29-02	თავისი უფლებათა და თავისუფლებათა განხორციელებისას ყოველი ადამიანი უნდა განიცდიდეს მხოლოდ ისეთ შეზღუდვებს, როგორიც კანონითაა დადგენილი მარტოოდენ იმ მიზნით, რათა უზრუნველყოფილ იქნეს სხვების უფლებათა და თავისუფლებათა ჯეროვანი აღიარება და პატივისცემა და დაკმაყოფილდეს ზნეობის, საზოგადოებრივი წესრიგისა და საერთო კეთილდღეობის სამართლიანი მოთხოვნები დემოკრატიულ საზოგადოებაში.
29-03	დაუშვებელია, რომ ამ უფლებათა და თავისუფლებათა განხორციელება  ეწინააღმდეგებოდეს გაერთიანებული ერების ორგანიზაციის მიზნებსა და პრინციპებს.
30-00	მუხლი 30.
30-01	ამ დეკლარაციაში არაფერი შეიძლება განიმარტოს, როგორც რომელიმე სახელმწიფოსათვის, პირთა ჯგუფისა თუ ცალკეული პირებისათვის უფლების მინიჭება, რაც მათი საქმიანობის ან გარკვეული ქმედებების შედეგად გამოიწვევს წინამდებარე დეკლარაციით გარანტირებულ უფლებათა და თავისუფლებათა მოსპობას.
