00-00	УНИВЕРЗАЛНА ДЕКЛАРАЦИЈА ЗА ЧОВЕКОВИТЕ ПРАВА
25-02	На мајките и на децата им припаѓаат посебна грижа и помош. Сите деца, без оглед на тоа дали се вонбрачни или не, ќе ја уживаат истата социјална заштита.
26-00	Член 26
26-01	Секој има право на образование. Образованието ќе биде бесплатно, барем на ниво на основно образование. Основното образование ќе биде задолжително. Техничкото и стручното образование ќе бидат општо достапни, а пристапот кон високото образование ќе биде достапно за сите врз основа на заслужените оценки.
26-02	Образованието ќе биде насочено кон целосниот развој на човековата личност и кон зајакнување и почитување на човековите права и основни слободи. Со него ќе се унапредува разбирањето, толеранцијата и пријателството меѓу сите народи, расни и религиозни групи и ќе се унапредуваат активностите на Обединетите нации за одржување на мирот.
26-03	Родителите имаат првенственото право да го изберат видот на образованието што ќе им биде дадено на нивните деца.
27-00	Член 27
27-01	Секој има право слободно да учествува во културниот живот на заедницата, да ужива во уметноста и да го споделува научниот напредок и неговите благодети.
27-02	Секој има право на заштита на моралните и материјални интереси што произлегуваат од кое и да е научно, литературно или уметничко дело, чиј автор е тој.
28-00	Член 28
28-01	Секој има право на општествен и меѓународен поредок, во кои правата и слободите наведени во оваа Декларација можат да бидат целосно реализирани.
29-00	Член 29
29-01	Секој има должности кон заедницата во која единствено е возможен слободниот и целосен развој на неговата личност.
29-02	При користењето на своите права и слободи, секој човек ќе подлежи само на такви ограничувања, какви што се определени со закон, со единствена цел да се осигура должното признавање и почитување на правата и слободите на другите и со цел да се задоволат предметните барања во врска со моралот, јавниот ред и општата благостојба во едно демократско општество.
29-03	Овие права и слободи во ниту еден случај не можат да бидат користени на начин што е спротивен на целите и принципите на Обединетите нации.
30-00	Член 30
30-01	Ниедна одредба од оваа Декларација не може да се толкува, како да и дава какво и да е право на некоја држава, групација или поединец да дејствуваат или да сторат некој акт со цел за рушење на правата или слободите предвидени со оваа Декларација.
