00-00	КИЖИНИҢ ЭРГЕЛЕРИНИҢ БҮГҮ-НИИТИ УГУУЛГАЗЫ
10-01	Кижи бүрүзү ооң эргелерин болгаш хүлээлгелерин тодарадып бээринге база аңаа онааштырып турар кем-херек буруудадыышкынының барымдаалыын  тодарадырынга база ооң херээн хамаарышпас болгаш тала тыртпас шүүгүнүң ажык болгаш чөптүг чоруктуң бүгү негелделерин сагывышаан,  сайгарып көөрүнге  эргелиг.
11-00	11 чүүл
11-00	Кем-херек үүлгеткен деп буруудаттырып турар кижи бүрүзү  камгалалдың бүгү аргаларын хандырып берип турар  ажык шүүгү сайгарылгазынга ооң буруулуу хоойлу езугаар тодараттынмаан шаанда буруу чок деп санадыр эргелиг.
11-01	Кым-даа болуп турган үезинде национал хоойлулар азы чоннар аразының хоойлу-дүрүмү-биле кем-херек үүлгедиишкини болбайн турган кандыг-бир  кылдыныглардан азы чүнү-даа кылбаанындан үнген үүлгедиг дээш   шииттирбес ужурлуг. Ол ышкаш үүлгедигниң болган үезинде берип болур турган кеземчеден аар кеземче бээри болдунмас.
12-00	12 чүүл
12-01	Кым-даа ооң амы-хууда болгаш өг-бүле чуртталгазынче туразында холгаарлаашкынга, бажың-балгадынга дээп болбазынга,  чагаалажыышкынының чажыт чоруунга азы ат-алдары болгаш репутациязынга шоглаашкынга таварышпас ужурлуг. Кижи бүрүзү  хоойлуга ындыг холгаарлаашкын азы шоглаашкыннардан  камгаладыр  эргелиг.
13-00	13 чүүл
13-00	Кижи бүрүзү кайы-бир күрүнениң кызыгаарының иштинге хостуг чоруур болгаш бодунга чурттаар черни шилип алыр эргелиг.
13-01	Кижи бүрүзү кандыг-даа чурттан, ооң иштинде бодунуң чуртундан база  үнүп чоруур база бодунуң чуртунче ээп кээр эргелиг.
14-00	14 чүүл
14-00	Кижи бүрүзү истеп сүрүүшкүнден хоргадалды өске чурттардан дилээр база ол хоргадалды ажыглаар эргелиг.
14-01	Бо эрге политиктиг эвес үүлгедиг азы Каттышкан Нациялар Организациязының сорулга болгаш принциптеринге удурланышкак кылдыныглар дээш истеп сүрүп турар таварылгада ажыглаттынмас.
15-00	15 чүүл
15-00	Кижи бүрүзү хамааты болур эргелиг.
15-01	Кым-даа  хамааты эргезинден  азы хамааты эргезин солуур эргезинден үндезин чокка казытпас ужурлуг.
16-00	16 чүүл
16-00	Назы четкен   эр болгаш херээжен кижилер язы-сөөк, националы  азы чүдүлгезиниң аайыбиле кандыг-даа кызыгаарлаашкын чокка өгленип, бодунуң өг-бүлезин тургузар эргелиг. Олар бадыланышканынга хамаарыштыр,  бадылалдыг турган үезинде база ону күш чок деп санаан үезинде  дең эргелерни ажыглаар.
16-01	Бадылажыышкын чүгле өгленчип турар ийи таланың хостуг болгаш  бүрүн дугуржулгазыбиле  бооп болур.
16-02	Өг-бүле ниитилелдиң  чайгаар болгаш үндезин үүрү болур база ниитилел биле күрүнениң талазындан камгаладыр эргелиг.
17-00	17 чүүл
17-00	Кижи бүрүзү өнчү-хөреңгизин чааскаан-даа, өскелер-биле кады-даа  эдилээр эргелиг.
17-01	Кым-даа  өнчү-хөреңгизин үндезин чокка   хавыртпас ужурлуг.
18-00	18 чүүл
18-01	Кижи бүрүзү бодалдың, арын-нүүрнүң болгаш чүдүлгениң  хосталгазынга эргелиг; бо эргеге бодунуң чүдүлгезин азы үзелдерин   өскертириниң хосталгазы база  бодунуң чүдүлгезин азы үзелдерин чааскаан-даа, өскелер-биле кады-даа хөйге азы аңгы кылдынган өөредилге, мөргүл база шажынчы болгаш ритуалдыг езулалдар дамчыштыр нептередириниң хосталгазы  хамааржып турар.
19-00	19 чүүл
19-01	Кижи бүрүзү үзелдерниң база оларны хостуг илередириниң хосталгазынга эргелиг; бо эргеге бодунуң үзелдеринге моондак чокка бүзүреп сагыыр база күрүне кызыгаарларындан хамаан чокка база кандыг-даа арга-биле информация болгаш идеяларны дилээр, алыр база тарадыр хосталга хамааржып турар.
20-00	20 чүүл
20-00	Кижи бүрүзү тайбың чыыш болгаш  каттыжыышкыннарның хосталгазынга эргелиг.
20-01	Кым-даа кайы-бир каттыжыышкынга киреринге чыгатпас ужурлуг.
21-00	21 чүүл
21-00	Кижи бүрүзү бодунуң чуртунуң удуртулгазынга боду дорт азы хостуг ёзу-биле соңгуттурган төлээлекчилерни дамчыштыр киржир эргелиг.
21-01	Кижи бүрүзү бодунуң чуртунга күрүне албанынга  дең кирер эргелиг.
21-02	Чоннуң күзел-соруу чазактың эрге-чагыргазының үндезини болур ужурлуг; бо күзелсорук  албан ниити болгаш дең  чажыт бадылаашкын аргазы-биле  азы  соңгуурунуң хосталгазын хандырып турар  дең чергелиг өске хевирлер дузазы-биле эрткен  болгаш хажыдыышкын кылдынмаан өйлеп-өйлеп болур  соңгулдаларга  илереп  кээр ужурлуг.
22-00	22 чүүл
22-01	Кижи бүрүзү  ниитилелдиң кежигүнү болганда, национал күжениг болгаш чоннар аразында кады ажылдажылганың ачызында  күрүне бүрүзүнүң курлавырлары болгаш тургузуунга дүүштүр кижи мөзүзүн баксыратпайн тударынга   база экономика, социал болгаш культура адырларынга хостуг сайзыраарынга эргежок чугула социал хандырылга алырынга  база эргелери  боттанган турарынга  эргелиг.
23-00	23 чүүл
23-00	Кижи бүрүзү ажылдаар, ажылды хостуг шилип алыр, ажылдаар байдалының чөптүг болгаш таарымчалыг  болурунга база ажыл чок чоруктан камгалалга  эргелиг.
23-01	Кижи бүрүзү кандыг-даа ылгай көрүүшкүн чокка дең ажыл дээш дең төлевир алыр эргелиг.
23-02	Ажылдап турар кижи бүрүзү  бодунуң болгаш өг-бүлезиниң  кижи мөзүзүнге төлептиг амыдыралды тудар чөптүг болгаш сеткилди хандырып турар база херек апарганда социал хандырылганың өске хевирлеринден немелделиг төлевирни алыр эргелиг.
23-03	Кижи бүрүзү бодунуң эргелерин камгалаары-биле профессионалдыг эвилелдер тургузар база профессионалдыг эвилелдерге  кирер эргелиг.
24-00	24 чүүл
24-01	Кижи бүрүзү дыштанылгага база хостуг үеге эргелиг, ооң иштинде  ажыл хүнүн  шын кызыгаарлаарынга база  өйлеп-өйлеп  бээр төлевирлиг  шөлээге  эргелиг.
25-00	25 чүүл
25-00	Кижи бүрүзү амыдыралдың, ооң иштинде аъш-чемниң, идик-хептиң, чурттаар орансаваның, эмчи ажаалгазының база эргежок чугула социал хандырылганың ооң бодунуң болгаш өг-бүлезиниң кадыкшылын баксыратпайн тударынга база  чаагай байдалын хандырарынга  четчир  деңнелдиг болурунга эргелиг база ажыл чок артканда, аараанда, инвалид апарганда, дулгуяк калганда, назылап кыраанда азы оон хамаарышпас байдалдарда амыдыраар аргаларын чидиргенде, хандырылга алыр эргелиг.
25-01	Ие болуру болгаш чаш назын тускай ажаал-тежээл болгаш дуза алырынга эргени берип турар. Бүгү уруглар, өг-бүлеге азы сурас төрүттүнгенинден хамаан чокка, дөмей социал камгалалды алыр ужурлуг.
26-00	26 чүүл
26-00	Кижи бүрүзү  өөренир эргелиг. Өөредилге бети дизе эге болгаш ниити өөредилгеге хамаарыштыр халас болур ужурлуг. Эге өөредилге албан болур ужурлуг. Техниктиг болгаш профессионалдыг   өөредилге бүгүдеге белен чедингир болур ужурлуг база дээди өөредилге кижи бүрүзүнүң салымныының аайы-биле  бүгүдеге  бир дөмей чедингир болур ужурлуг.
26-01	Эртем-билиг кижиниң долу сайзыралынче болгаш кижиниң эргелеринге база хосталгаларынга хүндүткелди бедидеринче угланган болур ужурлуг. Эртем-билиг бүгү чоннарның, сөөк-язы база шажын бөлүктериниң бот-боттарын билчиринге, өскелерниң бодалдарын,  чүдүлге-сүзүглелдерин хүлээп билиринге,  эп-найыралдыг чорукка база Каттышкан Нациялар Организациязының тайбыңны деткээн ажыл-чорудулгазынга деткимчени бээр ужурлуг.
26-02	Ада-ие улус боттарының назы четпээн уругларының өөредилгезиниң хевирин чугулалап шилиир эргелиг.
27-00	27 чүүл
27-00	Кижи бүрүзү ниитилелдиң культура амыдыралынга хостуг киржир, уран чүүлден таалал алыр, эртем депшилгезинге киржир болгаш ооң  кежиктерин ажыглаар эргелиг.
27-01	Кижи бүрүзү автору бооп турары эртем, чогаал болгаш уран чүүл ажылдарының түңнели болур моральдыг болгаш материалдыг эрге-ажыы камгалаттынган турарынга эргелиг.
28-00	28 чүүл
28-01	Кижи бүрүзү ук Угуулгада айыттынган эргелер болгаш хосталгаларны долузу-биле хандырып турар социал болгаш улустар аразының корум-чурумунга эргелиг.
29-00	29 чүүл
29-00	Кижи бүрүзү ооң хостуг болгаш долу сайзыралын хандырып болур ниитилелдиң мурнунга хүлээлгелерлиг.
29-01	Кижи бүрүзү бодунуң эргелерин болгаш хосталгаларын боттандырып тургаш, хоойлу ёзугаар  өске кижилерниң эргелери биле хосталгаларын болур-чогууру-биле хүлээп көөрүн база хүндүлээрин хандырар база демократтыг ниитилелге мөзү-шынарның чөптүг негелделерин, хөй-ниити чурумун болгаш ниити чаагай байдалды хандырар сорулга-биле тодараттынган чүгле ындыг кызыгаарлаашкыннарга таваржыр ужурлуг.
29-02	Ол эргелерниң болгаш хосталгаларның боттандырыышкыны кандыг-даа таварылгада Каттышкан Нациялар Организациязының сорулга болгаш принциптеринге  удурланышкак болбас ужурлуг.
30-00	30 чүүл
30-01	Ук Угуулгада чүү-даа чүве кайы-бир күрүнеге, бөлүкке азы тус кижилерге ук Угуулгада айыттынган эргелер болгаш хосталгаларны узуткаарынче угланган ажылдар чорударынга азы кылдыныглар кылырынга эрге берип турар деп  тайылбырлаттынып болбас.
