00-00	ᨠᨲᩥᨠᩣᩅᩤ᩵ᨯ᩠ᩅ᩠ᨿᩢᨾᨶᩩᩔᨩᩣ᩠ᨲ
05-00	ᨡᩳ᩶ 5
05-01	ᨤ᩠ᨶᩫᨯᩱᩢᨧᩢᨳᩪᨠᨡ᩠ᨶᩣ᩠ᨷᨣᩣ᩠ᨷᨣᩯ᩠ᨶᩢ ᨷᩢᨣᩢᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᩃ᩠ᨦᩫᨴᩰ᩠ᩈ ᨹ᩠ᨯᩥᨾᨶᩩᩔᨵᨾ᩠ᨾ᩼ᨲ᩵ᩴᩣᨩᩢᩣ ᨷᩢᨯᩱᩢ
06-00	ᨡᩳ᩶ 6
06-01	ᨴᩩᨠᨤ᩠ᨶᩫᨧᩢᨯᩱᩢᨿ᩠ᩋᨾᩁᩢ᩠ᨷᩓᩢᨶᩢ᩠ᨷᨳᩨᨠ᩠ᨶᩢ ᩅᩤ᩵ᨸᩮ᩠ᨶᨤ᩠ᨶᩫᩉᩮ᩠ᨾᩨᩁᨠ᩠ᨶᩢᨲᩣ᩠ᨾᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᨴᩩᨠᪧᨴᩦ᩵
07-00	ᨡᩳ᩶ 7
07-01	ᨴᩩᨠᨤ᩠ᨶᩫᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢᨲᩣ᩠ᨾᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿ ᩓᩢᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦᩁ᩠ᨠᩢᩈᩣ ᨲᩣ᩠ᨾᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᨯᩢ᩠ᩅ᩠ᨿᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢ ᨷᩕᩣᩈᨧᩣ᩠ᨠᩈᩮᨿ᩠ᨦᩢᨠᩣ᩠ᩁᩃᩮ᩠ᨠᩨᨷᨭᩥᨷ᩠ᨲᩥᨲᩳ᩵ ᩓᩢᨠᩣ᩠ᩁᩃ᩠ᩅ᩵ᨦᩃᩢᩴᩣᨡᩳ᩶ᨠᨲᩥᨠᩣ ᨷᩢᨣᩢᨠᩣ᩠ᩁᩈ᩠ᨶᩫᩈᩳ᩵ᩉᩨ᩶ᨠᩮ᩠ᨯᩨᨠᩣ᩠ᩁᩃᩮ᩠ᨠᩨᨷᨭᩥᨷ᩠ᨲᩢ
08-00	ᨡᩳ᩶ 8
08-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᨠᩣ᩠ᩁᩁ᩠ᨠᩢᨧᩣ᩠ᨠᩈᩣ᩠ᩁᨡ᩠ᩋᨦᩁ᩠ᨮᩢ ᨧᩣ᩠ᨠᨠᩣ᩠ᩁᩋ᩠ᨶᩢᨯᩱᩢᨳᩪᨠᩃ᩠ᩅ᩵ᨦᩃᩢᩴᩣ ᨲᩣ᩠ᨾᨴᩦ᩵ᨲ᩠ᨶᩫᨾᩦᩈᨴ᩠ᨵᩥᨲᩣ᩠ᨾᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᨸᩮ᩠ᨦᩨᨾᩮ᩠ᨦᩨ
09-00	ᨡᩳ᩶ 9
09-01	ᨤ᩠ᨶᩫᨹᩪᩢᨯᩱᩢᨧᩢᨳᩪᨠᨿᩢ᩠ᨷ ᨡ᩠ᨦᩢᨤ᩠ᩋᨠ ᩉᩕᩨᩃᩨ᩠ᨷᩉ᩠ᨶᩦᩈᩮ ᨯᩰ᩠ᨿᨷᩢᨾᩦᩉᩮ᩠ᨲᩩᨧᩴᩣᨸᩮ᩠ᨶᨷᩢᨯᩱᩢ
10-00	ᨡᩳ᩶ 10
10-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᨴ᩠ᨵᩥᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢᨲᩮ᩠ᨾᨴᩦ᩵ ᨶᩱᨠᩣ᩠ᩁᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨻᩥᨧᩣᩁᨱᩣᨴᩦ᩵ᨸᩮ᩠ᨶᨵᨾ᩠ᨾ᩼ ᩓᩢᨸ᩠ᨯᩨᨹᩮᩨ᩠ᨿᨧᩣ᩠ᨠᩈᩣ᩠ᩃᩋ᩠ᨶᩢᨾᩦᨻ᩠ᨦᩈᩁᩓᩢᨴ᩠ᨿ᩵ᨦᨵᨾ᩠ᨾ᩼ ᨶᩱᨠᩣ᩠ᩁᨠ᩵ᩴᩣᩉ᩠ᨶᩫᨯᩈᩥᨴ᩠ᨵᩥᩓᩢᩉ᩠ᨶᩢᩣᨴᩦ᩵ᨡ᩠ᩋᨦᨲ᩠ᨶᩫ ᩓᩢᨠᩣ᩠ᩁᩉᩮ᩠ᨯᨹ᩠ᨯᩥᩁᩢᩣ᩠ᨿᩁᩯ᩠ᨦᨴᩩᨠᩋ᩠ᨶᩢ ᨴᩦ᩵ᨲ᩠ᨶᩫᨳᩪᨠᨠ᩵ᩣ᩠ᩅᩉᩣ
11-00	ᨡᩳ᩶ 11
11-01	ᨴᩩᨠᨤ᩠ᨶᩫᨴᩦ᩵ᨳᩪᨠᨠ᩵ᩣ᩠ᩅᩉᩣᩅᩤ᩵ ᩉᩮ᩠ᨯᨹ᩠ᨯᩥᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᩁᩢᩣ᩠ᨿᩁᩯ᩠ᨦ ᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᩈᨶ᩠ᨶᩥᨮᩣ᩠ᨶᩅᩱᩢᨠ᩠ᩋ᩵ᩁᩅᩤ᩵ ᨸᩮ᩠ᨶᨹᩪᩢᨷᩢᨯᩱᩢᩉᩮ᩠ᨯᨯ᩠ᨦᩢ᩵ᨶ᩠ᨶᩢᩢ ᨲᩕᩣ᩠ᨷᨲᩳ᩵ᨴᩮᩢᩢᩣᨳ᩠ᨦᩨᨻᩳᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨠ᩠ᩅᨯᩈ᩠ᩋᨷᨲᩣ᩠ᨾᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿ ᩓᩢᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨸ᩠ᨯᩨᨹᩮᩨ᩠ᨿ ᩓᩢᨲ᩠ᨶᩫᨯᩱᩢᩁᩢ᩠ᨷᨡ᩵ᩣ᩠ᨾᨶᩱᨠᩣ᩠ᩁᨲᩳ᩵ᩈᩪᩢᨠᩢ᩠ᨷᨣᨯᩦ
11-02	ᨧᩢᨳᩨᨤ᩠ᨶᩫᨯᩱᩅᩤ᩵ ᨾᩦᨣ᩠ᩅᩣ᩠ᨾᨹ᩠ᨯᩥᩁᩢᩣ᩠ᨿᩁᩯ᩠ᨦ ᩋ᩠ᨶᩢᨠᩮ᩠ᨯᩨᨧᩣ᩠ᨠᨠᩣ᩠ᩁᩉᩮ᩠ᨯ ᨠᩣ᩠ᩁᩃᩅᩮ᩠ᨶᩢᨯᩱᪧ ᩋ᩠ᨶᩢᨷᩢᨯᩱᩢᨧ᩠ᨯᩢᨸᩮ᩠ᨶᨣ᩠ᩅᩣ᩠ᨾᨹ᩠ᨯᩥᩁᩢᩣ᩠ᨿᩁᩯ᩠ᨦ ᨲᩣ᩠ᨾᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᩉᩯ᩠ᨦ᩵ᨩᩣ᩠ᨲ ᨷᩢᨣᩢᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᩁᩉ᩠ᩅ᩵ᩣ᩠ᨦᨷᩕᨴᩮ᩠ᩈ ᨶᩱᨠᩣᩃᨾᩮ᩠ᩋᩨ᩵ᩉᩮ᩠ᨯᨶ᩠ᨶᩢᩢᨷᩢᨯᩱᩢ ᩓᩢᨧᩢᩃ᩠ᨦᩫᨴᩰ᩠ᩈᩋ᩠ᨶᩢᩉ᩠ᨶᩢᨠ ᩉᩮᩖᩨᩋᨴᩦ᩵ᨩᩱᩢᩀᩪ᩵ᨾᩮ᩠ᩋᩨ᩵ᩉᩮ᩠ᨯᨣ᩠ᩅᩣ᩠ᨾᨹ᩠ᨯᩥᨶ᩠ᨶᩢᩢ ᨷᩢᨯᩱᩢ
12-00	ᨡᩳ᩶ 12
