00-00	PARNYATAAN OMOM PARKARA HAK-HAK ASASI MANOSSA
00-12	Kaangguy patogan omom se anyata'agi hasel kaanguy sadajana oreng ban sadajana nagara klaban tojjuwan sopaja sabban oreng sareng sabban perserekatadan e dhalem masyarakat, klaban emot terros dha' pernyataan gapaneka badhi ajuangngagi ngangguy cara ngajari sareng adhidhik nyopre matenggi rasa hormat dha' hak-hak ban kabebasan-kabebasan kasebbut klaban jalan se maju, nasional juga internasional, nyoppre makowat pengakoan ban penghormadan se universal ban efektif se ejalannagi sareng bangsa-bangsa dhari Nagara-Nagara Anggota ka'dhinto dibhi', juga sareng bangsa-bangsa dhari wilayah-wilayah se ebabana kabasaannepon hukum nagara ka'dhinto.
01-00	PASAL 1
01-01	Sadajana oreng lahir mardika e sarenge drajat klaban hak-hak se dha-padha. Sadajana eparenge akal sareng nurani ban kodu areng-sareng akanca kadi taretan.
02-00	PASAL 2
02-01	Sabban oreng agaduwi sadajana hak sareng kebebasan-kebebasan se kasebbut edhalem parnyataan ka'dinto kalaban ta' abida'agi masalah ras, barnana kole', lake-bine, basa, agama, politik otaba drajat sosial, hak milik, otaba kabadhaan, laennepon.
02-02	Saterossa ta' kengeng epabida se edhasarragi dha' kadhudhukan politik, hukum, otaba status internasional dari nagara otaba wilayah asallepon oreng ka'dhinto, panapa nagara mardhika, wilayah perwaliyan, nagara jajahan otaba se kadaulatannepon ebatessi.
03-00	PASAL 3
03-01	Sadajana oreng gaduwan hak odik, kamardhikaan, sareng kaamanan bi'dibi.
04-00	PASAL 4
04-01	Pasera bisaos ta' kengeng e badhi budhak otaba epaksa daddi abdi, perbudhakan sareng adagang budhak macam panapa bisaos kodu elarang.
05-00	PASAL 5
05-01	Tadha' oreng se kengeng eseksa elakone klaban kejjem, otaba eyokom ngangguy cara matoron drajadda manossa otaba madaddi aebbha.
06-00	PASAL 6
06-01	Sabban oreng agadhuwi hak sopaja eyakone eka'dhimma'a bisaos, e dhalem hokom akadi oreng pribadi.
07-00	PASAL 7
07-01	Sadajana oreng gaduwan hak se padha e dalem naongan hukum, ta' epabida. Sadajana gaduwan hak lindung sepadha dha' sabban perbida'an se ta' padha klaban parnyataan paneka, sareng dha' sadajana hasutan se tojjuwanna dha' diskriminasi (parbida'an) kadi ka'dhinto.
08-00	PASAL 8
08-01	Sabban oreng agadhuwi hak koreksi se efektif dhari pengadilan nasionalkse gadhuwan wewenang dha' sadajana kalakoan se alanggar hak-hak dasar se eparengagi dha' salerena sareng konstitusi otaba hokom.
09-00	PASAL 9
09-01	Tadha' oreng se kengeng etangkep, etahan otaba ebuang sawenang-wenang.
10-00	PASAL 10
10-01	Sabban oreng agadhuwi hak eadili se padha ban adil onggu ban tabuka klaban pengadilan se bebas ban ta' le-mele pihak, dhalem motosagi hak ban kawajiban sareng dhalem tuntutan pidana se badhi epotosagi.
11-00	PASAL 11
11-01	Sabban oreng se edakwa alakone sala mitorot hokom eanggep ta' sala sampe' ebuktiagi sala mitorot hokom dhalem pengadilan se tabuka, ban salerana kengeng sadajana jaminan se ekaparlo kangguy abilahi.
11-02	Tadha' oreng se kengeng e anggep sala alakone tindak pidana karna kalakoan otaba kealpaan se benni pelanggaran hokom mitorot undang-undang nasional otaba internasional bakto kalakoan gapaneka ejalani. Saka'dhinto juga ta' kengeng nantoagi okoman lebbi bera' dhari se samostena etarema bakto pelanggaran gapaneka ejalani.
12-00	PASAL 12
12-01	Tadha oreng se kengeng eganggu orosanna dibhi', kaluargana, romatanggana, otaba hubungan sorat-manyorat, otaba eserang kahormatannepon ban saena asmana. Sabban oreng agadhuwi hak enaongi hokom alaban gudaan otaba serangan gapaneka.
13-00	PASAL 13
13-01	Saban oreng agadhuwi hak sareng kabebasan le-ngalle otaba a lenggi e settong kenengan dhalem bates-bates sabban nagara.
13-02	Sabban oreng agadhuwi hak aninggalagi settong negara, tamasok negarana dibhi' ban abali pole dha' negara gapaneka.
14-00	PASAL 14
14-01	Sabban oreng agadhuwi hak nyare klaban anekmati e negara-negara laen, naongan dhari etabeng parkara.
14-02	Hak gapaneka ta' kengeng e angguy manabi parkaraepon saongguna ta' karna kejahatan-kejahatan se badha hubunganna sareng politik otaba dhari kalakoan-kalakoan se alaban tojjuan-tojjuan ban prinsip-prinsip Parsarekatan Bangsa-Bangsa.
15-00	PASAL 15
15-01	Sabban oreng agadhuwi hak sala settong kewarganegaraan.
15-02	Tadha oreng kengeng epaksa ngocol kawarganegaraanna otaba e tolak hak agante kewarganegaraan.
16-00	PASAL 16
16-01	Oreng lake' ban bine se ampon cokop omor, agudhuwi hak akabin ban abangon kaluarga, sareng ta' olle ebatesi klaban alasan ras, kawarganegaraan otaba agama. Salerena gadhuan hak se dha-padha dhalem hal kakabinan juga dhalem masa kakabinan ban dhalem hal atela'.
16-02	Kakabinan namong kengeng elakone manabi edasaragi pelehan bebas sareng parsetujuan sa-ongguna dhari kadhuwa calon mantan.
16-03	Kaluarga, enggi paneka satuan alamiah fundamental dhalem masyarakat, agadhuwi hak enaonge masyarakat ban nagara.
17-00	PASAL 17
17-01	Sabban oreng agadhuwi hak gadhuan harta sae bi'dibi' otaba sareng oreng laen.
17-02	Tadha' oreng se olle erampas hartaepon secara sawenang-wenang.
18-00	PASAL 18
18-01	Sabban oreng agadhuwi hak kabebasan pamekkeran, nurani ban agama, dhalem hak gapaneka masok kabebasan agante agamana otaba keyakenna, sareng kabebasan alakone agamana otaba kayakenna bi'dibi'an otaba a reng-sareng oreng laen secara omom bi'dibi' kaangguy anyata'agi agamana otaba kayakenna sae dhalem ngajari, alakone ibadah secara khusu'.
19-00	PASAL 19
19-01	Sabban oreng agadhuwi hak kabebasan gaduwan ban ngocapagi pamanggi, dhalem hak gapaneka kamasok kabebasan gaduwan pamanggi se ta' kengeng eganggu, ban nyare, narema sareng ngabaragi katerangan ban pamanggi alebet media ponapa bisaos ban tadha' batessepon.
20-00	PASAL 20
20-01	Sabban oreng agadhuwi labebasan a pol-kompol ban a sarekat se aman.
20-02	Tadha' oreng se kengeng epaksa masok sala settong parkompolan.
21-00	PASAL 21
21-01	Sabban oreng agadhuwi hak norok dhalem pamarentahan negarana secara langsung otaba lebat bekkel se epele secara bebas.
21-02	Sabban oreng agadhuwi hak kasempatan se dha-padha kaangguy e angka' dhalem jabatan pamarentahan nagara.
21-03	Kareppa rakyat moste daddi dasar kekuasaan pamarentah, karep gapaneka moste enyatagi dhalem pamelehan omom se epabadha sabban settong bekto, murni, omom ban sadrajat, rahasia otaba cara laen se ejamin melena bebas.
22-00	PASAL 22
22-01	Sabban oreng anggota masyarakat agadhuwi hak jaminan sosial ban agadhuwi hak-hak ekonomi, sosial ban budaya se eparloagi monggu drajat ban bebas tombuna salerana lebat usaha-usaha nasional otaba bantoan internasional sabanding sareng organisasi ban somber-somber kakayaan saban nagarana.
23-00	PASAL 23
23-01	Sabban oreng agadhuwi hak dha' kalakoan, dha' pelean bebas kalakoan gapaneka, agadhuwi hak dha' kabadhaan se sae lako paneka ban enaonge dhari pengangguran.
23-02	Sabban oreng, agadhuwi hak opa se padha kaangguy kalakoan se padha.
23-03	Sabban oreng se alako agadhuwi hak dha' penghaselan se adil ban cokop se a jamin dha' salerana ban kaluargana kabadhaan se sae kaangguy drajatepon manossa, ban etambah saparlona cara-cara laen naongan sosial.
23-04	Sabban oreng agadhuwi hak agabay sareng daddi anggota sarekat pekerja monggu a naonge kabotuanna.
24-00	PASAL 24
24-01	Sabban oreng agaduwi hak istirahat ban prei, tamasok batessa jam-jam alako, klaban are-are prei se opana tetep ebajar.
25-00	PASAL 25
25-01	Sabban oreng agadhuwi hak patokan odhi' se cokop kaangguy kasehatan ban kasejahteraan salerana ban kaluargana, tamasok dha'ar, busana, compok ban pelayanan kasehatan ban sosial se ekaparlo; sareng hak dha' jaminan manabi nganggur ta' alako, sake, cacat, daddi randa, omor seppo otaba kabadhaan laen se daddi lantaran korangga pangaselan eloar kobessana.
25-02	Ebu ban nak-kanak agadhuwi hak kengeng pelayanan ban bantoan istimewa. Kabinna anak sae se ebabaragi e dhalem otaba e loar nikah moste kengeng naongan sosial se dha-padha.
26-00	PASAL 26
26-01	Sabban oreng agadhuwi hak olle pandhidhigan. Pandhidhigan moste bebas bea, paleng sakonek kaangguy tingkat sekolah rendah ban pandhidhigan dasar. Pandhidhigan rendah moste wajib. Pandhidhigan teknik ban profesi moste tabuka' kaangguy kabbina oreng, pandhidhigan tenggi moste bisa emasoki kabbina oreng ngangguy cara se dha-padha ban edasari cara se patot.
26-02	Pandhidhigan sopaja apanojju dha' pamekaran kapribadian manossa ban makoat rasa hormat dha' hak-hak manossa ban kabebasan fundamental (dasar). Pandhidhigan moste mamaju saleng pamahaman, toleransi ban kakancaan antara bangsa-bangsa, ras otaba klompok-klompok agama, sareng materos kalakoan Parsarekatan Bangsa-bangsa dhalem ajaga pardamaian.
26-03	Oreng seppo agadhuwi hak paleng otama mele macemma pandhidhigan se badhi eparengagi dha' tra-pottrrana.
27-00	PASAL 27
27-01	Sabban oreng agadhuwi hak bebas partisipasi dhalem kegiatan budaya masyarakat, anekmati seni ban ngereng dhalem kamajuan ban anekmati manfaat elmo pengetahuan.
27-02	Sabban oreng agaduwi hak enaongi kaontongan baten ban lahiriah se e aselagi dhari produksi elmo, sastra otaba seni se e anggit salerana.
28-00	PASAL 28
28-01	Sabban oreng agadhuwi hak dha' tatanan sosial ban internasional, se hak-hak ban kabebasan-kabebasan ekasebut dhalem Parnyataan paneka kengeng elakone sadajana.
29-00	PASAL 29
29-01	Sabban oreng agadhuwi kewajiban-kewajiban dha' masyarakat settong kenengan e ka'dimma salerena bisa bebas mamekar pribadhina dibhi'.
29-02	Dhalem alakone hak-hak ban kabebasan-kabebasan, sabban oreng moste norot coma dha' batesan-batesan se etetepagi undang-undang, sareng tojjuan kaangguy pengakoan ban hormat dha' hak-hak klaban kabebasan-kabebasan oreng laen, sareng kaangguy a lastereagi syarat-syarat se adil dhalem hak kasusilaan, katertiban ban kasejahteraan omom dhalem masyarakat se demokratis.
29-03	Hak-hak ban kabebasan-kabebasan gapaneka, ngangguy cara ponapa bisaos, sama sakale ta' kengeng elakone a laban tojjuan ban dasar-dasar pamekkeran Parsarekatan Bangsa-Bangsa.
30-00	PASAL 30
30-01	Tadha hal dhari dhalem Parnyataan paneka kengeng etafsiragi a beri' sala settong nagara, kelompok otaba sala settong oreng, hak kaangguy e dhalem kalakoan ponapa bisaos, otaba alakone settong kalakoan se gadhuan tojjuan marosak hak-hak ban kabebasan-kabebasan se ka'dimma bisaos kasebut dhalem Parnyataan paneka.
