00-00	dunya kishilik hoquqi xitabnamisi
15-00	hemme adem dölet tewelikidin behrimen bolushqa hoquqluq.
15-01	herqandaq ademni dölet tewelikidin xalighanche mehrum qilishqa bolmaydu. uning dölet tewelikini özgertish hoquqini inkar qilishqimu bolmaydu.
16-00	16-madda
16-00	yash qoramigha yetken er-ayallar irq. dölet teweliki we din jehettin herqandaq cheklimige uchrimay, toylishishqa we öy tutushqa hoquqluq. Ular nikah jehette, toy qilghan mezgilde we nikah toxtimi bikar qilin'ghanda, barawer hoquqqa ige bolushi kérek.
16-01	er terep bilen ayal terepning ixtiyar qilishi we tamamen maqul bolushi arqisidila toy qilishqa bolidu.
16-02	aile tebiiy we asasiy ijtimaiy birlik, u jem'iyet we dölet terpidin qoghdilishqa tégishlik.
17-00	17-madda
17-00	hemme ademning mülükke ongche igidarliq qilish hoquqi shuningdek bashqilar bilen shérikliship igidarliq qilish hoquqi bolushi kérek.
17-01	herqandaq ademni mal-mülükidin xalighanche mehrum qilishqa bolmaydu.
18-00	18-madda
18-01	hemme adem idiyiwi, wijdaniy we diniy erkinlik hoquqigha ige: bu hoquq shu ademning özining dinini yaki étiqadini özgertish erkinlikni shuningdek özining dini yaki étiqadini diniy éqide, emeliyet, namaz-ibadet we emrimerup arqiliq yalghuz yaki öm, ashkara yaki mexpiy ipadilesh erkinlikni öz ichige alidu.
19-00	19-madda
19-01	hemme adem öz teshebbusini bildrush we pikir bayan qilish erkinlikidin behrimen bolushqa hoquqluq: bu hoquq mudaxilige uchrimay öz teshebbusini saqlap qélish erkinlikini we uchur hem pikirlerni herqandaq waste arqiliq we dölet ayrimisigha qarimay izdesh, qobul qilish we tarqitish erkinlikini öz ichige alidu.
20-00	20-madda
20-00	hemme adem tinch yol bilen yighin ötküzüsh we teshkilatlargha oyushush erkinlikidin behrimen bolushqa hoquqluq.
20-01	herqandaq ademni melum bir teshkilatning tewelikige otushke zorlashqa bolmaydu.
21-00	21-madda
21-00	hemme adem döletni idare qilishqa özi biwaste qatnishish yaki özi erkin tallighan wekili arqiliq qatnishish hoquqigha ige.
21-01	hemme adem öz dölitining hökümet ishlirigha barawer purset bilen qatnishish hoquqigha ige.
21-02	xelqning iradisi hökümet hoquqining asasi: bu irade qerellik we heqiqiy saylam bilen ipadilinishi kérek. saylam omumyüzlük we barawer awaz bérish hoquqigha asaslinishi hemde yoshurun awaz bérish yaki obdanla erkin awaz bérish boyiche élip bérilishi kérek.
22-00	22-madda
22-01	her bir adem jem'iyetning bir ezasi bolush süpiti bilen, ijtimaiy kapalettin behrimen bolushqa hoquqluq hemde özining shexsiy izzet-hörmiti we kishilik ghururining erkin rawajlinishi üchün zörür bolghan iqtisadiy, ijtimaiy jehettiki we medeniyet jehettiki her xil hoquqlardin behrimen bolushni emelge ashurushqa hoquqluq. bu emelge ashurush döletning tirishchanliqi we xelq'ara hemkarliq arqiliq hemde herqaysi döletlerning teshkilati we bayliq ehwali boyiche bolidu.
23-00	23-madda
23-00	hemme adem ishleshke, erkinkesip tallashqa, adil we muwapiq xizmet sharaitidin behrimen bolushqa hemde ishsiz qélishtin saqlinish kapalitidin behrimen bolushqa hoquqluq.
23-01	hemme adem herqandaq shekilde kemsitilmey, oxshash ish üchün oxshash heq élish hoquqigha ige.
23-02	ishligen ademning her biri adil we muwapiq heqtin behrimen bolushqa, özining we aile tawabiatining insaniy izzet-hörmetke layiq turmush sharaitigha ige bolushini kapaletke ige qilishqa, zörür tepilghanda. uninggha bashqa ijtimaiy kapaletni qoshumche qilishqa hoquqluq.
23-03	hemme adem özining menpeitini qoghdash üchün, ishchilar uyushmisini teshkillesh we uninggha qatnishish hoquqigha ige.
24-00	24-madda
24-01	hemme adem dem élish we bikar yürüsh hoquqidin, jumlidin ish waqtining chekini eqilge muwapiqlashturush hemde qerellik, maashliq dem élish hoquqidin behrimen bolidu.
25-00	25-madda
25-00	hemme adem ozining we aile tawabiatining salametliki we parawanliqini kapaletke ige qilish üchün zörür bolghan turmush sewiyisidin, jumlidin yémeklik, kiyim-kéchek, turalghu öy, dawalinishtin we zörür ijtimaiy mulazimetchiliktinbehrimen bolush hoquqigha ige: ishsiz qalghanda, késel bolup qalghanda, mejruh bolup qalghanda, tul qalghanda, qerighanda yaki tizginligili bolmaydighan bashqa ehwal bilen tirikchilik iqtidarini yoqatqanda, kapalettin behrimen bolushqa hoquqluq.
25-01	anilar we balilar alahide étibardin we yardemdin behrimen bolushqa hoquqluq. barliq balilar nikahliq yaki nikahsiz tughulghanliqigha qarimay, okhshash ijtimaiy muhapizettin behrimen bolushqa tégishlik.
26-00	26-madda
26-00	hemme adem bilim élish hoquqigha ige. bilim élish heqsiz bolushi kérek. héch bolmighanda, bashlan'ghuch we asasiy basquchta shundaq bolushi kérek. bashlanghuch ma'arip mejburiyet xaraktérida bolushi kérek. téxnika ma'aripi we kespiy ma'aripni omumyüzlük tesis qilish kérek. aliy ma'aripning ishikini netijige qarap barliq kishilerge teng echiwétish kérek.
26-01	ma'aripning meqsiti ademning xasliqini toluq yétildurush hemde kishilik hoquqi we asasiy erkinlikke bolghan hörmetni kücheytish. ma'arip herqaysi döletler, irqlar, yaki herqaysi diniy guruhlar ara chushinishni, yol qoyushni we dostluqtin ilgiri sürüshi hemde birleshken döletler teshkilatining tinchliqni qoghdash yolidiki turluk paaliyetlirini algha sürüshi kérek.
26-02	ata-anilar perzentlirining élishqa tégishlik bilim turlirini awwal tallash hoquqigha ige.
27-00	27-madda
27-00	hemme adem jem'iyetning medeniy turmushigha erkin qatniship, sen'ettin behrimen bolushqa hemde ilim-pen tereqqiyatidin we uningdin hasil bolghan parawanliqtin teng behrimen bolushqa hoquqluq.
27-01	hemme adem özi ijad qilghan ilmiy, bed'iy eserlerdin we guzel sen'et eserliridin hasil bolghan meniwi we maddiy menpe'et munasiwiti bilen, qoghdilish hoquqigha ige.
28-00	28-madda
28-01	hemme adem mushu xitabnamide qeyt qilinghan hoquq we erkinlikning toluq ré'allishishigha imkan béridighan bir xil ijtimaiy we xelq'ara tertipni telep qilishqa hoquqluq.
29-00	29-madda
29-00	hemme adem jem'iyet aldida mejburiyetni üstige alghan bolidu. chünki, ularning xasliqi jem'iyet ichidila erkin we toluq rawaj tapalaydu.
29-01	hemme adem özining hoquqi we erkinlikini yürgüzgende, qanunda belgilengen cheklimigila uchraydu. bundaq cheklimini belgileshtiki birdinbir meqset bashqilarning hoquqi we erkinlikining tégishlik derijide étirap qilinishi we hörmet qilinishigha kapaletlik qilish hemde demokratik jem'iyette exlaq. jamaet tertipi we omumiy parawanliqning orunluq éhtiyajigha layqlishish.
29-02	ashu hoquq we erkinliklerni yürgüzgende, herqandaq ehwalda birleshken döletler teshkilatning asasiy meqsiti we prinsipigha xilapliq qilishqa bolmaydu.
30-00	30-madda
30-01	bu xitabnamining herqandaq bir maddisini herqandaq dölet, guruh yaki shexs mushu xitabnamide qeyt qilinghan herqandaq hoquq we erkinlikni buzush meqsitidiki pa'aliyet yaki heriketlerni élip bérishqa hoquqluq dep sukut qilidighan menide chushendurushke bolmaydu.
