00-00	Ꮒꭼꮎꮫ Ꮧꭶꮓꮳꮃꮕꭲ Ꭰꮒᏼꮻ Ꭴꮒꮂ Ꭲᏻꮎꮫꮧꭲ
02-00	Ꭰꮿꮩꮈ 2
02-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮎꮣꮒꮬ ꮎꭲ ꮒꭶꮣ ꭴꮒꮂ ꭲᏻꮎꮫꮑꮧꭲ ꭰꮄ ꮩꭿ ꭰꮥꮧꭲ ꮎꭲ ꮥꭶꭷꮕꭹ ꭿꭰ ꮧꭶꮓꮳꮃꮕꭲ, ꭴꮎꮴꮅꮫ ꮔꮎꮰꮿꮝꮫꮎ ꮎꭲ ꮒꭶꭵꮙ ꮷꮣꮄꮕꮣ, ꮥꭷꮑꭲꮝꮤꮕꭿ ꮷꮎꮣꮄꮕꮣ ꭰꮒᏼꮻ, ꮧꭸꭶꭶꮕꮧꭲ, ꭰꭸꮿ ꭰꮄ ꭰꮝꭶꮿ, ꭶꮼꮒꭿꮝꮧ, ꮷꮎꮑꮅꮧ, ꮧꮎꮩꭹꮿꮝꭹ ꭰꮄ ꮠꭲ ꮎꮒꮅꮝꭼꭹ, ꭰᏸꮅ ꭴꮎꮩꮲꭿ ꭰꮄ ᏼꮻ ꮒꮩꮣᏻꮎꮣꮄꮕꭹ, ꮔꮕꮏꮕ, ꭴꮥꮕ ꭰꮄ ꮠꭲ ꮔꮝꮧꮣꮕꭲ.
02-02	Ꭴꮧꮧꮲꭲꭸꮝꮩꮧ, ꮭ ꮔꮎꮰꮿꮝꮫꮎ ꭴꮩꭿᏻꮢꮎ ꮎꮝꭹꮓ ꮧꮎꮩꭹꮿꮝꭹ ꮒꮣᏻꮅꮝꮩꮤꮕ ꮎꮝꭹ ꭴꮩꮲꮕꭲ, ꭲᏻꮎꮫꮑꮅꮣꮝꮧ ꭴꮒꮂꭹ ꭰꮄ ꭰᏸꮅ ꮪꮎꮩꮲꮢ ꮔꮝꮧꮣꮕ ꮎꮝꭹ ꮒꭼꮎꮫꭲ ꭰꮄ ꮝꭶꮪꭹ ꮎꮝꭹꮓ ꭰꮒᏼꮻ ꭰꮎꮑꮈꭹ, ꭲᏻꮓꮝꮚ ꮎꮝꭹꮎꭲ ꭴꮎꮣꮴꮅꮣ, ꭶꭸꭶꮕꮨ ꭸꮢꭲ, ꭼꮒꭼꭼ-ꭴꮹꮢ-ꭴꭶꮞꮝꮧꮥꭹ ꭽꮻꮒꮧꮲ ꮒꭶꭵ ꮠꭲ ꮕꮒᏺꭲꮝꮣꮑꮂꮎ ꮎꭲ ꭴꮒꮂ ꭴꮎꮣꮴꮅꭶꮿ.
03-00	Ꭰꮿꮩꮈ 3
03-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ᏻꮎꮫꮧꭲ ꭵꮄꮒꮩꮂꭲ, ꭳꭶꮣꮴꮅ ꭸꮢꭲ ꭰꮄ ꮎꮝꭹ ꭴꭶꮞꮝꮧ ᏼꮻ.
04-00	Ꭰꮿꮩꮈ 4
04-01	Ꭴꮩꭿᏻꭿ ꮭꭹꮆꭲ ꭰꮵꮒᏼꮧ ꮎꮝꭹ ꮧꭸꮵꮎꮭꭵ ꭰꮄ ꭶꮜꮩꮿꮝꮧ ꭰꮵꮎꮭꭲ ᏹꭸꮞꮝꮧ; ꮧꭸꮵꮎꮭꭵ ꭰꮄ ꮎꮝꭹ ꮧꭸꮵꮎꮭ ꮧꭶꮎꮧꮕꮧ ꭴꮩꭿᏻꭿꮿ ꭶꮕꮝꮩꮝꭸꮝꮧ ꮎꮝꭹ ꮒꭶꭵ ꮎꮝꭹ ꭲᏻꮝꮧ.
05-00	Ꭰꮿꮩꮈ 5
05-01	Ꭴꮩꭿᏻꭿ ꮭꭹꮆꭲ ꭰꮵꮈꮝꮧ ᏹꭸꮞꮝꮧ ꭰꮄ ꭴᏺ ꭲꮿꮣꮫꮑꭿ ᏹꭸꮞꮝꮧ, ꭰꮒᏼꮻ ꮒꭸꮢꮎ ᏹꭼꮧ ᏹꭸꮞꮝꮧ ꭰꮄ ꭴꮥꮀꭿꮝꮧ ᏹꭼꮧ ᏹꭸꮞꮝꮧ ꭰꮄ ꭰꮝꮫꮧꮝꮩꮧ ᏹꭸꮞꮝꮧ.
06-00	Ꭰꮿꮩꮈ 6
06-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭲᏻꮎꮫꮑꮧꭲ ꮒꭼꮎꮫ ꭸꭺꮅꮴꮧ ꮎꮝꭹ ᏼꮻ ꭲꭼꮿꮨꮯ ꮎꮝꭹ ꮧꭷꮓꮹꮫꮝꮧ.
07-00	Ꭰꮿꮩꮈ 7
07-01	Ꮒꭶꮫ ꭲꮷꮃꭽꮙ ꭲꭼꮿꮨꮯ ꮎꮝꭹ ꮧꭷꮏꮹꮫꮝꮧ ꭰꮄ ꭴꮎꮣꮒꮬꮕꭲ ꮕꮰꮿꮝꮫꮎ ꮒꭶꭵ ꭰꮣꮫᏻꮴꮧ ꮎꮝꭹ ꭲꮷꮃꭽꮙ ꭼꮹꮒꮝꮥꮈꮩꮧ ꮎꮝꭹ ꮧꭷꮏꮹꮫꮝꮧ. Ꮒꭶꮣ ꭴꮎꮣꮒꮬꮕꭲ ꭲꮷꮃꭽꮙ ꭼꮹꮒꮝꮥꮈꮩꮧ ꮧꭼꮹꮎꮱꮧꮝꭹ ꮒꭶꭵ ꭰꮣꮫᏻꮴꮧ ꮎꮝꭹ ꭰꮝꭶꮕꭼꭲ ꭿꭰ ꮧꭶꮓꮳꮃꮕꭲ ꭰꮄ ꮧꭼꮹꮎꮱꮧꮝꭹ ꭰꮄ ꮒꭶꭵ ꮣꮣꮪꮄꭼ ꮎꮝꭹ ꭲᏻꮝꮧ ꭰꮣꮫᏻꮴꮧ.
08-00	Ꭰꮿꮩꮈ 8
08-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꭾꮝꮧ ꮎꮝꭹ ꮪᏻꭺꮫ ꭲᏻꮎꮫꮧꭲ ꮎꭲ ꮥꭻꭺꮤꮕꭹ ꭲᏻꮅꮝꮩꮧ ꮎꮝꭹ ᏸꮅ ꮒꭼꮹꮎꮫꮧ ꭸꮢ ꭰᏸꮅ ꮷꮎꮣᏹꮅꮣꮝꮧ ꮎꮝꭹꮎ ꮪꮅꮑꮸꭹ ꭰꮝꭶꮕꮸꭲ ꮎꮝꭹ ꮪꮎꮃꮟꮫ ꮪꮒꮂꭹ ꭴꮅꮝꭺꮈꮣꮑꮈꭹ ꮎꮝꭹꮓ ꭶꭻꮝꮫꮧ ꭰꮄ ꮎꮝꭹꮓ ꮧꭷꮏꮹꮫꮝꮧ.
09-00	Ꭰꮿꮩꮈ 9
09-01	Ꭴꮩꭿᏻꭿ ꮭꭹꮆꭲ ꭰꮞꮚꮚ ꮳꭻꭺꮣꮑꮧ ᏹꭸꮞꮝꮧ ꮎꭲ ꭰꮵꮒᏼꮧ ᏹꭸꮞꮝꮧ, ꭰꮵꮝꮪꮧ ꭰꮄ ꭰᏸꮅ ꭰꮵꮔꭺꮻꮝꮧ.
10-00	Ꭰꮿꮩꮈ 10
10-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꭽ ꭴꮎꮣꮒꮬꮕꭲ ꮎꮝꭹ ꭴꭷꮅꮸꭿ ꭲꮷꮃꭽꮙꮓ ꭲᏻꮎꮫꮑꮧ ꭴꮒꭿ ꮎꮝꭹ ꮪᏻꭺꮫ ꭰꮄ ꭰᏸꮅ ꭸꭶꮫꮣꮝꮩꮧ ꮎꮝꭹꮓ ꭴꮎꮣꮴꮅꮣ ꭰꮄ ꭴꮎꮅꭺꭿ ꮒꭸꮢꮎ ꮷꮎꮣᏹꮅꮣꮝꮧ, ꮎꮏ ꮎꮝꭹ ꮣꮕꭺꮤꮒꮩꮂꭹ ꮎꮝꭹ ꭴꮒꮂ ꭴꮴꮅ ꭰꮄ ꭴꮎꮣꮪꮣꮈꮂꮝꭼ ꭰꮄ ꮒꭶꭵ ꭰꮝꭶꮕꮸ ꭰꭻꭿꮝꮫ ꭴꮱꮧꮝꭹ.
11-00	Ꭰꮿꮩꮈ 11
11-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭸꭻꭿꮝꮤꮕ ꭴꮰꮿꮝꮧ ꭴꮝꮫꮧꮝꭹ ꭴꮝꭶꮕꮸꭲ ꭴꭾꮝꮧ ꮎꮝꭹ ꭴꮒꮂ ꮪᏻꭺꮫ ꮩꭿᏻꭿꮿ ꮎꮝꭶꮕꮎ ꭹꮃꮓ ꭰꮓꭿᏻꮤꮕ ꭴꮝꭶꮕꮸꭲ ꮒꭼꮕ ꮧꭷꮏꮹꮫꮝꮧ ꮎꮏꭲ ꭰᏸꮯ ꮣꮎꮣᏸꮅꮩꮂꭹ ꮎꮝꭹꮓ ꮪꮒꮩꭲꮝꮣꮑꮈꭹ ꮎꮝꭹ ꭴꮂꭹ ꮒꭶꮣ ꮎꮝꭹꮎ ꭲᏻꮅꮝꮩꮧ ꭰꭶꮧꮢꮝꮧꮝꭼꭹ.
11-02	Ꮭꭹꮆꭲ ꮽꮣꭺꮎꮫꭲ ꭰꮵꮒᏼꮧ ꭴꮝꭶꮕꮸ ꮒꭶꭵ ꭴꮝꮫꮧꮝꭹ ꭴꮝꭶꮕꮸꭲ ꭴꮎꭲ ꭰꮪꮣꮈꮧ ꮒꭶꭵ ꭴꮅꮑꮸ ꭰꮄ ꭶꮅꮣꮝꮤꮕ ꮎꮝꭹꮓ ꮭ ꮧꮃꮟꮤꮕ ꭴꮝꮫꮧꮝꭹ ꭴꮝꭶꮕꮸꭲ, ꭽꮻꮒꮧꮲ ꭰᏸꮅ ꭴꮎꮩꮲꮢ ꭰꮄ ꭰᏸꮅ ꮪꮎꮩꮲꮢ ꮧꭷꮏꮹꮫꮝꮧ, ꮎꮝꭹ ꮎᏻꭲ ꭰꮯꭲꮅꮝꮢ ꭴꮣꮝꭶꮕꮴꮈꭹ. Ꭵꮭꮓ ꮽꮣꭺꮎꮫ ꭶꭸꮧᏻꮙꮓ ꭴꮝꮫꮧꮝꭹ ꮎꮝꭹ ꮷꮪꭺꮣꮑꮧ ꭱꮝꭶꮙ ꮎꮝꭹ ꮜꮙ ꮎꮝꭹ ꮧꮩꮃꭹ ꮎᏻꭲ ꭰꮯꭲꮅꮝꮢ ꭴꮝꮫꮧꮝꭹ ꭴꮝꭶꮕꮸꭲ ꮎᏻꭸꮢ ꮕꮫꮑꮈꭹ.
12-00	Ꭰꮿꮩꮈ 12
12-01	Ꮭꭹꮆꭲ ꮽꮣꭺꮎꮫꭲ ꭰꮞꮚꮚ ꮳꭻꭺꮣꮑꮧ ꭰꮅꮜꮃꮑꮧ ꭴꮅꭺꭿ ꮎꮝꭹ ꭴꮥꮅꮣ, ꮟꮣꮑꮈ, ꭴꮗꮕꮢ ꭰꮄ ꮣꮎꮣꮫꭺꮧꮝꭼ, ꭵꮭ ꮧꭶꮨꮈꮝꮧ ꭶꮈꮙꮩꮧ ꭸꮢ ꭰꮄ ꭰꭶꮣꮕꮦꮧᏹ. Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮪᏻꭺꮫ ꭼꮹꮒꮝꮥꮈꮩꮧ ꭸꮞꮝꮧ ꮎꮝꭹ ꭰꮱꮧꮝꭹ ꮧꭷꮏꮹꮫꮝꮧ ꭺꮁꮝꮧ ꭰꮅꮜꮃꮑꮧ ꭰꮄ ꮧꭶꮨꮈꮝꮧ.
13-00	Ꭰꮿꮩꮈ 13
13-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮩꭿ ꭰꮥꮧꭲ ꮎꭲ ꭰꮣꮕꮟꮣꮝꮧꭲ ꭰꮄ ꮣꮒꮑꮈꭹ ꭽꮻꮒꮧꮲ ꮎꮝꭹ ꮣꮰꭿꮝꮫꭲ ꮎꭲ ꮜꮙꭽ ꮝꭶꮪꭹ.
13-02	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭴꮒꭹꮝꮧ ꮒꭶꭵꮙ ꭰᏸꮅ ꮒꭼꮎꮫꭲ, ꭴꮰꮿꮝꮧ ꭴꮹꮜ ꭴꮴꮅ ꭱꭵꭲ, ꭰꮄ ꭲꭶꮇꭿꮝꮧ ꭴꮎꭲ ꭴꮹꮜ ꭴꮴꮅ ꭰᏸꮅ ꮒꭼꮎꮫꭲ.
14-00	Ꭰꮿꮩꮈ 14
14-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭴꮒᏺꮂꭹ ꭰꮄ ꭴꮅꭾꮅꮝꮩꮧ ꮎꮏ ꮠꭲ ꭰᏸꮯ ꮒꭼꮎꮫꭲ ꭴꮅꮝꭶꮝꮩꮤꮒꮈꭿ ꮎꮝꭹꮎ ꭰꮵꮝꮫꮧꮝꮧꮝꭼꭹ.
14-02	Ꭿꭲꮎꭲ ꭴꮒꮂ ꮪᏻꭺꮫ ꮭ ꭱꮅꮚ ᏹꭼꮎꮞꭿꮝꮧ ꮎꮝꭹ ꮣꮅᏹꮅꮩꮂ ꮩᏻꮓ ꮥꭸꮵꮝꮫꮂꮝꭼꭹ ꮎꮝꭹꮎ ꮧꮣꮄꮒꮝꭼ ꭼꮒꭼꭼ-ꭰꮩꭹꮿꮫ ꭴꭼꮹꮅ ꭴꮝꭶꮕꮸꭲ ꭰꮄ ꮎꮝꭹꮎ ꮧꭷꮏꮹꮫꮝꮧ ꭰꮅꮝꭶꮑꮝꭹ ꭴꭼꮹꮅ ꭰꮄ ꭰꮝꭺꮅᏼ ꮎꮝꭹ ꭴꮎꮣꮪꮥꮻꮫ ꭰᏸꮅ.
15-00	Ꭰꮿꮩꮈ 15
15-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭰᏸꮅ ꭰꮑꭿ ꭲᏻꮎꮅꮝꮩꮧꭲ.
15-02	Ꮭꭹꮆꭲ ꮽꮣꭺꮎꮫꭿ ꭰꮞꮚꮚ ꭴꮎꮣᏹꮈꭹ ꭴꮴꮅ ꭰᏸꮅ ꭲᏻꮅꮝꮩꮧ ꭵꮭꮓ ꭴꮎꮣᏹꮈꭹ ꮎꮝꭹ ꭴꮂꭹ ꮪᏻꭺꮫꭲ ꮎꮝꭹ ꭴꮑꮯᏼꮝꮧ ꭰᏸꮅ ꭲᏻꮅꮝꮩꮧꭲ.
16-00	Ꭰꮿꮩꮈ 16
16-01	Ꭰꮒꮝꭶꮿ ꭰꮄ ꭰꮒꭸꮿ ꭷꮅ ꭰꭶᏼꮅ, ꮔꮰꮿꮝꮫꮎ ꮒꭶꭵ ꮕꮒᏺꭲꮝꮣꮑꮂꮎ ꮒꮧꭶꮅꮝꮩꮧꮝꭼ ꮎꭲ ꮕꮎꮣꮄ ꭰꮒᏼꮻ, ꭰᏸꮅ ꮒꮣᏻꮒꮆꮢ ꭰꮄ ꮷꮎꮑꮅꮧ, ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ᏻꮎꮫꮑꮧ ꮎꭲ ꮥꭸꭶꮸꮝꮧꮝꭼ ꭰꮄ ꮟꮣꮑꮈ ꮒꮣᏻꮎꮣꮄꮕꭲ. Ꮎꮝꭹꮓ ꭴꮒꭽ ꭴꮎꮣꮒꮰꮕ ꮎꭲ ꭲꮷꮃꭽꮙꮓ ꭲᏻꮎꮫꮑꮧ ꭴꮒꮂ ꮎꮝꭹ ꮧꭸꭶꮸꮝꮩꮧꭲ, ꮎᏻ ꮧꭸꭶꮸꮝꮧꮝꭼꭹ ꭰꮄ ꮎꮝꭹꮎꭲ ꮣꮎꭶꮄꮒꮝꭼꭹ.
16-02	Ꮧꭸꭶꮸꮝꮧꮝꭼ ꭴꮩꭿᏻꭿ ꭰᏼꮈꭹ ᏻꮅꮝꮩꮧ ꮎꮎꭿ ꭴꮹꮜ ꮎꮝꭹ ꭴꮰꮿꮝꮧ ꮔꮪꮣꮈꮎ ꭰꮄ ꭷꮅꭲ ꭳꮟᏻ ꭴᏸꮈꮕꭿ ꮎꭲ ꭰꮫꮕꭲꮝꮧꮝꭼ ꮧꮒꮑꮅ ᏻꮅꮝꮩꮧꭲ.
16-03	Ꮎꮝꭹꮓ ꮟꮣꮑꮈ ꮒꭼꮹꮝꮫ ꮕꮝꮫ ꭰꮄ ꮪꮎꮃꮟꮫ ꭴꮎꮣꮱꭼ ꮜꮙ ᏼꮻ ꭰꮄ ꮎꮝꭹ ꭴꮎꮣꮒꮰꮕ ꭼꮹꮒꮝꮥꮈꭿꮩꭿ ꮎꮝꭹꮎꭲ ᏼꮻ ꭰꮄ ꮎꮝꭹ ꮝꭶꮪꭹ.
17-00	Ꭰꮿꮩꮈ 17
17-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭴꮹꮜ ꮷꭼꮹꮆꮧ ꭴꮎꮴꮅ ꭲᏻꮅꮝꮩꮧꭲ ꮎꮝꭹꮿꮓ ꮎꭲ ꮷꮎꮅꭺꮧ ꭰꮒꮠꭲ ꭴꮎꮰꮿꮝꮧ.
