00-00	Mɛ tɔnun asaria yen adunia nɔɔsiabu
02-01	Baawere ko kpi u sariaba ka tii mɔɔ ni ba kpara min baruka digoo kun tuko, bwesera, wasin gɔna, durɔwa, kurɔwa, politikin beragia, n kun mɛ bwisikunu gana.
02-02	Yen biru, n ǹ koorɔ bu tem ka tem wunana politiki ka wooda swaa sɔɔ. Kà da tem min di tɔnu yarima, mu tii mɔnu mua, mu ǹ muɛ ro.
03-00	Damba 3
03-01	Tɔnu baawere u waarun saria mɔ ka tii mɔru, ka sere mɛ ba koo wii yina.
04-00	Damba 4
04-01	Ba ǹ goo yoru muamɔ, bu sere wii dendi. Ba yoru diisiabu ka yoru muaba yina.
05-00	Damba 5
05-01	Ba ǹ goo takaasi mɔ̀, ba ǹ ma goo nɔni swaaru sɔɔsinɔ, bu sere goo nuku kɔsuru, ka sanani ka ma sere yè n ǹ weenɛ bu tɔn wundeko ni kuaa siimaa ko.
06-00	Damba 6
06-01	Baawere asaria mɔ yan kpuro bu wii tuburi ù n siribun tɔnu.
07-00	Damba 7
07-01	Tɔmbu kpuro ba nɛwa woodan bera (swaa sɔɔ) n maa weenɛ tii yina bi ba ko ka be yina, bun saa tia bu ku goo suu wuna, n da ma ba saria ye sara, bu ka wa bu be taki di ka bu be nɔɔ kuuri be kpuro wooda ya ko be ganɛ.
08-00	Damba 8
08-01	Tɔnu baawere u saria mɔ ù win tem siru ye fɛagiru faaba kana ma ba wi toraa swɛɛ yi sɔɔ wooda ya wi nɔɔ ka.
09-00	Damba 9
09-01	N ǹ korɔ bu tɔnu yɔrasia, bu wii nua n kun mɛ bu wii tem yara.
10-00	Damba 10
10-01	Tɔnu baawere u saria mɔ, naa nɛbu wɔlluyee, ù win mem gere bu nɔɔ dee dee samaan nɔni, kpa siri yeru te ta ǹ gɔnnu ka yaa murenamɔ, tu wunana ù n gem mɔ, yè n win baa ka win tirasi, tora te ba ma wi waasi tà ǹ gem, sirikobu bu asaria ko.
11-00	Damba 11
11-01	Tɔnu wi ba toraru waasi, ma ba ǹ gina ten see da nɔma tura, yen yɛro kun gina gɛɛ mɔ. Bà n koo wi siria n saria mɔ u goo kasu wi u koo ka wii yina.
11-02	N ǹ weenɛ bu tɔnu taarɛ wɛ yèn sɔ u gaanu kua n kun mɛ yèn sɔ u gaanu duari ni nu ǹ waa toraru ka asarian swaa sɔɔ, sanamɛ u ni kua Yen biru, n ǹ weenɛ bu yɛro taarɛ wɛ ya n kpaaru kere nde yè ba ko raa wii wɛ saa ye u tora.
12-00	Damba 12
12-01	Tɔnun waarun gari, win yɛnu win nɔɔsina ka win berusebu ya ǹ goo wa. Mɛna maa n ǹ weenɛ bu tɔnu bɛɛrɛ biasia kam sɔɔ. N weenɛ asaria yu ka tɔnu yina ka kookoo si sa sia mi.
13-00	Damba 13
13-01	Tɔnu baawere u saria mɔ ù da mi u ki, kpa ù win yɛnu bani win temɔ.
13-02	Tɔnu baawere u saria mɔ ù tem gam n di see, ka da win tin tem, u koo ma kpi ù wure ù wuraa mi.
14-00	Damba 14
14-01	Bà n tɔnu takaasi mɔ̀, u saria mɔ ù waayeru kasu tem gam gia, kpa ù tem min baruka di.
14-02	Ba ǹ kpɛ bu asaria ye gbiisia ma ba seeda kua ba wa mà u torawa. N ǹ maa koorɔ bu asaria ye gbiisia ma win kookoosu kun saa dee dee n de mɛ yigbɛ baka te ONU ya yii.
15-00	Damba 15
15-01	Tɔnu baawaren sariawa u n saa tem gam tɔnu.
15-02	Ba ǹ goo yinarimɔ u n saa tem gam tɔnu, bu sere wii yinari ù tem swɛyna.
16-00	Damba 16
16-01	Saa tɔnu saa gaa tura, ba ǹ bweseru garu, tem gam tɔndu, gusu nɔ saaru garu suu wunɛ, tɔn kurɔ ka tɔn durɔ ba saria mɔ bu suana kpa bu bibu ma. Ben saria ya nɛ wa suanaan swaa sɔɔ.
16-02	Be ba ki bu suana sere bu gina nɔɔsina n kun tirasi.
16-03	Sa seewa sa tɔnun bweseru deemawa tem mi, bwese tera ta gbiiya n ma weenɛ bu ka tè yina.
17-00	Damba 17
17-01	Baawere, a, wi turowaa a be dabinaa, u kon win baa mɔwa.
17-02	Ba ǹ kpɛ bu tɔnu win gaanu wɔrari ka dam.
18-00	Damba 18
18-01	Tɔnu baawere u ayeru mɔ: ù bwisiku nde mɛ u ki, u n dasabu mɔ, kpa ù gusunɔ sa; aye te ta dera u koo kpi ù gusunɔ saaru garu deri ù garu swii, nde mɛ u koo kpi ù gusunɔ saa wi turo, n kun mɛ sannu sannu, samaan wuswaaɔ n kun mɛ win beraɔ nde mɛ u ki.
19-00	Damba 19
19-01	Tɔnu baawere u saria mɔ ù gere mɛ u wa, u kun nande, kpa ù gari ka dabaaru yè u nua tem pusi mɛ u kpia ka mi u ki.
20-00	Damba 20
20-01	Tɔnu baawere saria mɔ ù mɛnnɔ ka yigbɛru kó ta kun naanaanu ganu mɔ.
20-02	2. Ba ǹ goo tirasi mɔ̀ ù yigbɛru garu du.
21-00	Damba 21
21-01	Tɔnu baawere u saria mɔ ù win tem tɔmbun wunanɔsu sɔɔ du ù n ki win tii tii, n kun mɛ ù sɔmɔbu gabu wuba bé u ki bu wi wunana.
21-02	Tɔnu baawere koo kpi ù samaa sɔmburu (bature sɔmburu) ko, nde mɛ ba yen kpuna yii.
21-03	Mɛ samaa ya yii mi sɔɔra tem dam mu tasa. Swaa ye sɔɔ ba ko n da tɛtɛ to, taki sari, sanam ka sanam, tɔmbu kpuron nɔni biru n kun mɛ bɔkusaɔ, bu ku goo tirasi ko u ka goo tɛtɛ toowa.
22-00	Damba 22
22-01	Tɔnu baawere u saria mɔ u nɔm kɛru wa, mi win baa ya waa kpuro. Ka win tem kookari, ka mi nɔɔsina yè ya waa ka tem tukun dam, n wa win waaru tan girima mɔ.
23-00	Damba 23
23-01	Tɔnu baawere u saria mɔ ù sɔm buru ko, ù gɔsi te u ki, ka ten yè ta mɔ n koo ka wi naawa kɛru wa sɔmburu tà n ra yɔra gasɔ.
23-02	Tɔmbu kpuro, ba kɔsia teeru mɔ bu mua saa ba ka sɔm bwese te eru mɔ́
23-03	Wi u sɔmburu mɔ̀ kpuro u saria mɔ ù kɔriaru mua mɛ n weenɛ, sere tu wi win yɛnugibu turi mɛ ba kon ka waaru dimɔ dee dee, n koo koora buka be yina.
23-04	Tɔnu baawere u saria mɔ wi ka gabu bu sɔm kowobun yigbɛ te ta ra ka be yinɛ swii, kpa bu kpan yigbɛ mɛrosu sɔɔ du si su ko nda ka be sunɛ.
24-00	Damba 24
24-01	Tɔnu baawere u saria mɔ ù wɛra, u dwee, ù sɔmburu ko u ku saka sarasia, kpa ù wɛraru ka kɔsiaru giru mau sanam ka sanam.
25-00	Damba 25
25-01	Tɔnu baawere u saria mɔ ù waaru diisina mɛ u koo ka win bwaa dobu, win bwɛ, ka win yenugibugia nɔɔri, nde dianun bera, yanu waayeru, dokotoro tim. Win sɔmburu tà n yɔra, ù n bara ù n yɛmɔ kua, ka sere yè u mɔ yà n buera n kun ka win gɔru kiru, u saria mɔ nɔm kɛrun yigbɛru tu wii dera.
25-02	Yɔɔniru ka biru ta saria mɔ bu te nɔɔri gem gem. Kurɔ wi na ka kurɔ kpaaru mɔ win bibu, ka wi na ǹ ka kurɔ kpaaru mɔ n bibu, be kpurɔ somi tee tera ba ko be ko.
26-00	Damba 26
26-01	Tɔnu baawere weenɛ ù keu ko. Keu ya weenɛ bu ye ko n kun ka gobi, n ǹ man kere keu dii piibinugia. Kei dii piibinunkeu ya saa tirasi. Keu nɔman sɔm mɛɛribu gia ka gbankɔkɔ sɔm mɛɛeribugia n weenɛ bu n saa tɔmbu kpurongia, saa ba ka yen saka tura.
26-02	Yè tɔnu kasu keu sɔɔ yera bwɛɛ dora, n wa tɔnum asaria ka win tiin mɔrun nɔni dokebu bu dam sosi. Keu ya weenɛ yu somi mɛ nɔɔsina, suuru, ka kiru ta kon ka waa tem kpuro, bwese wuunu kpuro n kun mɛ gusunɔ saarugibun mi. Kpa yu kpam yigbɛ baka te ba soka ONU somi ten wɔri sɔɔ mɛ̀ ta koo ka sina sɛɛru swii andunia sɔɔ.
26-03	Biin tundo ka biin mɛro ba ayeru mɔ bu ben bibu keu doke swaa yè ba ki sɔɔ.
27-00	Damba 27
27-01	Tɔnu baawere koo kpi, dwee bi tɔmba mɔ̀ ù bi du ma u ki, kpa ù bin baruba di. Tɔnu baawere koo kpi ù kasoo sɔɔ du kpa ù yen arufaani di.
27-02	N weenɛ su ka tabu yari, n wa wi u kasoo mɔ̀ (gaanun gɔsiabun bera, tire yoran beran) ù yen arufaani di.
28-00	Damba 28
28-01	Tɔnu baawere u saria mɔ ù ko mɛ u koo ko, tɔmbu sɔɔ ka tem tukumɔ, baayere ya n ka nɔɔ nɛ saria ka tii mɔɔ tèn gari ba kpara mi sɔɔ kpa tɔmbu ka yè sɔmburu ko.
29-00	Damba 29
29-01	Tɔnu, tirasi, sɔmbura, wi yiiye ù samaa kua domi mi sɔɔra u ko win baayere siisia mɛ u ki.
29-02	Tɔnu à n asaria ka tii mɔru mɔ a n maa winsingia geriti, a n tii yɛ n wa goo ù ku ka googia mɛnna kpa wuu gu ka sina sɛɛ. Ba nɛ mi be tɔnun ayera yɔra, mi n dia googiru ta torua.
29-03	Saria be ka tii mɔɔ te, ye kpuro, ba ǹ ka yo sɔmburu mɔ̀ bunanam. Nde mɛ yigbɛ bakate ONU ya yii mɛsuma ba koo sua.
30-00	Damba 30
30-01	Yè ka yè ba yii tɔnun asarian bera mi baasi, kpunaa gaa ka kookoosu gasu maa sari, si ba koo tusia nɛnɛm, tem gam, bu ka saria ka tii mɔɔ te ba kpara mi kpeera - sia pai.
