00-00	ADASA NDZINOA HO DAWURBƆ
07-01	Nyimpa nyina yɛ pɛr wɔ mbra no enyim, na hɔn nyina fata mbra no ne ntwitwagye a nyiyimu nnyi mu. Obiara wɔ ho kwan dɛ mbra no bɔ no ho ban tsia nyiyimu a obu Dawurbɔ yi mu nsɛmpɔw no mu biara do no, nye nunu biara a wonunu nyimpa ma ɔyɛ ma ɔyɛ nyiyimu no.
08-00	Asɛmpɔw 8
08-01	Obiara a wɔayɛ bɔn etsia ne ndzinoa a mbra na amambu ho mbra ma no ho kwan no, wɔ ho kwan dɛ odua asɛndzi baguafo do gye nsiesie anaa mpata a ɔfata.
09-00	Asɛmpɔw 9
09-01	Onnyi dɛ abɔtsirmu ara wɔkyer obi, wɔdze no sie, anaa wotwa no esu.
10-00	Asɛmpɔw 10
10-01	Obiara wɔ ho kwan dɛ bagua asɛndzifo a wɔnntɔn hɔn asowa nndzi tsena hwehwɛ n'asɛm mu pefee wɔ ne ndzinoa, n'asadze anaa ewudzisɛm ho sombo bi a wɔdze abɔ no ho.
11-00	Asɛmpɔw 11
11-00	Obiara a wɔabɔ no sombo bi a ɔdze ntsea nam no wɔ ndzinoa dɛ wobu no dɛ odzi bem kesi dɛ, woedzi n'asɛm ama no kwan biara a ohia dɛ ɔdze tstsew no ho, na woebu no fɔ dɛ mbrɛ mbra kyerɛ.
11-01	Onnyi dɛ wobu obiara fɔ na wɔtsea no wɔ ndzeyɛɛ bi a ɔnnye ntsea nam ase. Na eso onnyi dɛ wɔma obi ntsea a ɔbor no mfomdo a ɔayɛ no ho ntsea do.
12-00	Asɛmpɔw 12
12-01	Onnyi dɛ abɔtsirmu ara wɔdze ɔho hyehyɛ obi no kɔkoamunsɛm, n'ebusuasɛm anaa n'efisɛm mu; anaadɛ wogu n'enyimnyam na ne dzin ho fi. Ɔyɛ obiara ne ndzinoa dɛ mbra bɔ no ho ban tsia ndzeyɛɛ a ɔtsetse dɛm yi.
13-00	Asɛmpɔw 13
13-00	Ɔyɛ obiara ne ndzinoa dɛ okyinkyin na ɔtsena ɔman bi n'asaase do bea biara a ɔpɛ.
13-01	Ɔyɛ obiara ne ndzinoa dɛ ofi ɔman biara mu (noara ne man kã ho) na ɔsan ba ne man mu bio.
14-00	Asɛmpɔw 14
14-00	Obiara wɔ ndzinoa dɛ ɔhwehwɛ na onya guansuma wɔ ɔman bi do fi atseetsee ho.
14-01	Onnyi dɛ dɛm ndzinoa yi wobisa wɔ bɔn bi a ɔmmfa manyɛ ho anaa otsia Amanaman Nkabɔmu Kuw no ne nhyehyɛɛ a onyia no ayɛ ma woridzi n'asɛm wɔ ho biara ho.
15-00	Asɛmpɔw 15
15-00	Obiara wɔ ndzinoa dɛ ɔyɛ ɔman bi ba.
15-01	Onnyi dɛ abɔtsirmu ara wɔma obi hwer n'amambayɛ, anaadɛ wɔmma no kwan mma ɔnnsesa n'amambayɛ.
16-00	Asɛmpɔw 16
16-00	Ɔyɛ mbanyin na mbaa a hɔn enyi efifir hɔn ndzinoa dɛ wɔwar na wɔwo mba, na awosu, amambayɛ anaa nyamesom nnsiw iyi ho kwan. Mbanyin na mbaa nyina hɔn ndzinoa a wɔwɔ no awar ho no yɛ pɛr wɔ awar ber no mu nye awar no ngui no mu so.
16-01	Adze ara a ɔwɔ dɛ awar no gyina do nye asakuw ebien a wɔrowar no hɔn pɛ a nhyɛ nnyi mu.
16-02	Okun, ɔyer na mba bɔ mu kor dɛ abɔasee kuw a nyimpa kuw biara ne farbaa fi mu wɔ adasa mu, na ɔyɛ hɔn ndzinoa dɛ nyimpakuw no na ɔman no bɔ hɔn ho ban.
17-00	Asɛmpɔw 17
17-00	Obiara wɔ ndzinoa dɛ onya egyapadze a ɔyɛ no nko nedze, anaadɛ ɔnye nkorɔfo bi bɔ mu nya dɛm egyapadze no.
17-01	Onnyi dɛ abɔtsirmu ara wɔgye obi n'egyapadze fi ne nsamu.
18-00	Asɛmpɔw 18
18-01	Obiara wɔ ndzinoa dɛ ɔyɛ n'adwen, ɔsoa noara ne tsibowa, ɔfa nyamesom biara a ɔpɛ. Dɛm ndzinoa yi ne fã bi nye kwan a obiara wɔ dɛ ɔsesa ne nyamesom anaa ne gyedzi na kwan so a ɔfa do dze ma ne gyedzi no da edzi wɔ bagua mu anaa nsumaa mu, dɛ ɔno nko anaadɛ nyimpa binom kã ho wɔ iyi mu.
19-00	Asɛmpɔw 19
19-01	Obiara wɔ ho kwan dɛ ɔkyerɛ n'adwen wɔ biribi ho. Dza ɔkã dɛm ndzinoa yi ho nye dɛ obiara botum ayɛ n'adwen wɔ biribi ho a ntotoananmu biara nnyi mu. Dza ɔkã ho bio so nye dɛ otum anaa otsie asɛm nye nsusui biara a ɔnam kwan biara do na efi mbea nyina, na ɔma nyimpa binom so tse.
20-00	Asɛmpɔw 20
20-00	Obiara wɔ kwan dɛ ɔkɔ nhyiamu a ɔyɛ asomdwee ase, na ɔdɔm fɛkuw biara.
20-01	Onnyi dɛ wɔhyɛ obiara ma ɔdɔm fɛkuw bi.
21-00	Asɛmpɔw 21
21-00	Ɔyɛ obiara ne ndzinoa dɛ osuo mu ma wobu ne man dɛ ɔnoara dzi bano wɔ mu, anaadɛ obosuo mu ma woeeyi ananmusifo.
21-01	Ɔyɛ obiara ne ndzinoa dɛ onya kyɛfa wɔ ɔman adɔdɔdze biara a ɔwɔ ne man mu no mu.
21-02	Ɔwɔ dɛ aban no tum gyina ɔmamfo hɔn pɛ do. Dɛm pɛ yi wɔnam ambatow a no mu da hɔ a wɔtow no ne ber ano do da no edzi, akorɔfo a wɔasõ ambatow no wɔ dɛ wɔma wɔtow amba wɔ nsumaa mu a nhyɛ biara nnyi mu.
22-00	Asɛmpɔw 22
22-01	Ankorankor biara, dɛ ɔyɛ ɔmamba bo, wɔ ndzinoa dɛ ɔman no bɔ n'eyiedzi ho ban. Ɔwɔ dɛ wɔfa ɔman no no mbɔdzen do, anaa bataboa bi a dɛm ɔman no nye ɔman fofor bi yɛ do ma ɔmamba biara n'eyiedzi ba mu dɛ mbrɛ ɔman kor no ne sikasɛm, n'asetsena na n'amambra no tum a ɔma n'enyimnyam dzi mu no tse.
23-00	Asɛmpɔw 23
23-00	Obiara wɔ ndzinoa dɛ ɔyɛ edwuma. ɔyɛ ne ndzinoa dɛ ɔfa edwuma a ɔpɛ dɛ ɔyɛ, na ɔyɛ ne ndzinoa dɛ wɔma no edwumayɛ mu nhyehyɛɛ pa, na wɔbɔ noho ban fi fietsena ho.
23-01	Ɔyɛ obiara ne ndzinoa dɛ wɔma no akatua a ɔfata n'edwuma a ɔyɛ a, nyimpa nyiyimu biarannyi mu.
23-02	Obiara a ɔyɛ edwuma no wɔ ndzinoa dɛ onya akatua a ɔsɛ na ɔtsen a ɔbɛma ɔnye n'ebusuafo enya asetsena a ɔfata nyimpa n'enyimnyam, na sɛ ohia mpo a, ɔwɔ dɛ wɔdze asetsena mu nhyehyɛɛ ho ekyigyina bi foa akatua no do.
23-03	Ɔyɛ obiara ne ndzinoa dɛ ɔtsew anaa ɔdɔm edwumayɛfo kuw bi dua do dze bɔ n'eyiedzi ho ban.
24-00	Asɛmpɔw 24
24-01	Obiara wɔ ahomgye na bɔndɔdziber ho kyɛfa; mber a wɔahyehyɛ a ɔmma edwumayɛ mmbor do, na akwanma ber a wotua odwumayɛnyi no kaw so kã iyi ho.
25-00	Asɛmpɔw 25
25-00	Obiara wɔ ndzinoa dɛ ɔnye n'ebusuafo nya asetsena yi mu eyiedzi a ɔbɛma woeenya ahoɔdzen nye asetsena pa, edziban, akataho, tsenabew, eduyɛ na asetsena mu nhyehyɛɛ pa.
25-01	Ɔyɛ obiara ne ndzinoa so dɛ, zɛ ɔhwer n'edwuma, ɔyar, onya dzɛmdzi bi, no hokafo wu, mpanyinyɛ ma ɔyɛ mberɛw, anaadɛ biribi ama ma onntum nnhwɛ noho a, onya asetsena mu ekyigyina. Ɔwɔ dɛ mbasiafo a wotur mba na mbofra nyina wɔma hɔn mboa soronko. Mbofra nyina, dɛ wɔwoo hɔn wɔ awar ase, anaadɛ wɔwoo hɔn wɔ sɔnmu, wɔ dɛ wɔma hɔn asetsena mu bambɔ pɛr.
26-00	Asɛmpɔw 26
26-00	Ɔyɛ obiara ne ndzinoa dɛ ohu nwoma. Mbofraber mu nwomasua na ahyɛse nwomasua a ɔtse dɛm no nnyi dɛ wɔgye ho sika. Ɔyɛ nhyɛ dɛ abofra biara nya mbofraber mu nwomasua. Ɔwɔ dɛ wɔma mfirdwuma, na nsaanodwuma ho adzesua nye dwumadzi horow ho nwomasua yɛ beberee. Suapɔn mu nwomasua so wɔ dɛ ɔyɛ beberee na obiara a no mbɔdzembɔ fata no wɔma no ho kwan.
26-01	Ɔwɔ dɛ nwomasua nyina no botae yɛ dɛ ɔhwehwɛ nyimpa dasanyi no mu nyina no mpontu nye enyidzi kɛse a ɔbɛba nyimpa mu wɔ adasa hɔn ndzinoa ahorow a wɔwɔ no ho. Ɔwɔ dɛ otu ntsease, gyaamu-ma-ɔnka na anyɛnkoyɛ mpon wɔ aman, nyimpakuw na nyamesom ho ekuw nyina mu; na ɔbɔboa atow Amanaman Nkabɔmu Kuw no dwumadzi akɔ kan dze ama asomdwee eetsim.
26-02	Awofo wɔ ndzinoa dɛ wɔbɛkyerɛ nwomasua kor a ɔwɔ dɛ hɔn mba nya.
27-00	Asɛmpɔw 27
27-00	Obiara wɔ ndzinoa dɛ ɔdze noho fora ne man m'amambra mu na onya enyigye fi ɔman no n'amandze nsaanodwuma mu na onya kyɛfa wɔ abɔdze nyansapɛ na mfaso a ɔdze ba no mu so.
27-01	Obiara wɔ ndzinoa a ofi abɔdzenyansapɛ, nwomasua anaa amandze, nsaanodwuma adzeyɛ bi a noara dze bɔbɔɔ adze no mu ba no ne bambɔ no mu.
28-00	Asɛmpɔw 28
28-01	Obiara wɔ ho kwan dɛ onya kyɛfa wɔ asetsena anaa amanaman nhyehyɛɛ a okitsa ndzinoa na fahodzi horow a wɔada no edzi wɔ dɛm Dawurbɔ wɔ Mpaamukã yi mu no mu.
29-00	Asɛmpɔw 29
29-00	Obiara wɔ asodzi wɔ nyimpa kuw a ɔtse hɔn mu no mu; hɔ nko ara nye bea a no mpontu a odzi mu botum aba a akwansiwdze bi nnyi ho.
29-01	Ber a obi dze ne ndzinoa na ne fahodzi ridzi dwuma no, ɔwɔ dɛ ɔyɛ dza mbra hwehwɛ wɔ no hɔ ama binom so eenya hɔn kyɛfa nye hɔn fahodzi. Ɔwɔ dɛ onya no bɔ bra tsenenee na ɔyɛ guadoadzeyɛ dɛ mbrɛ ɔdodow amambu mu eyiedzi adzeyɛ ho ntsetsee tse.
29-02	Onnyi dɛ wɔfa kwan biara a otsia Amanaman Nkabɔmu Kuw no ne nhyehyɛɛ do dze hwehwɛ ndzinoa na fahodzi ahorow yi.
30-00	Asɛmpɔw 30
30-01	Onnyi dɛ nyimpa biara ma nkyerɛase wɔ Dawurbɔ yi mu nsɛm yi ho a ɔbɛma ɔman, nyimpakuw anaa ankorankor bi tum ma ɔaayɛ biribi a ɔbɛsɛɛ ndzinoa na fahodzi ahorow a wɔada no edzi wɔ nwoma yi mu no.
