00-00	Đǝlwaɽa Pǝlelo Đalo Eŋen ŋǝ Leđa (Iguk)
02-01	Ŋen ŋaŋǝra ṯa leđa pređ alǝfiđi ŋen pređ iŋi ŋǝrcađaṯo ṯa aŋǝfeṯe eđǝmǝṯia eđen na đëbǝrëinialo eŋen iŋi ŋǝwërđëinu e-Đǝlwaɽa Pǝlelo Đalo iđi eđa gero gǝnǝŋ gǝđǝrnëinu alo, ŋenŋa ŋëmcu, aŋǝno, đǝlǝŋe, ole, ërđia, ŋen ŋǝŋamda ŋǝṯur, walla ŋen iŋi leđa lomǝn lǝsëcia, walla ŋen ŋalo irnuŋ walla ŋen ŋǝŋǝɽo ŋǝleđa, walla laŋge ildi eđa gerṯǝlo, đǝlǝŋǝnia walla ŋen ŋǝmǝn iŋi ŋakëɽǝnu, na ṯa đakarnǝđiano ađerṯe eleđa lǝrrwa walla lǝɽǝlda.
02-02	Na eŋen ŋwaña ŋomǝn tǝŋ, đǝbapërđǝniano ađerṯe đǝfia eŋen ŋǝŋamda iŋi eđa gǝnǝŋ gëŋǝnṯu na ŋǝlǝŋe ŋalganun walla rađ irri Irnuŋ Goɽra gǝlǝyerlda walla irnuŋ gǝrra geđa gǝnǝŋ ndǝ gënŋu gakǝmia etam gǝlëɽǝŋu walla gǝfo eđǝŋ đǝŋabǝɽa ŋomǝn.
03-00	Ađuna 3
03-01	Leđa pređ ŋen ŋarcađaṯo ṯa alǝfiđi eđǝmǝṯia eđen, đǝmǝṯia đǝŋǝra na đëbǝrëinialo na đëuṯaralo.
04-00	Ađuna 4
04-01	Eđa gero gǝnǝŋ giđi aŋiđǝni gǝɽo ebai walla aŋiđini ŋǝbaya. Ŋen ŋëṯǝmuđu ŋǝđiđia leđa lǝɽo lǝbai na ŋǝđirldiđëiđia leđa rađra pređ rǝlëɽǝŋu.
05-00	Ađuna 5
05-01	Eđa gero gǝnǝŋ giđi aŋiđini ŋađǝna aŋǝnëini ŋen ŋibwa egaŋǝno walla aŋǝmwëđinialo walla aŋiđini ŋen ŋero ŋǝbarna ŋǝleđa, walla aŋiđǝnṯi ŋen ŋǝkera đamia đǝlëɽǝŋu walla aŋëbini eŋen ëpwaya.
06-00	Ađuna 6
06-01	Leđa pređ ŋen ŋaŋǝra ṯa aliđǝnṯi ŋen ŋǝrcađaṯo ṯa aŋiđǝnṯi eđa gǝnǝŋ ndǝ gënŋu gǝfo alganun nëñua.
07-00	Ađuna 7
07-01	Leđa pređ laɽǝwaṯo eŋen alganun nëñua na lënŋulu pređ ŋen ŋarcađaṯo ṯa alǝfiđi ŋen ŋero ŋǝmǝlađia eđakǝmǝđia. Na lënŋulu com ŋen ŋaŋǝra ṯa alǝfiđi đǝbǝɽǝcǝniano đǝɽǝwaṯo alganun nëñua đǝpëiđia leđano đero, ŋen iŋi ŋǝkera ŋen ŋǝ Đǝlwaɽo Pǝlelo Đalo iđi na ŋakia ŋen ŋǝđǝbwaiđia eŋen ŋǝđakarnǝđiano.
08-00	Ađuna 8
08-01	Leđa pređ ŋen ŋarcađaṯo ṯa alǝfiđi đakǝmia đǝŋǝra enǝlǝŋ nakǝmǝđia nirnuŋ igi ldǝfau, ndǝ eđa gǝnǝŋ giđǝnṯu ŋen ŋǝbǝɽaŋǝno eŋen iŋi ŋǝɽo ađuna eŋen ŋǝrcađaṯo ṯa aŋǝfidi eŋen iŋi ŋǝfo iṯasṯur walla igalganun.
09-00	Ađuna 9
09-01	Ŋen ŋero ŋaŋǝra ṯa eđa gǝnǝŋ aŋëndǝni mǝɽǝmǝɽǝñ walla aŋǝđurwini liga lobǝlano walla lwalano đakǝmia đero, walla aŋǝmiñǝni walla aŋǝlëldǝñǝni irnuŋ gǝlëɽǝŋu aŋǝđwëini nwaldaŋ ŋabǝɽaŋa.
10-00	Ađuna 10
10-01	Leđa pređ lerṯo ŋen ŋǝɽǝwaṯo ṯa đǝskinia eđen ađǝnwënëini nǝlǝŋ nëñua nakǝmǝđia nalmakǝma yero yebǝrṯa ŋǝlǝŋe ŋomǝn ŋǝđuru ilëɽua na yiđurwaṯu yetǝɽe, ŋenŋanṯa nǝlǝŋ nakǝmǝđia anǝlakǝmǝđǝṯi ŋenŋa ŋǝđurwaṯu iŋi ŋǝrcađaṯo ṯa alǝfiđi eŋen pređ iŋi lënŋulu lǝskiniau.
11-00	Ađuna 11
11-01	Eđa gǝnǝŋ gëndǝnu walla gǝsǝkinu ŋenŋa ŋǝnǝŋ, gënŋu gumađëinia ṯa gero mǝnna mǝldin na ŋen iŋi gǝskiniya aŋǝmasaṯe almakǝma nëñua isi yeɽǝwađaṯo ṯa ayǝmanace liga ṯa aŋopǝṯe etam gǝlëɽǝŋu.
11-02	Eđa gero gǝnǝŋ giđi aŋakǝmǝni ŋenŋanṯa gënŋu gatođo walla gero gǝtođa ŋǝmëɽriaŋa ŋǝnǝŋ illi ndǝ ŋǝmëɽria ŋakǝl ŋumađëinu ṯa ŋaɽo đǝkera ŋen ŋalganun yeleđa lirnuŋ iliga đurri ildi eđa giđiṯau walla gero gǝbǝđia ŋen ŋakǝl. Na eđa aŋerṯe gakǝmǝnia ŋenŋa ŋǝmǝñǝđialo eŋen iŋi ŋǝrcađaṯo ṯa aŋǝyakǝmǝni iliga ildi gǝfo giđiṯau mǝnna gakǝl.
12-00	Ađuna 12
12-01	Ŋen ŋero ŋǝŋǝra ṯa eđa gǝnǝŋ aŋënṯi eŋen eđa gomǝn mǝɽǝmǝɽǝñ walla aŋënṯi eŋen ŋeɽa gǝlëɽǝŋu walla ekal isi gǝfau, walla aŋënṯi eŋen leđa lǝyarrǝŋǝnǝđia, na eđa gǝnǝŋ aŋerṯe gǝđama đamia đeđa gomǝn na đǝŋǝra đǝlëɽǝŋu. Leđa pređ lerṯo ŋen đeṯǝm ṯa alganun ayǝɽrǝmoṯwe eŋen iŋi ŋǝđërrǝnṯia eŋen ŋeđa gǝnǝŋ walla đǝđama eđa.
13-00	Ađuna 13
13-01	Leđa pređ ŋen ŋaŋen đeṯǝm ṯa alakaldace alo irnuŋ ɽetǝɽeto lëbǝrëinialo, na ŋen aŋerṯe ŋǝnǝŋ ŋǝtriṯia eđa ṯa aŋǝfeṯe irnuŋ igi gonaṯo alo erǝɽiaŋ rirnuŋ gǝlëɽǝŋu.
13-02	Leđa pređ ŋen ŋaŋen đeṯǝm alǝmamǝñe na alerldeṯe irnuŋ ndëwur egen, na alokoɽǝbaṯa irnuŋ egen ŋen ŋero ŋǝnǝŋ ŋǝlǝđǝrna.
14-00	Ađuna 14
14-01	Leđa pređ ŋen ŋaŋen na ŋarcađaṯo ṯa ndǝ lǝnanënia ŋen ŋibwa ŋǝbǝɽaŋǝno irnuŋ egen alǝgakonde ŋen ṯa aldaldǝñǝṯe irnuŋ gǝrto ŋenŋanṯa alǝwëbǝrđëini na alufiđi đǝmiñǝniano.
14-02	Ŋen iŋi ŋǝrcađaṯo ṯa aŋiđǝnṯi leđa, ŋaber ŋamǝđaṯa eđa gǝnǝŋ ndǝ gǝmamëinu nalmakǝma ŋenŋa ŋǝrto ŋerṯa ŋaŋamda walla ndǝ gënŋu gǝtođo ŋǝmëɽriaŋa ŋǝnǝŋ ŋǝmǝlađo eŋen ŋalganun ye Leđa ildi Lǝrrëiđu ŋen na eŋen iŋi ldëkëɽu.
15-00	Ađuna 15
15-01	Leđa pređ ŋen ŋaŋen đeṯǝm ṯa eđa gǝnǝŋ aŋerṯe jinsiya.
15-02	Ŋen ŋafo mǝnna ṯa eđa gǝnǝŋ aŋǝmuɽëini jinsiya ŋabǝɽaŋa walla aŋerṯe gǝbëŋǝnǝṯia ndǝ gënŋu gonaṯa gǝmǝlëđia jinsiya alo yilëɽǝŋu.
16-00	Ađuna 16
16-01	Orra na obwa nđǝ lënŋulu lǝrmaṯo iliga lǝŋǝra lǝɽǝwađaṯo ṯa alǝmǝđe alwaḏe eɽa egen, ŋen ŋaŋǝra ṯa lënŋulu alǝmǝđe na ŋen aŋerṯe ŋǝnǝŋ ŋǝlǝtriṯia, ŋen ŋarno ŋen ŋǝđǝlǝŋe na ŋëmcu, walla ŋen ŋërđia gǝ Rǝmwa. Lënŋulu ndǝm lerṯo ŋen ŋǝɽǝwaṯo ṯa alǝmǝđe bǝɽan, leđa alerṯe lǝbënṯia eŋen eŋen iliga ldǝmǝđia walla iliga ldǝneđia.
16-02	Ŋen ŋaŋǝra ṯa đǝma ađëŋǝnǝṯi na ađiđǝni caŋ caŋ ndǝ leđa ildi lǝmǝđia lëŋǝnǝcǝđu ŋamda ŋero na lero lǝđǝrnađëiđǝnia eŋen.
16-03	Eɽa gaɽo ađuna yiwëđǝnu alo eleđa lirnuŋ yeleđa lǝɽǝjan lǝrrëiđu ŋen, na ŋen ŋarcađaṯo ṯa lënŋulu alǝbǝɽǝcǝniano na aɽrǝmujǝni eleđa lǝɽëwur na Irnuŋ Goɽra.
17-00	Ađuna 17
17-01	Leđa pređ ŋen ŋaŋǝra ṯa eđa gǝnǝŋ naŋiđi đwala walla aŋerṯe laŋge, gǝfo alǝsoŋ gonto walla lǝrrëiđu ŋen leđala lomǝn.
17-02	Ŋen ŋero ŋǝŋǝra đeṯǝm ṯa eđa gǝnǝŋ aŋǝmamëini đwala đǝlëɽǝŋu walla laŋge ǝllëɽǝŋu ildi gerṯǝlo mǝɽǝmǝɽǝñ.
18-00	Ađuna 18
18-01	Leđa pređ ŋen ŋaŋen đeṯǝm ṯa eđa gǝnǝŋ aŋǝfeṯe gëbǝrëinialo eŋen ŋǝŋǝṯǝɽa ŋǝlëɽǝŋu, na ŋen ŋara gǝmǝṯo gǝlëɽǝŋu, na đëndia ŋen ŋërđia gǝ Rǝmwa đǝlëɽǝŋu; na ŋen ŋǝlëɽǝŋu iŋi ŋanṯa ṯa, eđa gǝnǝŋ aŋǝɽǝwađaṯe aŋǝmǝlëđi ŋen alo ŋërđia gǝlëɽǝŋu walla ŋen iŋi gëndu ŋǝ Rǝmwa ndǝ gonaṯa, na ŋen aŋerṯe ŋǝnǝŋ ŋǝmađǝrna ṯa gaɽwata ŋenŋa ŋǝlëɽǝŋu ŋǝ Rǝmwa đarrǝŋëiđiađa walla điđiaya ŋǝmeɽria, na đëbuŋǝṯiađa Rǝmwa gǝfo alǝsoŋ walla lǝfo ldǝɽo leđala lwaña, eđa aŋerṯe gǝnǝŋ gǝbënṯia eŋen ŋǝlëɽǝŋu.
19-00	Ađuna 19
19-01	Leđa pređ ŋen ŋaŋen đeṯǝm ṯa eđa gǝnǝŋ aŋëbǝrëini alo ṯa aŋaŋëiđi ŋen iŋi gǝsadëinia eŋǝṯǝɽa ŋǝlëɽǝŋu na aŋǝyeɽwate; na ŋen iŋi ŋanṯa eđa aŋëndëci na aŋǝrmoṯwe ŋen ŋǝŋǝṯǝɽa ŋǝlëɽǝŋu eđa aŋerṯe gǝnǝŋ gǝmađǝrna walla gǝbënṯia eŋen ŋǝlëɽǝŋu, na ŋen ŋalëɽǝŋu ṯa aŋgakonde na aŋǝlaldǝŋeṯe ŋen ŋǝŋǝṯǝɽa ŋǝleđa lomǝn na ŋen ŋǝɽwëtëinia imiḏia ɽetǝɽeto na ṯa aŋǝyeɽwataṯe ekal pređ rǝɽiaŋ ralo rero rǝmëtriṯia.
20-00	Ađuna 20
20-01	Ŋen ŋeđa gǝnǝŋ đeṯǝm ṯa aŋeɽǝbǝđe gero gǝtrinṯia eŋen ŋǝđǝrarraiđia nǝŋǝɽo đǝleđa đǝfo đëuṯaralǝđa, na ŋen iŋi ŋǝgakasaiđia leđa.
20-02	Eđa gero gǝnǝŋ giđi aŋǝđǝrnëini eŋen ṯa aŋënṯi eɽo lǝnǝŋ eŋǝɽo ŋǝleđa ŋabǝɽaŋa.
21-00	Ađuna 21
21-01	Leđa pređ ŋen ŋaŋen đeṯǝm ṯa aleɽǝbǝđe eŋǝlǝŋe ŋakǝmia irnuŋ egen, garno gënŋu đurri walla leđala ildi luṯǝnu ŋenŋa ŋëŋǝnǝṯu.
21-02	Leđa pređ lerṯo ŋen ŋǝɽǝwaṯo đeṯǝm ṯa alërrǝnṯi iŋǝmëɽria iŋi ŋǝleđa pređ irnuŋ egen.
21-03	Ŋen iŋi leđa lonaṯa đeṯǝm ŋen ŋarcađaṯo ṯa aŋǝɽeṯe iđuna yeŋǝlǝŋe ŋǝđakǝmia, na đonaṯa iđi ŋen ŋaŋǝra ṯa ađǝfeṯe ŋenŋa ŋǝđoṯa leđa iŋiga ŋǝlǝŋinu na ŋǝrcađaṯo, na ŋǝnaco leđa pređ liga lǝɽǝwaṯo ŋenŋanṯa aloṯe leđa ildi lǝlonaṯa đeṯǝmđa ŋamda ŋero. Na nabǝređa nǝđoṯa leđa anǝfeṯe ŋenŋa ŋǝwëcǝnu ŋenŋanṯa đoṯa leđa ađǝfeṯe ŋenŋa ŋǝđurwaṯu.
22-00	Ađuna 22
22-01	Eđa gǝnǝŋ gǝfo eleđa lǝɽëwur, ŋen ŋalëɽǝŋu đeṯǝm ṯa aŋerṯe ŋen ŋǝmarmoṯwa igëwur yilëɽǝŋu na aŋǝlǝŋini ṯa ŋen aŋǝmiđǝnṯi ŋǝmëɽriaŋa ŋǝleđa lirnuŋ đamǝđiađiađa đ-Irnuŋ Goɽra lǝbate nano na ŋen aŋǝfeṯe ŋenŋa ŋarno Irnuŋ Goɽra gakëɽëcu đwalađa đǝlëɽǝŋu garno rađ irri rǝbëncia đwala eŋen ŋǝđwala na đǝfia eŋǝɽo ŋǝleđa ŋërriaŋa eŋen iŋi ŋǝŋǝra ŋamǝđaṯa đamia đǝlëɽǝŋu na đëbǝrëinialo đǝmiñiađëcia ŋen nëñua ŋegaŋǝno yilëɽǝŋu.
23-00	Ađuna 23
23-01	Leđa pređ ŋen ŋarcađaṯo ṯa aliđi ŋǝmëɽria, na ṯa eđa gǝnǝŋ aŋoṯe ŋǝmëɽria iŋi gonaṯo na ŋǝrcađaṯǝma nano ŋenŋa ŋǝđurwaṯu na ŋëŋǝnǝṯu. Na com ŋen ŋalëɽǝŋu đeṯǝm ṯa aŋǝbǝɽǝcǝniano iliga gero gǝfiđia ŋǝmëɽria.
23-02	Leđa pređ ŋen ŋarcađaṯo ṯa alǝpǝɽǝni iŋǝmëɽria eŋen đwalađa đǝɽǝwaṯo đǝpëiđiano đero eŋen.
23-03	Leđa pređ ildi lǝbǝđia ŋǝmëɽria, ŋen ŋaŋǝra ṯa alǝnëini đǝpǝɽa đǝŋǝra đǝrcađaṯo ŋǝmëɽria nano eŋen ṯa ađǝɽǝwađace eđa na leđa leɽa gǝlëɽǝŋu ŋenŋanṯa alǝɽǝwađaṯe lǝmǝṯia đǝmǝṯia đame đǝrcađaṯo, na com ṯa aŋëɽǝjinṯi egorb, ndǝ ŋen ŋǝfo ŋǝmaṯan ŋunëinia, ŋenŋanṯa eđa aŋǝfeṯe iđǝrmoṯwa eleđa lǝɽëwur.
23-04	Leđa pređ ŋen ŋaŋǝra na ŋarcađaṯo ṯa alǝtuđi ŋǝɽo ŋǝŋǝmëɽria pređ eŋen ŋenŋanṯa ŋǝɽo ŋen iŋi aŋǝrmoṯwe ŋen eŋen ŋǝŋǝmëɽria.
24-00	Ađuna 24
24-01	Leđa pređ ŋen ŋarcađaṯo ṯa alerṯe liga lǝđǝmiñǝniano, na ŋiga ŋǝpiano ŋero ŋǝmëɽriano. Na ṯa eđa aŋëndǝnṯi liga na sa yeɽǝwađaṯo ŋǝmëɽria nano na eđa aŋerṯe ñoman ñǝđǝmiñǝniano ñǝlǝŋinu na ñupǝɽǝđǝnia.
25-00	Ađuna 25
25-01	Leđa pređ ŋen ŋarcađaṯo ṯa alǝfiđi ŋen ŋǝđǝmǝṯia đǝŋǝra đǝɽǝwađaco eđa gǝnǝŋ ṯa gënŋu na leđa leɽa gǝlëɽǝŋu alǝfiđi đǝŋǝra egaŋǝno na alǝfeṯe eđǝŋǝranano na alerṯe ŋǝsa, ndrenia, eɽa, na alǝfiđi ñakim na đǝbǝɽǝcǝniano ŋǝmëɽriaŋa pređ iŋi ŋamǝđaṯa ëwur. Na ndǝ eđa gǝnǝŋ gero gǝɽǝwađaṯia walla ndǝ gëyǝniau walla goɽra inṯǝlia walla ndǝ gero ŋen ŋǝmamǝđaṯa eđǝmǝṯia đǝlëɽǝŋu, ŋen ŋaŋǝra ṯa eđa gakǝl aŋǝbǝɽǝcǝniano aŋǝrmujǝni.
25-02	Ŋen ŋaŋǝra đeṯǝm ṯa ñǝŋgenia na ñere ñǝlǝŋǝnu majǝn alǝfiđiṯi đǝbǝɽǝcǝniano đǝŋǝra. Na ñere pređ ñǝlǝŋǝnu ŋenŋa ŋǝđurwaṯu walla ñǝlǝŋǝnu alo, ŋen ŋarcađaṯota añǝfidi đǝbǝɽǝcǝniano đǝŋǝra na đamǝđaṯa ŋenŋa ŋǝɽǝwaṯo.
26-00	Ađuna 26
26-01	Ŋen ŋaŋǝra đeṯǝm ṯa eđa gǝnǝŋ aŋǝfidi đëgria. Đëgria iđi đǝtwalalo đananoŋ ŋen ŋarcađaṯo ṯa đëgria ađerṯe đupǝɽǝđǝnia. Na đëgria đananoŋ iđi ađǝfeṯe ŋǝmaŋa eñere pređ. Na đëgria iđi đǝṯiknoloji na đǝŋoɽofa ŋǝŋǝmëɽria ɽetǝɽeto ađǝfeṯe đwaña alo. Na đëgria iđi đoɽra đǝjama ađǝfeṯe ŋenŋa ŋǝɽǝwaṯo ŋen ŋarno ŋǝlwa iŋi ñere ñǝbëgria ñarrǝpo.
26-02	Ŋen ŋaŋǝra ṯa đëgria ađǝṯuɽëini ŋenŋa ŋǝđamǝđaṯa đǝborkwađaṯa nëñua đǝleđa entam enen na ṯa ađonḏǝce ŋen ŋǝđǝrmoṯwa ŋen ŋǝŋǝra ṯa aŋiđǝnṯi leđa ŋenŋa ŋǝđëbǝrëinialo eđen. Na ŋen ŋalëɽǝŋu com ṯa ađǝma đǝlǝŋeṯa, na đǝɽǝñaṯa ŋen na ŋǝlǝŋǝnia eleđa lalo pređ, garno đǝlǝŋe ɽetǝɽeto walla ŋǝɽo ŋërđia gǝ Rǝmwa, ṯa ŋǝmëɽria ŋǝ Leđa ildi Lǝrrëiđu ŋen aŋǝɽalađaṯe nëñua eŋen ŋǝrmoṯwa đëuṯaralo.
26-03	Apaŋǝnda lǝlǝŋo ñere ŋen ŋaŋǝra đeṯǝm ṯa aloṯe ŋen ŋǝđǝmǝca ñere eñen nađëgria iđi lënŋulu lonaṯa ṯa ñere añëgri.
27-00	Ađuna 27
27-01	Leđa pređ ŋen ŋaŋǝra đeṯǝm ṯa eđa gǝnǝŋ naŋeɽǝbǝđe eŋen ŋǝŋërria ŋǝleđa lǝɽëwur , ṯa aŋǝreṯe nano ŋoɽofaŋa pređ na aŋeɽǝbǝđe eŋen ŋǝđǝborkwađaṯa nëñua eŋen ŋǝđǝlǝŋeṯa ɽetǝɽeto na eŋǝlwa ŋǝlëɽǝŋu.
27-02	Leđa pređ ŋen ŋaŋǝra đeṯǝm ṯa eđa gǝnǝŋ aŋǝrmuđǝnṯi ŋen ŋara gǝlëɽǝŋu na ŋaŋǝno yilëɽǝŋo na ŋen iŋi aŋgace ṯa aŋela eŋǝlwa ŋakǝl iŋi eđa gǝmiñu eŋen ŋǝđǝlǝŋeṯa, ŋǝđëgria walla ŋǝŋoɽofa.
28-00	Ađuna 28
28-01	Ŋen ŋaŋǝra ṯa leđa pređ alǝfiđi ŋen iŋi ŋǝṯoɽaṯa ëwur yeleđa lirnuŋ na lǝbate nano ŋenŋanṯa eđa gǝnǝŋ aŋǝɽǝwađaṯe gǝfiđia ŋen pređ iŋi ŋǝŋǝra ṯa leđa alerṯe na ŋen ŋǝđëbǝrëinial pređ iŋi ŋǝwërđëinu eŋen ŋǝ Đǝlwaɽa Pǝlelo Đalo iđi aŋǝɽiñađëini ŋopia.
29-00	Ađuna 29
29-01	Leđa pređ lerṯo ŋǝmëɽria igëwur esen iŋi ŋǝŋgiṯia eđa gǝnǝŋ goɽǝwađaṯia gufiđia liga lǝŋǝra ṯa aŋǝburkwëđëci etam nëñua gǝlëɽǝŋu ŋen ŋero ŋǝnǝŋ ŋǝđǝrnaiđǝma.
29-02	Iliga eđa gǝnǝŋ gǝtođa ŋǝmëɽriaŋa ŋǝlëɽǝŋu ŋenŋa iŋi ŋǝrcađaṯo ṯa aŋerṯe eŋen ŋǝđëbǝrëinialo đǝlëɽǝŋu, ŋen ŋaŋǝra ṯa leđa pređ alǝkasëiđǝni ŋenŋa iŋi ŋǝfo igalganun ikǝrǝŋ, ŋenŋanṯa ŋen aŋëŋǝnǝṯi na aŋǝrmujǝni iŋi ŋǝŋǝra ṯa leđa alerṯe lomǝn, na đëbǝrëinialo eđen, ṯa ŋen aŋǝɽǝñađaiđe iŋi ŋǝmama ŋen ŋǝđurwaṯu eŋen iŋi ŋǝṯoɽaṯa leđa pređ na eŋen iŋi leđa pređ lonaṯa ṯa aŋǝfeṯe igëwur yeleđa yeɽo ḏimugraṯi.
29-03	Ŋen ŋero ŋǝfia ŋopia ṯa ŋen iŋi ŋǝŋǝra ṯa leđa alerṯe na đëbǝrëinialo eđen alǝfeṯe ŋenŋa ŋǝmǝlađo eŋen iŋi Leđa ildi Lǝrrëiđu ŋen lëkëɽu ŋǝɽo iđuna.
30-00	Ađuna 30
