00-00	İNSONI HƏXON BARƏDƏ UMUMİYƏ BƏYONNOMƏ
08-01	Har qılə şəxsi Konstitusiyə ya ğanuni bəy doə həxon dəcvoniyə vaxtədə səlohiyətinə milliyə məhkəmon tərəfiku ıştə həxon mıdafıə karde həxış heste.
09-00	Maddə 9
09-01	Hiç kəs ıştənbəsə bə həbs, bo qəte ya bə kuçovnə məruz mande əzıni.
10-00	Maddə 10
10-01	Har qılə şəxsi çəy həx iyən vəzlfon təyin kardeyo iyən bəyo handə bıə cinoyətə ittihomon əsosin be mıəyyən kardeyo, bəçəy koy mıstəğılə, bitərəfə məhkəmədə tam bərobərəti əsasədə, de oşkoəti iyən çı ədoləti həmməy tələbon çəş karde şəraitədə diyə kay həxış heste.
11-00	Maddə 11
11-00	Cinayət kardeədə ittihombıə har qılə şəxs tovə çəy qıno bəçəy mıdafıəyo həmmə imkonon təminbıə ojə məhkəmə istintağədə de ğanuniyə ro sıbut be, beqıno hisobbe həxış heste.
11-01	Hiç qılə şəxs de milliyə ğanundoəti iyən de beynəlxalğə həxon əsosi bino be vaxt cinoyət hisob nıbə hərəkət iyən behərəkəton qorə cinoyətədə ittihom be əzıni. Həmçinin bəy cinoyəti kardə vaxtədə tətbiğ bey zınə cəzoku qonə cəzo tətbiğ bey əzıni.
12-00	Maddə 12
12-01	Hiç qılə şəxs bə şəxsiyə, xeyzonə mıdaxilə, kə-bə ənəqıniyəti, bəyəndı məktub nıvışte nunəkıliyəti, bəştə şərəfi iyən nufuzi ıştənbəsə ğəsdi məruz be əzıni. Har kəsi bə joğo mıdaxilə iyən ğəsdi çı ğanuni tərəfiku mıdafiə bey həxış heste.
13-00	Maddə 13
13-00	Har qılə şəxsi har qılə məmləkəti hududədə sərbəst hərəkət karde iyən jimonə vırə səçıniye həxış heste.
13-01	Har kəsi ıştən olkən daxil be şərti har qılə məmləkət tərk karde iyən bəştə olkə oqarde həxış heste.
14-00	Maddə 14
14-00	Har qılə şəxsi təqibiku co məmləkətədə boştəno pənohqo nəve, həmçinin çı pənohqoədə istifadə karde həxış heste.
14-01	Çı həxədə həğığətən bə ğeyri-siyasiyə cinayəton ro doədə, ya bə İMT-i məğsədon iyən prinsipon zidd hərəkətonku bə nav omə təğibon vaxti istifadə karde əbıni.
15-00	Maddə 15
15-00	Har qələ şəxsi vətəndoşəti həxış heste.
15-01	Hiç kəs ıştənbəsə vətəndoşətiku, iyən vətəndoşəti dəqışkarde həxeku məhrum karde əbıni.
16-00	Maddə 16
16-00	Bə perəsemonə sini rəsə merdon iyən jenon irqiyə, milliyə, diniyə əloməton qorə hiç qılə məhdudiyyət nıbəy bə nikah daxılbe iyən kəxıvandbe həx hısteşone. Əvon bə nikah daxıl beədə, nikahi mıddətədə ya çəy dəcvonə vaxtədə çı eyni həxonku istifodə kardedən.
16-01	Nikah bə nikahi daxıl bıə har dıqlə tərəf ozodə iyən tam rozi beədə dəbastə bedə.
16-02	Xeyzon çı cəmiyyəti təbiiə iyən sərqrupə vahide, çəy çı cəmiyyəti iyən devləti tərəfiku mıdafıəbey həxış heste.
17-00	Maddə 17
17-00	Har qılə şəxsi həm colinə, həmən de co kəson bə ico mılkiyət xıvandbey həxış heste.
17-01	Hiç kəsi ıştənbəsə çı mılkiyəto məhrum karde əbıni.
18-00	Maddə 18
18-01	Har qılə şəxsi fikir, vicdon iyən din ozodəti həxış heste. Bı həxe ıştə dini iyən etiğati dəqış karde ozodəti, bəştə dini iyən bovə kardəyon təhsil, dıvo kay, dini iyən ritualə ayinon icro kay vaxti colinə, ya de cokəson bə ico, oşko ya fərdi şikilədə etiğad kay daxile.
19-00	Maddə 19
19-01	Har qılə şəxsi əğıdə iyən əy sərbəst ifadə karde ozodətiş heste; bı həxe be maneə bə əğıdə malikbe iyən informasiyon ya ideyaon devləti sərhədiku bə şıkrə nıbə de dılipiyə vasitəon nəve, ya bə dast varde, pevılo kay ozodəti daxile.
20-00	Maddə 20
20-00	Har qılə şəxsi bə dinc yığıncağon iyən assosasiyon ozodəti həxış heste.
20-01	Hiç kəsi bə konsə qılə assosiasiya uzvəti məcbur karde əbıni.
21-00	Maddə 21
21-00	Har qılə şəxsi devləti idarə kardeədə ya bilavasitə, ya ozodə şikilədə vıjniyəbıə numayəndon vasitə iştirak kay həxış heste.
21-01	Har qılə şəxsi ıştə olkədə devləti idaronədə xıdmət kardeyo bə bərobər imkoni həxış heste.
21-02	Xəlğı iradə çı iqtidarə hakimiyəti əsas bənine; In iradə ıştəni de nunəkılə sədodoymonə roy, umumiyə iyən bərobərə vıjoniyə həxe, ya sədodoymonə ozodəti təmin bıkə de co eynimənəynə forməyon dəvoniyə bıə mıtəmadi iyən soxtə nıkardemonə vıjınon nişo doənine.
22-00	Maddə 22
22-01	Har qılə şəxsi çı cəmiyəti uzv təki sosialə mıdafiəş bənine iyən de milliyə ya beynəlxəlğə həmkoəti roon, har devləti soxtemoni iyən pesurson dairədə çəy ləyoğəti midafiə iyən şəxsiyəti ozodə ovciyo iqtisadiyə, sosialə iyən mədəniyə sahonədə həxonış heste.
23-00	Maddə 23
23-00	Har qılə şəxsi de zəhməti dastko bey, sərbəstə koy vırə səçın karde, ədolətinə iyən çokə ko şəraiti bey, iyən bekoətiku mıdafiə bey həxış heste.
23-01	Har qılə şəxsi hiç qılə co-vıjniyəti nıbıə bo i curə koy i curə zəhməthəx səy həxış heste.
23-02	Har kobıkə şəxsi bəştə koy qorə lozim beədə de co sosialə mıdafiə vasiton təmom bıə, çəy ıştəni iyən xeyzoni loyiğinə quzoroni təminbıkə ədalətinə iyən qənoətbəxşə maaş səy həxış heste.
23-03	Har qılə şəxsi həmkaron ittifoğ soxte iyən ıştə sosialə marağon mıdafiə kardeyo bə həmkaron ittifaği uzvbey həxış heste.
24-00	Maddə 24
24-01	Har qılə şəxsi istirohət, iyən asudə vaxt, həmçinin koyə ruji bəağılnıştə hudud, iyən maaş doə bıə mıtəmadiyə məzuniyəti həxış heste.
25-00	Maddə 25
25-00	Har qılə şəxsi ıştəni iyən xeyzoni səhhəti iyən rifahi təmin kardeyo lozimbıə hardemon, takanemon, tibbiyə xıdmət, iyən lozimi sosialə təminatən daxilbıə jimonə səviyyə iyən bekorəti, noxəşəti, əliləti, vevə mandeəti, pibeyəti, iyən çı şəxsi ıştəniku bə şıkrənıbə səbəbonku jimonə vasitəon qin kardeədə bə təminati həxış heste.
25-01	Moəti iyən hırdənəti bə məxsusiyə ğeydi iyən koməq səy həxış heste. Nikohi səkıştədə, ya nikohiku bəkəno movardəbıə hırdənon i curə sosialə mıdafiəku istifadə kardəninin.
26-00	Maddə 26
26-00	Har qılə şəxsi təhsil səy həxış heste. Kami ibtidai iyən umumiyə təhsil bepul bənine. İbtidaiyə təhsil icbari bənine. Har kəsi bo texnikiyə iyən pişə təhsili səyo imkanış bənine. Ali təhsilən de har kəsi ğabiliyyəti bə həmməy i curə dərəcədə mıyəssər bənine.
26-01	Təhsil - bo insoni şəxsiyəti tam inkişafiyo iyən bə insoni həxon iyən bə əsasinə ozodətion hurməti zyod kardeyo səbəro kardə bənine. Təhsil xəlğon irqi iyən diniyə qrupon arədə, iyəndı dərəsemon, duruminəti iyən dustəti mehkəm kardeyo iyən İbıə Milləton sulhi oğəte sahədə fəaliyət nişo doyo koməq kardənine.
26-02	Valideynon boştə hırdəsininə əğılon təhsili novi səçın kardeədə sərbəstin.
27-00	Maddə 27
27-00	Har qılə şəxsi cəmiyəti mədəniyə jimonədə iştirok karde, hınəsənətiku həzz səy, elmiyə tərəğğiyədə iştirak karde iyən çəy foydəku istifadə karde həxış heste.
27-01	Har qılə şəxsi mıəllif bə elmiyə, ədəbiyə iyən hınəsənətə əsəron səkıştədə bə məydon beşə maddiyə iyən mənəviyə mənafeyon noğo doy həxış heste.
28-00	Maddə 28
28-01	Har qılə şəxsi bın Bəyonnomədə əks bıə həx iyən ozodətion tam təminbıə sosialə iyən beynəlxəlğə reçini həxış heste.
29-00	Maddə 29
29-00	Har qılə şəxsi əncəx çəy ozod iyən tam inkişafiş mımkunbıə cəmiyəti vədə vəzifonış heste.
29-01	Iştə həx iyən ozodətion bə əməl vardeədə har qılə şəxs ancəx bə jələvonə məhdudiyəton məruz mande bəzıne ki, əvon çı ğanuni tərəfiku çı co kəson həx iyən ozodətion zıne iyən bəvon hurmət be təminatıku, iyən demokratikə cəmiyəti əxlaqiyə, ictimaiyə, asayişə iyən umumiyə rifahə tələbon bə vırə rosne məğsədi təmin kardəyku bə nav bo.
29-02	In həx iyən ozodətion bə əməl varde bə İMT məğsəd iyən prinsipon zidd nibənine.
30-00	Maddə 30
30-01	In Bəyonnomədə hiççi bə konsə qılə devləti, bə şəxson qrupi, iyən bə co-co şəxson Bəyonnomədə elanbıə həx iyən ozodətion məhv kardeyo səbərobıə de har qılə fəaliyyəti dastko be, ya konsə qılə joğo hərəkəti bə əməl varde həx doy təkinə təfsir karde əbıni.
