00-00	AMEGBETƆ ƑE ABLƆƉEVINYENYE ŊU KPEƉOƉZINYA
22-01	Hadomegbenɔnɔ kple dedienɔnɔ ƒe gomekpɔkpɔ li na dukɔmevi ɖesiaɖe. Ehiã be dukɔmevi ɖesiaɖe nakpɔ esia ade dzesii kɔtɛe to nunyanya tso eƒe dukɔ la ƒe ɖekawɔwɔ kadodo kple gbetadukɔwo ŋuti. Nenema ke wogahiãe hã be wòanya nu tso kpekpeɖeŋu siwo eƒe dukɔ la xɔna tso dukɔ bubuwo gbɔ le ga, hadomegbenɔnya kple dekɔnunyawo gome hena eya abe dumevi ene kple ehati bubuawo ƒe bubu kple tutuɖo si le vevie ŋutɔ la ŋuti.
23-00	KPEƉODZINYA ƉOƉO 23-LIA
23-00	Dɔwɔwɔ ƒe mɔnukpɔkpɔ li na amesiame faa. Amesiame atia dɔwɔna si nyo nɛ la. Ati eƒe dɔwɔwɔ ƒe dzidzemekpɔkpɔ yome eye wòaʋli amemaxɔmaxɔ ɖe dɔ me ta vevie.
23-01	Fetu ɖeka ƒomeviwo xɔxɔ ɖe dɔwɔna ɖeka ƒomevi ta le afisiafi, ƒe mɔnukpɔkpɔ li na amesiame, vovototomanɔmee.
23-02	Fetu nyui xɔxɔ ƒe mɔnukpɔkpɔ li na amesiame. Esia awɔe be dɔwɔla la nate ŋu akpɔ eya ŋutɔ, srɔ̃a kple viawo dzi dzidzemetɔe abe alesi wodze amegbetɔ be wòano agbe ŋudzedzekpɔtɔe la ene. Eye ne ehiã kura hã la woado alɔe abe hadomegbenɔnɔ ƒe viɖe ene.
23-03	Amesiame kpɔ mɔ aɖo dɔwɔlawo ƒe habɔbɔ anyi alo age ɖe ɖesiaɖe si woɖo anyi xoxo la me ɖe eƒe dzidzemekpɔkpɔ mɔnuwo taʋiʋli ta.
24-00	KPEƉODZINYA ƉOƉO 24-LIA
24-01	Mɔnukpɔkpɔ li na amesiame si nye dziɖuɖudɔwɔla be woana gbɔɖemee to mɔkeke nanae me le xeyixi tɔxɛ aɖewo dzi gake woaxe fetu dedi nɛ. Womaɖe ga aɖeke le eƒe fetu la me ɖe xeyixi siwo me menɔ dɔ me la ta o.
25-00	KPEƉODZINYA ƉOƉO 25-LIA
25-00	Agbenɔnɔ dzidzemetɔe ƒe mɔnukpɔkpɔ li na amesiame bena eƒe lãme nanɔ sesĩe, eya ŋutɔ, srɔ̃a kple viawo nanɔ dedie to nuɖuɖu, nutata, xɔtutu, atikenya, kple kpekpeɖeŋunana bubu ƒomevi siwo hiã le hadomegbenɔnɔ me la xɔxɔ me. Ne dɔwɔna mele ame aɖe si o la, mɔukpɔkpɔ li nɛ be ne edze dɔ alo zu wɔametɔ, srɔ̃a ku alo wotsi heku amegã alo nyagã loo alo afɔku aɖe dzɔ ɖe edzi si awɔe be magate ŋu awɔ naneke le eɖokui si o hã la, woakpɔ kpekpeɖeŋu.
25-01	Ele be woatsɔ beléle tɔxɛ na vinɔwo kple ɖeviwo eye woana kpekpeɖeŋu wo. Ele be woakpɔ ɖevi siwo dzilawo ɖe wo nɔewo ɖe ɖoɖonu hafi dzi wo kple esiwo dzilawo meɖe wo nɔewo ɖe ɖoɖo nyuitɔ nu hafi dzi wo o la dzi vovototomanɔmee.
26-00	KPEƉODZINYA ƉOƉO 26-LIA
26-00	Mɔnukpɔkpɔ li na amesiame be wòaxɔ hehe. Woaxɔ hehe siawo femaxee le gɔmedzesukuwo me. Ele be woazi amewo dzi be woaxɔ gɔmedzesuku ƒe hehe. Ele be mɔnukpɔkpɔ nanɔ anyi na hehexɔxɔ le aɖaŋudɔwo kple dɔwɔna tɔxɛwo me. Le sukukɔkɔwo dede gome la, woaɖe mɔ na amesiwo ŋu ŋutete le la be woage ɖe hehexɔƒe siawo.
26-01	Ele be hehenana amewo ƒe taɖodzinu nanye be woatu amegbetɔ ɖesiaɖe ɖo hena eƒe amezuzu blibo. Ele hã be amegbetɔƒomea, ƒe dzidzemekpɔkpɔ kple eƒe ablɔɖemenɔnɔ ƒe gɔmeɖokpe nakpɔ ŋgɔyiyi to bubudede gɔmeɖokpe sia ŋu me. Esia ahe nugɔmesese, dzidodo kple xɔlɔ̃wɔwɔ ade dukɔwo, gbegbɔgblɔwo kple xɔseha vovovoawo katã dome. Esia ana be Xexeme Dukɔ Ƒoƒuawo ƒe Habɔbɔ ƒe nuwɔnawo nahe ŋutifafa va xexeame godoo.
26-02	Dzilawo kpɔ mɔ atia hehe si ƒomevi wodi be wo viwo naxɔ la faa.
27-00	KPEƉODZINYA ƉOƉO 27-LIA
27-00	Gbesiagbegbenɔnɔ ƒe gomekpɔkpɔ li na amesiame. Esia gɔmee nye bena, mɔnukpɔkpɔ li na amesiame be woakpɔ gome le viɖe siwo hã dona tso dzɔdzɔmenuwo ŋuti nunya kple aɖanudɔwɔnawo me.
27-01	Mɔnukpɔkpɔ li be woaʋli ame aɖe ƒe nutovɛ ta to se ŋudɔwɔwɔ me. Nutovɛ sia ate ŋu anye agbalẽŋɔŋlɔ, hakpakpa alo aɖaŋu nu bubu ɖesiaɖe ƒomevi si nye ame la ƒe asinudɔwɔwɔ si ŋuti tɔnyenye le nɛ.
28-00	KPEƉODZINYA ƉOƉO 28-LIA
28-01	Gomekpɔkpɔ li na amesiame be wòanɔ eƒe dukɔ me habɔbɔwo alo dutahabɔbɔ siwo me amewo ƒe mɔnukpɔkpɔwo kple ablɔɖevinyenye ƒe nyati siwo dzi míetɔ asii le Kpeɖodzinya sia me la xɔ anyinɔ ɖo blibo.
29-00	KPEƉODZINYA ƉOƉO 29-LIA
29-00	Gomekpɔkpɔ le dukɔ me ŋgɔyidɔwo wɔwɔ mekpɔ dukɔmevi ɖesiaɖe ƒe ŋkume le afisi eƒe ablɔɖevinyenye kple amegbetɔnyenye blibo le bɔbɔe le.
29-01	Ele na amesiame be le eƒe mɔnukpɔkpɔ kple ablɔɖevinyenye ŋuti dɔwɔwɔwo me la, wòanye amesi awɔ ɖe ɖoɖo siwo dzaa dzi sea da asi ɖo la dzi hena sidzedze kple bubudede ame bubuwo ƒe gomekpɔkpɔwo kple ablɔɖemenɔnɔ si hea agbe nyui nɔnɔ, tomefafa kple dzidzeme sɔ gbɔ fũu vɛ, le ameha siwo dome sɔsɔminasɔe ƒe wɔnawo ƒo ke ɖe to nyuie le.
29-02	Mele be woawɔ mɔnukpɔkpɔ kple ablɔɖevinyenye ŋuti dɔ le mɔnu siwo to vovo tso Xexeme Dukɔ Ƒoƒuawo ƒe taɖodzinuwo kple didiwo gbɔ o.
30-00	KPEƉODZINYA ƉOƉO 30-LIA
30-01	Mele be ame aɖeke naɖe naneke si le Kpeɖodzinya sia me la gɔme abe dukɔ ɖeka aɖe koŋ tɔ wònye ene o. Medze be ameha alo ame ɖeka aɖeke natsɔe abe mɔnukpɔkpɔ ene awɔ wɔna aɖe alo aɖe afɔ aɖe si agblẽ nu le gomekpɔkpɔ kple ablɔɖemɔnu siwo woxlẽ fia le Kpeɖodzinya sia me la ŋuti o.
