00-00	COPIRNORO'SA' NAPORINSOPITA YA'IPI PIYAPI NOYA YA'HUËCAISO MARË'
02-02	Nisha nisha nirihuarahuënta' ninosorocaso' ya'huërin. Nisha nisha hua'anëntërinquë ya'huëpirëhuahuë', napopianachin nini'tëhua', ya'huëa'hua'.
03-00	3.
03-01	Co topinan quëran tëpacaso' ya'huërinhuë'. Co topinan quëran tashinan pëiquë po 'mocaso' ya'huërinhuë'.
04-00	4.
04-01	Co piyapinpoa' nipa'anacaso' ya'huërinhuë'. Co topinan quëran asacatacaso ya'huërinhuë'. Piyapi inaora nohuanton sacachina'. Co sacatacaiso' nohuantohuachinahuë', ama sacachinasohuë'.
05-00	5.
05-01	Ama topinan quëran ana 'inchinsohuë'. Ama topinan quëran chiniquën aparësichinsohuë'.
06-00	6.
06-01	Ya'ipi copirnoro'sa' no'tëquën sha'huitacaso' ya'huërin. Nisha nisha piyapi nipirinhuë' napopianachin ninosorocaso' ya'huërin, tënëhua'.
07-00	7.
07-01	Copirnoro'sa' no'tëquën hua'anënchina'. Ya'ipi piyapi napopianachin noya ni 'ina'. Napopianachin a'paiina'. Ama topinan quëran ana'inchinsohuë'.
08-00	8.
08-01	A 'napitari topinan quëran aparësitohuachinpoa', coisëquë sha'huitacaso' ya'huërin. No'tëquën ana 'inchin.
09-00	9.
09-01	Co topinan quëran tashinan pëiquë po'mocaso ya'huërinhuë'. Co topinan quëran a'na parti a'pacaso ya'huërinhue.
10-00	10.
10-01	A'napita sha'huirapihuachinpoa', Co topinan quëran ana'intacaso' ya'huërinhuë'. Coisë noya natanchin. Ina quëran no'tëquën sha'huichin. Ya'ipinpoa' napopianachin nicatonpoa', no 'tëquën sha 'huitinpoaso' ya'huërin.
11-00	11.
11-00	A'na piyapi sha'huirapihuachinpoa', Co a'naroachin ana 'intinpoaso' ya'huërinhuë'. Co nimara naporinhuë', ta'ton, coisë nóya natainpoa'. Ina quëran oshaquëran yonquiina'. Tëhuënchachi nitotaquë huarë' ana'intacaso' ya'huërin. Co tëhuënchachi nitotohuachinhuë', ama ana'inchinsohuë'.
11-01	Copirno nani pënënpachinpoa', no'tëquën ana 'intërinpoa'. Co pënënpachinpoahuë', Co ana 'intinpoaso' ya 'huërinhuë'. Nasha pënënpachinpoa', natëcaso' ya'huërin. Iraca Co pënënpachinpoarahuë', Co natëpatëhuahuë', Co ina arë' ana 'intinpoaso' ya 'huërinhuë'. Nani sha 'huitohuachinpoa', Co aquëtë ana'intinpoaso' ya'huërinhuë'.
12-00	12.
12-01	Co ma'shanënpoa' niihuacaso' ya'huërinhuë'. Co ninshitërëhuaso' nisë 'huatacaso' ya'huërinhuë'. Co pinoinpoaso' ya 'huërinhuë'. Inapo 'tohuachinpoa', coisëri ana'inchin.
13-00	13.
13-00	Ya'huërëhua quëran insëquësona yapa patëra, noya paacaso' ya'huërin.
13-01	A'na hua'an quëran yapipihuatëra, noya pipicaso'. Ya'huërëhuaso parti yahuënantohuatëra, noya huëantacaso.
14-00	14.
14-00	Copirno topinan quëran no'huihuachinpoa', yata'ahuatëhua', noya ta'acaso' ya'huërin a'na parti ya'huëcasomarë'.
14-01	Nipirinhuë' Co noyahuë' nipatëhua', no'tëquën ana 'intacaso' ya 'huërin, Co ta 'acaso' ya 'huërinhuë'.
15-00	15.
15-00	Ya'ipinpoa' nisha nisha Copirno ya'huëtërinpoa'. Ina catahuainpoaso' ya'huërin.
15-01	Co topinan quëran a'painpoaso' ya'huërinhuë'. Nipirinhuë' a'na hua'anquë yaya'conpachina, tananpichin pa'in.
16-00	16.
16-00	Quëmapi mashotohuachina, noya sa'acaso'. Nisha sanapi yamapachina inanta' noya tënëhua'. Nisha religion imarinso' mapachina, Co ina marë' copirnori nanitërinhuë' ana'intacaso'. sanapinta' payatohuachina, noya so'yacaso'. Nisha piyapi niponahuë', noya macacaso'. Quëmapi'sa', sanapi'santa' ma'sona nohuantohuachina, napoina.
16-01	Sanapi Co nohuantohuachinhuë', Co so'yatacaso' ya huërinhuë'. Quëmapinta' Co nohuantohuachinhuë', Co ma'caso' ya'huërinhuë'.
16-02	A'na quëmapi, sa'in, hui'ninpitarëchachi a'na huëntonaca' ninin. Noya ya'huëina'. Noya ya'huëcaso' Copirnori catahuain.
17-00	17.
17-00	No'pa', ma'sha, inapita hua'anëntacaso ya'huërin. A'naquen inaora no'pa' hua'anëntërin. A'nanta' ya'ipi huënton no panën hua'anëntopi. Cato chachí noya.
17-01	No'panën hua 'anëntohuachina', Co incaritëranta nanitënnhuë' ocoicaso.
18-00	18.
18-01	Yonquirëhuaso marë' Co Copirno no'huiinpoaso ya'huërinhuë'. Religion imarëhuaso marënta' Co Copirno no'huiinpoaso' ya 'huërinhuë'. Nisha yaimapatëhua,, Co ina marë' aparësitinpoaso' ya'huërinhuë'. Yosë chinotacaso marë' niyontonpatëhua', Co ina marë' Copirno ana'intinpoaso' ya'huërinhuë'.
19-00	19.
19-01	Ma'sona tëranta' yonquihuatëhua', a'napita yaa'chintohuatëhua', Co ina marë' Copirno ana'intinpoaso' ya 'huërinhuë'. Nanan a 'parëso marënta' noya, quiricaquëhuë nipon, natioquëhuë nipon, noya a'parë', natanë'. Ya'ipi parti inapotërë' noya natanacaiso marë'.
20-00	20.
20-00	Piyapi yaniyontonpachina, niyontoina'. Noya niyontonacaiso' nipirinhuë' Co niahuëcaiso marëhuë' niyontoina'.
20-01	- Quiya pochin natëco' ana'intochinquëma', itohuachinpoa', Co nohuantohuatëhuahuë', Co imacaso ya'huërinhue.
21-00	21.
21-00	Ya'ipi piyapi hua'ano'sa' huayonacaso' ya'huërin. Nisha nisha ninano quëran huayonin. Inapita hua 'anëntërinpoa'.
21-01	Ya'ipi piyapi nanitërin ma'sha pa'anacaso'. Pahuërëtohuachina, ya'ipi piyapi nanitërin ma'shaquë pacacaso . Camionquë, avionquë, nanchaquë, inapitaquë nanitopi pacacaiso'. Napopianachin Copirno sirihuirinpoa'.
21-02	Ya'ipi piyapi Copirno huayoina'. Hua'ano'santa huayoina'. Catapini pi'ipi catapiní pi ipi quëran pochin huayoina'. Ya'ipi piyapi inahuara ninshitapi huayonacaiso mare.
22-00	22.
22-01	Piyapi sacatohuachina, no'tëquën pahuërëtacaso' ya'huërin. Co sacatacaso' nanitohuachinhuë', pi'pian pi 'pian catahuacaso' ya 'huërin. Copirno nanitohuachina, coriqui, ma'sha inapita quëtacaso' ya'huërin. Co insonta' pahuantacaso' nohuantërëhuahuë'.
23-00	23.
23-00	Piyapi yasacatohuachina, sacachina'. Ma sacatosona yanipachina, inaquë sacachina'. Asacatërinsopita piyapinënpita nosoroina'. Ama chini chin iquën asacachinsohuë'. 8acato ya'huëhuachina, asacachina.
23-01	No 'tëquën pahuërëtacaso' ya 'huërin. Inachachi sacatohuachina, inachachi pahuërëtërë'. Nisha nisha piyapi nipirinhuë', inachachi pahuërëcaso' ya'huërin.
23-02	No'tëquën pahuërëtacaso' ya'huërin. Noya nanpicaiso marë' pahuërëchina'. Pahuantohuachina, a'napita catahuacaso' ya'huërin.
23-03	Co noyahuë' pahuërëhuachina', sacatoro sa' nanitërin niyontonacaiso . Ninontohuachina', a'na' acorin hua'an nontacaso mare. -Noya nosorocoi, no'tëquën pahuërëcoi, itohuachina, nataina', no'tëquën pahuërëchina'.
24-00	24.
24-01	Co nani tahuëri asacatacaso' ya'huërinhuë'. Chinotacasonta' ya'huërin. Pita tahuëri Co sacatopirinahuë', pahuërëcaso' ya'huërin.
25-00	25.
25-00	Noya sacatohuachina, noya pahuërëcaso' ya'huërin. Ya'ipi piyapi cosharo', pei ,nimirio, coton inapita nohuantopi. Co nohuantërëhuahuë' piyapi 'sa' pahuantacaiso'. Caniohuachina, Co nanitërinhuë' sacatacaso'. Mashoro'sa', quëyorono'sa' inapita Co nanitopihuë' aquëtë' canacaiso'. Napoaton inapita catahuacaso' ya'huërin.
25-01	Sanapi hua'huanpachina, hua'huinëchachi a'napitari catahuaina'. Hua 'hua ma'patërinsonta' catahuaina'. Hua'huaro'sa' pahuantohuachina, Copirno pi'pian pi 'pian catahuaina'.
26-00	26.
26-00	Copirnori escuelaro'sa' ya'ipi parti acoina'. Ya'ipi hua'huaro'sa' escuela imacaiso' ya'huërin. Primaria imacaiso marë' ama pahuërëchinasohuë'. Secundaria, escuela ocupacional inapita acocaso' ya'huërin. Inapita yaya'conpachina examen noya pipihuachina, noya ya'coina.
26-01	Ya'ipi maistororo'sa' noya a'chinchina' hua'huaro'sa' noya noya yonquicaiso marë'. Ina quëran Co aquëtë nino'huipihuë'. Noya noya ninosorohuachina, Co a 'napita nocanapihuë'. Naporahuaton, ya 'ipinpoa' noya nini 'tëhua' ya huëa'hua huachi. Ina na'con nohuantërëhua'.
26-02	Pa'pin, a'shin nohuanton, hui'ninpita escuelaquë ya coina'. Ama a'na piyapiri nisha escuelaquë po moinsohuë'.
27-00	27.
27-00	Ninanoquë niyontonpi ma'sha nitotacaiso marë'. A 'naquën quirica ninshitërin, a 'naquën musica pi 'nirarin, a'naquën nonanpiso' pashitarin. Inapita nitotacaso marë' niyontonpachina, a'napita nohuantohuachina, pa'ina', noya nataina
27-01	Nipro ninshitohuatëhua', hua'anëntërëhua'. Inapochachi nonanpiso', nitërata inapita pochin nipatëhua', hua'anëntërëhua'. Co inapita marë' a'napitari canacaso ya'huërinhuë'.
28-00	28.
28-01	Ya'ipi parti noya nini'tëhua', ya'huëa'hua'. Ya'ipi Copirnoro'sa' piyapinënpita catahuaina' noya ya'huëcaiso mare
29-00	29.
29-00	Co insonta' inaora ya'huërinhuë'. Ya'ipi piyapinpoa' noya ya'huëcaiso' nohuantohuatëhua', noya ninosorocaso' ya 'huërin. Nicatahuacaso' ya'huërin.
29-01	Copirnoro'sa' pënëninpoa' Co nino'huicaso marëhuë', Co niahuëcaso marëhuë'. Noya nicatahuacaso marë' pënëninpoa'. Ina pochin nipatëhua', Co topinan quëran ana'intinpoaso' ya'huërinhuë'.
29-02	Na'con yonquirai ya'ipi piyapi'sa' noya ya'huëcaiso marë'. Nisha yonquicaiso', nisha a'chinta¿aiso' Co nohuantëraihuë'. Ya'ipi noya nini'tëhua', noya noya ya'huëa'hua , tenehua'.
30-00	30.
30-01	Nani ya 'ipi hua 'ano'sacoi, Copirno acorincoisopita pënënainquëma'. Ama nisha yonquicosohuë'. No'tëquën natëcoi, ya 'ipinpoa' noya nini 'tëhua', noya ya 'huëa'hua'.
