00-00	JEŊJEŊ KPAŊMƆ NI KƆƆ GBƆMƆ ADESA HEGBƐI AHE
18-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ekɔɔ lɛ diɛŋtsɛ eyiŋ yɛ susumɔ ko he, ni ekɛ ehe woɔ jamɔ fɛɛ jamɔ ni esumɔɔ mli. Hegbɛ nɛɛ ŋmɛɔ lɛ gbɛ hu koni etsake ejamɔ loo ehemɔkɛyeli, kɛ hegbɛ akɛ lɛ ekome too, aloo ekɛ mɛi krokomɛi afee ekome kɛha mɛi anu ejamɔ lɛ he yɛ nitsumɔ, nifeemɔ kɛ kusumfeemɔ mli yɛ maŋjaanɔ loo teemɔŋ.
19-00	Gbɛjianɔtoo 19
19-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ esusuɔ nɔ ko he bɔ ni esumɔɔ, ni ehaa aleɔ hu. Hegbɛ nɛɛ ŋmɛɔ lɛ gbɛ hu koni ekaŋmɛ mɔ kroko gbɛ ni eetsake ejwɛŋmɔ; ni ebaanyɛ etsɔ gbɛ fɛɛ gbɛ nɔ etao, aloo enine ashɛ, aloo eha ale sane ko loo susumɔ ko kɛjɛ maŋ fɛɛ maŋ nɔ, bɔ ni akɛ husu tsuuu nii.
20-00	Gbɛjianɔtoo 20
20-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ekɛ ehe bɔɔ ku aloo henaabuamɔ ko ni atsɛ koni afee nɔ ko yɛ toiŋjɔlɛ mli.
20-01	Esaaa akɛ anyɛɔ mɔ ko nɔ koni ekɛ ehe abɔ ku ko.
21-00	Gbɛjianɔtoo 21
21-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ lɛ diɛŋtsɛ efataa mɛi krokomɛi ahe kɛkuraa emaŋ, aloo etsɔɔ oshikifɔɔ nɔ ekɔɔ mɔ kroko koni edamɔ enaa.
21-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ eyeɔ nibii ni maŋ kɛyeɔ ebuaa maŋbii lɛ mli ŋɔɔmɔ lɛ eko.
21-02	Maŋbii asuɔmɔnaa nii nɔ abaadamɔ akura maŋ lɛ, ni abaatsɔ oshiki krɔŋŋ ni ato be ni akɛfɔɔ, ni asaŋ mɛi fɛɛ fɔɔ yɛ teemɔŋ, aloo gbɛ kroko ni shishiumɔ bɛ mli nɔ ale amɛsuɔmɔnaa nii nɛɛ.
22-00	Gbɛjianɔtoo 22
22-01	Maŋnyo fɛɛ maŋnyo yɛ hegbɛ akɛ maŋ akwɛ koni efee shweshweeshwe, ni esa akɛ ena hegbɛ koni ana lɛ hu egbojee kɛwula shi. Enɛ feemɔ bbajɛ maŋ lɛ mɔdɛŋbɔɔ kɛ maji ateŋ ekomefeemɔ mli, kɛ bɔ ni maŋ fɛɛ maŋ gbɛjianɔtoo kɛ ejwetri shidaamɔ yɔɔ ha; ni nakai nɔŋŋ hu shika heŋaatsɔɔ, shãramɔ kɛ kusum hegbɛi ni maŋnyo aaama lɛ baaye ebua koni akɛ woo aha mɔ fɛɛ mɔ.
23-00	Gbɛjianɔtoo 23
23-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ etsuɔ nii, akɛ etsuɔ nɔ ni lɛ diɛŋtsɛ esumɔɔ, ni akɛ lɛ aye jalɛgbɛ yɛ nitsumɔ lɛ mli, ni akwɛ koni enitsumɔ akaje edɛŋ hu.
23-01	Esa akɛ mɛi ni tsuɔ nitsumɔ kome ana nyɔmɔwoo kome bɔ ni hiɛiaŋkwɛmɔ bɛ mli.
23-02	Esa akɛ awoɔ nitsulɔ fɛɛ nitsulɔ nyɔmɔ ni sa enitsumɔ lɛ, koni ekɛ eŋa kɛ ebii aye nii bɔ ni baashɛ amɛnaa; ni kɛji eeehia lɛ, atsɔ yelikɛbuamɔ gbɛ ko nɔ afee he eko aha amɛ.
23-03	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ etseɔ, aloo ekɛ ehe dɔmɔɔ nitsulɔi aku ko koni ekɛtao esaji anaa.
24-00	Gbɛjianɔtoo 24
24-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ejɔɔ ehe, ni ejieɔ ehiɛtserɛ hu; ni nakai nɔŋŋ hu esa akɛ atɔɔ ŋmɛlɛtswai abɔ ni esa akɛ akɛtsu nii, koni awo lɛ nyɔmɔ hu beiaŋ ni eejɔɔ ehe.
25-00	Gbɛjianɔtoo 25
25-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ehiɔ shi jogbaŋŋ bɔ ni eeena niyenii, hehaanɔ, wɔɔhe, tsamɔ, kɛ shihilɛŋ nibii ni ahe hiaa, koni lɛ kɛ ebii fɛɛ ana gbɔmɔtsɔŋ hewalɛ, ni agbɛnɛ hu aye abua lɛ kɛji enitsumɔ ŋmɛɛ lɛ, aloo enaaa hetselɛ, aloo eje kpa, aloo etsɔ okulafo, aloo egbɔ, aloo gbɛ ko nɔ lɛ eleee bɔ ni eeefee ena edaaŋ ŋmaa.
25-01	Awomɛi kɛ gbekɛbii ehia kwɛmɔ kɛ yelikɛbuamɔ krɛdɛɛ ko. Esa akɛ ana bi fɛɛ bi yɛ ŋɛlɛ kome nɔ, bɔ ni akwɛɛɛ kɛji kpeemɔ yoo bi loo hemɔ bi ni.
26-00	Gbɛjianɔtoo 26
26-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ena skul tsɔsemɔ. Esaaa akɛ awoɔ nyɔmɔ ko yɛ tsɔsemɔ nɛɛ he, titri lɛ shishijee nɔ lɛ. Esa akɛ anyɛ mɔ fɛɛ mɔ nɔ, ni kɛ hooo kwraa lɛ egbe shishijee skul naa. Agbele ŋaa kɛ ninenaa nikasemɔhei bɔ ni mɔ fɛɛ mɔ baana mli gbɛ, ni nakai nɔŋŋ hu mɛi fɛɛ baana nikasemɔhe wulu mli gbɛ, shi enɛ baadamɔ mɔdɛŋbɔɔ nɔ.
26-01	Tsɔsemɔ mli lɛ esa akɛ akwɛ koni ayɔse nilee ni yɔɔ gbɔmɔ adesa mli kɛwula shi kɛjie agbojee ni yɔɔ emli lɛ kpo, bɔ ni baaha hiɛ asɔ gbɔmɔ kɛ eheyeli. Enɛ baaha niiashishinumɔ kɛ tsuishitoo kɛ naanyobɔɔ ahi maji ateŋ, nakai nɔŋŋ hu ji hewolo su kɛ jamɔ; ni ebaaye ebua Jeŋmaji Ekomefeemɔ Ku lɛ yɛ toiŋjolɛ gbɛfaŋ hu.
26-02	Fɔlɔi yɛ gbɛnaa krɛdɛɛ ko akɛ amɛ diɛŋtsɛ amɛbaatsɔɔ tsɔsemɔ ni esa akɛ amɛbii ana yɛ skul.
27-00	Gbɛjianɔtoo 27
27-00	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ekɛ ehe woɔ he ni eyɔɔ lɛ kusumfeemɔi kɛ ŋaa nifeemɔi amli, ni eyɛ gbɛfaŋ yɛ sɛɛnamɔ ni yɔɔ jeŋshikpamɔ nifeemɔi amli hu.
27-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ekwɛ koni mɔ ko akaju shi eye niiashikpamɔ, niŋmaa, lalasɔ̃ɔ kɛ nitɛŋmɔ ko ni lɛ diɛŋtsɛ efee lɛ mli nii.
28-00	Gbɛjianɔtoo 28
28-01	Mɔ fɛɛ mɔ yɛ hegbɛ akɛ ehiɔ shãramɔ kɛ maji ateŋ gbɛjianɔtoo ko mli: he ni akɛ hegbɛi ni yɔɔ kpaŋmɔ nɛɛ mli lɛ tsuɔ nii kɛwulaa shi yɛ.
29-00	Gbɛjianɔtoo 29
29-00	Mɔ fɛɛ mɔ yɛ gbɛnaa nitsumɔ ko ha akutso mli ni eyɔɔ lɛ: he pɛ ni eeeye ehe, koni ena tsɔsemɔ ni yeɔ emuu kɛwulaa shi yɛ.
29-01	Mɔ fɛɛ mɔ hegbɛ kɛ eheyeli asɛɛtiumɔ mli lɛ nɔ pɛ ni tsiɔ pɛ ni tsiɔ lɛ gbɛ ji mlai ni awo bɔ ni afee ni akɛ bulɛ ni sa aha mɔ kroko hegbɛi kɛ eheyeli, koni ahi shi yɛ hiɛsɔlɛ kɛ toiŋjɔlɛ mli.
29-02	Gbɛ ko bɛ akɛ hegbɛ kɛ heyeli nɛɛ asɛɛtiumɔ mli lɛ ate shi ashi yiŋtoi kɛ otii ni jwere Jeŋmaji Ekomefeemɔ Ku lɛ hiɛ lɛ.
30-00	Gbɛjianɔtoo 30
30-01	Esaaa akɛ atsɔɔ kpaŋmɔ nɛɛ shishi yɛ gbɛ ko nɔ akɛ maŋ ko, loo ku ko, loo mɔ ko yɛ hegbɛ ko akɛ efeɔ nɔ ko ni baanyɛ efite hewalɛ ni yɔɔ hegbɛi nɛɛ asɛɛ.
