00-00	OPĆA DEKLARACIJA O PRAVIMA ČOVJEKA
02-02	Nadalje, ne smije se činiti bilo kakva razlika na osnovi političkog, pravnog ili međunarodnog položaja zemlje ili područja kojima neka osoba pripada, bilo da je to područje neovisno, pod starateljstvom, nesamoupravno, ili da se nalazi ma pod kojima drugim ograničenjima suverenosti.
03-00	ČLANAK 3.
03-01	Svatko ima pravo na život, slobodu i osobnu sigurnost.
04-00	ČLANAK 4.
04-01	Nitko ne smije biti držan u ropstvu ili ropskom odnosu; ropstvo i trgovina robljem zabranjuju se u svim svojim oblicima.
05-00	ČLANAK 5.
05-01	Nitko ne smije biti podvrgnut mučenju ili okrutnom, nečovječnom ili ponižavajućem postupku ili kažnjavanju.
06-00	ČLANAK 6.
06-01	Svatko ima pravo da se svagdje pred zakonom priznaje kao osoba.
07-00	ČLANAK 7.
07-01	Svi su pred zakonom jednaki i imaju pravo, bez ikakve diskriminacije, na jednaku zaštitu zakona. Svi imaju pravo na jednaku zaštitu protiv bilo kakve diskrimininacije kojom se krši ova Deklaracija i protiv svakog poticanja na takvu diskriminaciju.
08-00	ČLANAK 8.
08-01	Svatko ima pravo na djelotvorna pravna sredstva putem nadležnih nacionalnih sudova zbog djela kojima se krše osnovna prava koja mu pripadaju temeljem ustava i zakona.
09-00	ČLANAK 9.
09-01	Nitko ne smije biti podvrgnut samovoljnom uhićenju, zatvoru ili izgonu.
10-00	ČLANAK 10.
10-01	Svatko ima pravo da ga u punoj jednakosti pošteno i javno sasluša neovisan i nepristran sud radi utvrđivanja njegovih prava i obveza i bilo kakve kaznene optužbe protiv njega.
11-00	ČLANAK 11.
11-01	Svatko optužen za kazneno djelo ima pravo da se smatra nevinim dok se na osnovi zakona krivnja ne dokaže na javnoj raspravi na kojoj je imao sva jamstva potrebna za svoju obranu.
11-02	Nitko se ne smije smatrati krivim za kazneno djelo na osnovi bilo kakvog čina ili propusta koji nisu bili kazneno djelo prema nacionalnom ili međunarodnom pravu u vrijeme kada su bili počinjeni. Isto tako ne smije se izricati teža kazna od one koja se mogla primijeniti kada je kazneno djelo počinjeno.
12-00	ČLANAK 12.
12-01	Nitko ne smije biti izvrgnut samovoljnom miješanju u svoj privatni život, obitelj, dom ili dopisivanje, niti napadajima na svoju čast i ugled. Svatko ima pravo na zaštitu zakona protiv takvog miješanja ili napada.
13-00	ČLANAK 13.
13-01	Svatko ima pravo na slobodu kretanja i stanovanja unutar granica svake države.
13-02	Svatko ima pravo napustiti bilo koju zemlju, uključujući svoju vlastitu, i vratiti se u svoju zemlju.
14-00	ČLANAK 14.
14-01	Svatko ima pravo tražiti i uživati u drugim zemljama utočište pred progonima.
14-02	Na to se pravo ne može pozivati u slučaju progona koji su izazvani nepolitičkim zločinima ili djelima protivnima ciljevima i načelima Ujedinjenih naroda.
15-00	ČLANAK 15.
15-01	Svatko ima pravo na državljanstvo.
15-02	Nitko ne smije samovoljno biti lišen svoga državljanstva niti mu se smije odreći pravo da promijeni svoje državljanstvo.
16-00	ČLANAK 16.
16-01	Punoljetni muškarci i žene, bez ikakvih ograničenja u pogledu rase, državljanstva ili vjere, imaju pravo sklopiti brak i osnovati obitelj. Oni su ravnopravni prilikom sklapanja braka, za vrijeme njegova trajanja i prilikom njegova razvoda.
16-02	Brak se sklapa samo uz slobodan i potpun pristanak onih koji namjeravaju stupiti u brak.
16-03	Obitelj je prirodna i osnovna društvena jedinica i ima pravo na zaštitu društva i države.
17-00	ČLANAK 17.
17-01	Svatko ima pravo da sam posjeduje imovinu, a isto tako da je posjeduje u zajednici s drugima.
17-02	Nitko ne smije samovoljno biti lišen svoje imovine.
18-00	ČLANAK 18.
18-01	Svatko ima pravo na slobodu misli, savjesti i vjere; to pravo uključuje slobodu da promijeni svoju vjeru ili vjerovanje i slobodu da, bilo pojedinačno ili zajedno s drugima, javno ili privatno, očituje vjeru ili vjerovanje učenjem, praktičnim vršenjem, obredima i održavanjem.
19-00	ČLANAK 19.
19-01	Svatko ima pravo na slobodu mišljenja i izražavanja; ovo pravo uključuje slobodu mišljenja, bez tuđeg miješanja, a isto tako i traženje, primanje i priopćavanje obavijesti i ideja bilo kojim sredstvima i bez obzira na granice.
20-00	ČLANAK 20.
20-01	Svatko ima pravo na slobodu mirnog okupljanja i udruživanja.
20-02	Nitko ne može biti primoran pripadati nekom udruženju.
21-00	ČLANAK 21.
21-01	Svatko ima pravo sudjelovati u upravi svoje zemlje, neposredno ili preko slobodno izabranih predstavnika.
21-02	Svatko ima pravo na jednak pristup javnim službama u svojoj zemlji.
21-03	Volja naroda treba da bude osnova državne vlasti; ta se volja mora izražavati povremenim i slobodnim izborima, uz opće i jednako pravo glasa, tajnim glasovanjem ili odgovarajućim postupcima slobodnog glasovanja.
22-00	ČLANAK 22.
22-01	Svatko, kao član društva, ima pravo na socijalno osiguranje i pravo ostvarivati gospodarska, socijalna i kulturna prava potrebna za svoje dostojanstvo i za razvoj svoje osobnosti putem državne pomoći i međunarodne suradnje, a u skladu s organizacijom i sredstvima svake države.
23-00	ČLANAK 23.
23-01	Svatko ima pravo na rad, na slobodan izbor zaposlenja, na pravične i povoljne uvjete rada i na zaštitu od nezaposlenosti.
23-02	Svatko bez razlike ima pravo na jednaku plaću za jednaki rad.
23-03	Svatko tko radi ima pravo na pravičnu i povoljnu plaću koja njemu i njegovoj obitelji osigurava čovjeka dostojni opstanak i koja se, po potrebi, dopunjuje drugim sredstvima socijalne zaštite.
23-04	Svatko ima pravo radi zaštite svojih interesa osnivati sindikate i stupati u njih.
24-00	ČLANAK 24.
24-01	Svatko ima pravo na odmor i dokolicu, uključujući razumno ograničenje radnih sati i periodične plaćene dopuste.
25-00	ČLANAK 25.
25-01	Svatko ima pravo na životni standard koji odgovara zdravlju i dobrobiti njega samoga i njegove obitelji, uključujući hranu, odjeću, stan i liječničku njegu, te potrebne socijalne usluge, kao i pravo na osiguranje u slučaju nezaposlenosti, bolesti, nesposobnosti, udovištva, starosti ili drugog pomanjkanja sredstava za život u prilikama koje su izvan njegove moći.
25-02	Majka i dijete imaju pravo na posebnu skrb i pomoć. Sva djeca, rođena bilo u braku ili izvan njega, moraju uživati istu socijalnu zaštitu.
26-00	ČLANAK 26.
26-01	Svatko ima pravo na obrazovanje. Obrazovanje mora biti besplatno, bar u osnovnim i nižim stupnjevima. Osnovno obrazovanje mora biti obvezatno. Tehničko i stručno obrazovanje mora biti općenito pristupačno, a više obrazovanje također mora biti pristupačno svima na osnovi sposobnosti.
26-02	Obrazovanje mora biti usmjereno punom razvitku ljudske osobe i na učvršćenje poštovanja čovjekovih prava i osnovnih sloboda. Ono mora unapređivati razumijevanje, snošljivost i prijateljstvo među svim narodima, rasnim i vjerskim skupinama i mora unapređivati djelatnost Ujedinjenih naroda na održanju mira.
26-03	Roditelji imaju prvenstveno pravo birati vrstu obrazovanja za svoju djecu.
27-00	ČLANAK 27.
27-01	Svatko ima pravo slobodno sudjelovati u kulturnom životu zajednice, uživati u umjetnosti i sudjelovati u znanstvenom napretku i u njegovim koristima.
27-02	Svatko ima pravo na zaštitu moralnih i materijalnih interesa koji proistječu od ma kojeg znanstvenog, književnog ili umjetničkog djela kojemu je autor.
28-00	ČLANAK 28.
28-01	Svatko ima pravo na društveni i međunarodni poredak u kojem prava i slobode navedeni u ovoj Deklaraciji mogu biti potpuno ostvareni.
29-00	ČLANAK 29.
29-01	Svatko ima obveze prema zajednici iz koje je jedino moguće slobodno i puno razvijanje njegove osobnosti.
29-02	U izvršavanju svojih prava i sloboda svatko mora biti podvrgnut samo ograničenjima određenima zakonom isključivo radi osiguranja dužnog priznanja i poštovanja prava i sloboda drugih i radi zadovoljenja pravičnih zahtjeva morala, javnog poretka i općeg blagostanja u demokratskom društvu.
29-03	Ta prava i slobode ni u kojem se slučaju ne mogu primjenjivati protivno ciljevima i načelima Ujedinjenih naroda.
30-00	ČLANAK 30.
30-01	Ništa se u ovoj Deklaraciji ne može tumačiti kao pravo ma koje države, skupine ili osobe da sudjeluje bilo u kojoj djelatnosti ili da čini bilo kakvu radnju usmjerenu uništenju bilo kojih ovdje navedenih prava i sloboda.
