00-00	Dunya Kish Haklari Beyannamesi
14-00	(Ber) Zulümne kachinishe vule, kem vosa bashga ülkede barinakne ishdehxur dihxen ma dehxhxur dihxen haklar var.
14-01	(Igi) Jingchukh siyaset dishi suchden ene Birleshmish Milletlernihxi amachlarine ma esaslarine bozhxan eylemlerden talep etingende, bu hakne jaremahxe.
15-00	On besh
15-00	(Ber) Kem vosa milliyet varhxan hak var.
15-01	(Igi) Kishnihxi milliyetine rasgelechukh chekhmehxi, milliyetine chorelhxan hakne reddetmehxi.
16-00	On alte
16-00	(Ber) Er kishler ma gatin kishler, irki, milliyet ene din sinirlamalari yokhder, evlengur dihxen ma oy volhxur dihxen hak var, evlilikde, evlengende ma boshangande, adil haklar var.
16-01	(Igi) Igisi serbestchukh ma tamchukh anlashji, evlenilhxur.
16-02	(Uj) Oy dogal ma temel sosyal birimi der, sosyal ma ulusal korumane dehxgi.
17-00	On yide
17-00	(Ber) Kem vosa tek mal haki var, ma kish mal haki varish.
17-01	(Igi) Kem vosanihxi mal hakine rasgelechukh chekhmehxi.
18-00	On sekis
18-01	Heme kishler sumurlash, inanch ma din hürriyetinihxi haki var. Bu hak dinine ene inanchine chorelhxan hürriyet var, yalnizchukh ene kuyrukchukh, kamuchukh ene gizlichukh sanash, etish, dua ma riayet dinine ene inanchine belirtgur dihxen hürriyetler var.
19-00	On Doqus
19-01	Kishler sumurlash ma ifade hürriyetinihxi haki var. Bu hak fikir varer ma girishim dekhmes dihxen hürriyetler var, nang medya vosa la ma ulusal sinirlarne sormes, bilgine ma sumurlashne yihxhxen, dehxhxen ma verhxen hürriyetler var.
20-00	Yihxirme
20-00	(Ber) Kishler barish montaj ma dernek hürriyetleri var.
20-01	(Igi) Kem vosa zorunluchukh derneke girermahxe.
21-00	Yihxirme ber
21-00	(Ber) Kem vosa direktchukh ene hürchukh shüenjü etgen temsilci la ülkesine becherhxur dihxen hak var.
21-01	(Igi) Kem vosa adil firsat la ülkesinihxi hizmetine etgur dihxen hak var.
21-02	(Uj) Kish niyeti devlet güchinihxi temeli der. Bu niyet devresel ma jing shüenjü la kanitlahxe, shüenjü ortak ma adil oy hakiden, isimne pidimes ene benzer oy la etgi.
22-00	Yihxirme igi
22-01	Kish toplumnihxi üyesi der, toplum garantisine dekhhxur dihxen hak var, haysiyeti ma kishiliki hürchukh gelishtirish dekhhxur dihxen iktisat, toplum ma kültür haklarine uygulashen dekhhxur dihxen hak var, bu ulusal ma uluslararasi tarzlar la, ulusal bünye ma kaynakden etgen.
23-00	Yihxirme uj
23-00	(Ber) Heme kishler etgur dihxen, hürchukh ishne sechgur dihxen, adil ma uygun durumne dekhhxur dihxen ma ishsizlik sigortasine dekhhxur dihxen haklar var.
23-01	(Igi) Heme kishler ish adil gunzi adil hak var, fark yokhder.
23-02	(Uj) Kish etgende, adil ma yugun gunzi la iz ma oye kish haysiyetine koruhxan hayat varhxan hak var, gerekli vakhde bashga toplum korumasine dekhgi.
23-03	(Diot) Faizine korushe vule, kem vosa sendikane etgur dihxen ma sendikahxe girhxur dihxen haklar var.
24-00	Yihxirme diot
24-01	Heme kishler khollangur dihxen ma bosh vakit haklari var, etgen vakh makul sinirlama varhxur dihxen ma gunzi varhxur dihxen devirli izinne dekhhxur dihxen haklar var.
25-00	Yihxirme besh
25-00	(Ber) Anihxi ma oychilernihxi sihhatine ma bollukine tutishe vule, kem vosa besgi hayat seviyesine dekhhxur dihxen hak var, ozukh,begerakh, oy, vakhish ma gerekli toplum hizmeti var. Ishsizlik, hastalik, sakatlik, dulluk, khare volesh ene bashga baskisiz durumlerden gechimne yalatgande, korumane dekhhxur dihxen hak var.
25-01	(Igi) Analar ma balalar has bangnashne ma korumane dekhhxur dihxen hak var. Heme balalar, evlilik ishiside ene dashiside dalahxan, adil toplum korumasine dekhgi.
26-00	Yihxirme alte
26-00	(Ber) Heme kishler orhxetin haki var. Orhxetesh yarmakh yokhdergi, azden az ilk ma temel evrelerde besgi der. Ilk orhxetesh zorunlu der. Teknik ma mesleki orhxeteshler umumichukh etgi. Bikhi orhxetesh erdemden heme kishlere adilchukh achge.
26-01	(Igi) Orhxeteshnihxi amachi tamchukh kishilikne gelishesh, kish haklarine ma temel hürriyetlerne uyishne artirish der. Orhxetesh ülkeler, irkler ene din gruplernihxi bilishne, katlanishne ma dostlukne artirgi, Birleşmiş Milletler barishne tutgur dihxen eylemlerne artirgi.
26-02	(Uj) Ada ana ohxeli gezinihxi dekhhxur dihxen orhxetesh türihxe, eski sechhxen hak var.
27-00	Yihxirme yide
27-00	(Ber) Heme kishler hürchukh toplumnihxi kültürel hayate girhxur dihxen, sanatne sevhxur dihxen, bilimsel gelişme ma yararlarine dekhishgur dihxen haklar var.
27-01	(Igi) Kem vosa ilmi, edebi ene artistik üretimleriden chikhhxen manevi ma maddi faizlere korumane dekhhxur dihxen hak var.
28-00	Yihxirme sekis
28-01	Heme kishler sosyal ma uluslararasi emirne ishdehxur dihxen hak var, bu emirde, bu beyannamede pidihxen haklarine ma hürriyetlerine tamchukh anlahxur.
29-00	Yihxirme doqus
29-00	(Ber) Heme kishler toplume vergi var. Yahxuz toplumde kishiliki hürchukh ma tamchukh gelishtirhxur.
29-01	(Igi) Kish haklarine ma hürriyetlerine jarehxande, yahxuz hukuk sinirleri var. Bu sinirlerne saglahxan amach yahxuz kishnihxi haklarine ma hürriyetlerine tamchukh tanish ma uyish, demokratik toplumde ahlak, asayish ma umumi refahnihxi adil icaplarne uydurish.
29-02	(Uj) Bu haklarne ma hürriyetlerne jaresh, nang durum vosade Birleşmiş Milletlernihxi amachlarine ma ilkelerine bozmahxe.
30-00	Odtus
30-01	Bu beyannamede pidish, nang ülke vosa, nang topluluk vosa ene kem vosa nang faaliyet vosa ene nang eylem vosa la bu beyannamede pidihxen haklarne ma hürriyetlerne bozhxan hak var, yeshamahxe.
