00-00	ܒܘܕܩܐ ܬܝܒ݂ܠܝܐ ܠܦܘܬ ܙܕܩܐ ܐܢܫܝܐ
08-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܦܘܪܥܝܐ ܒܝܕ ܚܕ ܒܝܬ ܕܝܢܐ ܩܐ ܥܒ݂ܕܘܝܬܐ ܠܐ ܐܢܫܝܐ ܕܦܝܫܝ ܘܝܕܐ ܕܪܩܒܠ ܕܙܕܩܐ ܫܪܫܢܝܐ ܕܢܛܝܪܢܐ ܒܝܕ ܩܢܘܢܐ ܫܬܣܝܐ ܝܢ ܒܝܕ ܩܐܢܘܢ.
09-00	ܡܠܘܐܐ 9
09-01	ܓܪܓ ܗܟ̰ ܚܕ ܠܐ ܦܐܫ ܕܒ݂ܝܩܐ ܝܢ ܡܘܬܒܐ ܓܘ ܒܝܬ ܐܣܝܪܐ ܝܢ ܛܪܝܕܐ ܡܢ ܐܬܪܐ ܕܠܐ ܩܐܢܘܢ.
10-00	ܡܠܘܐܐ 10
10-01	ܟܠ ܚܕ ܐܝܠܗ ܒܪܒܪ ܩܡ ܒܝܬ ܕܝܢܐ ܚܐܪܐ ܘܠܐ ܡܬܓܢܝܢܐ ܓܘ ܩܛܝܬܐ ܕܗܩܘܬܐ ܘܓ̰ܒܘܝܬܐ ܘܟܠ ܓܘܢܚܐ ܕܪܩܘܠܗ.
11-00	ܡܠܘܐܐ 11
11-01	ܟܠ ܚܕ ܕܦܐܫ ܡܬܗܡܐ ܠܫܡܛܬܐ ܕܩܐܢܘܢ ܐܝܬܠܗ ܗܩܘܬܐ ܕܠܐ ܦܐܫ ܚܘܫܒܢܐ ܓܘܢܗܟܪ ܗܠ ܕܡܫܪܪܐ ܩܐ ܝܠܗ ܓܘܢܗܟܪ ܒܝܕ ܩܐܢܘܢ.
11-02	ܠܐ ܦܐܫ ܕܝܢܐ ܗܟ̰ ܦܪܣܘܦܐ ܡܢ ܬܡܡܬܐ ܚܕ ܥܒ݂ܕܘܬܐ ܝܢ ܡܚܦܠܬܐ ܡܢ ܬܡܡܬܐ ܚܕ ܥܒ݂ܕܘܬܐ ܐܚܟ̰ܝ ܐܢ ܚܕ ܗܕܚܐ ܡܢܕܝ ܦܐܫ ܚܘܫܒܢܐ ܐܝܟ ܚܕ ܓܘܢܚܐ ܡܐܝܟ ܩܐܢܘܢ ܕܐܬܪܐ ܝܢ ܩܐܢܘܢ ܬܒ݂ܠܝܐ ܒܕܥܢܐ ܒܫܩܠܐܝܠܗ ܫܘܦܐ. ܗܪ ܒܐܝ ܕܥܢܐ ܓܪܓ ܠܐ ܦܐܫ ܡܘܬܒ݂ܐ ܥܠܗ ܚܕ ܬܢܒܐ ܒܘܫ ܝܩܘܪܐ ܡܢ ܕܥܢܐ ܕܩܘܡܬܐ ܕܗܕܚܐ ܡܢܕܝ.
12-00	ܡܠܘܐܐ 12
12-01	ܓܪܓ ܠܐ ܥܘܪܝ ܓܘ ܚܝܐ ܕܝܠܢܝܐ ܕܚܕ ܦܪܣܘܦܐ ܝܢ ܒܝܬܐ ܝܢ ܐܓܪܝܬܐ ܝܢ ܐܝܩܪܐ ܝܢ ܫܡܐ ܛܒ݂ܐ ܡܫܡܗܘܬܐ. ܟܠ ܚܕ ܦܪܣܘܦܐ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܢܛܝܪܐ ܒܝܕ ܩܐܢܘܢ ܕܪܩܘܒܠ ܗܕܚܐ ܨܦܚܝܬܐ.
13-00	ܡܠܘܐܐ 13
13-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܐܪܘܬܐ ܕܓ̰ܘܓ̰ܬܐ ܡܚܝܬܐ ܓܘ ܬܚܘܒܐ ܕܟܠ ܐܬܪܐ ܘܕܝܪܬܐ ܥܠ ܐܬܪܐ.
13-02	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܫܘܩܐ ܟܠ ܐܬܪܐ ܒܚܒ݂ܫܐ ܐܬܪܐ ܘܕܝܪܬܐ ܥܠ ܐܬܪܐ.
14-00	ܡܠܘܐܐ 14
14-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܐܪܘܬܐ ܕܛܠܒ ܒܝܬܓܘܣܐ ܦܘܠܝܛܝܩܝܐ.
14-02	ܚܕ ܗܕܚܐ ܗܩܘܬܐ ܠܝ ܦܝܫܐ ܝܗܒ݂ܠܬܐ ܩܐ ܐܢܫܐ ܕܒ݂ܕܢܐ ܓܢܗܐ ܠܐ ܦܘܠܝܛܝܩܝܐ ܝܢ ܥܒ݂ܕܘܝܬܐܠܐ ܕܒܝܩܐ ܡܢ ܢܝܫܐ ܕܐܡܘܬܐ ܡܚܝܕܐ.
15-00	ܡܠܘܐܐ 15
15-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܪܥܝܬܘܬܐ.
15-02	ܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܦܐܫ ܡܘܚܪܡܐ ܡܢ ܪܥܝܬܘܬܐ ܝܢ ܡܢ ܫܚܠܦܬܐ ܪܥܝܬܘܬܐ.
16-00	ܡܠܘܐܐ 16
16-01	ܢܫܐ ܥܡ ܕܟ݂ܪܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܠܓܒܪܐ ܘܫܬܣܬܐ ܕܟܘܠܬ ܕܠܐ ܗܟ̰ ܫܪܛ ܓܢܣܝܐ ܝܢ ܬܘܕܝܬܢܝܐ. ܘܐܝܬܠܗܘܢ ܗܩܘܬܐ ܡܐܝܟ ܐܚܕܕܐ ܒܕܥܢܐ ܕܓܒܪܬܐ ܝܢ ܪܦܝܬܐ.
16-02	ܓܒܪܬܐ ܒܕ ܫܩܠܐ  ܫܘܦܐ ܐܝܡܢ ܬܪܘܝ ܓܘܪܢܐ ܣܙܓܪܐ.
16-03	ܟܘܠܦܬ ܝܠܗ ܒܝܬ ܢܘܪܐ ܕܚܕ ܫܘܬܦܘܬܐ ܘܓܪܓ ܦܝܫܐ ܢܛܪܬܐ ܒܝܕ ܐܢܫܐ ܘܫܘܠܛܢܐ.
17-00	ܡܠܘܐܐ 17
17-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܡܪܘܬܐ ܘܕܝܪܬܘܬܐ ܒܢܘܦܫܐ ܝܢ ܥܡ ܐܚܪܢܐ.
17-02	ܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܦܐܫ ܚܣܝܟ݂ܐ ܡܢ ܝܪܬܘܬܐ.
18-00	ܡܠܘܐܐ 18
18-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܬܚܡܢܬܐ ܘܕܐܢܝܬ ܘܬܘܕܝܬܐ. ܐܗܐ ܗܩܘܬܐ ܒܚܒ݂ܫܝܠܐ ܗܩܘܬܐ ܕܫܚܠܦܬܐ ܕܬܘܕܝܬܐ ܝܢ ܗܝܡܢܘܬܐ ܘܚܐܪܘܬܐ ܒܢܘܦܫܐ ܝܢ ܥܡ ܓܘ ܫܘܬܦܘܬܐ ܥܡ ܐܚܪܢܐ.
19-00	ܡܠܘܐܐ 19
19-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܪܥܝܢܐ ܘܗܡܙܡܬܐ. ܐܗܐ ܚܐܪܘܬܐ ܒܚܒ݂ܫܝܠܐ ܚܐܪܘܬܐ ܕܪܥܝܢܐ ܕܠܐ ܘܪܬܐ ܕܓܘܝ ܡܢ ܗܟ̰ ܐܢܫܐ ܘܛܥܘܝܐ ܒܬܪ ܘܩܒܠܬܐ ܡܕܥܢܘܬܐ ܒܟܠ ܐܘܪܚܐ ܕܗܘܝܐ ܕܠܐ ܩܝܕܐ ܕܬܚܘܒܐ.
20-00	ܡܠܘܐܐ 20
20-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܚܐܪܘܬܐ ܠܓ̰ܡܝܥܬܐ ܒܫܠܡܐ ܘܫܪܝܟܘܬܐ.
20-02	ܠܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܡܬܒܝ ܚܝܠܐ ܠܫܪܘܟܐ ܓܘ ܚܕ ܟܢܘܫܢܐ.
21-00	ܡܠܘܐܐ 21
21-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܡܫܬܘܦܐ ܓܘ ܫܘܠܛܢܐ ܕܐܬܪܐ ܕܘܙܐ ܕܘܙ ܝܢ ܒܐܘܪܚܐ ܕܩܝܘܡܐ ܡܓܘܒܝܐ ܒܚܐܪܘܬܐ.
21-02	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܝܗܒܐ ܦܪܣܬ ܠܫܩܠܬܐ ܫܘܠܐ ܓܘ ܐܬܪܐ ܕܠܐ ܦܘܪܫܢܝܐ.
21-03	ܨܒ݂ܝܢܐ ܕܐܢܫܐ ܝܠܗ ܡܒܘܥܐ ܕܫܘܠܛܢܐ. ܐܗܐ ܨܒ݂ܝܢܐ ܓܪܓ ܦܐܫ ܬܘܡܡܐ ܒܓܒܝܬܐ ܙܒܢܢܐ ܘܫܪܝܪܐ ܕܦܝܫܝ ܡܘܟܡܠܐ ܒܝܗܒ݂ܠܬܐ ܕܩܠܐ ܛܫܝܐܝܬ ܘܒܪܒܪ ܒܝܠ ܟܠ ܚܕ ܝܢ ܐܝܟ ܚܕ ܐܘܪܚܐ ܐܚܪܬܐ ܐܝܟܐ ܚܐܪܘܬܐ ܕܓܒܝܢܐ ܦܝܫܐ ܢܛܪܬܐ.
22-00	ܡܠܘܐܐ 22
22-01	ܟܠ ܚܕ ܦܪܣܘܦܐ ܐܝܟ ܚܕ ܗܕܡܐ ܓܘ ܫܘܬܦܘܬܐ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܬܪܓ̰ܡܥܘܬܐ ܫܘܬܦܬܐ ܓܘ ܬܡܡܬܐ ܒܐܘܪܚܐ ܥܒ݂ܕܘܬܐ ܐܬܪܝܬܐ ܘܗܝܪܬܐ ܬܒ݂ܠܝܬܐ. ܘܟܠ ܚܕ ܐܝܟ ܡܒܘܥܐ ܕܐܬܪܐ ܐܝܬܠܗ ܗܩܘܬܐ ܠܗܝܪܬܐ ܐܩܢܘܡܝܬܐ ܘܫܘܬܦܝܬܐ ܘܡܪܕܘܬܢܝܬܐ ܕܘܩܐ ܥܡ ܐܝܩܪܐ ܘܡܛܘܪܬܐ ܦܪܣܘܦܝܬܐ.
23-00	ܡܠܘܐܐ 23
23-01	ܟܠ ܚܕ ܐܢܫܐ ܐܝܬܠܗ ܗܩܘܬܐ ܠܦܘܠܚܢܐ ܘܚܐܪܐܝܠܗ ܠܓܒܝܬܐ ܦܘܠܚܢܐ ܓܘ ܚܕ ܐܟܢܝܘܬܐ ܨܦܝ ܘܦܐܫ ܢܛܝܪܐ ܡܢ ܒܛܝܠܘܬܐ.
23-02	ܟܠ ܚܕ ܕܠܐ ܗܟ̰ ܦܘܪܫܘܢܝܐ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܦܪܝܐ ܡܐܝܟ ܗܘ ܐܚܪܢܐ.
23-03	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܐܝܓܪܐ ܟܝܢܐ ܡܫܪܘܪܐ ܩܬܘ ܘܩܐ ܟܘܠܦܬܐ ܩܐ ܚܝܐ ܒܐܝܩܪܐ.
23-04	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܫܬܐܣܬܐ ܘܙܒܓܬܐ ܝܡ ܚܘܝܕܐ ܬܘܓܪܝܐ ܠܚܡܝܬܐ ܝܘܬܪܢܐ.
24-00	ܡܠܘܐܐ 24
24-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܡܢܝܚܬܐ ܘܒܘܣܡܐ ܘܒܚܒܫܐ ܡܬܚܡܬܐ ܣܥܬܐ ܕܦܘܠܚܢܐ ܘܝܘܡܐ ܕܡܢܝܚܬܐ ܒܦܘܪܥܢܐ.
25-00	ܡܠܘܐܐ 25
25-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܕ ܩܕܪܐ ܨܦܝ ܡܢ ܚܘܠܡܢܐ ܒܚܒ݂ܫܐ ܡܟ݂ܘܠܬܐ ܘܠܒ݂ܫܬܐ ܘܒܝܬܐ ܘܕܪܡܢܐ ܘܗܩܘܬܐ ܠܚܬܪܓ̰ܡܘܬܐ ܒܕܥܢܐ ܕܒܛܠܘܬܐ ܘܡܪܥܐ ܘܐܪܡܠܬܐ ܘܣܝܒܘܬܐ ܘܐܗܒܠܛܐ ܐܚܪܢܐ.
25-02	ܝܡܝܘܬܐ ܘܝܠܕܘܬܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܩܐ ܬܓܒܪܬܐ ܘܗܝܪܬܐ ܡܬܕܠܢܝܬܐ ܘܝܗܠܐ ܒܪܝܐ ܒܐܘܪܚܐ ܕܓܘܪܐ ܝܢ ܠܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܐܝܟ ܐܚܕܕܐ.
26-00	ܡܠܘܐܐ 26
26-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܝܘܠܦܢܐ ܘܝܘܠܦܢܐ ܓܪܓ ܗܒ݂ܐ ܕܠܐ ܦܘܪܥܢܐ ܓܘ ܡܕܪܫܬܐ ܫܪܒܝܬܐ ܘܪܗܛܐ ܫܬܐܣܢܐ. ܘܓܪܓ ܟܠ ܐܢܫܐ ܫܩܠ ܝܘܠܦܢܐ ܫܪܒ݂ܝܐ ܘܝܘܠܦܢܐ ܬܩܢܝܩܝܐ ܘܥܠܝܐ ܓܪܓ ܗܒ݂ܐ ܦܬܝܚܐ ܩܐ ܟܠ ܚܕ ܕܠܐ ܦܘܪܫܘܢܝܐ ܒܢܝܐ ܥܠ ܡܨܝܬܐ ܕܐܢܫܐ.
26-02	ܝܘܠܦܢܐ ܓܪܓ ܗܒ݂ܐ ܪܫܝܡܐ ܠܡܛܘܪܬܐ ܐܢܫܐ ܘܡܩܘܝܬܐ ܡܝܩܪܬܐ ܙܕܩܐ ܐܢܫܝܐ ܘܝܐܪܘܬܐ ܫܪܫܐܢܝܬܐ. ܓܪܓ ܡܪܘܚܐ ܦܪܡܝܬܐ ܘܡܬܩܒܠܢܘܬܐ ܘܪܚܡܘܬܐ ܒܝܠ ܟܠܝ ܐܬܪܘܬܐ ܘܓܢܣܐ ܘܓ̰ܡܥܬܐ ܬܘܕܬܢܝܐ ܘܡܙܝܕ ܥܒ݂ܕܘܝܬܐ ܕܐܡܘܬܐ ܡܚܝܕܐ ܠܚܡܝܬܐ ܕܫܠܡܐ.
26-03	ܐܒ݂ܗܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܠܓܒܝܬܐ ܝܘܠܦܢܐ ܩܐ ܝܗܠܝܗܝ.
27-00	ܡܠܘܐܐ 27
27-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܫܪܟܬܐ ܓܘ ܚܝܐ ܡܪܕܘܬܢܝܐ ܕܚܕ ܫܘܬܦܘܬܐ ܘܫܩܠܬܐ ܝܘܬܪܢܐ ܡܢ ܐܡܢܐ ܘܫܪܟܬܐ ܓܘ ܡܛܘܪܢܘܬܐ ܥܠܡܝܬܐ ܘܝܘܬܪܐܢܘ.
27-02	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܢܛܪܬܐ ܘܝܘܬܪܢܐ ܡܢ ܦܘܠܚܢܐ ܛܒ݂ܐ ܘܗܘܠܢܝܐ ܕܦܠܛܝ ܡܢ ܐܡܢܐ ܐܝܟܐ ܗܘ ܝܠܗ ܣܝܘܡܐ.
28-00	ܡܠܘܐܐ 28
28-01	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܪܝܙܐ ܫܘܬܦܝܐ ܘܬܒ݂ܠܝܐ ܐܝܟܐ ܕܙܕܩܐ ܘܚܐܪܘܬܐ ܡܘܬܚܪܢܐ ܓܘ ܐܗܐ ܒܘܕܩܐ ܦܝܫܝ ܢܛܝܪܐ ܒܚܕ ܫܟܠܐ ܓܘܢܝܐ.
29-00	ܡܠܘܐܐ 29
29-01	ܟܠ ܚܕ ܐܢܫܐ ܐܝܬܠܗ ܘܓ̰ܒܘܬܐ ܠܦܘܬ ܫܘܬܦܘܬܐ ܐܝܟܐ ܡܛܘܪܢܘܬܐ ܦܪܣܘܦܝܬܐ ܝܠܗ ܡܘܡܟܘܢ.
29-02	ܒܕܥܢܐ ܕܡܦܠܚܬܐ ܕܗܩܘܝܬܐ ܘܚܐܪܘܬܐ ܟܠ ܚܕ ܓܪܓ ܡܝܩܪ ܗܩܘܬܐ ܘܚܐܪܘܬܐ ܕܐܚܪܢܐ.
29-03	ܐܢܐ ܙܕܩܐ ܘܚܐܪܘܝܬܐ ܓܪܓ ܓܘ ܟܠܝ ܐܗܒܠܛܐ ܠܐ ܦܝܫܝ ܡܘܦܠܚܐ ܒܚܕ ܐܘܪܚܐ ܠܒ݂ܕܪ ܡܢ ܢܝܫܐ ܘܒܢܝܬܐ ܕܐܡܘܬܐ ܡܚܝܕܐ.
30-00	ܡܠܘܐܐ 30
30-01	ܡܢܕܝܢܐ ܕܠܝܢܐ ܦܝܫܐ ܡܘܬܚܪܐ ܓܘ ܐܗܐ ܒܘܕܩܐ ܓܪܓ ܠܐ ܦܝܫܝ ܡܬܘܪܓ̰ܡܐ ܒܝܕ ܚܕ ܐܬܪܐ ܝܢ ܓ̰ܡܥܬܐ ܝܢ ܦܪܣܘܦܐ ܠܒܪܬܐ ܓܘ ܥܒܘܕܘܝܬܐ ܡܚܪܘܬܐ ܗܟ̰ ܚܕ ܡܢ ܐܢܐ ܗܩܘܝܬܐ ܝܢ ܚܐܪܘܝܬܐ ܡܘܬܚܪܐ ܥܠܠ.
