00-00	LAPAN RUNAKUNA IMANAWPA RISPITASH KAYÄNANPAQ KASHQANKUNA KAYNAW NIRMI QALAYKUN
24-01	Lapan runakunapis j amayänanmi aruyninkunapita, aruynin mana kashqan öraqa imatapis munashqantami rurakuyänan, aruyänan shumaq öralawanmi. Manami aläpaqa aruyänansu aruyänanpaq kashqan örapita mastaqa y saynawmi aruyninpita watasarkur jamananpaq yarquptinqa saypita pägunta chaskiyänan.
25-00	NISHQAN ISHKAY CHUNKA PISQA (25)
25-01	Lapan runakunami shumaq ali kawaychaw kayänan, saynawmi lapan kastankunapis shumaq kawakuyänan, kwerpunkunapis mana qeshyaypa, lapan imaykakunachawpis alila. Mas aliran kanan yali mikuyänanpaq mikuykunachaw, mödanankunachaw, ali wayichaw täyaptin, ima qeshya sariptinpis jampikuqkuna jampiyaptin y lapan imaykakunawanpis runakunata shumaq yanapänanpaq kaqkunawan yanapäyaptin. Elaqpita imachawpis mana aruq runa kaptinqa o aruyniynaq kaptinqa, shuynimi saynawkunata yanapänanpaq kaqchaw kayänan Iapanpis, tukuy qeshyayuqkuna, ima ruraytapis mana pwe'diqkuna, kanmanmi (wishtukuna o ushukuna), biyúdayashkuna chakwan o awkin karpis y lapan runakuna imaykanawpa aruytapis o makinta y chakinta o wakinkaqkunata kikinkuna mana munaykäyaptin imapis päsaptin arunanpaq kaqkunata oqraqkunami kanan shumaq shuyni yanapashqa.
25-02	Lapan wamrayuq warmikunapis y akapa wamrakunapis shumaq imaykapitapis kuydashqami kayänan y paykunataqa shuynimi yachaqkuna rikayänan mana kachaypa. Lapan wamrakuna juk mama taytalapita yuriqpis o jukchaw wachapakush o sure"pakush kayninpa yurishkunapis iwal rikashqami y kuydashqami kayänan.
26-00	NISHQAN ISHKAY CHUNKA SOQTA (26)
26-01	Lapan runakunami eskwëlachaw yachakuyänan. Lapanpis yachakuyänan debaldilami, punta yachaykunata alinninkaqta y runata imachawpis yanapänanpaq kaqkunalatapis yachakuyänanmi. Alinninkaq yachaytaqa lapan runakunami yachakuyänan jukpis mana yachakuypaqa manami kanansu. Juknawkaq imatapis y imapaqpis yachakuykunami isanqa mas aja yachakuymanna yaykuyänan. Mas sinchikaq aja yachakuykunamanqa yaykuyanqa lapan runakunapis iwalmi y saynawpami ima kayänanpaqpis yarquyanqa yachayashqanpita.
26-02	Eskwe"lakunachaw o wakinkaqkunachaw yachakushqankunawanmi lapan runakunapis ali yachaq kayman chäyanqa. Saynawpami runakuna rispitash kananpaq kaqkunata rurar mas yanapänan wakinkuna rurayänanpaqpis y runakuna libri kayänanpaq mayqankaqkuna mas alinnin kashqantapis yachasir reqisinan y musyasinan. Runakuna yachaq kayaptinqa manami ajanasu kanqa lapanta shumaq tantiyayänanpaqpis, imatapis ali shonqulanwan shuyaränanpaqpis y lapan nasyunkunawanpis ali alila juknin jukninpis kayänanpaq, tukuyniraq y lapan kasta runakuna o imamanpis krigiqkuna musyayänanpaqpis. Lapanpis saynaw ali kayaptinqa aska nasyunpita shuntakaykur runakuna rispitash kananpaq kashqanta wilakuqkunatami mas yanapanqa y alikaqkunata imatapis rurayanqa lapan markakuna jatunyänanpaq y saynawpami lapan kushish kawayänanpaq lakipakuyanqa paykunapis.
26-03	Mayqan runakunapis munashqankaqtami akrakuyänan maychaw y imanawkaq eskwe"Iaman wamran yachakunanpaq churananpaqpis.
27-00	NISHQAN ISHKAY CHUNKA QANCHIS (27)
27-01	Lapan runakunapis mana michasqami markakuna ima fVestata ruraptinpis saychaw ruräsinan, ima tushukunata o wakinkaqkunata rikäkur y ima yachaykunatapis shumaq ali kananpaq yanapänakunan, alita rurayta munarqa imatapis rurasun kikinpa jamulanpita imatapis yarqapakurqa.
27-02	Lapan runakunami rispitasikunan pipis jarukuyänanpita y imankuna kaptinpis saynawmi kikinpa kaqkunataqa shumaq saräkunan pipis mana qechushqa, kakusun ali yachayninwan tarishqankuna, imatapis qelqashqankunata o imakunatapis yachayninwan rurashqankunapis y kikin ruraqkaq kayninpa.
28-00	NISHQAN ISHKAY CHUNKA PUWAQ (28)
28-01	Lapan runakunami markankunachaw shumaq yarpayninwan ali täyänan, nasyunninchaw o wakinkaq nasyunkunachawpis kay runakuna rispitashqa y mana jarukushqa kananpaq wilakuyashqä maysaychawpis rasunpaypa rurakänanpaq.
29-00	NISHQAN ISHKAY CHUNKA ESQUN (29)
29-01	Lapan runakunami tashqan markakunachaw imatapis rurayanan, say markachaw täyayninpami libri imaykanaw kananpaqpis y ali runa kayman chänanyaqpis yachakuyash tukuy ruraykunata.
29-02	Shumaq rispitashqa kaykäyashpan y tukuy imakunatapis libri rurakuykäyarpis, imanaw runakuna rurananpaq qelqaraykashqantami isanqa mansakuyänan y say nishqanpitami isanqa pipis päsasiyänansu. SaVnaw mansapakuypa kayanqa wakinkaq runakunapis rikärishqa, rispitashqa, mana jarukushqa y Iibri Iapanpis iwal kayänan kashqami. Saynawpaqa lapanpis alita rurar y runakunapis rispitash kananpaq kashqannaw karqa kushishmi kawayanqa, wakinkaq marka runakunapis y lapan markakuna alila shumaq kawakuyanqa.
29-03	Lapan runakuna rispitash y libri kakuyänanpaq wilakuyashqäta manami ni pipis juknawpaqa ni kontranqa sharkuyänansu ni rurayänansu lapan nasyunkunapita qorikaykur ali yarpaykunawan y ali kananpaq rurayashqäkunataqa.
30-00	NISHQAN KIMSA CHUNKA (30)
30-01	Kay wilakuyashqäkunachaw manami juknawpaqa tantiyayänansu; manami mayqan nasyunpa mandaqninta, shuntakash askaq runakunata ni juk runalata imanawpapis rurayänanpaq o wakinta elaqäsir qalaykuyänansu ni mayqan kaqlatapis, runakuna rispitash y libri kakuyänanpaq kay qelqaraykaqchaw wilakuyashqäta.
