00-00	TSICA INCANTYA IRAACAMEETHAYEETAIRI ATZIRIPAYEENI JACA QUIPATSIQUI
01-00	IÑAAPINCATHAYEETERI 1.
01-01	Maaroni atziripayeeni, ovaquera intzimapaaque, eero ocantzi iñaashitacaavaitaityaari iromperanataityaari. Eejatzi oquemitari iroñaaca te apantyaaro amanitashireteri atziri ancanteri: "Te pirjiperote eeroca, iriima irinta iriitaque ñaaperori". Eejatzi oquemitari te oncameethate intzime aparoni atziri antayetashityaarone caari ishinetaacairi pashine irantero. Tema maaroni ayotziro ampampithashirvaayeta, ayotziro tsicarica otzimayetzi cameethatatsiri anteri o tsicarica otzimi caariperotatsiri, irootaque ocovaperotantari iroñaaca entacotavacaayetya anquemitacaantanaquero arentzitavacaatyeeyaami ocaaquiini.
02-00	IÑAAPINCATHAYEETERI 2.
02-01	Maaroni osanquinatachari iroñaaca jaca, ontzimatye amoncarataayetanairo aacameethatavacaanaiya maaroni, te oncovajaantya ashenincatavacaarica ocaaquiini o terica. Te oncovajaantya amoncaraavacaiya tsicarica acantayeta avathaquipayeeni aparopayeeni: aquisaatzi, o aquitamaatzi. Aacarica shirampari o tsinane. Aririca oshiyavacaa añaanetayetari o terica. Te oncovajaantya aririca amoncaraavaca oshiretari Pava o terica. Aririca amoncaraavaca apampithashiryaacoyetari icarayetzi jevayetzirori nampitsi o tsicarica opaiyetari. Te oncovajaantya acantavacaiya: "Irinta ipoñaatya pashinequi nampitsi, irooma naaca onashita nonampi o iriiperori inatzi irinta, ashaarantzincari; iriima irinta caari ashaarantzincan", o irica atziri te intzime pairani jaca nampitsiqui, iriyaatai tsicarica itzimaque pairani. Te oncovaj aantya tsicarica icantavaiyetari aparopayeeni atziri, oncantya aacameethatantyaariri.
02-02	Eejatzi oquemitari iroñaaca, te oncovajaantya acantayeteri atziri: "Pipoñaatya pashinequi nampitsi, o inashita pijevarite eeroca janta pipoñaara, te incameethate o cameetha icanta pijevarite eeroca janta, o onashitayeta ocaratzi icantacaantayetziri pijevarite oncarate pimoncaraayeteri janta, o tsicarica icanta, aacameethatavacaarica icarayetzi ijevayetzirora pashine nampitsipayeeni". Eejatzi oquemitari iroñaaca cantatsi aparopayeeni jevayetatsiri nampitsiqui, impampithashirveeya tsica incantayeteri isaicacaanepayeeni, o tsicarica incanteri pashine jevayetzirori nampitsi aririca incove ijevatziteri inampi. Te apantyaaro eejatzi ancante: "Irinta atziri ipoñaatya pashinequi nampitsi caari irooperotatsine, iroñaaca iricara atziri te otzicaaventeri ocaratzi osanquinayetainchari jaca." Tera ari oncantya.
03-00	IÑAAPINCATHAYEETERI 3.
03-01	Maaroni atziri ontzimatye ashinetairi eequero iriyaatacaatyeero irañee, tecatsi cantatsine iñaashitacaavaityaari iromperanavaityaari, o incovai te inquemaantsitacaityaari irovasanquitaavaiteri.
04-00	IÑAAPINCATHAYEETERI 4.
04-01	Te oncameethate iyacoventayeteri atziri, ancante: "Pomperanavaityaari irica". Tzimatsirica covatsineri irantero, ontzimatye irovashaantacaiteri eero jantantaro, tema te oshinetaantsite irantaitero iroca.
05-00	IÑAAPINCATHAYEETERI 5.
05-01	Te oncameethate iracotashiiteri atziri, imaperoiteri nquemaantsitacaityaari ivathaqui. Tema aririca incovaite irovasanquitaite aparoni atziri, eerotya imaperotaj aantaitziri irovatsinaiteri, inquemitacaantaitanaqueri te atziri irinatyeericami irirori, ari oncantya imintharovashirevaitantaityaariri.
06-00	IÑAAPINCATHAYEETERI 6.
06-01	Maaroni atziripayeeni icaratzi nampitarori quipatsiqui, oncantavetaqya tsicarica inampityaaro, cantatsi ishinetaiteri inquiflaaventero ocaratzi imoncaraitziri icantacaantziri jevari tsicarica inampitaro, tecatsi thañaapithatyaarineri.
07-00	IÑAAPINCATHAYEETERI 7.
07-01	Aririca intzime aparoni atziri incovaite irovasanquitaiteri, ocantacaantziro ipiyathatacaro ocaratzi icantacaantayetziri jevaripayeeni iromoncaraayeeteri aparoni nampitsiqui; eero j imaperoitziri inquemaantsitacavaitaityaari, incantaite: "Irica te otzicaaventeri icantacaantayetziri jevaripayeeni, irjima irinta iri otzicaaaventzi". Te oncameethate eejatzi ashinetairi pashine atziri irantero iroca, inquemitacaantanaquero irinta pashinera atziri te iratzirite, imanintavaitanaqueri.
08-00	IÑAAPINCATHAYEETERI 8.
08-01	Tema aparopayeenl nampitsi tzimayetatsi icantacaantayetziri jevaripayeeni imoncarayeeteri, tzimatsi eejatzi icantacaantayetziri jevaripayeeni ovaquera ovetsicaj aantanaca aparoni nampitsi, tzimitacha eejatzi impoiyetatsiri icantacaantayetziri jevaripayeeni; maaroni irocapayeeni tecatsi ompetapithatyaarine atziripayeeni iñaaventayetero iroca, ari oncantaque iriyaatashiteri Juez oncantya imoncaraacaantyaanariri icantacaantayetziri, ari ocantaque eejatzi incove iraamacoventaityaari, tema irootaque otzimantayetacari ocaratzi icantacaantayetaqueri jevaripayeeni osanquinayetaincharica.
09-00	IÑAAPINCATHAYEETERI 9.
09-01	Te oncameethate imaimaneetashitaityaari aparoni atziri, o irashitacotacaantashivaitaityaari cárcel-qui, o iromityaantashivaitaityaari janta tsica inampitaro.
10-00	IÑAAPINCATHAYEETERI 10.
10-01	Tzimatsirica atziri jaacaantaitziri janta pincatharipayeeniqui, cantatsira irica atziri iriyaatashiteri Juez, oncantya incantantyaarorl opaita jantaqueri, eeromaita jantziro Juez iromananequiini. Ari oquemitzitari eejatzi aririca inquisoshireventaiteri aparoni atziri jantziro ocaratzi ishinetaacaantayeetziri, o ontzimatye imoncarayetero ocaratzi icantacaantayeetziri; ari oncantaque eejatzi iriyaatashiteri Juez. Impoñaashitaqya iroflaaca irica Juez cantatsi incante tsicarica itzimi quenaacaashitacarori j antaqueri, ocantya irovasanquitaantaityaariri, o tsicarica itzimi caari tzimatsine iquenacaashitacari eero jovasanquitaitziri. Ari incarate maaroni incaminthagaiteri, tema te oncameethate irovasanquitaashivaitaityaari eero jiyoperotavaqueri tsicarica itzimi irovasanquitai, impoñaashitya irampitacoyeteri aparopayeeni.
11-00	IÑAAPINCATHAYEETERI 11.
11-00	Aririca intzime aparoni atziri jaacaantayeetziri janta pincatharipayeeniqui, ontzimatye impampithashiryaacotaiteri irica atzirica te iriyotero tsica opaita avishimotziriri, irojatzi apaata oncoñaaperotantaqyaari omaperorica otzimi iquenacaashitacari. Oncantya iriyotantaperotaityaari omapero otzimi jantaqueri, ontzimatye irica Juez irantero ocaratzi ocantayetzirira icantacaantayetzi jevayetzirorira nampitsipayeeni, eero j antashivaitaro ocaratzi j inintacaari irirori. Ari oncantya irica atziri icovaitziri irovasanquitacaantaiteri, icantatyaari te iriyotero irirori tsicarica opaita icovantaitari irovasanquitaiteri.
11-01	Ayotaque iroñaaca tzimatsi osanquinarentsi iñaapincathayeeteri. Ompoñaashitaqya aparoni atziri irantaquero ocaratzi icantacaantayeetziri. Ompoña irovashiñagaitairo ocaratzi iñaapincathayeetziri pairani. Irica atziri antaquerori ocaratzi icantacaantayeetziri pairani, eerova ocantzi iraacaantaiteri. Ari onquemitzityaari eejatzi aririca irovashiñagaitero tsica oncarate irovasanquitagaiteri aparoni atziri.
12-00	IÑAAPINCATHAYEETERI 12.
12-01	Te oncameethate shinetairi aparoni atziri iñaashirencashivaityaari pashine atziri, o incove imaimanetziteri jashitari irirori: itsipatari, ipanco. Eejatzi te oncameethate ashineteri aparoni atziri imaimanetziteneri tsicarica opaita josanquinayetziri pashine atziri iromityaanteneri ishenincapayeeni. Eejatzi eero ocantzi ashineteri atziri incantacoyeteri pashinepayeeni atziri, inthaiyacovaitashityaari. Tzimatsirica atziri matayetzirori jantziro irocapayeeni, ontzimatye ontzime osanquinarentsi imoncarayeeteri oncantya otzicaaventantyaariri irica atziri iñaashirencayeetzirira.
13-00	IÑAAPINCATHAYEETERI 13.
13-00	Cantatsi oshinetaantsite inquivantantayete atziri tsicarica icovayetziro irirori, cantatsi incoyaanontya atziri tsicarica incovero inampityaaro.
13-01	Shinetaantsi onatzi iriyaayete atziri pashinequipayeeni nampitsi, ompoña impiyayetai aririca onimotapairi, tema eero ocantzi ompetashivaityaari.
14-00	IÑAAPINCATHAYEETERI 14.
14-00	Tzimatsirica aparoni jevatzirori nampitsi, icovi imaimaneteri aparoni atziri incove irovasanquitairi, pashinepayeeni nampitsi cantatsi oshinetairi impoque inampityaaro oipatsitequi- oncantya isaicantyaari cameetha eero iñaantaro iñaashivaityaaro.
14-01	Iro cantamaitachari, tzimatsirica aparoni atziri omapero ipiyathatacaro ocaratzi icantacaantayetzlrl jevaripayeeni iñaapincathayeeteri, icovaitatzi irovasanquitaiteri, eero ocantzi ashinetairi aririca incantavetya: "Pishinetaina niyaate pashinequi nampitsi ocantya nosaicantyaari cameetha, tema ari osanquinatacota "Tsica Incantya Iraacameethayeetairi Atziripayeeni". Ari inquemitzitaityaari eejatzi atziri ovashiñaashitarori ocaratzi osanquinayetainchari jaca japatotaiyacaranqui jevaripayeeni "Aapatziyavacaa Poñaayetachari Nampitsipayeeni
15-00	IÑAAPINCATHAYEETERI 15.
15-00	Eero ompetapithatashitari atziripayeeni inampityaaro aparoniqui nampitsi, tsicarica itzimayetzi jevaripayeeni o tsicarica otzimayetzi osanquinarentsi iñaapincathayeetziri.
15-01	Eero ampetapithatashitari aparoni atziri isaique nampitsiqui tsicarica inampitaro. Eejatzi oquemitari eero ocantzi ompevaityaari atziri aririca incove iriyaate inampityaaro pashinequi nampitsi.
16-00	IÑAAPINCATHAYEETERI 16.
16-00	Aparoni shirampari o aparoni tsinane areetarori antariquitaantsi, eero ocantzi anthañeeyaaro ontsipatya, cantatsi ovaiyante aririca oncove. Tema eero ocantzi ompetyaaro ancante: "Eero paavaca, tema caari pisheninca, o ipoñaatya intaina pashinequi nampitsi, te joshiretari Pava iquemitara irinta oshiretariri Pava". Ari oncantayetyaari eejatzi aririca incove atziri iraavacaiya o aavacaincarica inatzi, o oocavacaincarica jini.
16-01	Irooma aririca incovavacaiya apiteroite iraavacaiya, cantatsi imatero tema tecatsi shintsiventerineri.
16-02	Iro jametari atziri, otzime itsipatari, itzimayetzi itomipayeeni. Irootaque covaperojaantachari jantayetaqueri atziripayeeni. Tema jantzirocara irocapayeeni atziri ocovatya irantero oncantya iraamaacoventantyaarori itsipara. Ari inquempitzitayetya eej atzi jevayetzirori nampitsi, ontzimatye iraamaacoventyaari icaratzi tsipayetachari atziri.
17-00	IÑAAPINCATHAYEETERI 17.
17-00	Maaroni atziri tecatsi ompetapithatyaarine ontzimimoteri iipatsite apaniro, o tsicarica ompaitayetya incoveri tzimimoterine irirorica covatsine o aririca incove atziri impiyoventyaaro ontzime iipatsite o ontzimimoteri tsicarica ompaitya; tecatsira ompetapithatyaarine.
17-01	Eero ocantzi aapithatantero tsicarica opaita jashitayetari pashine atziri.
18-00	IÑAAPINCATHAYEETERI 18.
18-01	Shinetaantsi onatzi ipampithashirvaayetya atziri tsicarica ompaitya icoviri irirori. Cantatsi ipampithashiryeeyaaro cameethatatsiri o caari cameethatatsiri jantaitziri. Cantatsi iroshiretyaari Pava aririca incove o eerorica. Tecatsi cantatsi irovashaantacairo ocaratzi ametayetari pairani oshireyetarora. Cantatsi irantero apaniro o oshequi incantaventyaaro. Cantatsi eejatzi irantero iromanequiini o tsica ipiyotapiinta atziripayeeni. Cantatsi eejatzi iriyotairi pashinepayeeni ocaratzi jametari o iriyotairi iroshiretyaari Pava, o inashiyetyaaro quitaiteripayeeni.
19-00	IÑAAPINCATHAYEETERI 19..
19-01	Maaroni atziri, tecatsi thañaapithatyaarine ocaratzi ipampithashiryaayetari. Ari oncantaque iñaaventayetero tsicarica opaita icovayetziri. Iro osanquinatantari iroñaaca iroca, ocantya eero imaimanetantari pashine atziri tsicarica ompaitya ipampithashiryaayetari. Tema tecatsi thañaapithatyaarine atziri iyoyetero tsicarica opaita icovayetziri, inquemisantero o iñaanatacotero tsicarica opaiyetari ipampithashiryaayetari pashinepayeeni; ari ocantaque isanquinayete tsicarica ompaitya o ari ocantaque inquinquithatacoyetero tsicarica opaita ipampi thashiryaari. Tema tecatsi thañeeyaarone eej atzi otyaantayete iñaapincathayeeteri pashinequi nampitsi. Ari ocantaque oivaraayetero ñaantsi tsicarica ocanta icovayetzi aparopayeeni, iroorica quinquitharentsi o osanquinarentsi o tsicarica ompaiyetya.
20-00	IÑAAPINCATHAYEETERI 20.
20-00	Tecatsi thañaapithatyaarine atziri incoverica irapatotya, o irantero tsicarica ompaitya icoviri japatotara; ari inthañaapithaitaqueri irapatoventyaaro incoverica irovaariperoteri pashinepayeeni atziri.
20-01	Tecatsi cantatsine ishintsiventeri aparoni atziri caari covatsineri irapatotya.
21-00	IÑAAPINCATHAYEETERI 21.
21-00	Tecatsi cantatsine inthañaapithatyaari atziripayeeni incoverica ijevate inampiquipayeeni, iriirica covashityaarone ijevate o iriirica covacaayeterine pashine atziripayeeni ijevate.
21-01	Tema maaroni jevayetzirori nampitsipayeeni jantacaantayetziro ocaratzi covityaayetachari aparoniqui nampitsi; tecatsira thañaapithatyaarine atziripayeeni iroca, ari ocantaque iñeero iranintaayetyaaro irocapayeeni, tecatsi aparoni cantatsine irompetyaaro; ari incarate imoncaraavacaiya atziripayeeni iranintaiyaaro, tecatsi cantatsine: "Apaata netavaqyaaro naaca niriiperotatziira, ompoña pimpoite eeroca apaata tema te piriiperotatyeera eeroca
21-02	Tema ijevatantyaari aparoni jevari nampitsiqui, iriira covacaayeterine atziripayeeni icaratzi saicantarori aparoni nampitsi. Ari oquemitzityaari eejatzi ontzimantayetyaari osanquinarentsi iñaapincathaiteri iriitaque covacaayeteroneri atziripayeeni icaratzi nampitarori aparoni nampitsi. Tema aririca incovayeete impairyagaite jevari, jevatzirori tsica ipairyagaitziri jevari; ontzimatye irantacaantero cameethaperoini. Tecatsi cantatsine irompetapithatyaari aparoni atziri incoverica irampitacotante impairye jevatatsineri aparoniqui nampitsi. Tera oncameethate incove irapipiitero aparoni atziri impairye ijevarite ovaqueraarica japacaaquero ipairvaaqueri pashine, incove iranaacotante, oncantya eero ijevatanta pashine jevari. Ari ocameethatzi impairyeeri atziri ijevarite iromananequiini, tecatsi canterine: "Jirica cameethaperotatsiri jevari, iri pimpairyeeri". Cantatsi impairyeeri atziri ijevaritetyaari tsicarica ocanta icoviro irirori tema tecatsi thañaapithatyaarineri icoviri.
22-00	IÑAAPINCATHAYEETERI 22.
22-01	Aparopayeeni atziri, ontzimatye ontzimimoyeteri tsicarica opaiyeta, ocantya isaicantyaari cameetha, tema te oncameethate incovityaaneentavaite. Atziripayeeni nampitarori aparoniqui nampitsi tsica jashaarantaita, ontzimatye irampitacoyeteri pashine atziri saicatsiri pashinequi nampitsi caari tzimimoterine irashaacaro irirori. Irootaque ocovantari iroñaaca, icarayetzi jevatzirori nampitsipayeeni; ontzimatye iramenacoyeteri atziripayeeni icaratzi ijevatziri ocantya ontzimantyaari icovityaayetziri irirori. Iroca cantacharica, jiyoyetzirora aparopayeeni jevayetzirori nampitsi otzimimotzirorica inampi oshequi asháacaro ocantya irica jevari irampitacotantayetyaariri atziri. Irootaque iroñaaca ocameethatantavetari ontzimimoyetairimi atziri ocaratzi icovityaayetziri. Irootaque eejatzi ocameethatantavetari iraacameethayetairimi pashinepayeeni atziri. Irootaque ocameethatantavetari eejatzi ooquimoyetyaarimi jantayetziri ishenincapayeeni jameyetari. Ari ocantya iñaapincathatantayeetyaariri, iro iñaantayetaiyaarori eejatzi ijevatayetai cameetha tsica ocanta icovayetziro irirori.
23-00	IÑAAPINCATHAYEETERI 23.
23-00	Tecatsi thañaapithatyaarine atziri incoverica irantavaite; ari ocantaque irantavaite tsica jinintacaaro irirori. Tzimatsirica aparoni jevatzirori antavairentsi, ontzimatye ijevateri cameetha atziripayeeni antavaiyetatsiri. Aririca intzime aparoni atziri covacovatatsiri antavairentsi, temaita iñee tsica irantavaite, ari ocantaque icaratzi jevayetzirori nampitsi irampitacoteri ocantya iñaantyaari antavairentsi.
23-01	Aririca intzime apite antavaitatsiri, te orn pashinetzimaitya irantavaire, eero ocantzi impinaperoi teri aparoni, iriima pashine impinaitaqueri capicheeni.
23-02	Maaroni icaratzi antavaiyetatsiri, ocovatya impinaiteri cameetha onquene antetya iraayete ocaratzi covityiimoyetariri ipancoqui. Aritaque ocantyaari; irooma eerorica, te iñaapincathayeetziri irica antavaiyetatsiri, iquemitacaitatyaari te iratzirite. Terica impinayeeteri cameetha, ontzimatye iricapayeeni pincathariyetatsiri nampitsiqui irampitacoteri.
23-03	Maaroni icaratzi antavaiyetatsiri tsicaricapayeeni; tecatsi cantatsine iroocacairi aririca incove irapatotaiyaani ocantya i mpinatantayeetyaari cameetha, o ocantya iraacameethatantayeetyaariri tsicarica j antavaitzi.
24-00	IÑAAPINCATHAYEETERI 24.
24-01	Tecatsi cantatsine ishintsiventeri aparoni atziri irantavaitacairi eeroya imacoryaacairi, o eeroya ishineteri iriyaate tsica icoviro iroimoshirencavaitya. Te oncovajaantya irantavaitacaiteri atziri shintsiini, iro cameethathatatsi ishineeteri osarentsiquipayeeni imacoryee eero jantavaitzi tsicarica oncarate quitaite; tema maaroni quitaiteri oncarate irimacoryeera, ontzimatye impinaiteri quemitajaantaca irantavaitaquityeemi.
25-00	IÑAAPINCATHAYEETERI 25.
25-00	Tecatsi ompetapithatyaarine atziri isaique irañee cameetha intsipatayetyaaro iinapayeeni impoña itomipayeeni. Irootaque ocovaperotantari eero ocovitya tsicarica ompaitya iroyaari, inquithaatyaari o iroorica ipanco. Ontzimatye iramene tsicarica iraaventacaantapiintya aririca imantsiyate. Eej atzi oquemitari ocarayetzi jovetsicacaantayetziri pincatharipayeeni tsicarica ipincatharitzi; ontzimatye iranintaiyaaro atziripayeeni, tema tecatsi canterone inthañaapithatyaari. Eejatzi oquemitari eeerorica ocantzi irantavaitai atziri tzimatsi opaita avishimotaqueriri; ontzimatye irampitacoteri jevatzirori nampitsi. Ari inquemitaityaariri eejatzi mantsiyari, o caari cantatsine irantavaite ocantacaantziro imantsiyataque, o iroorica camaimetzincaro, o iriirica antariconayetapaintsiri, o tsicarica opaitayeta pashine cantacaantatziro caari ocantanta irantavaitai; ocovatya irampitacoyeteri jevayetzirori aparoni nampitsi.
25-01	Maaroni cooya motyaayetatsiri ipoña eentsitepayeeni, ontzimatye iraamacoventayetyaaro cameetha. Eejatzi iquemi tayetari icaratzi eentsipayeeni jaacotantziri ashitariri o icaratzi tzimashiyetachari temaita iñaacoventeri ashitariri, ontzimatye incaminthaayeeteri cameetha eejatzi irirori.
26-00	IÑAAPINCATHAYEETERI 26.
26-00	Tecatsi cantatsine inthañaapithatyaari atziri incoverica iriyotai iñaanate. Te opinata ocaratzi j iyotagaitziriri eentsipayeeni, iro cantamaitachari ontzimatye ishintsiventaiteri eentsipayeeni iriyotayetai iñaanate. Ari iquemitaitari eej atzi antaripayeeni atziri, jatatsiri incove iriyotagai ocantya impantaityaariri antavairentsi, ontzirnatyeetya eero japaavaitashitaro jiyotagaitziriri ocovatya iriyote. Iroorica incove iriyaatacaaperotero iriyote, ontzimatye ishinetagaiteri aririca incove inqyee ipaitaitziri: "Universidad"; ocovaperotya irominqyagaiteri iñeetziri aritaque ocantaque iriyote; tetya ocameethate irominqyaashivaityaari caari cantatsine iriyotagai intaani irominqyaashivaityaari caari cantatsine iriyotagai intaani inintacaashivaitashityaari irominqyeeteri.
26-01	Maaroni ocaratzi jiyotaayetziriri átziri, eero jovashaantanaquero, eequero riyaatacaanaquityeero ijevatacaayetanaquero irantayetanaquero ocaratzi jiyoyetanairi. Ontzimatye eejatzi iriyotagaiteri tsica opaita ocovaperotantari eero jomperanavaitaitaari atziripayeeni. Ontzimatye eejatzi iriyotagaiteri tsica incantya iraacameethatantayetyaariri pashinesatzi atziri poñaayetachari pashinequi nampitsi, o caaririca ishenincapayeeni eejatzi ari inquemitaayeteri atziripayeeni icaratzi ovashiñaashiyetarori joshiretari Pava. Ocovaperotatya iriyoyete atziri, tsica incantero iraapatziyantyaariri pashine eero jathavashivaitantari irooqueri. Ocovaperota eej atzi tsicarica opaita j antayetziri jevaripayeeni janta "Aapatziyavacaa Poñaayetachari Nampitsipayeeni" ocanta iñaantayetaiyaarori atziripayeeni isaicayetai cameetha tecatsi maimanevaiterineri.
26-02	Tecatsi impaitya shintsiventerineri aparoni ashitaanitachari icantaiteri: "Pominqyeeri peentsite iriyotai janta", tema iriitaque yotatsine tsica janta iñiiro ocameethatzimotziri irominqyeeri.
27-00	IÑAAPINCATHAYEETERI 27.
27-00	Tecatsi thañaapithatyaarine atziri irantayetero iñeeri ishenincapayeeni jantziro ocaratzi jametayetari o tsicarica ompaitayetya ooquimoyetariri pashine. Eejatzi oquemitari iroñaaca, tzimatsirica opaita jovetsicayetaquerl iyotaneripayeeni, cameethatzimoyetaqueriri pashine, tecatsira thañeéyaarone, ontzimatye anintaiyaaro maaroni.
27-01	Tzimatsirica jovetsicaque iyotaneripayeeni omapero ocameethaquiperotaque, o tzimatsirica irosanquinataque pashine tsica ompaitya ovaqueraari, o iroorica irovetsicayetaque tsicarica ompaitayetya cameethatzimoyeterineri pashinepayeeni; cantatsi impinayeeteri ocaratzi jovetsicayetaquero irocapayeeni, te apantaro iroñaaca incove pashine atziri iraacoteri ocaratzi jovetsicaqueri pashinera, impoñaashityaaya iramatavitante incante: "Jiroca novetsicaqueri niyotashitari naaca", ompoña impinayeetaqueri oshequi quireequi quempitajaantaca iriiricami ovetsiquitayaaromi.
28-00	IÑAAPINCATHAYEETERI 28.
28-01	Tera oshinetaatsite iroñaaca irantashiyetyaaro atziri ocaratzi osanquinayetainchari jaca ocantya iraapatziyavacaantyaari. Eejatzi onquempitzitavacaanaiyaari nampitsipayeeni. Irootaque caari oshinetaantsitanta, ari ocantya imoncaraayetantaityaarori ocaratzi osanquinayetainchari iroñaaca jaca iñaapincathayeeteri, ari ocantya irantantayeetyaarori tsicarica otzimi shinetaantsitatsiri irantaitero irojatzi iñaantayetyaarori isaicai cameetha tecatsi omperanavaityaarine.
29-00	IÑAAPINCATHAYEETERI 29.
29-00	Tzimatsira opaita imoncaraayeteri aparopayeeni atziri, aririca incove inquempiyavacaiya tsicarica inampiyetaro. Aririca imoncaraayetanairo iroca, aritaque oncantaque ijevatacaayetero irantayetanairi.
