00-00	TOTIHITAWË THAMOTIMA THE Ã
02-01	Kõmi thë pë ihami totihitawë thamotima thë kuprawë , thë ã rë maiha thë pë përiprawë, wã katehano thëni thë wãhã no wayoano, suwë, wãro, pei kahi, thë pë rë reahumouwẽĩ, napë thë ã, no matohipi, no preaarewë, thë pë rë kepronowẽĩ hami, ai thë pë sho, shomi urihitheri himayõumahẽĩ.
02-02	Kõmi thë pë ihami totihitawë thamotima thë kuprawë , thë ã rë maiha thë pë përiprawë, ma kui ai thë pëni thë pë urihipi rëpoumakuhei thë pë riã përio toprao he yatio.
03-00	Hetipëtëwë 3
03-01	Yãmi kõmi thë pë ihami totihitawë thamotima thë kuprawë thë pë rë përiaiwei thë pë kuprawë, ai thë ã rëamai, peheti thë pë rë përiaiwei.
04-00	Hetipëtëwë 4
04-01	Ai thë pë iha horemou wamaki no ohotamopi mai, horemou ohotamomamotima thë thamai puhiomi he parohowë.
05-00	Hetipëtëwë 5
05-01	Thë pë shëmou taomi, thë pë wãhã kãi wãrĩhĩthomamou taomi, thë pë shëmou wãrĩtiai taomi.
06-00	Hetipëtëwë 6
06-01	Thë pë përiprawë rë piyëkëi thë pë ihami totihitawë thamotima thë kuprawë, thë pë nohi riã hatukëmopou piyëkou.
07-00	Hetipëtëwë 7
07-01	Wã nosie huamotima a hami, komi hititiwë thë pë he usukuwë, thë pë nohi kãi thapou piyëkou. Hei wã katehano thë rë kui thëni, hititiwë wã nosie huamatima ani wãrĩhĩtho thamotima thë hami, thë pë he komi rupou piyëkou; wãrĩhĩto thamotima thë hami thë pë no yuo maõpë.
08-00	Hetipëtëwë 8
08-01	Komi hititiwë thë pë rë kui, thë pë payeriopë nohi thaporewë pata pëni, pë nohi rẽ hatukëawei kama urihithëri thë pëni , totihitawë thamotima thë wãrĩhĩtho thai maõpehe.
09-00	Hetipëtëwë 9
09-01	Enaha pëtawë thë pë huëamou taomi, thë pë kãi õkamopou taomi ai thë urihi hami thë pë shimamou ayao taomi.
10-00	Hetipëtëwë 10
10-01	Komi hititiwë thë pë ihami, totihitawë thamotima thë kuprawë, thë pë he pruka usukuwë, nohi thaporewë pata pë mithari hami, thë a riã hai thë a riã ha hĩrĩãmoni thë rë thanowẽĩ thë hami thë wãhã no wëyëihe tëhë, thë no ã he riã ha ruoni.
11-00	Hetipëtëwë 11
11-01	Hititiwë thë pë rë kui thë pëni ai thë ma thamonomai thë pë wãhãno wëyëihe tëhë thë pehetiaprai haia maheĩha thë shurukuamou haio taomi. Nohi thaporewë pata pëni thë pehetiaprai haia maheĩha pë noa napëmou taomi.
11-02	Thë pë wãhãno wëyëyono ma mai, thë pë wãhãno wëyëyou, enaha thë thamou taomi. Hapa hote wãrĩtĩwë thë ani hei tëhë thë wãrĩtĩwë he parohowë thë thamou taomi.
12-00	Hetipëtëwë 12
12-01	Ai thë puhi pëtouha ayaroni , thë pë yahipi hami, thë he haprou ayou taomi, therihë pë ihami kãi, õniõni a shimaihe tëhë thë kãi mii pario ayao taomihe, komi thë pë mithari ha wa thë wãhãno wëyëi ayao taomi. Ĩhĩ thë pë hami totihitawë thamotima thë rë kui wã nosie huamotima thëni thë pë nohi thapou piyëkou.
13-00	Hetipëtëwë 13
13-01	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë, ai thë ã rëamaihã thë pë riã huu piyëkou, wa thë nohi rë përipouwei thë urihi ha thë pë kãi riã shaponomou.
13-02	Hititiwë thë pë ihami totitihitawë thamotima thë kuprawë ĩhĩ thë no ãhã thë pë rë përihiwë rë piyëkëi thë pë urihipi hami, thë pë kãi riã huu, thë pë urihipi nohi kãi rë përiprai, thë pë urihipi nohi kãi riã kõõ mi yapao.
14-00	Hetipëtëwë 14
14-01	Ai thë yapëkamahe tëhë, kõmi hititiwë thë pë ihami totihitawë thamotima thë kuprawë thë pë rë hithëpraamaiwẽĩ a urihi ha, ĩhĩ ã hã thë pë ã riã toprao, shomi thë pë urihipi hami kãi.
14-02	Hei a hami totihitawë thamotima thë rë kui thë wãhã pomou taomi thë kãi puhipramou taomi, wã nosie huamotima nohi thaporewë pëni thë pë huëmamaihẽ tëhë peheti kõmi yapëkamotima thë pë hami pei thë hapa rë hupëtarenowẽheĩ thë pëni kãi.
15-00	Hetipëtëwë 15
15-01	Hititiwë thë pë ihami totitihitawë thamotima thë kuprawë, kama urihi theri thë pë wãhã hirou katitou.
15-02	Thë puhi pëtouha ayaroni kama urihitheri thë rë kui thë mapramai ayao taomi, totihitawë thamotima thëni hawë kama e thë wãhã riã hiroprou kuo.
16-00	Hetipëtëwë 16
16-01	Wãrõ, suwë pë sho, kama huya thë pë riã rẽ toayouwei hami totihitawë thamotima thë kuprawë ai thë ã rëo taomi. Ai thë ã rëamaihã suwë , wãro pë sho thë pë riã toayou, kama theri thë pë wãhã hirou, reahumotima kama urihithëri, ĩhĩ thë pëni totihitawë thamotima thë hami thë pë ã rëo taomi, kama thë pë mashi riã kuprou. Shoati totihitawë thamotima thë ha thë pë ã riã toprao, thë pë toayou pario tëhë, thë pë ã toprao rë kuonowẽĩ naha, thë ã riã toprao kuo shoao.
16-02	Kama këkipi rë puhiyouwei, peheti këkipi riã toayou.
16-03	Kama thë pë mashi shĩroni pë shapono praukamaihẽ ĩhĩ thë no ãhã totihitawë thamotima thë rë kui, kama urihitheri thëni thë nohi thapouhe, kama thë pë shaponopi kãini.
17-00	Hetipëtëwë 17
17-01	Hititiwë thë pë rë kui thë pë matohipi riã kuo, totihitawë thamotima thë ha, thë pë rë perihii hami kama thë pë urihipi riã rii kuomopotayou.
17-02	Pei thë puhi pëtouha ayaroni thë pë matohipi riã rëmaimihe thë pë rë perihii hami urihi ã kãi rëmai taomihe.
18-00	Hetipëtëwë 18
18-01	Hititiwë thë pë rë kui ai thë ã rëamaihã totihitawë thamotima thë ha thë pë puhi tao kãi riã përio, reahumotima thë hami, thë pë puhi katehewëha; totihitawë thamotima thë ha thë ã kãi koyokoa reahumotima wa thë riã rë hemihipraiwei, ai thë ã rëamaihã thë riã owëmamou komi thë pë mithari ha thë kãi riã owëmaihe, thë pë hirayou tëhë, thë pë owëmayõũ tëhë, peheti thë ã huamou sharirou ha.
19-00	Hetipëtëwë 19
19-01	Ai thë ã rëamaihã hititiwë thë pë rë kui yãmi thë pë puhi riã piyëkou, thë wãhãno riã rë wayoaiwehei; ĩhã thë ã kãi koyokoa thë ã hai tëhë thë ã nohi wãrimopou taomi, ma kui yaniki thë riã wãrimou kuaahërii, thë ã ríã opisi tëamou kuaaherii, thë ã riã wëyëmou piyëkou wãnoshimamotima thë pë hami.
20-00	Hetipëtëwë 20
20-01	Hititiwë thë pë ihami totihitawe thamotima thë kuprawë ai thë ã rëamaihã thë pë ã riã wayou kãi yototai thë pë riã rë thaiwehei thë pë wãhãno wayoaihe ha.
20-02	Ai thëni yototamotima thë hami thë shimai ayao taomi.
21-00	Hetipëtëwë 21
21-01	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë patamorẽwẽ thë pë rë kui thë pë ã wayou kãi riã roaai narẽõ kama peni a pata rë thanowẽhẽi pë mithari ha kãi.
21-02	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë kama thë pë rë përiprai hami thë ohotepi rë shatiprai, thë pë riã ohotamou toaai.
21-03	Patamorẽwẽ thë pë rë kui, thë pë shaponopi kãi rë përiowei thë pë iha thë pë patamou. Ei thë rë kui thë pë shaponopi kãi rë përiowei thë peni thë pë wãhãno ha wayoaheni thë yaiaprai shoaohe yaiamotima thë kuo tëhë thë pë yaiamou hãthõõ.
22-00	Hetipëtëwë 22
22-01	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë kama thë pë rë përiprai hami pata thë pëni thë pë nohi kãi hatukepopehe, ai urihitheri thë pë patani thë pë nohi kãi hatukëpopehë, thë pë puhi topramapopehe, ĩhĩ thë nohi yaimopou thë pë puhi wetinahamou maõpë, peheti thë pë përihopë.
23-00	Hetipëtëwë 23
23-01	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë, thë pë urihipi riã hupëo, ai thë ã rëamaihã thë ohote hurimopë, thë prewë thaporaheni, pata thëni ohotamorẽwẽ thë pë rë kui thë pë nohi pëyëpou thë pë ohote kuo maõ tëhë.
23-02	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë, thë pë ohotamou he usukuwë rë kurenaha thë pë no kãi kõõ he usukuopë.
23-03	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë he husukuwë thë pë no kõõ, thë pë puhi kãi owëhëo, kama pë shĩro rë kui e pë puhi kãi përio mi hetuopë e thëki peheriproimiha pë kãi rẽ përioweini ai e thëki he riã tikëai e thëki he usukuopë.
23-04	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë, sindicato thë pë riã thayou, thë pëhe rumopopë.
24-00	Hetipëtëwë 24
24-01	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë, thë pë washimi horuu yãnikio pariopë, thë pë riã huu toatarou, toprao thë pë kãi rẽ ohotamonowẽĩ thë no kãi ríã kõãmamou thë ma yãnikia parirani.
25-00	Hetipëtëwë 25
25-01	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë, thë pë riã përio toprao kama theri thë pë shĩro sho, nii pë hami, yahi pë sho, thë pë kãi temio topraopë, thë pë kãi titihopë , thë pë nohi kãi rẽ yaimopouwei thë pë sho. Enaha hititiwë thë pë pehi totihitawë thamotima thë ha thë kua thë pë rë ohotamoumai, pë rë shawarapiwei, thë pë no rë huwëmai, thë pë he rë paharaprai, thë pë rë wãrõ rẽ patai, thë pë suwe kãi rẽ patai, ai thë pë wãrĩtiwe kãini thë pë pehetipopehe.
25-02	Suwë shipënapi thë pë rë kui, ihiru, marãnapi, suwëhëri marãnapi thë pë komi sho, totihitawë thamotima thëni, thë pë nohi thamopou topraopë. Hititiwë ihiru hĩĩpi kua pë rë keprouwei, pë hĩĩpi ma kua mai pë kãi rẽ keprouwei, totihitawë thamotima thë kuprawë peheti pë nohi kãi thaprawë.
26-00	Hetipëtëwë26
26-01	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë, thë pë kãi hirayopë. Hiramotima thë pë rë kui, nomraiha thë pë hiramou pariopë. Hiramou pariotima thë hami thë pë ihirupi shimio he parohoopë. Hiramou pariotima thë nohã hami ĩha hititiwë thë pë õnimou taai he parohoopë; õnimou pata thë rë kui hititiwë thë pë pehi ma kui thë pë puhi moyãwei rë thë pë pehi shĩro kuopë.
26-02	Hiramotima pë hami, puhi tao thë pë kupropë ĩhĩ thë no ãhã totihitawë thamotima thë pë nohi asipopehe ai the ã rëamai thë sho; thë pë rë përiprawë piyëkëi thë pëni, thë pë nohi kãi rë yaipouwehei thë pë hami, thë pë no ĩhĩpipopehe, thë pë kãi puhipoyopë, O.N.U. thëni thë thamai rë puhiiwei thë ã riã praukamai ha piyëkoni, thë pë ã riã topramapou ha totihioni.
26-03	Pë nĩĩ, pë hĩĩ thë pëni e thë hiramai shi rë topraowehei e thë hiramai puhipehe.
27-00	Hetipëtëwë 27
27-01	Komi hititiwë thë pë ihami totihitawë thamotima thë kuprawë, thë pë rë përihii thë pëni thë pë rë tai rë piyëkouwehei thë pë hami ai thë ã rëamaihã, thë pë no riã taayou, thë pë a kãi riã toprao, matohi pë rë thanowẽhẽĩ pë hami, ĩhĩ thë pë matohi ha thë pë ã riã toprarou.
27-02	Hititiwë thë pë ihami totihitawë thamotima thë kuprawë , thë pë nohi thaopë, kama thë pëni thë pë rë thaiwehei thë pë hami, thë kãi rẽ õnimaiwẽhẽĩ thë pë hami, noshiharirawë thë pë kãi rẽ kopemaiwẽhẽĩ hami kãi.
28-00	Hetipëtëwë 28
28-01	Komi hititiwë thë pë ihami totihitawë thamotima thë kuprawë ai thë pëni thë ã rë thaiwehei, thë ã nosi popehe.
29-00	Hetipëtëwë 29
29-01	Komi hititiwë thë pëni ohote thë huripehe kama thë pë shaponopi hami, ĩhĩ pë shapono hami toprao thë pë parahërii.
29-02	Totihitawë thamotima thë hami thë pë rë wapëoheriiwei ai thë pë ihami totihitawë thamotima thë pë kãi kuprawë, ĩhĩ ei thëni thë nohi hatukëmapou totihitawë thamotima thë rë kui ai thë ã reamai thë sho. Mihi totihitawë thamotima thë hami peheti thë pë kuaahërii, yaiamotima thë hami thë pë rë patamou thë kuo tëhë.
29-03	Hei totihitawë thamotima thë rë kui ai thë ã kua mai thë pë sho O.N.U. thë rë kuuwei thë ã nohi wãrĩpou taomi.
30-00	Hetipëtëwë30
30-01	Thë pë rë përihouwei thë pëni, yototarewë pëni , ai yãmi thëni wa katehano thëni totihitawë thamotima thë wãhã no wëyëi ha ai thëni thë wãhã nohi taeai taomi, thë wãhã kãi hemihiprai ayao taomi.
