00-00	DAVQTAV COLPYUQ EILDOQ
02-01	Aqsol liq eildoq xil kaoq buvqdav laq e colpyuq ssolnei yoqpyuq saqnei hha lalqaol,colqa,malsaq, miqyo,doqsii,zaoljaof,zeiqziif ssolnei aqnu aqnia leil qiqjivqmaq bil, goqjal hal mol jolssaq, huvqlavq hal qa bossaq, zeiq ssol zal miaq ssolnei naoq,deivqduq meeq maqmeeq leil xil mavq qiq jivq maq bil,aqsol liq qiqqa hha bi qa.
02-02	Laolngaoq col qiq hhaq ba zaq e goqjal, maq na aq milca e zeiqziif ssolnei siqzeif maq paoq ya leil nei, maq qiq qa meil maq hha bil,goqjif jolduq jolhhal maqpaoq ya leil nei maq qiq qa meil maq hha bil, noqya milhaoq ngaqya milhaoq hameilleil paoq mov paoq maq paoq movq taq.
03-00	SAOQKAOL QIQ KAOL
03-01	Aqsol liq wuqhol,yoqpyuq ssolnei yoqjol sal e colpyuq bo.
04-00	YUVQKAOL QIQ KAOL
04-01	Jeilma ssolnei ssaqhav qiq hhaq liq maq gee; Col yaol Jeilma ssolnei ssaqhav bi gee miqnieiq, ssaqhav hhelpal pal e miqnieiq sev'lev nei alciiv liq maq bi duv.
05-00	NGAVQKAOL QIQ KAOL
05-01	Col qiq hhaq yaol liq saqjal taq jai miq,qiq hhaq yaol liq lavqmoq taq saoq miq, maq gee haoq e doqhav taq gee miq.
06-00	KUVQKAOL QIQ KAOL
06-01	Halgei milca jol e liq faqliq meiqsi e colpyuq aqsol liq hha bi ssiil.
07-00	SIIVQKAOL QIQ KAOL
07-01	Faqliq meiqsi aqsol liq qiq kov del, faqliq nei haoqleev laq e meeqduq aqsolliqqiq kov dei,qiq qa liq maq bi hu nil. Haoqleev meeqduq aqsol liq qiq kov dei nei hha,xil meil e ngaoq,eildoq xil kaoq lo'qo maq ngeel meil hu nil lal e miqnieniq nei zaolkyuq lal zelq ya leil maq guv sso.
08-00	XIEIVQKAOL QIQ KAOL
08-01	Xieiffaq ssolnei faqliq lo'qo bivq laq e zaoma nei colpyuq maq jav meil zaolkyuq lal tyul taq, aqsol liq hoqhhyu zaq qivq e goqjal faqtiq yaol dal alnei,zaolkyuq laq e qiq pyu yaol meeqzav nei haoqleev qivq.
09-00	HHYUQKAOL QIO KAOL
09-01	Qiq hhaq liq qiq meil leil maq bi nieivq teiq,maq bi nieivq tao, maqbi leiqzei.
10-00	CEILKAOQ QIQ KAOL
10-01	Miavpyuq heq nil maq ceil lal,aqnu hhaqhav maq lavsiv laq meil e faqltiq yaol dal alnei,aqsol liq saqnei qiq kov dei laq meil meiqzaq bu'loq nei,loqleil nei ceilsoq qivq,xilmeil e ngaoq, aqyoq e meeqduq ssolnei meeqhhaq lo'qo,aqyoq hultav eilduv laq e miaoqzyul meiqzaq ceilsoq qivq.
11-00	CEILTTVQ QIQ KAOL
11-01	Siqsiif miaoqzyul zuv nga lell ellcuvq sso e col,alkaq pil e hholqel guqwuq bo e yildyw maq luv ssolnei faqliq lo'qo meil zyul zuv nga leil maq celloq e miqteil,zyul maq zuv leil e colpyuq bo.
11-02	Col hal qiq col miqnieiq hal qiq qa duv mal maq duv liq, miaoqgal ceilloq e yil taq,goqjal yo'liq ssolnei goqjif yo'liq lo'qo siqsiif zyul maq ca e col,siqsiif zyul ca nga leil maq bi sol hhaq. Siqfaq zaol e zyul zuv tyul taq hha guq e faqliq hultav maq bi kyuq zeiq.
12-00	CEILNIQ QIQ KAOL
12-01	Col hal qiq col e yoqhhovq yoqzaol, laqhyul jolduq ssolnei yil ssol lal e soqhhaq taoldoq xil mavq, hal ngeel movq meil maq bi lav siv,aqyo miavhhaq ssolnei pyuqmiaol kyuq li laq meil maq hha zaol. Aqsol liq faqliq bi haoqleev e colpyuq bo,xil meil ngaoq lavsiv lal zaolkyuq lal ya maq qil.
13-00	CEILSAOL QIQ KAOL
13-01	Yoqhha goqjal milhaoq hholqei,aqsol liq jolhhal pal ssolnei jolduq qo e colpyuq bo.
13-02	Yoqhha goqjal kevq meil goqjal hal mol yaol liq ssuqhhoq sso,yoqhha goqjal haltaq liq hhuvqdaol puv lal qivq.
14-00	CEILYUVQ QIQ KAOL
14-01	Maq bi hhalhhuvq movq bal nei,aqsol liq aqnu goqjal a xieivhhovq duq qoyil sso,xieiv liq xeivhhovq sso.
14-02	Zeiqziif pyu zyulgol maq ngeel meil aqnu zyul ngeeljil meil zuv,maqnasiq lieiqhoqgoq e eildoq maq nalhaq meil zaolzyul alnei nieivq lal taq,aqnu goqjal a maq xieivhhovq qivq.
15-00	CEILNGAVQ QIQ KAOL
15-01	Aqsol liq yoqhhaq e goqjiq jav nga.
15-02	Aqsol sol e goqjiq hal ngeel aqmeil maq suqzei qivq,aqnu aqya goqjiq pal ma leil maq bi pal meil liq maq kaq.
16-00	CEILKUVQ QIQ KAOL
16-01	Colhav aqsol liq miqssaq seq,sulmil yil leil bo,colqa,goqjiq ssolnei zaoljaof yulmavq yaol maq nyuq sso nga.
16-02	Ssaqmiq ssaqyo niq pyu meil xul alnei naolngaoq, yovqhhovq maq cuv qivq.
16-03	Yovqhhovq aq aoq milhaoq huvqlavq hholqei luvcuv qiq slq,baoqgeel qiq geelnga,tyulmeil nei goqjal laoq ngaldu yovqhhovq yaol haoqleev nia nga.
17-00	CEILSIIVQ QIQ KAOL
17-01	Aqsol liq yoqzeiq ssolnei tavqhoq laq e sulzeiq leil jav.
17-02	Col hal col e zeIq zal hal ngeel aqmeIl maq koq haoq.
18-00	CEILXEIVQ QIQ KAOL
18-01	Aqsol liq yoqhhaq e neenyuq leil bo, neegaol leil bo,zaoljaof halmeil hhei movqleil bo nga; Xil kaoq laoq yoqhhaq e zaoljaof halmei pal movq halmeil qeq movq leil liq kevq,aqnu yoqhhaq qalsol meillaq,maq na siq aq zaoqgao meil laq, bilduvmeil laq,xieivhhovq meil laq leil yoqhhaq na dovq.
19-00	CEILHHYUQ QIQ KAOL
19-01	Aqsol liq yoqhhaq halmeil nyuq,halmeil zaolma leil e doqmee doqzaq eilduv sso:Xil kaoq laoq hal nyuq e dyul aqnu col maq bi lavkavq leil e qeiqlif kevq nga,aqnu alka col yaol dal alnei,yoqhhaq e neenyuq dyul goqjal maq paoq colmav bi hevma bi qeq ma leil e qieiqlif liq kevq.
20-00	NIQCEIL E QIQ KAOL
20-01	Aqsol liq laolzav nei ssaoq ssolnei jol e qieiqlif jav.
20-02	Aqsol liq aqya maq xul meil xilmeil bazaq yulmeil bazaq kalleil maqbi gul.
21-00	NIQCEILTIVQ QIQ KAOL
21-01	Aqsol liq yoqhhaq buiduq meil liq hhaq,xul laq meil colceit ceilduv alneiliq hhaq laq meil,yoqhha goqjal e miqnieiq aolhaol e qieiqlif jav.
21-02	Aqsol liq slqhel dei nei yoqhhaq e goqjal e miqnieiq aol e qieiqlif jav.
21-03	Ngaldu ssaqlaol e neenyuq laoq zeiffu miqnieiq aolhhaq bi bo e daoqpeiq, daoqpeiq xil peiq laoq naomeeq ceil laq meil dalja gulssaoq taoqngaoq bi peiq,dalja neema dei nei teqpiaof teq alnei hha gee.
22-00	NIQCEILNIQ QIQ KAOL
22-01	Ngaldu aqsol liq aoq milhaoq huvqlaq alka col qiq col ngeel,aqsol liq seifhyufbaozaf hha jav,aqsol liq yoqhha bal nei ziljifseiqhyuf ssolnei weiqhuaf meeniapyu meil hal guq e qieiqlif hha bi duv lal. Duv lal e xildyul laoq goqjal ssolneigoqjif hholqei zaoqgao meil hhaqhav tivq alnei pieivq lal laq e nga.
23-00	NIQCEILSAOL QIQ KAOL
23-01	Aqsol liq miqnieiq aol,xul laq meil miqnieiq qo,loqleil nei ssol za'loq hevnei miqmieiq aol e colpyuq bo, miqnieiq aolnieiq maq bi ceiv leil e laolkaol liq hha bi hhyuq siq.
23-02	Aqsol liq miqnieiq halmiav nei aol ngaoq zeiq halmiav nei hha,qaq liq maq bi hu nil hhaq.
23-03	Miqnieiq aolssaq aqsol liq saqbaol dei nei leevzav nei zeiq ssol zal hha, eilceiv alnei yoqbhaq ssolnei yoqhhaq laqhyul col e aolzaq hovqdol e galquv qiq kaol hha bi daol,daov guq ngaoq aqnu galquv e seiqhyufbaozaf hha bivq.
23-04	Aqsol liq yoqhha moeqduq bal nei, gaolhyuf seqto sso, aolzaq sso.
24-00	NIQCEILYUVQ QIQ KAOL
24-01	Aqsol liq hhaqnaq naq leil bo, lovhaqhaq leil bo, hhaqkyuq hhaqma siv nei miqnieiq yulna meil maq aol leil liq eilduvsso,pyuq bo laq meil hhaqnaq cev cev nei naq ma leil liq eilduv sso.
25-00	NIQCEILNGAVQ QIQ KAOL
25-01	Miqnieiq aolnieiq hede'le nei ceiv, nalgol nal leeq,keellavq yuvqseil maqdol, miqcyuq cyuq,byuldaoq daoq,alhuvq laqhuvq lal ssolnei miqnieiq maq aol zaqnia meil duv alngaoq,aqsol liq wuqdeiq qiq siq maq meivq sso laq meil loldal duqjav,zaqdu jolduq,peilhaoq daoduq, nalgol huduq ssolnei guq wuq bo e baollaol xilmavq saq nei aol qivq.
25-02	Ssaq bo aqma ssolnei ssaqguq yaol aqzeiq meil hha hu meeq miq. Ssaqguq leilhal ngeel e,sulmil yil laq meil deivq laq e hao maq yil meil deivq laq e hao,saqnei qiq kov dei nei hha hu meeq miq.
26-00	NIQCEILKUVQ QIQ KAOL
26-01	Aqsol liq soqhhaq zol leil taq, zolpyuq maq duv wuq bo,zolbei qiq taq, ssolnei zaoma nei zolpieiv hholqei zol e yil taq,zolpyuq taq salmiq. Aolzaq hovqdol ssolnei miaoq'aol yo'liq zolduq dyu nei zaol taq movq. Zaoma nei zolpieiv hultav dav, li zolduq,zoldav nia e col qiq kov dei nei hha bi zol.
26-02	Soqhhaq meiq e ngaoq col e neema bi gaol lal movq balnei meiq e nga,goqjalkalla,colqa kalla ssolnei aqpyuq bavqhel e colba kalla,gaq ssol hhyul bi meeqlal movq,col ssolnei col alka maq bi deiqzaq, maq bi eilzzaq movq balnei soqhhaq meiq
26-03	Miqyo soqhhaq hal qa bi zol leil dama na dovq.
27-00	NIQCEILSIIVQ QIQ KAOL
27-01	Aqsol liq huvqlavq hholqei e soqdo yo'liq miqnieiq ba zaq sso,hhyuq jivq ceil qa e zaqlul zaqqul taolli sso,soqdo yolkol ssolnei yolkol nei aol duv laq e saqhel liq tovzavq sso.
27-02	Yoqdu hhaq nei aolduv laq e zeiq ssol zal,aqya maqbi koqmeil haoqleev sso.
28-00	NIQCEILXEFVQ QIQ KAOL
28-01	Huvqlavq ssolnei aoq milhaoq e alciivq allo galquv qiq qa lo'qo meil,eildoq xil kaoq a dav e colpyuq ssolnei yoqjol yoqpyuq pyuq qivq.
29-00	NIQCEILHHYUQ QIQ KAOL
29-01	Aqsol liq huvqlavq bal nei hhaq duv movq,huvqlavq yaol maq dal meil yoqhha jivjol maq aol qiv,qhuvqlavq yaol maq dal meil,col e colpyuq qiq gal nei maq pyuq lal qivq.
29-02	Yoqhhaq e colpyuq ssolnei yoqjol yoqpyuq bi pyuq lal e taq,faqliq galma loqo laolkaol hha laol,xilmeil laol e ngaoq aqnu col e pyuqlul liq bi jav movq balnei laol e nga,yoq pyuq ngaoq sul pyuq,sul pyuq ngaoq yoq pyuq,halpyu liq saqmal bi dei lal movq taoqngaoq,colpyuq baollaol xilmeil aol e nga.
29-03	Colpyuq ssolnei yoqpyuq aol e,halmeil leil e qiq quv hev liq,lieiqhoqgoq e eildoq yaol naqleiq maq leiq haoq,lieiqhoqgoq e eildoq lo'qo hha aol.
30-00	SAOQCEILKAOL E QIQ KAOL
30-01	Eildoq xil kaoq meeqzav zol,goljal,colba ssolnei colhhaq,hal qa leil maq bil,eildoq xil kaoq e doqkaol qiq kaol liq maq bi lav siv.
