00-00	اعلامیه جهانی حقوق بشر
26-02	آموزش و پرورش باید طوری هدایت شود که شخصیت انسانی هر کس را بحد اکمل رشد آن برساند و احترام حقوق و آزادی‌های بشر را تقویت کند. آموزش و پرورش باید حسن تفاهم، گذشت و احترام عقاید مخالف و دوستی بین تمام ملل و جمعیتهای نژادی یا مذهبی و همچنین توسعه فعالیتهای ملل متحد را در راه حفظ صلح تسهیل نماید.
26-03	پدر و مادر در انتخاب نوع آموزش و پرورش فرزندان خود نسبت بدیگران اولویت دارند.
27-00	مادهٔ بیست و هفتم
27-01	هر کس حق دارد آزادانه در زندگی فرهنگی اجتماعی شرکت کند، از فنون و هنرها متمتع گردد و در پیشرفت علمی و فوائد آن سهیم باشد.
27-02	هر کس حق دارد از حمایت منافع معنوی و مادی آثار علمی، فرهنگی یا هنری خود برخوردار شود.
28-00	مادهٔ بیست و هشتم
28-01	هر کس حق دارد برقراری نظمی را بخواهد که از لحاظ اجتماعی و بین‌المللی حقوق و آزادی‌هائی را که در این اعلامیه ذکر گردیده است تأمین کند و آنها را بمورد عمل بگذارد.
29-00	مادهٔ بیست و نهم
29-01	هر کس در مقابل آن جامعه‌ای وظیفه دارد که رشد آزاد و کامل شخصیت او را میسر سازد.
29-02	هر کس در اجرای حقوق و استفاده از آزادیهای خود فقط تابع محدودیتهائیست که بوسیلهٔ قانون منحصراً بمنظور تأمین شناسائی و مراعات حقوق و آزادیهای دیگران و برای رعایت مقتضیات صحیح اخلاقی و نظم عمومی و رفاه همگانی در شرایط یک جامعه دموکراتیک وضع گردیده است.
29-03	این حقوق و آزادیها در هیچ موردی نمی‌تواند بر خلاف مقاصد و اصول ملل متحد اجرا گردد.
30-00	مادهٔ سی‌ام
30-01	هیچیک از مقررات اعلامیه حاضر نباید طوری تفسیر شود که متضمن حقی برای دولتی یا جمعیتی یا فردی باشد که بموجب آن بتوانند هر یک از حقوق و آزادیهای مندرج در این اعلامیه را از بین ببرند و یا در آن راه فعالیتی بنماید.
