00-00	ALIMA NUNG ALIR MEIMCHIR AJAK ATEMA KASA TEMETEN SANGDONG
04-00	Ocet 4
04-01	Nisung shinga alar mekümdaktsütsü mesüra alar tia nung mayutsü, yamala mapa ajak nungi nisung ajak kümzüka alitsü.
05-00	Ocet 5
05-01	Nisung shinga memerenshidaktsütsü, msüra yamala talenba kübok mayutsü.
06-00	Ocet 6
06-01	Tesem ajaklen nisung ajak ozüng tsüngdang temeten kar.
07-00	Ocet 7
07-01	Nisung ajak ozüng tsüngdang kasa temeten akaba dang masü, kasa ozüng jagi ajak sakusa kümzüka lir. Iba Telemtetba ya anema shingaia shinga anema meinyaktsüla, mesüra kati ka mezüngmeshi masütsüla.
08-00	Ocet 8
08-01	Ozüng ajanga temeten agüja akaba tashi kübok nisung shia ozüng amshir tsüngdang temzüngi melaba ama pei temeten ashitsü akok.
09-00	Ocet 9
09-01	Tashiyim amshia shingaia shinga aputsü makok, mesüra bendang limai yoktsü makok.
10-00	Ocet 10
10-01	Tim masüba maparen atema kari nisung ka temeten anema mesüra tejak ajia tim masüba mapa inyakra, ozüng meteter tsüngdang pei temeten rateta ashitsü melaa lir.
11-00	Ocet 11
11-01	Ozüng anema aibelenogo ta shia nüburtem matsüngdang sangdongra,ozüng meteter kar teyari agia pei temeten indang rateta mashi tashi nisung shinga merenshitsü makok
11-02	Kin ka mesüra alima ajak kasa ozüng nung memeteti aibelenba mesüra meinyakba atema shinga merenshitsü makok. Mesüra yamala atema khen merenshir lira, iba dang temaba temerenshi agütsütsü makok.
12-00	Ocet 12
12-01	Kija taküm, kibong mesüra kinunger kisüng atema, mesüra nisung pei kija atema kari tenüng menükdaktsütsü makok.Nisung ajak yamala mapa tamajung anema kümzüktsü iba ozüng dak tashi lir.
13-00	Ocet 13
13-01	Nisung shia pei litsü aser artsü meküta senzütsü temeten kar.
13-02	Nisung shia pei linük toktsür bendang limai aotsü, aser pei meyong bushia arutsü temeten kar.
14-00	Ocet 14
14-01	Rishikangshi nungi jembutsü atema bendang lima jenoka alitsü nisung ajak temeten kar.
14-02	Iba tashiji rishikangshiba mesüra kin ka anema inyakba melira United Nations telemtetba anema amshitsü makok.
15-00	Ocet 15
15-01	Nisung shia kin ka senso asütsü temeten kar.
15-02	Nisung ka kin ka sensoji shingaia noktangtsü makok, mesüra senso melentsü atema tenokdangba kecha malitsüla.
16-00	Ocet 16
16-01	Teintet tetsür aser teburtem atema kibong akümtsü tenokdangba kecha makai, tamangba yimsü süaka, sentsü balala süaka tebendang makai kibong küma alitsü. Parnokji temeten kasa kibong akümtsü aser pilatsü akok.
16-02	Temulunger tsüngda tenokdangba kecha makai parnok kibong akümtsüla.
16-03	Kibongji lokti nung mezüngbuba tentetbaji lir, anungji ibaipei kini kümzüka ayutsüla.
17-00	Ocet 17
17-01	Rongsen madak kija dak tashi alitsü, aser ano lokti dena kasa lemsateptsü temeten alitsü.
17-02	Pi rongsen madak shingaia tashiyim agi teka amuoktsü makok.
18-00	Ocet 18
18-01	Tamangba yimsü atema nisung shia pei pei amangnüba yimsü dak amangtsü, mesüra melenshia amangtsü akok, ibai lokti nung mesüra kija taküm nung pei jurila temeten kübok amangtsü aser külemtsü akok.
19-00	Ocet 19
19-01	Nisung shia kechi jembinür tenokdangba kecha makai jembitsü akok. Idaki tebilemba mejangjungtepi lemsateptsü, osangtem agizüktsü aser agütsütsü tashi alitsü.
20-00	Ocet 20
20-01	Nisung ajak lokti senden mesüra mungdang nung tenokdangba makai adentsü.
20-02	Tashiyim agi shingaia telok ka nung züngsem kümdaktsütsü makok.
21-00	Ocet 21
21-01	Pei lima sorkar mapa nung pei sasa mesüra lokti kar tenüng nung inyaktsü nisung ajak kasa tim shilem kar.
21-02	Pei lima public mapa ajak nung inyaktsü nisung ajak temeten kar.
21-03	Nüburtemi mulungtetbaji government bangdak asütsü. Ibaji indangindanga shimba mesüra nüburtemi meyongnem ajanga shimtetbaji alitsü.
22-00	Ocet 22
22-01	Nisung shia pei state nung rongsenketsüng, loktiliba aser sobaliba kümzüka alitsü atema pei litsü nung aser pei litsü atena or aliba lokti ajak nung kija nüjiso tentet ajak den kasa temeten alitsü.
23-00	Ocet 23
23-01	Nisung ajak pei mulungba ama mapa inyaktsü, aser mapa makartem nem tapet mapa agütsütsü atema wazüka ayutsü.
23-02	Kasa mapa inyakba atema tah nung kecha telemdang makai kasa agütsütsüla.
23-03	Nisung shia pei sasa aahzüka ayuba nungi pei taküm aser kibong atema tim tangutsü aliba ajak angutsüla, nüngdaakra itemji loktiliba temzüng ozüng kübok wazüka ayutsüla.
23-04	Pei sasa mulungtetba kümzüka ayutsü atema mapa inyaker lokti tentet nung nisung ajak adentsü akok.
24-00	Ocet 24
24-01	Nisung shia pei tenzükba mapa nungi anizüngsük agitsü, mesüra mapa nungi sodi mapang telemtet kaa agitsü akok, saka aahzüka aliba nungi itasen agütsütsüla.
25-00	Ocet 25
25-01	Nisung shia pei taküm aser kibong nung alirtem temang atema mozü, aben süoshi, chiyungtsü peria akatsü temeten kar, itemji lokti tentet latet kübok, mapa mangurtem, shirang timtem, matamabensartem, amitsür, aser tain akümer atema wazüka aser peria agütsütsü aser angutsü temeten kar.
25-02	Tanur asor tetsü aser tila tanurtem balaka anebalutsü temeten kar. Kibong kümer asoba süaka kita chirtem süaka kasa temeten kar.
26-00	Ocet 26
26-01	Nisung ajak kaketshisatsü angazüktsü temeten kar. Class tila nung azüngtsü atemabo kaketshisatsüji angadi angazükdaktsütsüla. Pei tenüng zülu meteta kümdaktsütsübaji ozüngsa angazükdaktsütsüla. Technical mesüra temeba jenjang nung kaketshisatsü bushitsübaji ajak atema tajungtiba jenjang ajangzüka alirtem nungi tenzüka bushitsü akok.
26-02	Kaket shisatsü sayuba nükjidongji nisung ka pei tim tangazüktsü kechi ali, item ajakji peria angazükdaktsütsübaji lir. Ibai ajanga kin kidong, shilu balala, yimsü balala amangertem rongnung teputep aser yimjung adokdaktsütsü United Nations nükjidong lir.
26-03	Pei chir nem koba lenmang nung tangazükba agütsütsü aji tsürabur atema tongtibang mapa lir.
27-00	Ocet 27
27-01	Kin ka pei sobaliba dak sendakba maparen nung shilem agitsü, puyin ajanga alima terenlok bener arutsüba nungji nisung ajak temeten lir.
27-02	Pei sasa apiteta yangluba, züluba mesüra mejemba, koba nung kija tashi mekazüka kar, item atema tezülur temeten kar.
28-00	Ocet 28
28-01	Iba telemtetba Sangdong nung kechi tashi aser temeten melaa ali, iba kübok sadoka alitsü nisung ajak kasa temeten kar.
29-00	Ocet 29
29-01	Nisung shia pei aliba lokti terenlok atema teinyaktsü kar, kechiaser iba loktiji ajanga dang pei taküm renloktsü akok.
29-02	Pei temeten aser nüji yamaji liaka lokti teimbai mulungba nung nübur yimtenji aor asünung, iba lokti tentet yimsüyimbongi melaba ama item temeten wazüka aser akhümtsübua alitsüla.
29-03	Item temeten aser nüji ya United Nations ajanga lateta aliba den mesütepi meinyaktsüla.
30-00	Ocet 30
30-01	Iba Sangdong ya State mesüra, lokti, mesüra kija shingaia pei ajung asaa meratettsüla, kechiaser iba Sangdong ya ajak atema kasa temeten aser nüji asoshi nükla tajung yur lateta ayuba lir.
