00-00	Упкатңи  илэл  Буга̄ду бидерӣтын
16-00	Дян дяпкун анңанӣлва иста, тэдэт асӣчӣ, эдычӣ о̄мачир.
16-01	Бэе асӣ̄чӣ, асӣ  – эдычӣ, аяралдына мэ̄н мэ̄нми, о̄мачир.
16-02	Дю̄ган – общество ячейкан, государство тарива дысучимачин.
17-00	Дян нады̄ статьян
17-00	Илэтыкин идэгэви, авдуви тэдет умукин-гу, һуңтулнун-гу мэнңӣмэдемэчин.
17-01	Ңи-вэл илэдук идэгэен, авдуян  тэдэт а̄чина эвки ты̄рэ.
18-00	Дян дяпкӣ статьян
18-01	Илэтыкин дялдана, һалдяна, бугатки мургунэ тэдет бивки; тар тэденди илэ һ уңту бугатки мургунэ дюгэлдывдеңэ̄; мэ̄нэкэ̄н-гу, гелнун-гу илэлнун, делӯмнэкэ̄ н-ңу, тоңнот-ку бугатки мургумчэ̄н.
19-00	Дян егӣ статьян
19-01	Илэтыкин тэдэт мэ̄нңи дялдатчэриви, гӯннэтынми бивки; тар тэден илэду бӯ дерэн гэлэ̄ктэдеми, гадями, са̄вкандями улгуври, дялдалви авадытыкирди о̄наяди ӣду-вэл биденэ.
20-00	Дюр дя̄рӣ статьян
20-00	Илэтакин эси кусимудерилдула сугланилдула,  умунупкитылдула тэдет гиркумачин.
20-01	Ңи-вэл авады-вал умунупкиттула эңэсит эвки ӣвувра.
21-00	Дюр дяр умукэ̄гӣ статьян
21-00	Илтыкин нуңнӣтчэдэ̄ви мэ̄нңи дуннэтви тэдет о̄мачин, мэ̄нэкэ̄н-ңу, синмавчагу илэл бэлэгэ̄дин.
21-01	Илэтыкин мэ̄нңи Дуннэдуви государственнай службатки урэ̄т ӣвун бимчэ̄.
21-02	Тэгэ̄ о̄мудярӣван  – правительства эңэсӣн; тар о̄мудярӣн тэдемэмэлду сӣ нманду бакамачин; упкатңи, урэ̄тңи-да сӣнмакӣтту тэден о̄мачин тар синманду.
22-00	Дюр дяр ге̄ статьян
22-01	Илэтыкин, о̄н общества илэн, социальнай обеспечениевэ гамча̄, тарит илэ са̄рича̄ нин экономическайду, социальнайду, культурнайду-да һанилду гэлэ̄вдяри бимчэ̄. Международнай сотрудничество бэлэгэдин, государствотыкин дёкиндядин.
23-00	Дюр дяр илӣ статьян
23-00	Илэтыкин һавави тэдэт гамча̄, һава тэдемэвэ сӣнманман, тоңно, аямама итыл һава дярин, һавая а̄чиндук дысучинма бимчэ̄.
23-01	Илэтыкин урэ̄т һава дярин, урэ̄т һава таманин дярин тэдэт гамча̄.
23-02	Һавамнӣтыкин тоңноё,  һэгдые, аямая тамана тэдет гамча̄, тарит нуңанңи дюганин  аяма бини о̄мачин, һа̄вувдерилди ге̄лди тамавурди-да.
23-03	Илтыкин һавады умунупинми итывдяңамачин, мэ̄нэкэ̄н-дэ̄ таргачирдула умунипиндула мэ̄нңи дӣвэ̄ри дысучин дярин ӣвмачин.
24-00	Дюр дяр дыгӣ статьян
24-01	Илэтыкин дэрумкичэ̄нма тэдет бимчэ̄, иргэчивэ  камничивунма һавады тырганӣ я-да, тамавдяри дэрумкичэ̄нмэ-дэ̄.
25-00	Дюр дяр тунңӣ статьян
25-00	Илэтыкин таргачина биния: дебгэ̄е, тэтые, дю̄я, аитъя, һуңтуе-дэ̄ аяя тэдет бимчэ̄, экудыл илэду, нуңанңи дю̄ганду-да̄ гэлэ̄вдери. Окин илэ һавая а̄чин о̄дян, энӯлдян, асӣя-гу, эды̄я-гу сокордён, сагдандян, һуңту эрӯ-гу о̄дян, тэ̄ли илэ тэдет дысутчэмэчин.
25-01	Энин бинэ, куңака̄н бинэ тэдет бэлэнэ гэлэ̄дерэ. Упкат куңака̄р, амӣчӣ бинэл, амӣна а̄чир бинэл, социальнай дысучина бимчэл.
26-00	Дюр дяр нюңӣ статьян
26-00	Илэтыкин татыга̄на тэдет гамча. Татыга̄н тамана а̄чин бимчэ̄ – нонопты, дулугу. Нонопты татыга̄н упкатту о̄̄ңат. Техническайды, профессиональнайды тамага̄н упкатту иеэлду ӣвун бимчэ̄, һэгдытку татыга̄н-да савка илэлду.
26-01	Илэду татыган һэгдые, са̄рича̄нэ будерэн; тылинэ, маңӣчана, аяралдына-да̄ авадытыкир  тэгэ̄л  сигдылэ̄дутын.  Татыган  Объединеннаил  Нация Организациядутын аяралдыл дярин  тэдет бэлэгэ̄мэчин.
26-02	Амтыл мэ̄нңи һутэлду татыганматын синмами тэдет бэлэмэчир.
27-00	Дюр дяр нады̄ статьян
27-00	Илэтыкин культурнай биниду бисимэчин, искусствово аявдяна, научнай прогрессту участвойдяна, таридук аяя гадяна.
27-01	Илэтыкин мэ̄нңи научнай-гу, литературнай-гу, художественнай-гу һавави тэдет дысумачин.
28-00	Дюр дяр дяпкӣ статьян
28-01	Илэтыкин социальнай, международнай-да итылва тэдет бимчэ̄, туги о̄дяна илэ тэден, ты̄нмукитын эр Декларация дукувнал о̄мачир.
29-00	Дюр дяр егӣ статьян
29-00	Илтыкин о̄мачинди общество дярин бисин, эмаду нуңан аямамат һэгдындерэн.
29-01	Илэ тэден, ты̄нмукитын тэ̄ли, камнӣчивдяңа о̄кин һуңту илэл тэдетын, ты̄ нмукитын, итыду дукувнал, болгитчамэчин.
29-02	Эр илэ тэден, ты̄нмукитын о̄мачир Объединеннай Нациял Организациятын эдеңэ̄тын һускӣ гӯндеми.
30-00	Илан дяри статьян
30-01	Экун-мал эр Декларацияду эвки эсин тэдет таңивра, дялданэ – он эмаду-вал государстводу, умукэн-ну илэду һавалми-гу, оми-гу таргачир омачилва, эмал илэл тэделвэтын, тынмукилвэтын ачинңими, эр Декларация дукувналватын.
