00-00	JUNKUNAL BITSOWTSIK
02-02	Aniil yab neka pilmeedhaaj k'al an chu'uxtalaab max ts'itsik an bitsow.
03-00	Artículo 3
03-01	Ejtal an iniktsik yajat ka kw'ajay alwa' kweteem ani abal ka chu'chuumte putaal tin iniktal.
04-00	Artículo 4
04-01	Yan xita yajat ka t'ojondhaaj anik'ij, an t'ojondhaxtalaab anik'ij walbidh max ka t'ajan.
05-00	Artículo 5
05-01	Yab xita' yajat ka cha'wat ani ka t'ajtsin xanti yab in tomnaal.
06-00	Articulo 6
06-01	Ejtal an iniktsik, putaalk'ij in ko'ol in chaap k'al an chu'uxtalaab.
07-00	Artículo 7
07-01	Ejtal wawaa' jayeechk'ij i jalbiil, jayeechk'ij u chu'chuumte k'al an tsubaxtalaab. Jayeechk'ij an chu'uxtalaab xi tu chu'chuum yajat ka k'ak'naaj ani yab yajat ka ch'ika't'ajan.
08-00	Artículo 8
08-01	Ejtal an iniktsik yajat ka pidhan ti chaplaab ban awiltalaab, abal ka lo'wat tam u k'axtsinal tin k'ak'nabiil xi uludh ban uw chu'uxtalaab.
09-00	Artículo 9
09-01	Yab xita' yajat ka yakw'an ani ka wik'an anik'ij.
10-00	Artículo 10
10-01	Ejtal an iniktsik in k'ool in chu'uxtal jayeechk'ij, yajat ka ach'an k'al an bitsow ani k'al i tsubaxtalaab ban awiltalaab abal ka chu' tat xanti kw'ajat abal ka utsan xanti kw'ajat abal kin kw'ajaba' ani ka pidham xin yeentsal ani abal ka cho'oobnaaj max tsubax ti olnadh.
11-00	Artículo 11
11-00	Ejtal an iniktsik xi oolnadh in walaam in ko'ol i lo'oxtalaab abal ka utsan yab in walaam lajat u exoobnaab max in walaam, lejbadh kal an tsubaxtalaab xi k'aal ti chu'chuumte.
11-01	Yab xita' yajat ka walbiyat k'al juun i walatstalaab abal tamti walbiyat yab in walaam jelti in ulal an tsubaxtalaab xi techee' ti laabtoom ani ti chabaal. Yab neka kw'ajbantsat t'ek'at in walab tokot xi uludh tamti in wala'.
12-00	Artículo 12
12-01	Yab xita' yajat ka chu'tat tin iniktal, tin junik ani tin chakaamiltsik, ani tin k'imaa', nibal yajat ka takan. Ejtal an iniktsik in ko'ol in chaap ban tsubaxtalaab max ka takan.
13-00	Artículo 13
13-00	Ejtal an iniktsik ne'ech kin ejto ka xe'chin techee' ani abal kin kw'ajba' in k'imaa' xontik'ij techee' ti laabtoom.
13-01	Ejtal an iniktsik ne'ech kin ejto ka kalej xonti k'ij ti piil bitsow ani ka witsi tin bitsoow.
14-00	Artículo 14
14-00	Max u alyaab, ejtal an iniktsik ne'ech kin ejto kin alij abal ka lo'ey ti piil bitsow.
14-01	Jee'i tsubaxtalaab yab xanti ka ulwat k'al juun in alixtalaab max in walaam ani max abal i walatstalaab abal an junkulom bitsow.
15-00	Artículo 15
15-00	Ejtal an iniktsik yajat kin kooy juun in bitsoow.
15-01	Yab xita yajat ka wek'ontsat tin bitsoow nibal ka jalk'untsat tin bitsoow.
16-00	Artículo 16
16-00	An iniktsik ani an uxumtsik ne'ecjh kin ejto ka tomkin xita'k'ij k'aal abal kin kw'ajba' in k'imaa'ani chablom ne'eech kin ejto kin eeyna' an tsubaxtalaab k'al an tomkixtalaab, tamka tomkin ani max ka jilaaxin.
16-01	Ne'ech kin ejto ka tomkin tam kin chalpay chaab tin eeb.
16-02	An junkudh k'imaadh ja'ich na yajat abal an kw'ajiil ani yajat kin chu'chuum an bitsow, ani an pulek bitsow.
17-00	Artículo 17
17-00	Ejtal an iniktsik ne'ech kin ejto kin koo'oy xataakich kweteem ani junkulom.
17-01	Yab xita yajat ka week'ontsat tin dhabal.
18-00	Artículo 18
18-01	Ejtal an iniktsik walkadh kweteem ka chalpaxin, tin chalap ani ti belom jee' an tsubaxtalaab in junkuwal abal ka walkan kin jalk'uy belomtal ani abal kin oolna'nin belomtal kweteem ani junkunal tin yaneel ani kweteem abal kin ok'tsixna' an belomtalaab ani abal kin chu'uw.
19-00	Artículo 19
19-01	Ejtal an iniktsik walkadh abal ka chalpaxin kweteem ani ka kaawin; jee' an tsubaxtalaab in oolnaal abal yab xita' yajat ka utsan xata' abal xanti juun u chalpax, jelti max in alyal xata' ani kin bach'uw i tsubaxtalaab ani tak'ixtalaab ani abal kin buk'uw xontik'ij.
20-00	Artículo 20
20-00	Ejtal an iniktsik ne'ech kin ejto ka junkun k'al xawa'k'ij i junkuntalaab.
20-01	Yab xita yajat ka nixoknaaj abal ka kw'ajay ba juun i junkulom.
21-00	Artículo 21
21-00	Ejtal an iniktsik ne'ech kin ejto ka tolmixin k'al an awiltalaab, jajaa' ani tolmidh k'al in at k'imaadh xin exlaal.
21-01	Ejtal an iniktsik ne'ech kin ejto ka kw'ajay jayeechk'ij xawa' an punk'untsixtalaab yejat tin bitsoon.
21-02	Tin chalap an bitsow ja'ich nin akan an awiltalaab tin yaneel; jee' an chalap ne'ech ka xalk'an k'al an bijixtalaab xi ne'ech ka t'ajan ech'ek'ij k'al an chinat bijixtalaab ani k'al xawa'k'ij an bijixtalaab xin k'ak'naal an chinat bijixtalaab.
22-00	Artículo 22
22-01	Ejtal an iniktsink, tin yaneel, yajat ka chu'tat ani kin aata', k'al in chaap an bitsow ani k'al in tolmixtal an bitsowtsik ti chabaal, xi wa'ach an junkuntalaab ani k'al in tumiinal an bitsowtsik, abal ka tsubk'an k'al an yajat tumiin, junkuntalaab ani nin belomtal xi jajat abal yab ka ch'ika't'ajan ani abal kweteen ka exlaaj tin iniktal.
23-00	Artículo 23
23-00	Ejtal an iniktsik ne'ech kin ejto ka t'oojon, kin alij an t'ojlaab xin kulbetnal ani ka chu'chuumte abal yab kin k'ipdha' nin t'ojlaabil.
23-01	Ejtal an iniktsik xu t'ojnal yajat ka jalbiyat xawa kin t'aja'.
23-02	Ejtal an iniktsik yajat ka pidhan tin jalbiil jayeechk'ij abal k'ijidh ka jilk'on jajaa', in tomtal ani in chakaamiltsik, ka kw'ajay alwa' tin iniktal ani yajat ka chu'chuumte.
23-03	Ejtal an iniktsik ne'ech kin ejto kin kw'ajba' juun i junkuntalaab ani abal kin chu'chuum an tsubaxtalaab xi k'aal ti chu'chuumte.
24-00	Artículo 24
24-01	Ejtal an iniktsik ne'ech kin ejto ka koyooch, kin kulbetna' an koyooch tam yab xata' in ko'ol kin t'aja', an t'ojlaab yajat alwa'k'ij kin t'aja' ani ka pidhan juntsikiil ka koyooch.
25-00	Artículo 25
25-00	Ejtal an iniktsik pidhats ti tsubaxtalaab abal ka kw'ajay alwa', ka chu'chuumte ejtal tin eeb ani abal ka k'apuuch alwa' ka xeketlin, nin k'imaa', ka ilaaliyat ani ejtal an chu'uxtalaab xi yajat, aniil in ko'ol i tolmixtalaab tam yab wa'ach i t'ojlaab, yaw'laach, tam yab kidhat in iniktal, tam kwetmadh, tam puulekich ani xi k'e'et in k'ibaal abal ka xe'chin alwa'.
25-01	An naanlaab ani an chakam yajat ka kw'ajbantsat juun i alwa' chu'uxtalaab. Ejtal an chakamtsik xi wa'chineek ani xi yab wa'chineek k'al an tomkixtalaab jayeechk'ij yajat ka chu'tat.
26-00	Artículo 26
26-00	Ejtal an iniktsik jiladh ka exoblaach. An exoblaach yab yejat ka jalbiyat an jidhtal exoblaach ani xin jalbiil. Xin jalbiil an exoblaach yajat ka nixoknaaj. An exoblaach xi t'ek'at yajat jununuul, abal ku ochich ba juun i exoblaach t'ek'at jayechk'ij abal ejtal.
26-01	An exoblaach kw'ajbadh abal ka chalpadhmeej juun ani abal kin k'ak'na' an chu'uxtalaab xi wawaa' ani abal walkadh ku kw'ajay, ne'ech kin ulu an eexbaxtalaab, k'ak'naxtalaab ejtal an bitsowtsik ani ejtal an teenektsik ani belomtalaabtsik ani ne'ech kin buk'uw in t'ojlaabil an junkulom bitsow abal k'ijidh ku kw'ajay ani yab u peejeex.
26-02	An tanta'laabtsik jajaa' in cho'oob xawa i exoblaach ne'ech kin pdha' nin chakaamiltsik.
27-00	Artículo 27
27-00	Ejtal an iniktsik ne'ech kin ejto kin bela' tin kweteemtal an belomtalaab xin ko'ol nin kwentsaalil, kin le'na' an t'ojlaab xu t'ajnal ani ka tolmixin abal an chalpadhtalab ani abal ka pidhanjey xowa jaa' k'al ka tolmiyat.
27-01	Ejtal an iniktsik yajat ka chu'tat xawa' jaa' in chalpayal ani kin ko'ol xin jajaa' in t'ojlaabil in t'ajaam ani an dhtslab xi t'ajaam.
28-00	Artículo 28
28-01	Ejtal an iniktsik ne'ech kin ejto kin kw'ajba' juun i lujatalaab ban bitsowtsik xi putaal ti chabaal xi uludh ban junkulom bitsow ani abal ka t'ajan.
29-00	Artículo 29
29-00	Ejtal an iniktsik yajat ka tolmixin k'al an kiwentsal, taja' ne'ech kin ejto kin pudedha' tin baa'.
29-01	Tam in belaal an tsubaxtalaab ani in kulbetnaal an chu'uxtalaab, ejtal an iniktsik walkadh k'al xin ulal an tsubaxtalaab abal ka exbayat ani abal ka k'ak'naaj xi k'e'et ani abal ka chu'tat an tsubaxtalaab k'al an lujatalaab ani an alwa'talaab k'al an bitsowtsik.
29-02	Jee' an tsubaxtalaab ani an walkadhtalaab yab neka ejtowat ka eeynaaj jaluts jelti xi uludh k'al an junkulom bitsow.
30-00	Artículo 30
30-01	Ni juun xi jee uludh, ne'ech ka ulwat abal an awiltalaabtsik in ko'ol k'aal in chaap, juun inik ani juun i junkulom abal kin t'aja i t'ojlaab jaludh xi jee' uludh k'al an junkulom bitsow.
