00-00	[missing]
10-01	Elkeen het, in volle gelykheid, die reg tot ’n regverdige en openbare verhoor deur ’n onafhanklike en objektiewe tribunaal, in die bepaling van sy regte en verpligtinge en die ondersoek van enige kriminele saak teen hom.
11-00	Artikel 11
11-01	Elkeen beskuldig van ’n strafbare oortreding het die reg om as onskuldig beskou te word tot skuldig bevind volgens die wet, in ’n openbare saak waarin hy verseker is van die nodige verdediging.
11-02	Niemand sal beskuldig word van ’n strafbare oortreding as gevolg van enige daad of nalatigheid wat volgens nasionale of internasionale wet nie ’n misdaad ten tye van die pleeg daarvan was nie. ’n Swaarder straf sal ook nie opgel word as die straf wat toepaslik was ten tye van die oortreding nie.
12-00	Artikel 12
12-01	Niemand sal onderworpe wees aan arbitrêre inmenging met sy privaatheid, familie, woning of korrespondensie nie, of aan aanvalle op sy eer en reputasie nie. Elkeen het die reg tot beskerming deur die wet teen sulke inmenging of aanvalle.
13-00	Artikel 13
13-01	Elkeen het die reg tot vryheid van beweging en verblyf binne die grense van elke staat.
13-02	Elkeen het die reg om enige land te verlaat, insluitende sy eie, en na sy land terug te keer.
14-00	Artikel 14
14-01	Elkeen het die reg tot asiel in ander lande.
14-02	Daar mag nie op hierdie reg aanspraak gemaak word tydens vervolging vir nie‐politieke oortredings of dade wat strydig is met die doelwitte en beginsels van die Verenigde Volke nie.
15-00	Artikel 15
15-01	Elkeen het die reg tot burgerskap.
15-02	Niemand se burgerskap sal arbitrêr afgeneem word nie en niemand sal van die reg ontneem word om afstand te doen van burgerskap nie.
16-00	Artikel 16
16-01	Volwasse mans en vrouens, sonder enige beperking as gevolg van ras, nasionaliteit of godsdiens, het die reg om te trou en met ’n familie te begin. Hulle kan aanspraak maak op gelyke regte ten opsigte van die huwelik, tydens die huwelik en tydens ontbinding van die huwelik.
16-02	Die huwelik sal plaasvind slegs met die vrywillige en volle toestemming van die voornemende huweliksmaats.
16-03	Die familie is die natuurlike en fundamentele groepseenheid van die gemeenskap en kan aanspraak maak op beskerming deur die gemeenskap en die Staat.
17-00	Artikel 17
17-01	Elkeen het die reg om individueel en in assosiasie met ander eiendom te besit.
17-02	Niemand se eiendom sal arbitrêr afgeneem word nie.
18-00	Artikel 18
18-01	Elkeen het die reg tot vryheid van denke, gewete en godsdiens; hierdie reg sluit in die reg om van godsdiens of geloof te verander en die vryheid om, hetsy alleen of in ’n gemeenskap, hierdie godsdiens of geloof te beoefen deur verkondiging, aanbidding of heiliging.
19-00	Artikel 19
19-01	Elkeen het die reg tot vryheid van opinie en uitdrukking; hierdie reg sluit die vryheid in om opinies sonder inmenging te lug en om inligting en idees te vra, te ontvang en te deel deur middel van enige medium ten spyte van grense.
20-00	Artikel 20
20-01	Elkeen het die reg tot vryheid van vreedsame vergadering en assosiasie.
20-02	Niemand sal gedwing word om aan ’n assosiasie te behoort nie.
21-00	Artikel 21
21-01	Elkeen het die reg om aan die regering van sy land deel te neem, hetsy direk of deur vrylik verkose verteenwoordigers.
21-02	Elkeen het die reg tot gelyke toegang tot die openbare dienste in sy land.
21-03	Die wil van die mense sal die basis vorm van die owerheid of regering, en hierdie wil sal uitgedruk word deur middel van egte tussenverkiesings.
22-00	Artikel 22
22-01	Elkeen, as ’n lid van die gemeenskap, het die reg tot bestaan‐sekerheid en kan aanspraak maak op die verwesenliking van die ekonomiese, sosiale en kulturele regte wat noodsaaklik is vir sy waardigheid en die vrye ontwikkeling van sy persoonlikheid, deur middel van nasionale pogings en internasionale samewerking en volgens die organisasie en hulpbronne van elke staat.
23-00	Artikel 23
23-01	Elkeen het die reg om te werk, tot die vrye keuse van arbeid, tot regverdige en gunstige werksomstandighede en tot beskerming teen werkloosheid.
23-02	Elkeen, sonder diskriminasie, het die reg tot gelyke betaling vir gelyke werk.
23-03	Elkeen wat werk kan aanspraak maak op regverdige vergoeding wat aan hom en sy familie ’n menswaardige bestaan verseker en wat aangevul kan word deur ander vorms van sosiale sekerheid, indien nodig.
23-04	Elkeen het die reg, ter beskerming van sy belange, om vakbonde te stig en daarby aan te sluit
24-00	Artikel 24
24-01	Elkeen het die reg tot rus en vrye tyd, insluitend redelike beperkings op werksure en periodieke betaalde verlof.
25-00	Artikel 25
25-01	Elkeen het die reg tot ’n lewenspeil wat voldoende is vir gesondheid, welsyn vir homself en sy familie, insluitende kos, klere, behuising, mediese sorg en noodsaaklike bestaansekerheid, en die reg tot voordele of onderstandsgeld tydens werkloosheid, siekte, ongeskiktheid, weduweeskap, ouderdom of ’n tekort aan lewens‐middele tydens omstandighede buite sy beheer.
25-02	Moeders en kinders kan aanspraak maak op spesiale sorg en hulp. Alle kinders, hetsy binne‐ of buite‐egtelik, sal dieselfde sosiale beskerming geniet.
26-00	Artikel 26
26-01	Elkeen het die reg tot opvoeding. Opvoeding sal gratis wees, ten minste in die elementêre en fundamentele stadiums. Elementêre opvoeding sal verpligtend wees. Tegniese en professionele opvoeding sal geredelik beskikbaar wees en ho’r opvoeding sal net so geredelik op meriete beskikbaar wees.
26-02	Opvoeding sal gemik wees op die volle ontwikkeling van die menslike persoonlikheid en op die bevordering van respek vir menseregte en fundamentele vryheid. Dit sal begrip, verdraag‐saamheid en vriendskap tussen alle nasies, rasse of etniese groepe bevorder, asook die aktiwiteite van die Verenigde Volke in die handhawing van vrede.
26-03	Ouers het die reg om te kies watter tipe opvoeding hulle kinders ontvang.
27-00	Artikel 27
27-01	Almal het die reg om vrylik aan die kulturele lewe van hul gemeenskap deel te neem, om die kunste te geniet en in wetenskaplike vooruitgang en voordele te deel.
27-02	Elkeen het die reg tot die beskerming van die morele en materi’le belange wat spruit uit enige wetenskaplike, letterkundige of kunswerk deur hom geproduseer.
28-00	Artikel 28
28-01	Elkeen is geregtig op ’n sosiale en internasionale orde waarin die regte en vryhede beskryf in hierdie Verklaring ten volle verwesenlik kan word.
29-00	Artikel 29
29-01	Elkeen het verpligtinge teenoor die gemeenskap waar alleenlik die vrye en volle ontwikkeling van sy persoonlikheid moontlik is.
29-02	In die uitoefening van regte en vryhede, sal elke mens slegs onderworpe wees aan die wetlike beperkinge ingestel om deeglike erkenning en respek vir die regte en vryhede van ander te verseker en om die redelike vereistes na te kom vir sedelikheid, openbare orde en die algemene welsyn van ’n demokratiese gemeenskap.
29-03	Hierdie regte en vryhede mag in geen geval strydig met die doelwitte en beginsels van die Verenigde Volke uitgeoefen word nie.
30-00	Artikel 30
30-01	Niks in hierdie Verklaring mag interpreteer word as impliserend dat enige Staat, groep of persoon die reg het om deel te neem aan enige aktiwiteit of enige daad wat gerig is op die beskadiging van enige regte en vryhede hierin beskryf nie.
