00-00	Deklarasaun kona ba Ema tomak nia Direitu, iha mundu raiklaran
22-01	Ema hotu, hanesan rai nia oan, sei moris metin iha nia rain; bele ter hosi ukun sira atu ema hotu moris di’ak, moris hakmatek, hetan matenek, tan nasaun nia hahalok rasik, e hamutuk ho nasaun seluk, hodi halo rai ida buras.
23-00	Artigu 23
23-01	Ema tomak sei hetan serbisu ida, serbisu tuir nia hakarak, hetan di’ak hanesan ema seluk, hodi hetan tulun atu la monu ba susar tan la serbisu.
23-02	Sei selu ema ida nia kolen tuir nia serbisu.
23-03	Ema ne’e be serbisu sei simu tusan los tuir nia kolen, atu nia uma laran, nia uma kain bele moris di’ak hanesan ema, sei hetan mos tulun hosi serbisu seluk.
23-04	Ema tomak bele harí klibur hanesan sindikatu, bele tama ba sindikatu hodi hetan tulun ba nia serbisu, tuir nia hakarak.
24-00	Artigu 24
24-01	Ema tomak iha direitu atu hakmá, atu hadiuk, iha uain serbisu nia laran, tuir loron serbisu, iha tinan laran.
25-00	Artigu 25
25-01	Ema tomak iha direitu atu hetan buat ne’e be kuran hodi hetan di’ak ba isin, di’ak ba uma laran, liu-liu iha hahán, iha hatais, iha uma ida, hetan tulun hosi ospitál, e tulun seluk hosi nasaun; sei hetan tulun uaihira la serbisu, iha moras laran, faluk karik e kbahen ona, e uaihira hetan susar ba moris maski la hakarak.
25-02	Feto foin hahoris ho oan kosok sei hetan tulun oi-oin. Labarik ne’e be moris, iha uma kain e la iha uma kain ida laran, sei hetan mos tulun tomak ne’e be kuran.
26-00	Artigu 26
26-01	Naran ema ida iha direitu atu hetan matenek. Sei hetan matenek hodi la selu buat ida, iha tinan hirak ne’e be hahú eskola. Tan ema hotu sei tama iha eskola ne’e be nasaun haruka. Nasaun ida sei buka habelar mos eskola teknik ho eskola ba badaen; sei loke eskola ne’e be fo matenek boot, ema hotu-hotu bele tama iha eskola ne’e, tuir idakán nia otak.
26-02	Naran eskola ida sei halo ema sai di’ak liu hotu, habiit liu ema nia direitu, ema nia liberdade, sei lori ema simu malu ho laran, hatene perdua malu, dame malu iha nasaun ida laran, iha mundu raiklaran, tuir ida-idak nia fiar, tuir mos hahalok tomak ne’e be Nasaun sira iha O.N.U. halo atu mundu moris iha damen laran.
26-03	Aman sira maka sei hili matenek ne’e be hakarak fo ba oan.
27-00	Artigu 27
27-01	Naran ema ida iha direitu atu tama, tuir nia hakarak, iha moris matenek iha knua laran, atu bele hamutuk ho matenek seluk halo di’ak ba nia rain.
27-02	Naran ema ida iha direitu atu hetan tulun kona ba dalan los atu moris, hetan tulun atu ho matenek seluk halo rai ida bele buras.
28-00	Artigu 28
28-01	Naran ema ida iha direitu, iha fatin ne’e be nia moris e iha rai seluk, atu hetan tulun tuir ukun atu bele moris ho direitu ho liberdade, tuir lia tomak ne’e be fo tada iha Deklarasaun ne’e.
29-00	Artigu 29
29-01	Naran ema ida sei halo buat ruma ba nia rain, tan lae karik nia la bele moris ho liberdade, la bele moris di’ak.
29-02	Atu moris ho direitu, atu bele hetan liberdade ema ida-idak sei tuir lolós ukun ne’e be foin fo sai, nune’e, ema seluk mos bele tuir dalan di’ak, dalan los, ema hotu bele moris tuir nia fiar, ema hotu bele moris di’ak hanesan maun ho alin, iha damen laran.
29-03	Hotu-hotu sei tuir lolós direitu ho liberdade ne’e be Nasaun tomak hamutuk fo tada ona, ema ida la bele tuir dalan seluk, hodi heuuai Deklarasaun ne’e.
30-00	Artigu 30
30-01	Naran Nasaun ida, klibur ruma e naran ema ida, la bele hola lia hirak foin fo tada iha Deklarasaun ne’e atu hodi halakon ema seluk nia direitu, nia liberdade.
