00-00	Detlaraziun Universala di Dërć dles Porsones
10-01	Vigni porsona à le dërt, te na posiziun de avalianza plëna, a n’audiënza publica y valia dan n tribunal independënt y imparzial, cun na determinaziun de sü dërć y de sü dovëis, sciöche de vigni acüsa penala te sü confrunć.
11-00	Articul 11
11-00	Vigni porsona che vëgn incolpada de n reat à le dërt da gnì reconesciüda sciöche inozënta, ćina che süa colpa ne é nia gnüda cumprovada aladô dla lege te n prozès publich, olache ara à albü dötes les garanzies che va debojëgn por süa defenüda.
11-01	Degöna porsona ne po gnì condanada porvia de n’aziun o na tralascianza che ne ê nia punibla tl momënt dl’esecuziun, aladô dl ordinamënt iuridich nazional o internazional. Implü ne pol nia gnì dè na sanziun plü alta co chëra aplicabla tl momënt che le reat é gnü eserzité.
12-00	Articul 12
12-01	Degöna porsona ne po gnì sotmetüda a interferënzes arbitrares te süa vita privata, süa familia, süa ćiasa y süa corespondënza o gnì ofenüda te so onur y süa reputaziun. Vigni porsona à le dërt da gnì sconada dala lege cuntra chëstes interferënzes o ofenüdes.
13-00	Articul 13
13-00	Vigni porsona à le dërt da se möie lediamënter te n stat y da se chirì fora süa residënza lediamënter.
13-01	Vigni porsona à le dërt da s’un jì da n paîsc, inće dal sò, y da gnì zoruch te so paîsc.
14-00	Articul 14
14-00	Vigni porsona à le dërt da chirì y da ciafè te d’atri paîsc asil cuntra les persecuziuns.
14-01	Chësc dërt ne podarà nia gnì ghiré sce la porsona vëgn veramënter chirida por reać che n’é nia politics o por aziuns cuntra i fins y i prinzips dles Naziuns Unides.
15-00	Articul 15
15-00	Vigni porsona à le dërt da avëi na zitadinanza.
15-01	A degöna porsona ne pol ti gnì tut arbitrariamënter no süa zitadinanza, no le dërt da baratè zitadinanza.
16-00	Articul 16
16-00	Ëi y ëres cun n’eté adatada à le dërt da se maridé y mëte sö familia, zënza limitaziun de raza, zitadinanza o religiun. Ai à i medemi dërć por ći che reverda le matrimone, tratan le matrimone y canche al vëgn deslié.
16-01	Les porsones po ma gnì dades adöm cun le consëns lëde y plëgn di nüc.
16-02	La familia é la basa naturala y fondamentala dla sozieté y à le dërt da gnì defenüda dala sozieté y dal Stat.
17-00	Articul 17
17-00	Vigni porsona à le dërt da avëi na proprieté personala o deboriada cun d’atri.
17-01	A degöna porsona ne pol ti gnì tut arbitrariamënter süa proprieté.
18-00	Articul 18
18-01	Vigni porsona à le dërt de liberté de pinsier, cosciënza y religiun; chësc dërt tol ite la liberté da mudé religiun o fede, y da mostrè, dassora o deboriada cun d’atri, tl publich o tl privat, süa religiun o süa fede tl insegnamënt, tla pratica, tl cult y tl’osservanza di rituai.
19-00	Articul 19
19-01	Vigni porsona à le dërt de liberté de minunga y espresciun, cun laprò le dërt da ne gnì nia scintiné por süa minunga, y da chirì, ciafè y dè inant informaziuns y idees tres vigni meso y zënza tignì cunt de confins.
20-00	Articul 20
20-00	Vigni porsona à le dërt da se incuntè y se assozié en pêsc.
20-01	Degöna porsona ne po gnì sforzada da fà pert de n’assoziaziun.
21-00	Articul 21
21-00	Vigni porsona à le dërt da tó pert al govern de so paîsc, sides diretamënter che tres rapresentanć chiris fora lediamënter.
21-01	Vigni porsona à le dërt da ti rové pormez ales medemes condiziuns ai posć de laûr publics te so paîsc.
21-02	La orentè popolara é la fondamënta dl’autorité publica; chësta orentè mëss gnì a espresciun tres lîtes regolares y dërtes, universales y valies, cun litaziun socrëta o n’atra prozedöra ecuivalënta a na votaziun lëdia.
22-00	Articul 22
22-01	Sciöche mëmber dla sozieté à vigni porsona le dërt de segurëza soziala, sciöche inće da realisé tres mosöres nazionales y la colaboraziun internazionala, tignin cunt dl’organisaziun y dles ressurses de vigni stat, i dërć economics, soziai y culturai che va debojëgn por süa dignité y le svilup lëde de süa personalité.
23-00	Articul 23
23-00	Vigni porsona à le dërt da podëi laurè, da se chirì fora lediamënter süa profesciun, da avëi condiziuns de laûr iüstes y dalvers y da gnì defenüda cuntra la dejocupaziun.
23-01	Vigni porsona à le dërt da ciafè le medemo paiamënt por le medemo laûr zënza descriminaziuns.
23-02	Vigni porsona che laôra à le dërt da ciafè n paiamënt adatè y dalvers che ti garantësces a d’ëra y a süa familia n’esistënza aladô dla dignité umana, integrada sce al va debojëgn, cun d’atres mosöres de proteziun soziala.
23-03	Vigni porsona à le dërt da mëte sö sindacać y da jì laprò por defëne sü interesc.
24-00	Articul 24
24-01	Vigni porsona à le dërt da palsè y da avëi tëmp lëde y dantadöt na limitaziun adatada dles ores de laûr y feries periodiches paiades.
25-00	Articul 25
25-00	Vigni porsona à le dërt da avëi n standard de vita che garantësces süa sanité y so bëgnester y chël de süa familia, tignin cunt dantadöt dl’alimentaziun, dl guant, dl’abitaziun, dles cures mediches y di sorvisc soziai che va debojëgn, sciöche inće la segurëza tl caje de dejocupaziun, maratia, invalidité, vedovanza, vedlëza o sce ara perd a val’atra moda i mesi de sostëgn, porvia de condiziuns che ne depënn nia da d’ëra.
25-01	Les umes y i mituns à le dërt da ciafè cures speziales y sostëgn. Düć i mituns, nasciüs tl matrimone o defora da d’ël, mëss ciafè la medema sconanza soziala.
26-00	Articul 26
26-00	Vigni porsona à le dërt da ciafè n’istruziun. L’istruziun mëss ester altamo por ći che reverda la scora elementara y la formaziun de basa debann. L’istruziun elementara mëss ester obligatoria. Dötes les porsones mëss podëi ciafè n’istruziun tecnica y profescionala y ti rové pormez ala medema manira al’istruziun alta aladô de sües capazitês.
26-01	L’istruziun mëss se orientè al svilup plëgn dla personalité umana y al renforzamënt dl respet di dërć dles porsones y dles libertês fondamentales. Ara mëss portè pro ala comprenjiun, toleranza, amizizia danter dötes les naziuns y i grups raziai y religiusc y sostignì l’ativité dles Naziuns Unides por mantignì la pêsc.
26-02	I geniturs à le dërt de priorité da chirì fora l’istruziun de sü mituns.
27-00	Articul 27
27-00	Vigni porsona à le dërt da tó pert lediamënter ala vita culturala dla comunité, da se gode les erts y da tó pert al progrès scientifich y a sü benefizi.
27-01	Vigni porsona à le dërt che i interesc morai y materiai che vëgn da süa produziun scientifica, leterara y artistica vëgnes sconà.
28-00	Articul 28
28-01	Vigni porsona à le dërt da avëi n ordinn sozial y internazional, olache i dërć y les libertês nominades te chësta detlaraziun po gnì realisà deplëgn.
29-00	Articul 29
29-00	Vigni porsona à dovëis devers la comunité, deache ma dailò vara da se daurì al svilup lëde y plëgn de süa personalité.
29-01	Da eserzité sü dërć y sües libertês mëss vigni porsona ma gnì sotmetüda a chës limitaziuns che vëgn fates fora dala lege por garantì le reconescimënt y le respet di dërć y dles libertês di atri y por ademplì i dërć bojëgns dla morala, dl ordinn publich y dl bëgnester general de na sozieté democratica.
29-02	Chisc dërć y chëstes libertês ne po a degöna moda gnì eserzità cuntra i fins y prinzips dles Naziuns Unides.
30-00	Articul 30
30-01	Degöna desposiziun de chësta detlaraziun ne po gnì interpretada a na moda da ti dè insaći dërt a n stat, n grup o na porsona da eserzité n’ativité o n’aziun por tó y jì i dërć y les libertês nominades te chësta detlaraziun.
