00-00	İNSAN AQLARINIÑ UMUMİY BEYANNAMESİ
01-01	Bütün insanlar serbestlik, menlik ve uquqlarda musaviy olıp dünyağa keleler. Olar aqıl ve vicdan saibidirler ve biri-birilerinen qardaşçasına munasebette bulunmalıdırlar
02-00	2 -nci madde
02-01	Er kes ırqı, tüsü, cınsı, tili, dini, siyasiy ve diger aqideleri, milliy ya da içtimaiy, bir de-bir tabaqağa mensüpliginden, serveti ve diger er angi alından qatiy nazar mezkür Beyannamede ilân etilgen tekmil aqlar ve bütün serbestliklerge malik olmalıdır.
02-02	Bundan ğayrı mensüp olğan memleketniñ ya da hududnıñ siyasiy, uquqiy ve halqara statusına, bu hududnıñ mustaqil, özüni idare etmegen ve ya da mustaqilligi er angi bir şekilde sıñırlanğan olıp-olmamasından qatiy nazar insanğa nisbeten iç bir farq kösterilmemelidir.
03-00	3-nci madde
03-01	Er kes yaşamaq, serbestlik ve şahsiy havfsızlıq aqqına maliktir.
04-00	4-nci madde
04-01	İç bir kimse qullıq ya da esaret altında bulunmamalıdır; qullıq ve qul ticaretiniñ bütün çeşitleri yasaqtır.
05-00	5-nci madde
05-01	İç kimse iskence ve yahut zalımane, ve ya da onıñ degerligini aqsımlağan munasebet ve cezağa oğratılmamalıdır.
06-00	6-ncı madde
06-01	Er kes qayerde olsa olsun, kendisiniñ uquq subyekti olaraq qabul etilüv aqqına maliktir.
07-00	7-nci madde
07-01	Qanun qarşısında er kes birdir ve farqsız olaraq uquq tarafından musaviy qorçalanılmaq aqqına maliktir. Er kes, işbu Beyannameni bozğan er türlü aqsımlav ve böyle aqsımlavnı qızıştıruvdan qorçalanılmaq musaviy aqqına maliktir.
08-00	8-nci madde
08-01	Er kes onıñ, anayasa ya da qanun teminlegen, esas aqları bozulğan taqdirde, selâhiyetli milliy mahkemeler tarafından bu aqları tiklenmek aqqına maliktir.
09-00	9-ncı madde
09-01	İç kimse esassız yaqalanmaz, tutuvlanmaz yahut sürgün etilmez.
10-00	10-ncı madde
10-01	Er kes, onıñ aqları ve borcunı belgilemek em de oña qarşı kösterilgen cinaiy qabaatlanuvnıñ delilligini tesbit etmek içün, tolu musaviylik esasında, onıñ işi mustaqil ve bitaraf mahkeme tarafından aşkâr ve adaletli tarzda baqılmaq aqqına maliktir.
11-00	11-nci madde
11-00	Cinaiy suçı olmasında qabaatlanğan er kes, onıñ qabaatı qanuniy tertip ile, aşkâr mahkeme esnasında ve bütün qorçalav imkânları teminlengen alda belgilenmegence, qabaatsız, dep tanılmaq aqqına maliktir.
11-01	İç kimse, nasıldır areket esasında cinayet etkeni ya da areketsizligi içün, olar yapılğan vaqıtta milliy yahut halqara uquq boyunca cinayet sayılmasa, mahküm etilmez. Yapılğan cinayetke kesilmek ihtimalı olğan ceza, o berilgen vaqıtqa köre, daa da qattı ola bilmez.
12-00	12-nci madde
12-01	Kimse, onıñ şahsiy ve aileviy ömürine, meskenine tiyilmemezlik, yazışmaq sırına yahut onıñ namus ve itibarına esassız kirişmek, qast etmek areketlerine oğratıla bilmez. Er kes, böyle kirişmek yahut qastlardan qanun qorçalavı aqqına maliktir.
13-00	13-nci madde
13-00	Er kes, devlet çerçivesinde serbest yürmek ve yaşağan yerini seçip almaq aqqına maliktir.
13-01	Er kes, er angi, şu cümleden, öz memleketini terk etmek ve öz memleketine qaytmaq aqqına maliktir.
14-00	14-nci madde
14-00	Er kes, taqipke oğrağanda başka memleketlerde sığınaq bulmaq ve ondan faydalanmaq aqqına maliktir.
14-01	Bu aq, taqip asılında siyasiy olmağan cinayetke ya da Birleşken Milletlerniñ maqsadı ve mevamlarına zıt kelgen areketke esaslanğan taqdirde, işletile bilmez.
15-00	15-nci madde
15-00	Er kes vatandaşlıq aqqına maliktir.
15-01	Kimse öz vatandaşlığından yahut, vatandaşlığını deñiştirmek aqqından esassız marum etilmez.
16-00	16-ncı madde
16-00	Çağına yetken erler ve qadınlar, ırq, milliy ya da diniy alâmetlerine baqmadan, evlenmek ve aile qurmaq aqqına malikler. Olar, evlenecekte, evli olğanda ve ayrılışqanda aynı aqlarnı qullanmaqtalar.
16-01	Nikâh yalıñız evlenecek eki tarafnıñ da serbest ve tolusınen razılığı ile olabilir.
16-02	Aile cemiyetniñ tabiiy ve esas birlemidir em de cemiyet ve devlet tarafından qorçalanmaq aqqına maliktir.
17-00	17-nci madde
17-00	Er kes, şahsiy ve başqalarnen beraberlikteki mal-mülk saibi olmaq aqqına maliktir.
17-01	Kimse esassız alda öz mal-mülkünden marum etilmez.
18-00	18-nci madde
18-01	Er kes fikir, itiqat ve din serbestligi aqqına malik; bu aq – em şahsiy tarzda, em de başqalarnen beraberlikte, alem-aşkâre ya da hususiy alda, oquvda, ibadet etüvde ve diniy merasimlerni becergende – öz dinini yahut itiqatlarını deñiştirmek ve öz dinini yahut itiqatlarnı izar etmek serbestligini içine almaqta.
19-00	19-ncı madde
19-01	Er kes, tış qarışuvına oğramağan fikirler ve olarnı serbest ifade etmek aqqına malik; bu aq, öz itiqatlarına riayet etmek serbestliginden ve istegen vastalarnen em de, sıñırlardan qatiy nazar, malümat ve ğayelerni qıdırmaq, almaq ve darqatmaq serbestliginden ibarettir.
20-00	20-nci madde
20-00	Er kes tınç toplaşuvlar ve birleşmeler serbestligi aqqına maliktir.
20-01	Kimse, qaysı bir birleşmege kirmek içün mecbur etilmez.
21-00	21-nci madde
21-00	Er kes bivasta ya da serbest saylanğan vekiller vastasınen öz memleketiniñ idaresinde iştirak etmek aqqına maliktir.
21-01	Er kes öz memleketiniñ devlet qurumlarınla musaviy iştirak etmek aqqına maliktir.
21-02	Halq iradesi ükümet akimiyetiniñ temeli olmalıdır; bu irade gizli ya da başqa böyle serbest saylav usulları vastasınen umumiy ve musaviy saylav aqqı ile ötkerilgen devriy ve açıq saylavlarda öz ifadesini tapmalıdır.
22-00	22-nci madde
22-01	Er kes, cemiyetniñ azası olaraq, içtimaiy qorçalav aqqına maliktir; degerligi ve şçahsiyetiniñ serbest inkişaf etmesi içün zarur olğan iqtisadiy, içtimaiy ve medeniy saalardaki aqlarnıñ milliy ğayret ve halqara işbirlik vastasınen ve er devletniñ resursları ve qurulışına köre teminlev aqqına maliktir.
23-00	23-nci madde
23-00	Er kes çalışmaq, işini serbest seçmek, adaletli, oñaytlı iş şaraitlerine malik olmaq ve işsizlikten qorçalanmaq aqqına maliktir.
23-01	Er kes, iç bir aqsımlavsız, musaviy emegi içün musaviy maaş almaq aqqına maliktir.
23-02	Er çalışqan insan, özü ve qorantası içün insanğa munasip yaşayış teminlegen adaletli ve lâyıq odev, lâzim olğanda, başqa qoşulğan içtimaiy teminat vastalarını qullanmaq aqqına maliktir.
23-03	Er kes zenaat birliklerini meydanğa ketirmek ve öz menfaatını qorçalamaq içün zenaat birliklerine qoşulmaq aqqına maliktir.
24-00	24-nci madde
24-01	Er kes raatlanmaq, eglenmek, şu cümleden iş saatleriniñ aqılane sıñırlanması ve ödenilgen devriy tatil aqqına maliktir.
25-00	25-nci madde
25-00	Er kes özü ve qorantasınıñ sağlığı ve abadanlığı içün ğıda, urba, mesken, tibbiy baqım ve kerekli içtimaiy hızmetlerine saip olmaq aqqına maliktir. Er kes işsizlik, hastalıq, saqatlıq, tullıq, qartlıq ya da oña bağlı olmağan şartlardan asıl olğan fuqarelik allarında qorçalanuv aqqına maliktir.
25-01	Analıq ve balalıq ayrıca qayğıruv ve yardım aqqını bere. Epsi balalar, nikâh ile ya da nikâhsız dünyağa kelgenler, aynı içtimaiy qoruvğa maliktirler.
26-00	26-ncı madde
26-00	Er kes tasil aluv aqqına maliktir. İç olmağanda, başlanğıç ve umumiy tasil bedava olmalıdır. Başlanğıç tasil mecburiy olmalıdır. Tehnikiy ve zenaat tasilden er kes faydalanmalıdır, er kim elde etken neticelerine köre musaviy şekilde aliy tasil alabilir.
26-01	Tasil insan şahsınıñ tolu inkişafına, aqları ve esas serbestliklerine sayğı arttıruvğa doğrultılmalıdır. Tasil halqlar, ırq ve diniy taqımlar arasında özara añlaşuv, sabır ve dostluqqa, ve Milletler Birleşmesiniñ tınçlıq saqlamaq faaliyetine qoltutmaq kerek.
26-02	Ana-babalarnıñ öz balalarına tasil çeşitini saylavda üstün olmaq aqqı bar.
27-00	27-nci madde
27-00	Er kes cemiyetniñ medeniy ömürine serbest qatılmaq, sanattan zevqlanmaq, ilmiy teraqqiyatta iştirak etmek ve bundan faydalanmaq aqqına maliktir.
27-01	Er kes ilmiy, edebiy ya da bediiy eserleriniñ müellifi olaraq, ahlâqiy ve maddiy menfaatı qorçalanması aqqına maliktir.
28-00	28-nci madde
28-01	Er kes, bu Beyannamede ifade etilgen aqlar ve üriyetler tolusınen ömürge keçirilgende, cemaa ve halqara tertip aqqına maliktir.
29-00	29-ncı madde
29-00	Er kes yalıñız, onıñ şahsiyeti serbest ve tolu inkişaf ola bilecek, cemiyet ögünde borcludır.
29-01	Öz aqları ve serbestliklerini ömürge keçirgende, er kes yalıñız, qanun başqalarnıñ aqları ve serbestliklerini tanımaq ve ürmet etmek em de demokratik cemiyetteki ahlâq, cemaa tertibi ve umumiy eyiallıqnıñ adaletli talaplarını qanaatlendirmesini teminlemek maqsadınen belgilegen sıñırlanuvlarğa oğratıla.
29-02	Bu aqqlar ve serbestlikler ömürge keçirilgende Milletler Birleşmesiniñ maqsatları ve printsiplerine zıt olması iç te mümkün degil.
30-00	30-ncı madde
30-01	İşbu Beyannamedeki iç bir madde, nasıldır bir devlet, şahıslar taqımı ya da ayrı şahısqa, yuqarıda kösterilgen er angi aqlar ve serbestliklerge zarar ketirilmesine doğrultılğan faaliyetke ya da areketke aq bere, dep izaa etilmez.
