00-00	Powšitkowne wozjewjenje čłowjećich prawow
07-01	Wšitcy čłowjekojo su płed zakonjom runi a maja b jez diskriminaeije prawo na jenaki škit płez zakoń. Wšitey maja pawo na jenaki škit płećiwo kóždej diskriminaciji, kotraž by płedležace wozjewjen je zraniła, a płećiwo pozbudźen ju k tajkej diskriminaciji.
08-00	Artikl 8
08-01	Kóždy ma prawo na skutkownu juristisku pomoe pola płisłušnych nutłkostatnych sudnistwow płećiwo jednanjam, kotrež jeho jemu po wustawje abo po zakonju płistejace zakładne prawa ranja.
09-00	Artikl 9
09-01	Nichtó njesmě so swojowólnje zajeć w jatbje dźržeć abo z kraja wupokazać.
10-00	Artikl 10
10-01	Kóždy ma w połne; runoprawosći prawo na to, zo so wo jeho prawaćh a winowatosćach a wo kóždej płećiwo njemu zapoloženj; chłostanskoprawnej skóržbje płez njewotwisne a njestronske sudnistwo sprawnje a zjawnje jedna.
11-00	Artikl 11
11-01	Kóždy chłostajomneho jednanja dla wobskorženy ma prawo na to, jako n jewinowaty plaćić, dołhož njeje jeho wina w zjawnynl jednanju, w kotrymž je wšě za swoje zakitowanje trěbne garantije mět, wotpowědujo zakon jej dopokazana
11-02	Nichtó njesmě so dla jednanja abo zanjechnanja něčeho zasudźić, štož njebě w času, hdyž je so to stało, po nutłkokrajnym abo po mjezynarodnym prawje chłostajomne. Runje tak njesmě so žane ćeše chłostan je wuprajič hač te w času chłostajolnneho jednanja płihrožene chłostanje.
12-00	Artikl 12
12-01	Nichtó njesmě swojowólnym zapłimnjenjam do swojeho priwatneno žiwjenja, swojeje swójby, swojeho bydlenja a swojeje korespondency abo njezakonskim škodam swojeje česće a swojeho mjena wustajeny być. Kóždy ma prawo na juristiski škit płećiwo tajkim zapłimnjenjam a škodam.
13-00	Artikl 13
13-01	Kóždy ma prawo, so znutłka slata swobodnje pohibować a sej swoje bydlenje swobodnje wuzwolić.
13-02	Kóždy ma prawo, kóždy kra; inkluziwn je swój swójski kraj wopušcić a so do swojeho kraja wróćić.
14-00	Artikl 14
14-01	Kóždy ma prawo, w drunich krajach płed płesćěhanjom azyl pytać a wužiwać.
14-02	Tute prawo njemóže so wužiwać w padźe płesćěhanja dla ryzy njepolitiskicn złóstnistwow abo jednanjow, kotrež ranja cile a zasady Zjednoćenycn narodow.
15-00	Artikl 15
15-01	Kóždy ma prawo na statnu płisłušnosć.
15-02	Nikomu njesmě so jeho statna płisłušnosć swojowólnje sćazać ani zaprajić prawo, swoju statnu płisłušnosć změnić.
16-00	Artikl 16
16-01	Mužojo a žony w žeńtwykmanej starobje maja bjez wobmjezowanja na zakładźe rasy, statne je płisłušnosće abo religije prawo, do mandželstwa .stupić a swójbu založić.
16-02	Woni maja jenake prawa płi zmandźelenju, w mandźelstwje a płi rozwjazanju mandźelstwa.
16-03	Zmandźelenje smě so jenož w swobodnej a dospołnej płezjednosći płichodneju mandźelskeju stać.
17-00	Artikl 17
17-01	Kóždy ma prawo, sam abo zhromadnje z druhimi wobsydstwo měć.
17-02	Nichtó njesmě swojowólnje swoje wobsydstwo zhubić.
18-00	Artikl 18
18-01	Kóždy ma prawo na swobodu myslow, swědomja a religije; tute prawo wopłija swobodu, swoju religiju a swój swětonahlad změnić, kaž tež swobodu, swoju religiju abo swój swětonahlad sam abo w znromadnosći z drunimi, zjawnje abo priwatnje płez wučbu, praktikowanje, božu službu a wobkedžbowanjc nabožnych naložkow zwuraznić.
19-00	Artikl 19
19-01	Kóždy ma prawo na swobodu měnjenja a wuprajenje měnjenja tute prawo wopłija njehaćenu swobodu měnjenja a swobodu, sej njedźiwajo na statne hranicy informacije a ideje ze srědkami kóždehožkuli razu wobstarać, płijimować a dale dawać.
20-00	Artikl 20
20-01	Kóždy ma prawo na swobodu zhromadźnja a zjednoćenja za měrliwe zaměry.
20-02	Nichtó n jesmě so nuzowač, zjednoćenstwu płisłušeć.
21-00	Artikl 21
21-01	Kóždy ma prawo, so płi rjadowanju zjawnych naležnosćow swojeho kraja njeposrědnje abo płez swobodnje wolenycn zastupjerjow wobdźělić.
21-02	Kóždy ma pod jenakimi wuměnjenjemi prawo na płistup k zjawnym zastojnstwam w swojim kraju.
21-03	Wola ludu twori zakład za awtoritu zjawneje mocy; tuta wola dyrbi so zwuraznić płez so wospjetowace, woprawdźite, powšitkowne a rune wólby, kotrež wotměwaja so z tajnym wotedaćom hłosow abo po tomu runohódnym swobodnym wólbnym modusu.
22-00	Artikl 22
22-01	Kóždy ma jako čłon towaršnosće prawo na socialnu wěstotu a móže płez nutłkostatne naprawy a mjezynarodne zhromadne dźěło wobkedźbujo organizaciju a pomocne srědki kóždeho stata wužiwać za swoju dostojnosć a swobodne wuwiće swojeje wosobiny njeparujomne hospodarske, socialne a kulturne prawa
23-00	Artikl 23
23-01	Kóždy ma prawo na dźělo, na swobodnu wólbu powołanja, na płiměrjene a spokojace dźělowe wuměnjenja kaž tež na škit płećiwo bjezdźěłnosći.
23-02	Wšitcy čłowjekojo maja bjcz kóždeje diskriminacije prawo na jenaku mzdu za jenake dźěło.
23-03	Kóždy, kiž dźěła, ma prawo na sprawne a płihódne zarunanje dźěła, kotrež jemu a jeho swójbje čłowjeskej dostojnosći wotpowědowacu eksistencu zawěsća a kotrež ma so, jeli trjeba, z druhimi socialnymi škitnynli naprawami dopjelnić.
23-04	Kóždy ma prawo, za škit swojich zajimow dźěłarnistwa załoźić a tajkim płistupić.
24-00	Artikl 24
24-01	Kóždy ma prawo na dźěłowe płestawki a swobodny čas inkluziwnje płiměrjene wobmjezowanje dźěloweho časa kaž tež na prawidłowny płaćeny dowol.
25-00	Artikl 25
25-01	Kóždy ma prawo na za swo ju strowotu a derjeměće a tu swojeje swójby płiměrjeny žiwjenski standard, inkluziwnje dosahace zežiwjenje, drasćenje, bydlenje, lěkarske zastaranje a trěbne socialne posłužby, kaž tež dale prawo na wěstotu w padźe bjezdźěłnosće, chorosće, inwalidity, zwudowjenja staroby abo druheje straty swojich zežiwjenskich srědkow płez njezawinowane wobstejnosće.
25-02	Maćerje a dźěći maja prawo na wosebitu pomoc a podpěru. Wšěm dźěćom, mandźelskim a njemandźelskim, płisteji jenaki socialny škit.
26-00	Artikl 26
26-01	Kóždy ma prawo na kubłanje. Wučba dyrbi znajmjeńša w elementarnym abo zakładnym schodźenku darmotna być. Elementarna wučba je obligatoriska. Fachowo- a powołanskošulska wučba dyrbi powšitkownje płistupna być, a wysokošulska wučba dyrbi wšěm wotpowědnje jich kmanosćam na jenake wašnje wotewrjena być.
26-02	Kublanje dyrbi na połne rozwiće čłowjeskeje wosobiny a na sylnjenje respektowanja čłowječich prawow a zakładnycn swobodow wusměrjene być. Wone dyrbi zrozumjenje, tolerancu a płećelstwo mjez wšěmi ludami a wšěmi rasowymi abo nabožnymi skupinami spěchowac a dźěławosć Zjednoćenycn narodow za zdźerženje měra podpěrować.
26-03	Starši maja prěnjorjadne prawo družinu kubłanja wuzwolić, kotrež ma so jich dźěćom posrědkować.
27-00	Artikl 27
27-01	Kóždy ma prawo, so na kulturnym žiwjenju zhronladnosće swobodnje wobdźěleć, so nad wuměłstwami wjeselić a na wědomostnym postupje a jeho wudobyćacn dźěl brać.
27-02	Kóždy ma prawo na škit duchownych a matericelnych zajimow, kotrež wurostuja za njeho jako tworićela z dźěłow wědomosće, literatury abo wuměłstwa.
28-00	Artikl 28
28-01	Kóždy ma prawo na socialny a mjezylnarodny porjad, w kotrymž móža so w tutym wozjewjenju wuprajene prawa a swobody połnje zwoprawdźić.
29-00	Artikl 29
29-01	Kóždy ma winowatosće napłećo tej zhromadnosći, w kotrejž je jeničce móžne swobodne a połne wuwiće jeno wosobiny.
29-02	Kóždy podleži płi wužiwanju swojich prawow a swobodow jenož tym wobmjezowanjam, kotrež zakoń jeničce za tón zaměr płedwidźi, płipóznaće a respektowanje prawow a swobodow druhich zawěsćić a sprawnym žadanjam moralki, zjawneno porjada a powšitkowneho derjeměća w demokratiskej towaršnosći wotpowědować.
29-03	Tute prawa a swobody njesmedza so w žanym padźe w napłećiwku k cilam a zasadam Zjednoćenych narodow wužiwać.
30-00	Artikl 30
30-01	Ničo w tutym wozjewjenju njesmě so do toho směra wułozować, zo so za stat, za skupinu abo wosobu prawo stwori, tajke dźěło wukonjeć abo tajki skutk zwoprawdźić, kiž so na wotstronjenje w tutym wozjewjen ju wuprajenycn prawow a swobodow měritej.
