00-00	[missing]
26-01	Eshoi quiana sosema sohuihuohui cani profesor ya sabe epojji eleeejji esumajji etehuetehuejjipia'ai eshoi caquiacamajaya ecojji esahuihuejji profesor quiamayapoani echi imesecuana ojabacuajo eshoi escuelapojo ettipoajoca-camajaamapoa je hio esejachi yahueejiacajji escuela huasijje sabe.epojji.
26-02	Ojjaña nahuejji ojjasahuihuahui jji, etiicuana erepesta ajji ojjañanijje ejjapeequijji esenijje ese-ejja cuananijje ojjañanijje dejjacuananijje.
26-03	Essejabaca eyaya jianabia cajjipiaa pojjiama esejalla shahuabaquijjija ache escuelasijje yajianobiaje miyasabe eciimese enaese cuana.
27-00	Artículo 27
27-01	Artista poanaje sabespomajje sabepomajje cantasepoani esyasabepomajje setehuetehuecajji Esejatehue A'a piatehuemeehiojji sosejji ohuetehuemecue esejayajjasha huabaquiaja majje quisapa ja'a poani.
28-00	Artículo 28
28-01	Siipojjicuana etiipojjiepua sohuihuohuicajji esejacomunidad jobaecuana ejjashahuabaquijji etiicuaaiyaacajje poquicue jama acajjebaa cuamapoquicue jjasha ajja quicue.
29-00	Artículo 29
29-01	Jaahuanacue comunidad cuana A'Aquiasjehuebaejji eshoi cuana jaahuanacuequiabojia o a cue mi quebacua manojjimaepojji.
29-02	Quiapame jjabojiquicue A'Amimijajijji peiotajo A'A jjaquishiquijji miya eseejja quishajo sosecaje 20 sose huisome jjabeca' equibamecue ohue joyamiyadejja quishijemi yayasocequiaje etiipojjijaesohuijo epoa. Eseya chacochaco sapoajjaa caoeA'A chacochacojji esejabacuacuana'bobiajji shahuabaquijjijo caseca chacochacoani de,jamajja shahuabaquime yaoepocue.
30-00	Artículo 30
30-01	Oyajayojjaya ejja'a quihio chamahiose ya'ahia bajeyio'hiajjaseyade oyajayojja yaseya'ahia chama hiojjadeba jeojeohionaje seyade.
