00-00	ANG KALIBUTANON NGA PAHAYAG SANG MGA KATARUNGANG PANGKATAOHAN
14-01	Ang katarungan nga ini indi maggamit kon ang pag-api hungod nga bunga sang mga pagkasala nga di pulitikal ukon mga binuhatan batok sa mga katuyuan kag pagsulondan sang Mga Naghiliusa nga Pungsod.
15-00	Artikulo 15
15-00	Ang tagsa tagsa may katarungan sa pagkabanwahanon.
15-01	Wala sing sin-o man nga di makatarungan nga kuhaon ang iya pagkabanwahanon ukon punggan ang katarungan nga magbaylo sang iya pagkabanwahanon.
16-00	Artikulo 16
16-00	Ang mga kalalakihan kag kababaihan nga sa husto nga edad, wala sing limitasyon nga lahi, pagkabanwahanon, may katarungan nga magpangasawa kag mag-angkon sang pamilya, sila may pag-alalangay nga katarungan sa kasal, tubtob magpangasawa kag pagdula sang saysay sina.
16-01	Ang kasal dapat himuon lamang sa hilway kag bug-os nga pagpasugot sang mga ikasal.
16-02	Ang pamilya duna kag sulondan nga bahin sang katilingban kag may katarungan sa proteksyon sang katilingban kag sang Estado.
17-00	Artikulo 17
17-00	Ang tagsa tagsa may katarungan nga magpanag-iya sang pagkabutang sing isahanon kag kaupod ang iban.
17-01	Wala sing sin-o man ang di matarong nga kuhaan sang mga pagkabutang.
18-00	Artikulo 18
18-01	Ang tagsa tagsa may katarungan sa kahilwayan sang panghunahuna, konsyensya kag relihiyon, lakip sa katarungan nga ini ang kahilwayan nga magbaylo sang iya relihiyon ukon pagtuo, kag ang kahilwayan, mag-isa man ukon kaupod sang iban kag sa publiko ukon pribado, nga ipaathag ang iya relihiyon ukon pagtuo sa pagtudlo, pagbuhat, pagsimba kag pagsaulog.
19-00	Artikulo 19
19-01	Ang tagsa tagsa may katarungan sa kahilwayan nga magsiling sa kabubut-on kag pagpahayag, lakip sa katarungan nga ini ang kahilwayan nga panindugan sang mga kabubut-on nga wala sing magpasilabot kag mangita, magbaton kag magdala sang impormasyon kag ideya paagi sa bisan ano nga media nga wala ginakabig ang mga dulonan.
20-00	Artikulo 20
20-00	Ang tagsa tagsa may katarungan sa kahilwayan sa malinong nga pagtililipon kag paghiliupod.
20-01	Wala sing sin-o man nga dapat piliton nga magpasakop sa isa ka asosasyon.
21-00	Artikulo 21
21-00	Ang tagsa tagsa may katarungan nga magpakigbahin sa gobyierno sa iya pungsod, matarong man ukon paagi sa hilway nga pagpili sang mga tiglawas.
21-01	Ang tagsa tagsa may katarungan sa alalangay nga pagserbisyo publiko sa iya pungsod.
21-02	Ang pagbuot sang pulumuyo dapat mangin basihan sa gahom sang gobyierno, ang pagbuot nga ini dapat ipahayag paagi sa panahon kag matuod nga pagpiniliay nga sa paagi sa kabug-osan kag alalangay nga pagboto kag pagahimuon paagi sa sekreto nga pagboto ukon paagi sa katapat sa hilway nga paagi sang pagboto.
22-00	Artikulo 22
22-01	Ang tagsa tagsa, subong nga miyembro sang katilingban may katarungan sa kapag-onan sang katilingban kag may katarungan sa katumanan, paagi sa pagpaninguha sang pungsod kag sa pagbinuligay sang pangkalibutan kag suno sa organisasyon kag manggad sang tagsa ka Estado, sang mga katarungang ekonomiko, pangkatilingban kag kultural nga ginakinahanglan sang ina nga dungog kag hilway nga pag-uswag sang iya kataohan.
23-00	Artikulo 23
23-00	Ang tagsa tagsa may atarungan nga magtrabaho, hilway magpili sang pangabuhian, matarong kag maayo nga kahimtangan sa pagtrabaho kag proteksyon batok sa wala sing trabaho.
23-01	Ang tagsa tagsa, wala sing bisan ano nga discriminasyon, dapat may katarungan sa suweldo nga katumbas sa iya nga bulohaton.
23-02	Ang tagsa tagsa nga nagtrabaho may katarungan sa matarong kag husto nga bayad nga ginapat-od sa iya kaugalingon kag sa iya pamilya sa pagpangabuhi sing matarong, dugang pa, kon ginakinahanglan, ang iban pa nga pamaagi sang proteksyon pangkatilingban.
23-03	Ang tagsa tagsa may katarungan nga magtukod kag magpasakop sa mga unyon sa paghimo para sa pag-amlig sa iya kaayuhan.
24-00	Artikulo 24
24-01	Ang tagsa tagsa may katarungan nga magpahuway kag maglingaw, lakip ang makatarungan nga takda sa oras sang trabaho kag panahon sang mga pista opisyal nga may suweldo.
25-00	Artikulo 25
25-00	Ang tagsa tagsa may katarungan sa tulopngan sang pangabuhi nga tuman para sa kaayuhan sang lawas kag pag-ayo sang iya kaugalingon kag sang iya pamilya, lakip ang pagkaon, biste, pagpabalay kag pag-amlig sa pagpabulong kag mga ginakinahanglan ang pagserbisyosa katilingban, kag may katarungan sa seguridad kon mawalan sang trabaho, magkasakit, mangin inutil, mabalo, magtigulang, ukon mawalan sang palangabuhian kon mag-abot ang mga hitabo nga indi niya ginapaabot.
25-01	Ang mga nanay kag kabataan may katarungan sa pinasahi nga pagtatap kag pagbulig. Ang tanan nga kabataan, kasal man ukon indi ang ginikanan, dapat makaangkon sang pare-pareho nga proteksyon sang pangkatilingban.
26-00	Artikulo 26
26-00	Ang tagsa tagsa may katarungan sa edukasyon,. Ang edukasyon dapat nga libre, bisan sa elementarya man lamang kag sa nahauna nga halintang. Ang edukasyong elementarya dapat nga kompulsaryo. Ang edukasyon teknikal kag propesyunal dapat itigana sa tanan kag ang mas mataas nga edukasyon dapat pareho nga maangkon sang tanan suno sa merito.
26-01	Ang edukasyon dapat ituon sa lubos nga pag-uswag sang kataohan kag sa pagpabakod sang pagtahod sa mga katarungang pangkataohan kag sa mga pundasyon sang kahilwayan. Ipasanyog ini ang paghinangpanay, pagpaumod kag pag-inabyanay sa tanan nga pungsod, mga grupo suno sa lahi ukon relihiyon, kag pauswagon ang mga hilikuton sang Mga Naghiliusa nga Pungsod para magapabilin ang kahilwayan.
26-02	Ang nahauna nga katarungan sang mga ginikanan amo ang pagpili sang klasi nga edukasyon nga ihatag sa ila mga kabataan.
27-00	Artikulo 27
27-00	Ang tagsa tagsa may katarungan nga hilway sa pagpakigbahin sa hilikuton nga pangkultura sang komunidad, maghinuyang sang mga arte kag makigbahin sa pagpauswag nga pang-siyentipiko kag sa mga benepisyo sini.
27-01	Ang tagsa tagsa may katarungan sa proteksyon sang interes nga moral kag materyal nga gikan sa produksyon siyentipiko, literal ukon artistiko nga sinulat niya.
28-00	Artikulo 28
28-01	Ang tagsa tagsa may katarungan sa kaayuhan sang pangkatilingban kag pangkalibutan nga ang mga katarungan kag kahilwayan nga gintakda sa Pahayag nga ini dapat lubos nga maangkon.
29-00	Artikulo 29
29-00	Ang tagsa tagsa may mga katungdanan sa komunidad nga ginatahod ang hilway kag lubos nga pag-uswag sang iya katauhan.
29-01	Sa pagtuman sang iya mga katarungan kag kahilwayan, ang tagsa tagsa magapaidalom lamang sa mga katakdaan nga gintakda sang kasuguan agod maangkon ang nagakaigo nga pagkilala kag pagtahod sa mga katarungan kag kahilwayan sang iban kag mahatagan ang makatarungan nga mga kinahanglanon nga moralidad, kaayuhan sang publiko kag kabug-osan nga kaayuhan sa isa ka demokratikong katilingban.
29-02	Ang mga katarungan kag kahilwayan nga ini indi dapat magamit nga batok sa mga katuyuan kag pagsulondan sang Mga Naghiliusa nga Pungsod.
30-00	Artikulo 30
30-01	Wala sing ano man nga bahin sa Pahayag nga ini nga mahimo kabigon nga nagpakahulugan sa ano man nga Estado, grupo ukon tao, sang katarungan nga magpakigbahin sa ano man nga hilikuton ukon hulag nga nagahandum sa pagguba sang ano man nga katarungan kag kahilwayan nga gintakda diri sini.
