00-00	انسانی حقوق کا عالمی منشور
12-01	کسی شخص کی نجی زندگی، خانگی زندگی، گھربار، خط و کتابت میں من مانے طریقے پر مداخلت نہ کی جائے گی اور نہ ہی اس کی عزت اور نیک نامی پر حملے کئے جائیں گے۔ ہر شخص کا حق ہے کہ قانون اسے حملے یا مداخلت سے محفوظ رکھے۔
13-00	دفعہ ۱۳۔
13-01	ہر شخص کا حق ہے کہ اسے ہر ریاست کی حدود کے اندر نقل و حرکت کرنے اور سکونت اختیار کرنے کی آزادی ہو۔
13-02	ہر شخص کو اس بات کا حق ہے کہ وہ ملک سے چلا جائے چاہے یہ ملک اس کا اپنا ہو۔ اور اسی طرح اسے ملک میں واپس آ جانے کا بھی حق ہے۔
14-00	دفعہ ۱۴۔
14-01	ہر شخص کو ایذا رسانی سے دوسرے ملکوں میں پناہ ڈھونڈنے، اور پناہ مل جائے تو اس سے فائدہ اٹھانے کا حق ہے۔
14-02	یہ حق ان عدالتی کارروائیوں سے بچنے کے لئے استعمال میں نہیں لایا جا سکتا جو خالصاً غیر سیاسی جرائم یا ایسے افعال کی وجہ سے عمل میں آتی ہیں جو اقوامِ متحدہ کے مقاصد اور اُصول کے خلاف ہیں۔
15-00	دفعہ ۱۵۔
15-01	ہر شخص کو قومیت کا حق ہے۔
15-02	کوئی شخص محض حاکم کی مرضی پر اپنی قومیت سے محروم نہیں کیا جائے گا اور اس کو قومیت تبدیل کرنے کا حق دینے سے انکار نہ کیا جائے گا۔
16-00	دفعہ ۱۶۔
16-01	بالغ مردوں اور عورتوں کو بغیر کسی ایسی پابندی کے جو نسل قومیت یا مذہب کی بنا پر لگائی جائے شادی بیاہ کرنے اور گھر بسانے کا حق ہے۔ مردوں اور عورتوں کو نکاح، ازدواجی زندگی اور نکاح کو فسخ کرنے کے معاملہ میں برابر کے حقوق حاصل ہیں۔
16-02	نکاح فریقین کی پوری اور آزاد رضامندی سے ہو گا۔
16-03	خاندان، معاشرے کی فطری اور بنیادی اکائی ہے۔ اور وہ معاشرے اور ریاست دونوں کی طرف سے حفاظت کا حقدار ہے۔
17-00	دفعہ ۱۷۔
17-01	ہر انسان کو تنہا یا دوسروں سے مل کر جائداد رکھنے کا حق ہے۔
17-02	کسی شخص کو زبردستی اس کی جائداد سے محروم نہیں کیا جائے گا۔
18-00	دفعہ ۱۸ ۔
18-01	ہر انسان کو آزادیٔ فکر، آزادیٔ ضمیر اور آزادیٔ مذہب کا پورا حق ہے۔ اس حق میں مذہب یا عقیدے کو تبدیل کرنے اور پبلک میں یا نجی طور پر، تنہا یا دوسروں کے ساتھ مِل جل کر عقیدے کی تبلیغ، عمل، عبادت اور مذہبی رسمیں پوری کرنے کی آزادی بھی شامل ہے۔
19-00	دفعہ ۱۹۔
19-01	ہر شخص کو اپنی رائے رکھنے اور اظہارِ رائے کی آزادی کا حق حاصل ہے۔ اس حق میں یہ امر بھی شامل ہے کہ وہ آزادی کے ساتھ اپنی رائے قائم کرے اور جس ذریعے سے چاہے بغیر ملکی سرحدوں کا خیال کئے علم اور خیالات کی تلاش کرے۔ انہیں حاصل کرے اور ان کی تبلیغ کرے۔
20-00	دفعہ ۲۰۔
20-01	ہر شخص کو پُرامن طریقے پر مِلنے جُلنے، اور انجمنیں قائم کرنے کی آزادی کا حق ہے۔
20-02	کسی شخص کو کسی انجمن میں شامل ہونے لئے مجبور نہیں کیا جا سکتا۔
21-00	دفعہ ۲۱۔
21-01	ہر شخص کو اپنے ملک کی حکومت میں براہِ راست یا آزادانہ طور پر منتخب کئے ہوئے نمائندوں کے ذریعے حصہ لینے کا حق ہے۔
21-02	ہر شخص کو اپنے ملک میں سرکاری ملازمت حاصل کرنے کا برابر کا حق ہے۔
21-03	عوام کی مرضی حکومت کے اقتدار کی بنیاد ہو گی۔ یہ مرضی وقتاً فوقتاً ایسے حقیقی انتخابات کے ذریعے ظاہر کی جائے گی جو عام اور مساوی رائے دہندگی سے ہوں گے اور جو خفیہ ووٹ یا اس کے مساوی کسی دوسرے آزادانہ طریقِ رائے دہندگی کے مطابق عمل میں آئیں گے۔
22-00	دفعہ ۲۲۔
22-01	معاشرے کے رکن کی حیثیت سے ہر شخص کو معاشرتی تحفّظ کا حق حاصل ہے اور یہ حق بھی کہ وہ ملک کے نظام اور وسائل کے مطابق قومی کوشش اور بین الاقوامی تعاون سے ایسے اقتصادی، معاشرتی اور ثقافتی حقوق کو حاصل کرے، جو اس کی عزت اور شخصیت کی آزادانہ نشوونما کے لئے لازم ہیں۔
23-00	دفعہ ۲۳۔
23-01	ہر شخص کو کام کاج، روزگار کے آزادانہ انتخاب، کام کاج کی مناسب و معقول شرائط اور بے روزگاری کے خلاف تحفّظ کا حق ہے۔
23-02	ہر شخص کو کسی تفریق کے بغیر مساوی کام کے لئے مساوی معاوضے کا حق ہے۔
23-03	ہر شخص جو کام کرتا ہے وہ ایسے مناسب و معقول مشاہرے کا حق رکھتا ہے جو خود اس کے اور اس کے اہل و عیال کے لئے باعزت زندگی کا ضامن ہو۔ اور جس میں اگر ضروری ہو تو معاشرتی تحفّظ کے دوسرے ذریعوں سے اضافہ کیا جا سکے۔
23-04	ہر شخص کو اپنے مفاد کے بچاؤ کے لئے تجارتی انجمنیں قائم کرنے اور اس میں شریک ہونے کا حق حاصل ہے۔
24-00	دفعہ ۲۴۔
24-01	ہر شخص کو آرام اور فرصت کا حق ہے جس میں کام کے گھنٹوں کی حدبندی اور تنخواہ کے علاوہ مقرّرہ وقفوں کے ساتھ تعطیلات بھی شامل ہیں۔
25-00	دفعہ ۲۵۔
25-01	ہر شخص کو اپنی اور اپنے اہل و عیال کی صحت اور فلاح و بہبود کے لئے مناسب معیار زندگی کا حق ہے جس میں خوراک، پوشاک، مکان اور علاج کی سہولتیں اور دوسری ضروری معاشرتی مراعات شامل ہیں اور بے روزگاری بیماری، معذوری، بیوگی، بڑھاپا یا ان حالات میں روزگار سے محرومی جو اس کے قبضۂ قدرت سے باہر ہوں، کے خلاف تحفظ کا حق حاصل ہے۔
25-02	زچّہ اور بچّہ خاص توجہ اور امداد کے حقدار ہیں۔ تمام بچے خواہ وہ شادی سے پہلے پیدا ہوئے ہوں یا شادی کے بعد معاشرتی تحفّظ سے یکساں طور پر مستفید ہوں گے۔
26-00	دفعہ ۲۶۔
26-01	ہر شخص کو تعلیم کا حق ہے۔ تعلیم مفت ہو گی، کم سے کم ابتدائی اور بنیادی درجوں میں۔ ابتدائی تعلیم جبری ہو گی۔ فنّی اور پیشہ ورانہ تعلیم حاصل کرنے کا عام انتظام کیا جائے گا اور لیاقت کی بنا پر اعلیٰ تعلیم حاصل کرنا سب کے لئے مساوی طور پر ممکن ہو گا۔
26-02	تعلیم کا مقصد انسانی شخصیت کی پوری نشوونما ہو گا۔ اور وہ انسانی حقوق اور بنیادی آزادیوں کے احترام میں اضافہ کرنے کا ذریعہ ہو گی۔ وہ تمام قوموں اور نسلی یا مذہبی گروہوں کے درمیان باہمی مفاہمت، رواداری اور دوستی کو ترقی دے گی اور امن کو برقرار رکھنے کے لئے اقوامِ متحدہ کی سرگرمیوں کو آگے بڑھائے گی۔
26-03	والدین کو اس بات کے انتخاب کا اوّلین حق ہے کہ ان کے بچوں کو کس قسم کی تعلیم دی جائے گی۔
27-00	دفعہ ۲۷۔
27-01	ہر شخص کو قوم کی ثقافتی زندگی میں آزادانہ حصّہ لینے، ادبیات سے مستفید ہونے اور سائنس کی ترقی اور اس کے فوائد میں شرکت کا حق حاصل ہے۔
27-02	ہر شخص کو حق حاصل ہے کہ اس کے اُن اخلاقی اور مادّی مفاد کا بچاؤ کیا جائے جو اسے ایسی سائنسی، علمی یا ادبی تصنیف سے، جس کا وہ مصنف ہے، حاصل ہوتے ہیں۔
28-00	دفعہ ۲۸۔
28-01	ہر شخص ایسے معاشرتی اور بین الاقوامی نظام میں شامل ہونے کا حقدار ہے جس میں وہ تمام آزادیاں اور حقوق حاصل ہو سکیں جو اس اعلان میں پیش کر دئے گئے ہیں۔
29-00	دفعہ ۲۹۔
29-01	ہر شخص پر معاشرے کے حق ہیں۔ کیونکہ معاشرے میں رہ کر ہی اس کی شخصیت کی آزادانہ اور پوری نشوونما ممکن ہے۔
29-02	اپنی آزادیوں اور حقوق سے فائدہ اٹھانے میں ہر شخص صرف ایسی حدود کا پابند ہو گا جو دوسروں کی آزادیوں اور حقوق کو تسلیم کرانے اور ان کا احترام کرانے کی غرض سے یا جمہوری نظام میں اخلاق، امن عامّہ اور عام فلاح و بہبود کے مناسب لوازمات کو پورا کرنے کے لئے قانون کی طرف سے عائد کئے گئے ہیں۔
29-03	یہ حقوق اور آزادیاں کسی حالت میں بھی اقوامِ متحدہ کے مقاصد اور اصول کے خلاف عمل میں نہیں لائی جا سکتیں۔
30-00	دفعہ ۳۰۔
30-01	اس اعلان کی کسی چیز سے کوئی ایسی بات مراد نہیں لی جا سکتی جس سے کسی ملک، گروہ یا شخص کو کسی ایسی سرگرمیوں میں مصروف ہونے یا کسی ایسے کام کو انجام دینے کا حق پیدا ہو جس کا منشا ان حقوق اور آزادیوں کی تخریب ہو جو یہاں پیش کی گئی ہیں۔
