00-00	Ristikanzan oigevuksien yhtehine deklaratsii
21-03	Rahvahan vallal pidäy olla halličuksen vallan perustehennu; täl vallal pidäy tulla ilmi aiguvälizis da ebäfal’sifitsiiruittulois valličuksis, kudamii pidäy pidiä yhtehizen da taza-arvozen valličusoigevuksen mugah peitollizen iäneständän kauti libo toizien samanarvozien keinoloin kauti, kuduat uskaldetah iäneständän vällytty.
22-00	22. stat’t’u
22-01	Jogahizel ristikanzal, kui yhteiskunnan ozanottajal, on oigevus sotsiualizeh turvuamizeh da hänen arvon kannattamizekse da persounan vällän kehityksen hyväkse tarvittavien oigevuksien todevuttamizeh ekonoumizel, sotsiualizel da kultuurizel alal kanzallizien vägilöin da kanzoinvälizen yhtehizen ruavon kauti da jogahizen valdivon struktuuran da resursoin mugah.
23-00	23. stat’t’u
23-01	Jogahizel ristikanzal on ruado-oigevus, oigevus välläl vallita ruado, oigevus oigieloih da sobizih ruado-ololoih da ruavottomuos vardoiččemizeh.
23-02	Jogahizel ristikanzal ilmai mittumuatahto diskriminatsiedu on oigevus taza-arvozeh palkah samanverdazes ruavos.
23-03	Jogahizel ruadajal ristikanzal on oigevus oigieh da vältäväh palkah, kudai turvuas ristikanzale pättävän olemasolemizen hänele da hänen perehele, da kudai tarbehen mugah tävvendettäs sotsiualizen turvuamizen toizil varoil.
23-04	Jogahizel ristikanzal on oigevus perustua ammatillizet liitot da liittyö ammatillizih liittoloih omien eduloin puolistamizekse.
24-00	24. stat’t’u
24-01	Jogahizel ristikanzal on huogavundan da joudavan aijan oigevus, sen luvus motiviiruittun ruadopäivän puolendamizen da aiguvälizen palkatun loman oigevus.
25-00	25. stat’t’u
25-01	Jogahizel ristikanzal on oigevus moizeh elaijan tazoh, luguh ottajen syömizet, sovat, eländykohtu, meedikkupalvelu da tarvittavu sotsiualine palvelu, kudai on tarvittavu tervehyön da hänen da hänen perehen toimehtuloh niškoi, da oigevus turvuamizeh ruavottomuon, voimattomuon, niistiekse puutundan, leskevyndän, vahnuon da toizen tapahtuman varakse, kuduan periä ristikanzu hänes rippumattomien syylöin periä jiäy ilmai tomehtuloloi.
25-02	Muamazus da lapsus annetah oigevuksen eriluaduzeh huoldoh da abuh. Kaikil lapsil, kuduat on suadu kirjoisolos libo ilmai sidä, pidäy olla yhtenmoine sotsiualine puolistus.
26-00	26. stat’t’u
26-01	Jogahizel ristikanzal on oigevus opastundah. Opastundu pidäy olla ilmaine vähimytteh sit, mi koskou algu- da keskiopastundua. Alguopastundu pidäy olla vältämätöi. Tehnizel da ammatillizel opastundal pidäy olla kaikile suadavis, da korgiel opastundal pidäy olla yhtenjyttyöh suadavis kaikkih niškoi jogahizen neroloin perustehel.
26-02	Opastundua pidäy ohjata ristikanzan persounan tävvellizeh kehittämizeh da ristikanzan oigevuksien da perusvällyksien kunnivoittamizen suurendamizeh. Opastundal pidäy auttua keskinästy ellendämisty, tirpamistu da kaikien kanzoin, roduloin da uskondollizien joukkoloin välisty ystävytty, da sil pidäy auttua Yhtistynnyzien Kanzukundien Organizatsien ruaduo rauhan säilyttämizekse.
26-03	Vahnembil on eduoigevus opastundan muvvon valličendas omih vagahazih lapsih niškoi.
27-00	27. stat’t’u
27-01	Jogahizel ristikanzal on oigevus välläl ottua ozua yhteskunnan kultuurizeh elaigah, suaha hyviä kieldy taijos, yhtyö tiedoalan progressah da käyttiä hyväkse sen hyvii.
27-02	Jogahizel ristikanzal on oigevus hänen moizien moraalizien da ainehellizien eduloin puolistamizeh, kuduat ollah hänen luajittuloin tiedo-, literatuuran libo taidoalan tevoksien tuloksennu.
28-00	28. stat’t’u
28-01	Jogahizel ristikanzal on oigevus sotsiualizeh da kanzoinvälizeh kundoh, kuduan mugah täh Deklaratsieh kirjutetut oigevukset da vällyöt voidas todevuo tävvelleh.
29-00	29. stat’t’u
29-01	Jogahizel ristikanzal on vellallizuksii yhteiskunnan ies, vai sit voi tapahtuo välly da tävvelline hänen persounan kehitys.
29-02	Omii oigevuksii da vällyzii todevuttajes jogahistu ristikanzua kohti voibi käyttiä vai moizii rajoituksii, kuduat ollah miärätty zakonal juuri sih niškoi, ku olis turvattu tarvittavu toizien oigevuksien da vällyzien tunnustamine da kunnivoittamine da oldas täytetty zakonanmugazet moralin, yhteiskunnallizen kunnon da yhtehizen toimehtulemizen vuadimukset demokruattizes yhteiskunnas.
29-03	Nenien oigevuksien da vällyzien todevuttamine nikonzu ei voi olla risturiijas Yhtistynnyzien Kanzukundien Organizatsien piätavoittehien da printsipoinke.
30-00	30. stat’t’u
30-01	Ni mi täh Deklaratsieh kirjutettu ei voi olla sellitetty, kui kudualetahto valdivole, rahvasjoukole libo erillizile rahvahile annettu oigevus toimie mittumaltahto alal libo luadie midätahto täh Deklaratsieh kirjutettuloin oigevuksien da vällyzien hävittämizekse.
